CONCEPT	HANZI	IPA	NOTE
shy	□倒丑	ɕyŋ3 tau3 ʦ'əu3	
sick	病	pin6	
to sing	唱歌	ʦ'aŋ5 ku1	
to sit	坐	ʦ'o̞1	
six	六	liəu5	
the skin	皮	pi2	
the sky	天	t'ia1	
to sleep	困觉	xuən5 kau5	
to sleep	□□	ŋa3 ɲy3	
small	细	sɛi5	
to smell (perceive odor) [transitive]	嗅	ɕiəu5	
the smoke	烟	ia1	
smooth	滑	uɛ1	
the snake	蛇	so̞2	
the snow	雪	ɕyɛ3	
some	一□	i6 nɛ3	
some	点	tia3	
some	点子	tia3 ʨi6	
the spider	□□子	ləu2 k'əu1 ʨi6	
to spit	□	p'u5	
to split	劈开	p'i1 xuai1/p'i1 k'ai1	
to squeeze	榨	ʦo̞5	
to stab	□	təu3	
to stab	插	ʦ'a3	
to stab	□	ʦ'a2	
to stand	企	ʨ'i1	
the star	星宿	ɕin1 ɕiəu5	
to steal	偷?	lau5	
the stick	槌（子）	ty2 (ʨi1)	
the stone (a piece of)	石头（□）	sɿ6 təu6 (ku3)	
the stone (a piece of)	石眼	sɿ6 ŋa3	
the stone (a piece of)	石□	sɿ6 ku3	
straight	直	tɕ'i6	
to suck	噘？	ʨyɛ2	
the sun	日头	ɲiɛ3 təu6	
to swell	肿	ʦuŋ3	
to swell	□	iaŋ5	
to swim	游泳	iəu2 yŋ3	
the tail	尾巴	muɛi1 po̞1	
ten	十	sɛ1	
that	那个	naŋ2 kɛi5	
there	那子	naŋ2 ʨi1	
they [third person plural]	佢□	ʨi1 no̞3 	
thick	厚	xəu1	
thin	薄	pu6	
to think (reflect)	想	ɕiaŋ3	
to think (reflect)	拟	ɲi3	
this	咯个	ki2 kɛi5	
thou [second person singular]	□	ŋ1	
three	三	sa1	
to throw	扔	lɛ3	
to throw	□	xɛ3	
to throw	丢	tiəu1	
the thunder	雷公	luɛi2 kuŋ1	
to tie (together)	绑	paŋ3	
the tongue	舌头	sɛ1 təu6	
the tooth (front)	牙齿	ŋo̞2 ʨ'i3	
the tree	树	ɕy6	
to turn (around)	转	ʦ'ua6	
twenty	二十	ɲi6 sɛ1	
two	二	ɲi6	
to vomit	呕	əu3	
to walk	行	xaŋ2	
warm (hot)	热	ɲiɛ1	
to wash	洗	sɛi3	
the water	水	suɛi3	
we [first person plural]	□□	ŋɛi1 no̞3	
we [first person plural]	□几	ŋɛi1 ʨi3	
wet	湿	sɛ3	
what	□样	lai2 iaŋ6	
when	□刻子	lai2 k'ɛ5 ʨi6 	
when	□样时候/□样时几	lai2 iaŋ6 sɿ2 xəu6	
when	□样时几	lai2 iaŋ6 sɿ6 ʨi3	
where	□□	lai2 ʨi1	
where	□样地方	lai2 iaŋ6 ti6 faŋ1	
where	□样□□	lai2 iaŋ6 tu6 tiaŋ1	
white	白	po̞6	
who	□个	lai2 kɛi5	
wide	宽	k'ua1	
the wife	夫娘	fu1 ɲiaŋ6	
the wind	风	fuŋ1	
the wing	翅膀	ʨi5 pa6	
the woman	女人	ɲy3 ɲin6	
the wood (material)	木头	mu5 təu6	
the work	做事	ʦu5 sɿ6	
the worm	□子	ɕya3 ʨi3	
to yawn	□□	xuai1 ɕia5	
the year	年	ɲia2	
yellow	黄	uaŋ2	
you [second person plural]	□□	ŋ1 no̞3	
you [second person plural]	□几	ŋ1 ʨi3	
			
			
			
#阴平			
#阳平			
#上声			
#—			
#阴去			
#阳去			

