1	太阳	1	一、天象、地理	名 詞
197	荤菜	99			
198	素菜	100			
199	湯	100			
200	猪肉	101			
201	猪肝	101			
202	猪舌头	102			
203	鸡蛋	102			
204	腐乳	103			
205	粉条儿	103			
206	作料	104			
207	猪油	104			
208	酱油	105			
209	醋	105			
210	糖	106			
211	蜂蜜	106			
212	酒	107			
213	茶	107			
214	冰淇淋	108			
215	冰棍儿	108			
216	开水	109			
217	紙烟	109			
218	衣服	110	七、服飾		
219	上衣	110			
220	衬衫	111			
221	汗衫	111			
222	夹祅	112			
223	毛衣	112			
224	大衣	113			
225	裤子	113			
226	群子	114			
227	短褲	114			
228	帽子	115			
229	鞋	115			
230	拖鞋	116			
231	木拖鞋	116			
232	靴子	117			
233	围巾	117			
234	手套	118			
235	袜子	118			
236	毛巾	119			
237	手帕	119			
238	围嘴儿	120			
239	領子	120			
240	袖子	121			
241	里子	121			
242	房子	122	八、房屋		
243	屋子	122			
244	正房	123			
245	厢房	123			
246	厨房	124			
247	厠所	124			
248	柱子	125			
249	房梁	125			
250	墙	126			
251	窗子	126			
252	鬥檻儿	127			
253	晒台	127			
254	栏杆	128			
255	台阶	128			
256	楼梯	129			
257	院子	129			
258	天井	130			
259	井	130			
260	家俱	131	九、器具、日常用具		
261	桌子	131			
262	椅子	132			
263	凳子	132			
264	书桌	133			
265	柜子	133			
266	抽屜	134			
267	盒子	134			
268	箱子	135			
269	皮箱	135			
270	床	136			
271	被子	136			
272	褥子	137			
273	毯子	137			
274	枕头	138			
275	席子	138			
276	帐子	139			
277	鍋	139			
278	鍋鏟	140			
279	菜刀	140			
280	筷子	141			
281	调羹	141			
282	缸	142			
283	水瓢	142			
284	坛子	143			
285	罐子	143			
286	瓶子	144			
287	木柴	144			
288	木炭	145			
289	火炉	145			
290	热水瓶	146			
291	浆糊	146			
292	針	147			
293	頂針儿	147			
294	綫	148			
295	绳子	148			
296	鎖	149			
297	钥匙	149			
298	扇子 	150			
299	伞	150			
300	拐杖	151			
301	电筒	151			
302	蜡烛	152			
303	火柴	152			
304	肥皂	153			
305	牙刷	153			
306	抹布	154			
307	扫帚	154			
308	撣子	155			
309	簸箕	155			
310	痰盂	156			
311	算盘	156	十、工具、材料		
312	秤	157			
313	戥子	157			
314	尺	158			
315	剪子	158			
316	锤子	159			
317	斧头	159			
318	钳子	160			
319	镊子	160			
320	凿子	161			
321	鋸子	161			
322	銼刀	162			
323	钻子	162			
324	錐子	163			
325	鉋子	163			
326	小刀儿	164			
327	钩子	164			
328	釘子	165			
329	梯子	165			
330	鋤头	166			
331	鐮刀	166			
332	扁担	167			
333	篩子	167			
334	輪子	168			
335	木头	168			
336	竹子	169			
337	石灰	169			
338	水泥	170			
339	橡胶	170			
340	漆	171			
341	玻璃	171			
342	錢	172	十一、商业、邮电、交通		
343	商店	172			
344	飯館	173			
345	邮局	173			
346	邮票	174			
347	車站	174			
348	碼头	175			
349	汽車	175			
350	自行車	176			
351	人力車	176			
352	輪船	177			
353	汽船	177			
354	小船儿	178			
355	街道	178			
356	人行道	179			
357	巷	179			
358	桥	180			
359	学校	180	十二、文化、娛乐		
360	书	181			
361	本子	181			
362	紙	182			
363	硯台	182			
364	毛笔	183			
365	鋼笔	183			
366	信	184			
367	信封儿	184			
368	信紙	185			
369	橡皮圈儿	185			
370	图章	186			
371	徽章	186			
372	相片	187			
373	电影	187			
374	故事	188			
375	球	188			
376	秋千	189			
377	风箏	189			
378	炮仗	190			
379	哨子	190			
380	头	191	十三、人体		
381	头髮	191			
382	前額	192			
383	眼晴	192			
384	鼻子	193			
385	耳朵	193			
386	嘴	194			
387	舌头	194			
388	脖子	195			
389	夹肢窝	195			
390	胳膊	196			
391	左手	196			
392	右手	197			
393	手指头	197			
394	大姆指	198			
395	小姆指	198			
396	指甲	199			
397	屁股	199			
398	大腿	200			
399	膝盖	200			
400	男人	201	十四、人品		
401	女人	201			
402	老头儿	202			
403	老太婆	202			
404	小伙子	203			
405	小孩儿	203			
406	男孩儿	204			
407	女孩儿	204			
408	聋子	205			
409	瞎子	205			
410	哑吧	206			
411	結巴	206			
412	麻子	207			
413	禿子	207			
414	駝子	208			
415	跛子	208			
416	疯子	209			
417	单身汉	209			
418	寡妇	210			
419	双胞胎	210			
420	小偷	211			
421	强盜	211			
422	爷爷	212	十五、亲属称呼		
423	奶奶	212			
424	爸爸	213			
425	媽媽	213			
426	后母	214			
427	伯父	214			
428	伯母	215			
429	叔父	215			
430	嬸母	216			
431	姑父	216			
432	姑母	217			
433	外公	217			
434	外婆	218			
435	萬父	218			
436	與母	219			
437	姨父	219			
438	姨母	220			
439	丈人	220			
440	丈母	221			
441	公公	221			
442	婆婆	222			
443	丈夫	222			
444	妻子	223			
445	哥哥	223			
446	嫂子	224			
447	弟弟	224			
448	姐姐	225			
449	姐夫	225			
450	妹妹	226			
451	妹夫	226			
452	大伯子	227			
453	小叔子	227			
454	大姑子	228			
455	小姑子	228			
456	儿子	229			
457	媳妇	229			
458	女儿	230			
459	女婿	230			
460	侄儿	231			
461	侄女	231			
462	外甥	232			
463	孙子	232			
464	孙女	233			
465	外孙	233			
466	前面	234	十六、方位		
467	后面	234			
468	里面	235			
469	外面	235			
470	上面	236			
471	下面	236			
472	中間	237			
473	旁边	237			
474	隔壁	238			
475	城里	238			
476	乡下	239			
477	东西	239	十七、其他		
478	粉	240			
479	末子	240			
480	泡沫	241			
481	口水	241			
482	垃圾	242			
483	角落	242			
484	窟窿	243			
485	猪圈	243			
486	鸡窝	244			
487	坟	244			
488	棺材	245			
489	事情	245			
490	刮风	246	一、自然变化	动詞	
491	下雨	246			
492	打閃	247			
493	打雷	247			
494	結冰	248			
495	化雪	248			
496	淋雨	249			
497	退色	249			
498	掉(掉下来）	250			
499	看	250	二、五官动作		
500	眨眼	251			
501	瞪眼	251			
502	听	252			
503	聞	252			
504	吃	253			
505	喝	253			
506	吸	254			
507	咬	254			
508	啮	255			
509	嚼	255			
510	舔	256			
511	呑	256			
512	含	257			
513	噴	257			
514	吹	258			
515	嚐	258			
516	拿	259	三、肢体动作		
517	捏	259			
518	掐	260			
519	摸	260			
520	捞	261			
521	找	261			
522	摘	262			
523	擦	262			
524	搓	263			
525	提	263			
526	举	264			
527	托	264			
528	端	265			
529	捧	265			
530	抬	266			
531	搬	266			
532	按	267			
533	推	267			
534	挡	268			
535	撑	268			
536	拖	269			
537	拉	269			
538	拔	270			
539	扶	270			
540	搂	271			
541	抱	271			
542	开	272			
543	关	272			
544	封	273			
545	塞	273			
546	盖	274			
547	罩	274			
548	套	275			
549	卷	275			
550	包	276			
551	系	276			
552	解	277			
553	剝	277			
554	折(折叠）	278			
555	叠（堆叠）	278			
556	鋪	279			
557	装	279			
558	打	280			
559	捅	280			
560	碰	281			
561	撕	281			
562	弹	282			
563	扔	282			
564	塡	283			
565	埋	283			
566	走	284			
567	跑	284			
568	跳	285			
569	踩	285			
570	跨	286			
571	站	286			
572	蹲	287			
573	靠	287			
574	躺	288			
575	摔	288			
576	挤	289			
577	躱	289			
578	挑	290			
579	措	290			
580	跟	291			
581	逃跑	291			
582	脱	292	四、日常操作		
583	戴	292			
584	洗	293			
585	刷	293			
586	涮	294			
587	漱口	294			
588	冼澡	295			
589	晒	295			
590	晾	296			
591	熨	296			
592	染	297			
593	剪	297			
594	裁	298			
595	切	298			
596	割	299			
597	刴	299			
598	杀	300			
599	宰	300			
600	泼	301			
601	浇	301			
602	扫	302			
603	点	302			
604	收拾	303			
605	撹和	303			
606	拌	304			
607	选择	304			
608	藏(收存）	305			
609	說	305	五、交际、事务、人事		
610	閑淡	306			
611	問	306			
612	理	307			
613	叫	307			
614	喊	308			
615	笑	308			
616	哭	309			
617	駡	309			
618	开玩笑	310			
619	发脾气	310			
620	吵架	311			
621	打架	311			
622	劝	312			
623	吹牛	312			
624	拍馬	313			
625	发誓	313			
626	陪	314			
627	做事儿	314			
628	干活儿	315			
629	种地	315			
630	开車	316			
631	买布	316			
632	买油	317			
633	买药(买中药）	317			
634	活	318			
635	死	318			
636	結婚（指男方）	319			
637	結婚（指女方）	319			
638	生（生育）	320			
639	上課	320	六、文化、娛乐		
640	下課	321			
641	敎	321			
642	学	322			
643	玩儿	322			
644	游泳	323			
645	照相	323			
646	赢	324			
647	輸	324			
648	休息	325	七、生理、病理		
649	睡觉	325			
650	打呵欠	326			
651	打瞌睡	326			
652	打冷噤	327			
653	哆嗦	327			
654	喷嚏	328			
655	抓痒	328			
656	撒（撒尿）	329			
657	拉(拉屎）	329			
658	生病	330			
659	着凉	330			
660	咳嗽	331			
661	头暈	331			
662	发烧	332			
663	泻肚	332			
664	生疟疾	333			
665	喜欢	333	八、感受、思維		
666	討厌	334			
667	怪	334			
668	恨	335			
669	后悔	335			
670	怕	336			
671	知道	336			
672	想	337			
673	打算	337			
674	相信	338			
675	怀疑	338			
676	小心	339			
677	想念	339			
678	忘記	340			
679	要	340			
680	不要	341			
681	应該	341	九、願望、判断		
682	値得	342			
683	是	342			
684	不是	343			
685	沒有（无）	343			
686	接吻	344	十、其他		
687	上坟	344			
688	遗失	345			
689	浪费	345			
690	大	346	一、形状、情况	形容詞	
691	小	346			
692	髙	347			
693	低	347			
694	矮	348			
695	长	348			
696	短	349			
697	粗	349			
698	細	350			
699	宽	350			
700	窄	351			
701	厚	351			
702	薄	352			
703	深	352			
704	浅	353			
705	空	353			
706	滿	354			
707	方	354			
708	圓	355			
709	平	355			
710	正	356			
711	反	356			
712	歪	357			
713	横	357			
714	竪	358			
715	直	358			
716	斜	359			
717	陡	359			
718	弯	360			
719	亮	360			
720	暗	361			
721	黑	361			
722	輕	362			
723	重	362			
724	干	363			
725	湿	363			
726	稠	364			
727	釅	364			
728	稀	365			
729	硬	365			
730	軟	366			
731	老(不嫩）	366			
732	嫩	367			
733	脆	367			
734	結实	368			
735	生（不熟）	368			
736	整齐	369			
737	乱	369			
738	破	370			
739	干淨	370			
740	骯髒	371			
741	热鬧	371			
742	淸楚	372			
743	模糊	372			
744	渾	373			
745	快(鋒利）	373			
746	快(迅速）	374			
747	早	374			
748	晚	375			
749	好	375	二、性质		
750	坏	376			
751	差	376			
752	难	377			
753	容易	377			
754	貴	378			
755	便宜	378			
756	热	379	三、生理感觉		
757	冷	379			
758	烫	380			
759	暧和	380			
760	溫	381			
761	凉	381			
762	香	382			
763	臭	382			
764	餿	383			
765	咸	383			
766	淡	384			
767	餓	384			
768	渴	385			
769	累	385			
770	痒	386			
771	舒服	386			
772	忙	387			
773	闲	387			
774	胖	388	四、形貌体态		
775	肥	388			
776	瘦	389			
777	老（不年輕）	389			
778	年輕	390			
779	好看、漂亮	390			
780	难看、丑	391			
781	强壮	391			
782	傻	392	五、品性、行为		
783	老实	392			
784	狡猾	393			
785	直爽	393			
786	大方	394			
787	小气	394			
788	骄傲	395			
789	謙虚	395			
790	乖	396			
791	顽皮	396			
792	勤快	397			
793	懒	397			
794	能干	398			
795	內行	398			
796	外行	399			
797	髙兴	399	六、心理感受		
798	合意	400			
799	煩恼	400			
800	可怜	401			
801	倒霉	401			
802	奇怪	402			
803	害怕	402			
804	害羞	403			
805	我	403	一、人称代詞	代 詞	
806	你	404			
807	他	404			
808	我們	405			
809	咱們	405			
810	你們	406			
811	他們	406			
812	大家	407			
813	自己	407			
814	人家	408			
815	我的	408	二、物主代詞		
816	你的	409			
817	他的	409			
818	別的	410			
819	这个	410	三、指示代詞		
820	那个	411			
821	这些	411			
822	那些	412			
823	这儿	412			
824	那儿	413			
825	这边	413			
826	那边	414			
827	这么	414			
828	那么	415			
829	誰	415	四、疑問代詞		
830	什么	416			
831	哪个	416			
832	哪儿	417			
833	哪边	417			
834	怎么	418			
835	多么	418			
836	多少	419			
837	多久	419			
838	一个人	420	一、物量詞	量 詞	
839	一头牛	420			
840	一只鸡	421			
841	一条魚	421			
842	一棵树	422			
843	一瓶酒	425			
844	一丛草	422			
845	一朵花儿	423			
846	一串葡萄	423			
847	一頓飯	424			
848	一支烟	424			
849	一口水	425			
850	一套衣服	426			
851	一双鞋	426			
852	一条被子	427			
853	一顶帐子	427			
854	一把刀	428			
855	一根針	428			
856	一座房子	429			
857	一座桥	429			
858	一扇門	430			
859	一辆車	430			
860	一只船	431			
861	一件事情	431			
862	一笔生意	432			
863	逼(看一遍）	432	二、动量詞		
864	次（这一次）	433			
865	趟(走一趟）	433			
866	頓(打一頓）	434			
867	下(打一下）	434			
868	从前	435		副 詞	
869	刚才	435			
870	现在	436			
871	一向	437			
872	預先	437			
873	巳經	438			
874	常常	438			
875	赶快	439			
876	馬上	439			
877	很	440			
878	更	440			
879	最	441			
880	太	441			
881	稍微	442			
882	恰巧	442			
883	都	443			
884	統統	443			
885	一起	444			
886	又	444			
887	再	445			
888	仍旧	445			
889	反正	446			
890	大約	446			
891	一定	447			
892	不	447			
893	沒〔有〕(未）	448			
894	別	448			
895	不用	449			
896	把	449		介詞、連詞	
897	被	450			
898	替	450			
899	在	451			
900	从	451			
901	到	452			
902	向	452			
903	和	453			
904	如果	453			
