1	太阳	1	一、天象、地理	名 詞
2	月亮	1			
3	星	2			
4	风	2			
5	雨	3			
6	雾	3			
7	露水	4			
8	霜	4			
9	雪	5			
10	冰	5			
11	冰雹	6			
12	閃电	6			
13	雷	7			
14	虹	7			
15	天气	8			
16	晴天	8			
17	阴天	9			
18	海	9			
19	湖	10			
20	池塘	10			
21	风景	11			
22	时候	11	二、时間、节令		
23	今年	12			
24	明年	12			
25	后年	13			
26	去年	13			
27	前年	14			
28	日子	14			
29	今天	15			
30	明天	15			
31	后天	16			
32	大后天	16			
33	昨天	17			
34	前天	17			
35	大前天	18			
36	白天	18			
37	夜問	19			
38	早晨	19			
39	上午	20			
40	中午	20			
41	下午	21			
42	傍晚	21			
43	晚上	22			
44	元且（正月初一）	22			
45	端午节	23			
46	中秋节	23			
47	重阳节	24			
48	除夕	24			
49	金子	25	三、矿物及其他自然物		
50	銀子	25			
51	銅	26			
52	鉄	26			
53	鋼	27			
54	鉛	27			
55	鍚	28			
56	煤	28			
57	煤油	29			
58	汽油	29			
59	石头	30			
60	泥	30			
61	土	31			
62	灰尘	31			
63	老虎	32	四、动物		
64	獅子	32			
65	豹子	33			
66	狼	33			
67	鹿	34			
68	猴子	34			
69	兎子	35			
70	老鼠	35			
71	老鹰	36			
72	猫头鹰	36			
73	雁	37			
74	燕子	37			
75	烏鴉	38			
76	喜鹊	38			
77	麻雀	39			
78	鸽子	39			
79	八哥	40			
80	牲口	40			
81	公牛	41			
82	母牛	41			
83	公馬	42			
84	母馬	42			
85	公猪	43			
86	母猪	43			
87	公狗	44			
88	母狗	44			
89	驴	45			
90	騾子	45			
91	羊	46			
92	猫	46			
93	公鸡	47			
94	閹鸡	47			
95	母鸡	48			
96	小鸡儿	48			
97	鴨子	49			
98	鵝	49			
99	鲤魚	50			
100	鯽魚	50			
101	黃花魚	51			
102	螃蟹	51			
103	虾	52			
104	蚌	52			
105	靑蛙	53			
106	癩蛤蟆	53			
107	烏龟	54			
108	蝸牛	54			
109	蚯蚓	55			
110	蚕	55			
111	蜜蜂	56			
112	蝴蝶	56			
113	蜻蜓	57			
114	蝉	57			
115	螢火虫	58			
116	蟋蟀	58			
117	螞蚁	59			
118	蒼蝇	59			
119	蚊子	60			
120	臭虫	60			
121	蜘蛛	61			
122	蜈蚣	61			
123	蛇	62			
124	壁虎	62			
125	翅膀	63			
126	蹄子	63			
127	爪子	64			
128	尾巴	64			
129	鳞	65			
130	梅花	65	五、植物		
131	杏花	66			
132	桃花	66			
133	荷花	67			
134	桂花	67			
135	艾	68			
136	棉花	68			
137	稻子	69			
138	大米	70			
139	糯米	70			
140	麦子	71			
141	面粉	71			
142	谷子	72			
143	小米	72			
144	麸子	73			
145	糠	73			
146	高粱	74			
147	玉米	74			
148	花生	75			
149	向日葵	75			
150	甘薯	76			
151	马铃薯	76			
152	蔬菜	77			
153	卷心菜	77			
154	南瓜	78			
155	冬瓜	78			
156	黃瓜	79			
157	萝卜	79			
158	茄子	80			
159	番茄	80			
160	韭菜	81			
161	葱	81			
162	蒜	82			
163	辣椒	82			
164	水果	83			
165	桃儿	83			
166	梨	84			
167	桔子	84			
168	柚子	85			
169	梅子	85			
170	葡萄	86			
171	樱桃	86			
172	橄榄	87			
173	荸薺	87			
174	枣儿	88			
175	栗子	88			
176	核桃	89			
177	香蕉	89			
178	荔枝	90			
179	桂圓	90			
180	西瓜	91			
181	核儿	91			
182	果皮	92			
183	早飯	92	六、飮食		
184	午飯	93			
185	晚飯	93			
186	米飯	94			
187	粥	94			
188	米湯	95			
189	饅头	95			
190	包子	96			
191	餃子	96			
192	餛飩	97			
193	面条儿	97			
194	糕	98			
195	餡儿	98			
196	菜(菜肴）	99			
