NUMBER	GLOSS	IPA	OMEGAWIKI
1	all	tshyn2 pu4	1173416
2	and	hə2, thə̃2	6464
3	animal	tə̃4 wũ5	194
4	ashes	hwəj1	264
5	at	tsæ4	6078
6	back [nn]	pəj4	5648
7	bad	pu/5 hɔ3, hwæ4	5650
8	bark [of tree]	sy4 phi2	5439
9	because	in1 wəj4	514093
10	belly	tu4 tsə3	5516
11	big	ta4	5437
12	bird	njɔ3	400
13	bite	jɔ3	5993
14	black	həj1	1341728
15	blood	syʔ5	411
16	blow [vb]	tshwəj1	1375415
17	bone	kuʔ5 thəw2	5983
18	breast(s)	sjũ1	5992
19	breathe	siʔ5 tshi4, thəw3 tshi4	5998
20	burn [intr]	sɔ1	6039
21	child	sjæ3 hæ2, a2 tsə3	568
21	child	sjæ3 hæ2, a2 tsə3	7413
22	claw	tsɔ3	828398
23	cloud	yn2	623
24	cold	lə̃3	5639
25	come	læ2	6056
26	count	sũ4	6026
27	cut	tshjəʔ5 	6043
28	day	pəʔ5 thĩ1	5477
29	die	sə3	6245
30	dig	kwæ1	6024
31	dirty	laʔ5 səʔ5	5483
32	dog	kəw3	966
33	drink	tshĩ5	5991
34	dry	kã1	5989
35	dull	puʔ5 li4	5988
36	dust	hwəj1 tshin2	1009
37	ear	a3 to3	5510
38	earth	thu3	5481
39	eat	tshĩ5	5827
40	egg	tã4	340828
41	eye	ĩ3 tsin1	5511
42	fall	tiʔ5 tɔ3	5622
43	far	ɥĩ3	5997
44	fat [nn]	phã4, fəj2	5619
45	father	fu4 tshin1,pa4 pa4	5464
46	feather	mɔ2	5436
47	few	sɔ3	5500
48	fight	təw4 lɔ4	6030
49	fire	ho3	1446
50	fish	y2	1460
51	five	wu3	156104
52	flesh	jo1	2300
53	flow	lju2	961244
54	flower	hwa2	1487
55	fly [vb]	fəj1	6052
56	fog	ĩ1	1502
57	foot	tsjɔʔ5	5672
58	four	sə4	6253
59	freeze	pin1tə̃4	6042
60	fruit	swəj3 ko3	6280
61	full	mũ3	6040
62	give	la2 tə	6059
63	good	hɔ3	443659
64	grass	tshɔ3	1675
65	green	luʔ5	6032
66	guts	tsã4	950344
67	hair [of head]	thəw2 faʔ5	446278
68	hand	sju3	5616
69	he	tha1	5454
70	head	thəw2	5527
71	hear	thĩ1	5999
72	heart	sin1	5475
73	heavy	tsə̃4	5451
74	here	tsə4 khwæ4 	1287831
75	hit	ta3	6044
76	hold	la1	6060
77	horn	tsjɔʔ5	5981
78	hot	kun3	5485
79	human [nn]	in2	333730
80	hunt [vb]	tswəj1	6046
81	husband	tsã4 fu1	5432
82	I	ŋo3	5450
83	ice	pin1	1837
84	if	lu2 ko3	6076
85	in	tsæ4 li3 mĩ4	6077
86	kill	saʔ5	6023
87	knee	səʔ5 thəw2 kæ4	5918
88	knife	tɔ1 tsə3	5873
89	know	sjɔ3 təʔ5	6004
90	lake	fu2	2061
91	laugh	sjɔ4	5876
92	leaf	sy4 jəʔ5	2124
93	left [-hand]	tso3	1499731
94	lie	thã4	6005
95	liver	kã1	5476
96	long	tshã2	5438
97	louse	səʔ5	5980
98	man	lã4 in2	6397
99	many	to1	5423
100	moon	yʔ5 ljã4	5729
101	mother	muʔ5 tshin1, ma1 ma1	5463
102	mountain	sã1	2421
103	mouth	tswəj3 pa1	332000
104	name	min2 tsə3	5995
105	narrow	sjɔ3, tsəʔ5	5566
106	near	tsin4	869106
107	neck	tsin3 po2 tsə3	5823
108	new	sin1	5484
109	night	jə4	5486
110	nose	pi4 tsə3	5471
111	not	puʔ5	5495
112	now	sĩ4 tsæ4	5936
113	old	lɔ3	5482
114	one	iʔ5	6244
115	other	pjəʔ5 ko4	1406403
116	path	lu4	3258
117	play	wã2	6010
118	pull	la1	6071
119	push	thwəj1	6068
120	rain [nn]	y3	3100
121	red	hə̃2	1333710
122	right [-hand]	ju4	436024
123	river	tsjã1	3253
124	root	kə̃1	3269
125	rotten	lã4	7031
126	round	ɥĩ2	5984
127	rub	tshaʔ5	6062
128	salt	ĩ2	5599
129	sand	sa1	3305
130	say	tsjã3	6075
131	scratch	sɔ1 jã3	6047
132	sea	ta4 hæ3	6154
133	see	khã4	6003
134	seed	tsə̃3 tsə3	3361
135	sew	fə̃2	6073
136	sharp	tsĩ1	5987
137	short	tõ3	6746
138	sing	tshã4ko1	5540
139	sit	tso4	6022
140	skin	phi2 fu1	3430
141	sky	thĩ1 khə̃1	7039
142	sleep	swəj4	6519
143	small	sjɔ3	5509
144	smell [tr]	wə̃2	6520
145	smoke	ĩ1	3451
146	smooth	sun4, ju2	5487
147	snake	sjə2	3388
148	snow	sɥəʔ5	3455
149	some (pl.)	ju3 ti	5499
150	spit	ŋəw3	6051
151	split	fə̃1 khæ1	6048
152	squeeze	nĩ3	6017
153	stab	thə̃1	6045
154	stand	tsã4	6053
155	star	sin1	6041
156	stick [nn]	kun4 tsə3	5662
157	stone	səʔ5 thəw2	3633
158	straight	tsəʔ5	5994
159	suck	siʔ5	6027
160	sun	iʔ5 thəw2	5850
161	swell	phə̃2 tsã4	6454
162	swim	wã2 swəj3	6050
163	tail	wəj3 pa1	5468
164	that (nt.)	la4 ko4	1149393
165	there	la4 khwæ4	858309
166	they	tha1 mə̃1	352331
167	thick	ĩ4, həw4	5503
168	thin	sju4	5990
169	think	sjã3	6021
170	this (nt.)	tsæ4 ko4	5458
171	three	sã1	156096
172	throw	thəw2	6072
173	tie	tsin3	844574
174	tongue	səʔ5 thjɔ2	5440
175	tooth	ja2 tshə3	5946
176	tree	sy4	3854
177	1	tsin1	6244
178	two	ljã3, a4	6248
179	vomit	ŋəw3 thu4	5617
180	walk	tsəw3	6054
181	wash	si3	6069
182	water	swəj3	4118
183	we	ŋo3 mə̃1	5455
184	wet	tshɔ2 səʔ5	7027
185	what	sə̃2 mə	5491
186	white	pəʔ5	5825
187	who	la3 iʔ5 ko4	5490
188	wide	khũ1 ta4	5502
189	wife	lɔ3 pho2	5429
190	wind [nn]	fə̃1	4160
191	wing	tshə4 pã3	5528
192	wipe	maʔ5	6070
193	with	thə̃2, ho2	5844
194	woman	ny3 in2	4165
195	woods	sy4 lin2	1533
196	worm	tshə̃2	5466
197	you (sg.)	ni3	5459
198	you (pl.)	ni3 mə̃1	5456
199	year	nĩ2, swəj4	5478
200	yellow	hwã2	6031
