NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
139	the river	666	30	118	river (n.)
140	the road	667	38	255	thoroughfare, way (n.)
141	the root	670	375	1334	root (n.)
142	the rope	1218	619	794	rope, cord. (n.)
143	the salt	1274	61	171	salt (n.)
144	the sand	671	44	1063	sand (n.)
145	the sea	1474	32		
146	the seed	714	405	92	seed (n.)
147	the sheep	1331	275		
148	the shit	676	151		
149	the shoulder	1482	90	1316	shoulder (as seen from behind), shoulder blades (n.)
150	the sickle	341	624	850	sickle (n.)
151	the skin	763	120	340	skin (n.)
152	the sky	1732	1	554	sky, sun, weather
153	the smoke	778	19	1305	smoke (n.)
154	the snake	730	347	600	snake (n.)
155	the snow	784	12	507	snow, ice
156	the son	1620	220	372	child, offspring, son, daughter. (n.)
157	the sparrow	1854	336		
158	the spider	843	361	1256	spider (n.)
159	the star	1430	5	144	star (n.)
160	the stick	1295	586		
161	the stone (a piece of)	857	379	1465	stone, rock
162	the sun	1343	2	554	sky, sun, weather
163	the tail	1220	267	1293	tail (n.)
164	the thigh	800	100	622	thigh (n.)
165	the thunder	1150	8	1326	thunder (n.)
166	the tiger	846	304	33	tusk (of elephant), fang (of snake, pig, tiger) (n.)
167	the tongue	1205	139	281	tongue (n.)
168	the tooth (front)	1380	137	698	tooth (n.)
169	the tree	906	372	331	tree (n.)
170	the water	948	47	24	water (n.)
171	the wheat	1077	410	429	wheat, Triticum sativum (n.)
172	the wife	1199	248	119	wife (n.)
172	the wife	1199	248	654	wife (n.)
173	the wind	960	9	1219	wind (n.)
174	the wing	1257	298	54	wing (n.)
175	the wolf	522	324		
176	the woman	962	174	1343	Kulung woman
176	the woman	962	174	151	young woman
177	the wood (material)	1803	511	234	sweep (with a broom or piece of wood), wipe off, blow one's nose (vt-4 [1: chis- 2: chiss- 3: chi-])
178	the year	1226	777	434	year (always preceded by a numeral) (n.)
179	there	1937	950	1301	there, in there (adv.)
180	thick	1244	980		
181	thin (object)	2307	981	449	thin
182	this	1214	942		
183	thou [second person singular]	1215	931		
184	three	492	799	352	three..
185	to be alive	1422	1087	59	live, survive (vi-4 [1: let- 2: lei- 3: len-])
186	to bite	1403	1753	78	sting, bite, chew (vt-8 [1: khɔi- 2: khɔ- 3: khǝi- 4: khǝ- 5: khui- 6: khu- 7: kha- 8: khɔk-])
