# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSS_IN_SOURCE	IPA	TOKENS	SOURCE	COGID	TBL_ID	NOTE
46	Kulung	small	little (adv.)	ci:cha	ts i: tsʰ a	Tolsma1999	0	965	Nepali: alikati. (Tolsma1999)
47	Kulung	small	small (adj.)	ci:ma	ts i: m a	Tolsma1999	0	965	Nepali: sānu. (Tolsma1999)
#
48	Kulung	smooth	smooth, flat, even (adj.)	phemphempa	pʰ e m pʰ e m p a	Tolsma1999	0	1037	Nepali: cepṭo. (Tolsma1999)
#
49	Kulung	soft	soft (adj.)	lǝba lǝba	l ǝ b a _ l ǝ b a	Tolsma1999	0	1035	Nepali: kamalo. (Tolsma1999)
#
50	Kulung	straight	straight (adj.)	tǝntǝipa	t ǝ n t ǝ i p a	Tolsma1999	0	1003	Nepali: sīdhā. (Tolsma1999)
#
51	Kulung	ten	ten (preceded by the numeral 'one' ) (num.)	-pɔN	p ɔ ŋ	Tolsma1999	0	806	
#
52	Kulung	that	he, that one (dem.)	khuNkǝ	kʰ u ŋ k ǝ	Tolsma1999	0	947	Nepali: tyo. (Tolsma1999)
#
53	Kulung	the ant	black ant (n.)	khalem	kʰ a l e m	Tolsma1999	0	365	Nepali: kamilā. (Tolsma1999)
#
54	Kulung	the armpit	armpit (also with haplology: bayam) (n.)	bayayam	b a j a j a m	Tolsma1999	0	92	Nepali: kākhī. (Tolsma1999)
#
55	Kulung	the bamboo	bamboo (n.)	baphu	b a pʰ u	Tolsma1999	0	389	Nepali: bāṃs. (Tolsma1999)
#
56	Kulung	the barley (tibetan or highland)	barley, Hordeum vulgare (n.)	chɔN	tsʰ ɔ ŋ	Tolsma1999	0	411	Nepali: jau. (Tolsma1999)
#
57	Kulung	the belly	belly (n.)	bɔ	b ɔ	Tolsma1999	0	96	Nepali: peṭ. (Tolsma1999)
#
58	Kulung	the bird	bird (n.)	chɔwa	tsʰ ɔ w a	Tolsma1999	0	326	Nepali: carā. (Tolsma1999)
#
59	Kulung	the blood	blood (n.)	hi	h i	Tolsma1999	0	129	Nepali: ragat. (Tolsma1999)
#
60	Kulung	the body hair (hair or fur)	body hair (n.)	mui	m u i	Tolsma1999	0	266	Nepali: rauṃ. (Tolsma1999)
#
61	Kulung	the bone	bone (n.)	tupri	t u p r i	Tolsma1999	0	133	Nepali: hāḍ. (Tolsma1999)
#
62	Kulung	the branch	branch of a tree (n.)	gem	g e m	Tolsma1999	0	374	Nepali: hāṃgā. (Tolsma1999)
#
63	Kulung	the breast (female)	female breast (n.)	cu	ts u	Tolsma1999	0	94	Nepali: dudh. (Tolsma1999)
#
64	Kulung	the child (young human)	child, offspring, son, daughter. (n.)	cha	tsʰ a	Tolsma1999	0	169	
#
65	Kulung	the cloud	cloud (n.)	mɔm	m ɔ m	Tolsma1999	0	7	Nepali: bādal. (Tolsma1999)
#
66	Kulung	the daughter	daughter (n.)	cham	tsʰ a m	Tolsma1999	0	222	Nepali: chorī. (Tolsma1999)
#
67	Kulung	the dew	dew. (n.)	sɔNgerwa	s ɔ ŋ g e r w a	Tolsma1999	0	15	
#
68	Kulung	the dog	dog (n.)	kheba	kʰ e b a	Tolsma1999	0	289	Nepali: kukur. (Tolsma1999)
#
69	Kulung	the dream	dream (n.)	se:mɔ:	s e: m ɔ:	Tolsma1999	0	699	Nepali: sapanā. (Tolsma1999)
#
70	Kulung	the dust	flour, dust (n.)	phul	pʰ u l	Tolsma1999	0	45	Nepali: piṭho, dhūlo. (Tolsma1999)
#
71	Kulung	the ear	ear (n.)	nɔbɔ	n ɔ b ɔ	Tolsma1999	0	81	Nepali: kān. (Tolsma1999)
#
72	Kulung	the earth (soil)	mud, earth (n.)	bɔhɔ	b ɔ h ɔ	Tolsma1999	0	40	Nepali: hilo. (Tolsma1999)
#
73	Kulung	the earthworm	earthworm (n.)	nampuchɔ	n a m p u tsʰ ɔ	Tolsma1999	0	363	Nepali: gaṃḍyauṃlo. (Tolsma1999)
#
74	Kulung	the egg	egg (of a chicken) (n.)	wa:di	w a: d i	Tolsma1999	0	450	Nepali: phul. (Tolsma1999)
#
75	Kulung	the eye	eye, sepal of a flower (n.)	muksi	m u ks i	Tolsma1999	0	79	Nepali: āṃkhā. (Tolsma1999)
#
76	Kulung	the father	father (n.)	pa	p a	Tolsma1999	0	218	Nepali: buvā. (Tolsma1999)
#
77	Kulung	the feather	feather (n.)	walamma	w a l a m m a	Tolsma1999	0	299	Nepali: pvāṃkh. (Tolsma1999)
#
78	Kulung	the fire	fire (n.)	mi	m i	Tolsma1999	0	18	Nepali: āgo. (Tolsma1999)
#
79	Kulung	the fish	fish (n.)	Na	ŋ a	Tolsma1999	0	351	Nepali: māchā. (Tolsma1999)
#
80	Kulung	the flea	human flea, Pulex irritans (n.)	cikippa	ts i k i p p a	Tolsma1999	0	355	Nepali: upiyāṃ. (Tolsma1999)
#
