NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
46	outside	762	714	1195	outside, outdoors. (adv.)
#<<<
47	red	156	1007	387	red (adj.)
47	red	156	1007	388	red, red-kind; a red one (adj.n.)
47	red	156	1007	1662	red (includes orange and brown) (adj.n.)
#>>>
#<<<
48	right	1019	711	38	meet, fit, make sense, be correct or fitting, come together, be reconciled (vi.)
48	right	1019	711	878	correct, O.K., alright. (adv.)
48	right	1019	711	914	right (antonym: phɛnchaN left). (adv.)
48	right	1019	711	1903	large basket similar to a thɔNga (q.v.) but with a tighter mesh of split reeds or splintered bamboo or the:, not able to stand upright well without being propped up, used as a receptacle in deriving sɔNaʔ from canɔkwa (n.)
#>>>
49	round	1395	990	323	time, go, round (n.)
#<<<
50	salty	1091	1076	306	be salty; be too strong (for the taste) (vi.)
50	salty	1091	1076	1249	taste sweet, be sweet; taste salty, be salty (vi.)
#>>>
51	seven	1704	803	1750	seven (num.col.)
#<<<
52	sharp	1396	1020	209	sharp, pointy. (adj.)
52	sharp	1396	1020	639	be cutting, be sharp (of a knife or sickle) (vi.)
#>>>
53	short	1645	973	269	be short (vi.)
54	shy	487	1365		???
55	six	1703	802	279	six (num.col.)
#<<<
56	small	1246	965	9	1) a bit, a few; 2) postp., a little bit. (adv.)
56	small	1246	965	199	small, soft alpine tuber, Calladium arumaciae, with a potato-like gloss and an exquisite, mild taste when boiled (n.)
56	small	1246	965	772	1) become scarce, few, a little bit; 2) (with na face) stroke over someone's face in a downward direction with the palm of one's hand as a sign of aggression, anger and as a challenge to fight (1) vi. 2) vt.)
#>>>
57	smooth	1234	1037		???
58	soft	1856	1035	909	soft, pudding-like, runny (adj.)
59	straight	1404	1003		???
60	ten	1515	806		???
61	that	78	947	450	that, if that be the case, whether (sub.)
62	the ant	587	365		???
63	the armpit	1886	92	1202	armpit (n.)
64	the bamboo	1927	389		???
65	the barley (tibetan or highland)	932	411		???
#<<<
66	the belly	1251	96	847	stomach (as an internal organ) (n.)
66	the belly	1251	96	2094	stomach, abdomen, belly (the area as opposed to the internal organ, cf.  hiduʔl, thɛNya:n). (n.)
#>>>
67	the bird	937	326		???
68	the blood	946	129		???
69	the body hair (hair or fur)	189	266	794	a hair (on one's head) (n.)
70	the bone	1394	133	758	bone (n.)
#<<<
71	the branch	1531	374	1054	branch (n.)
71	the branch	1531	374	1433	branch (n.)
#>>>
72	the breast (female)	1402	94	591	nipple, breast (n.)
73	the child (young human)	1304	169		???
74	the cloud	1489	7	290	cloud (n.)
75	the daughter	1357	222	619	I) child, offspring (saʔl in compounds: ko:co:saʔl, luNsaʔl, mɛndaʔsaʔl, myaNsaʔl, pusaʔl, phaksaʔl, waʔsaʔl)  II) (as a kinship term) 1) ego's child (son or daughter), 2) ego's brother's child (male speaking), 3) ego's sister's child (female speaking). (n.)
76	the dew	1977	15		???
77	the dog	2009	289		???
78	the dream	2374	699	2131	dream (n.)
79	the dust	2	45		???
80	the ear	1247	81		???
#<<<
81	the earth (soil)	1228	40	294	clay, soil (n.)
81	the earth (soil)	1228	40	296	the Earth (n.)
81	the earth (soil)	1228	40	297	the Earth (n.)
81	the earth (soil)	1228	40	1783	the Earth, Nature, the land (n.poet.)
81	the earth (soil)	1228	40	2067	(onto a human body) smear, soil, get dirty, befoul (vt.)
#>>>
82	the earthworm	2350	363		???
83	the egg	744	450	706	egg (n.)
84	the eye	1248	79	1147	eye (n.)
85	the father	1217	218	1184	father (n.)
86	the feather	1201	299	2333	body hair, feathers (n.)
87	the fire	221	18	596	fire (n.)
88	the fish	227	351		???
89	the flea	232	355		???
#<<<
90	the flower	239	377	510	unfold, bloom, unfurl, burgeon (vi.)
90	the flower	239	377	1406	1) flower, bloom; 2) get an erection; 3) point upward (of the hand of a clock or weighing scale). (vi.)
#>>>
91	the fog	249	16	291	mist (n.)
#<<<
92	the foot	1301	103	316	leg, foot (n.)
92	the foot	1301	103	2219	bronze vaseshaped water vessel to drink from but not to be touched by the lips, also used for pouring water on hands or feet (n.)
#>>>
93	the forest	420	50	532	forest, jungle (n.)
94	the fox	1312	325		???
95	the frog	503	349	1083	frog (n.)
96	the front (front side)	2194	712	54	in front, up front, before (adv.)
97	the frost	2034	14		???
98	the fruit	1507	378		???
99	the goat	1502	276		???
100	the grass	606	436		???
101	the hail	609	13	2227	hail, hailstones (n.)
102	the hair (of the head)	1040	75	794	a hair (on one's head) (n.)
103	the hand	1277	107		???
104	the head	1256	74		???
