# EDICTOR
@modified: 2015-02-02 16:0
#
ID	IPA	SOURCE	WOLD	TOWEROFBABEL	SCAID	NOTE	CONCEPT	ENTRY_IN_SOURCE	CHINESE	SWADESH_1952	COGID	SWADESH_1955	HANZI	DOCULECT	BORROWING	ALIGNMENT	TOKENS	ABVD	OMEGAWIKI	GLOSS_IN_SOURCE	POS	IELEX	SUBGROUP	MORPHEME_STRUCTURE	PARADIGM_1	PARADIGM_3	PARADIGM_4	PARADIGM_2	DUPLICATES
64	da₅₅t͡ɕã₃₁	Allen2007, 499	13.14	all(84)	3		all	da55tɕã31	全部	all (of a number)(1)	3	all(1)		Luobenzhuo		d a ⁵⁵ t͡ɕ ã ∼ ³¹	d a ⁵⁵ t͡ɕ ã ∼ ³¹	all (191)	1173416	all / 都	Function word	all (2)	Bai						
65			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Mazhelong				all (191)	1173416		Function word	all (2)	Bai						
66	ji₃₅so₃₁	Allen2007, 499	13.14	all(84)	8		all	ji35so31	全部	all (of a number)(1)	4	all(1)		Qiliqiao		j i ³⁵ s o ³¹	j i ³⁵ s o ³¹	all (191)	1173416	all / 都	Function word	all (2)	Bai						
67	t͡ɕʰuɛ₅₅	Allen2007, 499	13.14	all(84)	9		all	tɕʰuɛ55	全部	all (of a number)(1)	6	all(1)		Xiangyun		t͡ɕʰ u ɛ ⁵⁵	t͡ɕʰ u ɛ ⁵⁵	all (191)	1173416	all / 都	Function word	all (2)	Bai						
68	t͡sa₅₅t͡ɕʰi₃₁	Allen2007, 499	13.14	all(84)	4		all	tsa55tɕʰi31	全部	all (of a number)(1)	5	all(1)		Yunlong		t͡s a ⁵⁵ t͡ɕʰ i ³¹	t͡s a ⁵⁵ t͡ɕʰ i ³¹	all (191)	1173416	all / 都	Function word	all (2)	Bai						
69			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Zhoucheng				all (191)	1173416		Function word	all (2)	Bai						
70			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Cone_Tibetan				all (191)	1173416		Function word	all (2)	Bodic						
71			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Lhasa_Tibetan				all (191)	1173416		Function word	all (2)	Bodic						
72	tʰams.tɕad		13.14	all(84)	0		all	tʰams.tɕad	全部	all (of a number)(1)	10	all(1)	凡	Old_Tibetan			tʰ a ms tɕ a d	all (191)	1173416	all	Function word	all (2)	Bodic						
73			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Achang_Lianghe				all (191)	1173416		Function word	all (2)	Burmish						
74			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Achang_Longchuan				all (191)	1173416		Function word	all (2)	Burmish						
75			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Achang_Luxi				all (191)	1173416		Function word	all (2)	Burmish						
76			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Atsi				all (191)	1173416		Function word	all (2)	Burmish						
77			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Bola				all (191)	1173416		Function word	all (2)	Burmish						
78	a²lum²		13.14	all(84)	0		all	a²lum²	全部	all (of a number)(1)	9	all(1)	凡	Burmese			a ² l u m ²	all (191)	1173416	all	Function word	all (2)	Burmish						
79			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Hpun				all (191)	1173416		Function word	all (2)	Burmish						
80			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Lashi				all (191)	1173416		Function word	all (2)	Burmish						
81			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Maru				all (191)	1173416		Function word	all (2)	Burmish						
82			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Old_Burmese				all (191)	1173416		Function word	all (2)	Burmish						
83			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Xiandau				all (191)	1173416		Function word	all (2)	Burmish						
84			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Dumi				all (191)	1173416		Function word	all (2)	Kiranti						
85	kʰøle		13.14	all(84)	0		all	kʰøle	全部	all (of a number)(1)	12	all(1)	凡	Khaling			kʰ ø l e	all (191)	1173416	all	Function word	all (2)	Kiranti						
86	kak		13.14	all(84)	0		all	kak	全部	all (of a number)(1)	11	all(1)	凡	Limbu			k a k	all (191)	1173416	all	Function word	all (2)	Kiranti						
87			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Wambule				all (191)	1173416		Function word	all (2)	Kiranti						
88			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Yakkha				all (191)	1173416		Function word	all (2)	Kiranti						
89			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Yamphu				all (191)	1173416		Function word	all (2)	Kiranti						
90			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Dulong				all (191)	1173416		Function word	all (2)	Nungish						
91			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Jingpo				all (191)	1173416		Function word	all (2)	SAL						
92			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Beijing				all (191)	1173416		Function word	all (2)	Sinitic						
93			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Caijia				all (191)	1173416		Function word	all (2)	Sinitic						
94			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Changsha				all (191)	1173416		Function word	all (2)	Sinitic						
95			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Ganzhou				all (191)	1173416		Function word	all (2)	Sinitic						
96			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Guangzhou				all (191)	1173416		Function word	all (2)	Sinitic						
97			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Meixian				all (191)	1173416		Function word	all (2)	Sinitic						
98	*[g]ˤr[ə]m		13.14	all(84)	0		all	*[g]ˤr[ə]m	全部	all (of a number)(1)	8	all(1)	咸	Old_Chinese			gˤ r ə m	all (191)	1173416	all	Function word	all (2)	Sinitic						
99			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Xiamen				all (191)	1173416		Function word	all (2)	Sinitic						
100			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Guiqiong				all (191)	1173416		Function word	all (2)	rGyalrongic						
101	tʰamtɕɤt		13.14	all(84)	0		all	%tʰamtɕɤt	全部	all (of a number)(1)	6	all(1)	凡	Japhug	1		tʰ a m tɕ ɤ t	all (191)	1173416	all	Function word	all (2)	rGyalrongic						
102			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Khroskyabs_Wobzi				all (191)	1173416		Function word	all (2)	rGyalrongic						
103			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Muya				all (191)	1173416		Function word	all (2)	rGyalrongic						
104			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Stau				all (191)	1173416		Function word	all (2)	rGyalrongic						
105	zji¹		13.14	all(84)	0		all	zji¹	全部	all (of a number)(1)	7	all(1)	凡	Tangut			z j i ¹	all (191)	1173416	all	Function word	all (2)	rGyalrongic						
106			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Zbu				all (191)	1173416		Function word	all (2)	rGyalrongic						
#
107			17.51		0		and		和	and(2)	0			Dashi				and (192)	6464		Function word	and (3)	Bai						
108			17.51		0		and		和	and(2)	0			Zhaozhuang				and (192)	6464		Function word	and (3)	Bai						
109			17.51		0		and		和	and(2)	0			Ega				and (192)	6464		Function word	and (3)	Bai						
110			17.51		0		and		和	and(2)	0			Enqi				and (192)	6464		Function word	and (3)	Bai						
111			17.51		0		and		和	and(2)	0			Eryuan				and (192)	6464		Function word	and (3)	Bai						
112			17.51		0		and		和	and(2)	0			Gongxing				and (192)	6464		Function word	and (3)	Bai						
113			17.51		0		and		和	and(2)	0			Heqi				and (192)	6464		Function word	and (3)	Bai						
114			17.51		0		and		和	and(2)	0			Jianchuan				and (192)	6464		Function word	and (3)	Bai						
115			17.51		0		and		和	and(2)	0			Jinman				and (192)	6464		Function word	and (3)	Bai						
116			17.51		0		and		和	and(2)	0			Jinxing				and (192)	6464		Function word	and (3)	Bai						
117			17.51		0		and		和	and(2)	0			Luobenzhuo				and (192)	6464		Function word	and (3)	Bai						
118			17.51		0		and		和	and(2)	0			Mazhelong				and (192)	6464		Function word	and (3)	Bai						
119			17.51		0		and		和	and(2)	0			Qiliqiao				and (192)	6464		Function word	and (3)	Bai						
120			17.51		0		and		和	and(2)	0			Xiangyun				and (192)	6464		Function word	and (3)	Bai						
121			17.51		0		and		和	and(2)	0			Yunlong				and (192)	6464		Function word	and (3)	Bai						
122			17.51		0		and		和	and(2)	0			Zhoucheng				and (192)	6464		Function word	and (3)	Bai						
123			17.51		0		and		和	and(2)	0			Cone_Tibetan				and (192)	6464		Function word	and (3)	Bodic						
124			17.51		0		and		和	and(2)	0			Lhasa_Tibetan				and (192)	6464		Function word	and (3)	Bodic						
125	daŋ		17.51		0		and		和	and(2)	0			Old_Tibetan			d a ŋ	and (192)	6464		Function word	and (3)	Bodic						
126			17.51		0		and		和	and(2)	0			Achang_Lianghe				and (192)	6464		Function word	and (3)	Burmish						
127			17.51		0		and		和	and(2)	0			Achang_Longchuan				and (192)	6464		Function word	and (3)	Burmish						
128			17.51		0		and		和	and(2)	0			Achang_Luxi				and (192)	6464		Function word	and (3)	Burmish						
129			17.51		0		and		和	and(2)	0			Atsi				and (192)	6464		Function word	and (3)	Burmish						
130			17.51		0		and		和	and(2)	0			Bola				and (192)	6464		Function word	and (3)	Burmish						
131			17.51		0		and		和	and(2)	0			Burmese				and (192)	6464		Function word	and (3)	Burmish						
132			17.51		0		and		和	and(2)	0			Hpun				and (192)	6464		Function word	and (3)	Burmish						
133			17.51		0		and		和	and(2)	0			Lashi				and (192)	6464		Function word	and (3)	Burmish						
134			17.51		0		and		和	and(2)	0			Maru				and (192)	6464		Function word	and (3)	Burmish						
135			17.51		0		and		和	and(2)	0			Old_Burmese				and (192)	6464		Function word	and (3)	Burmish						
136			17.51		0		and		和	and(2)	0			Xiandau				and (192)	6464		Function word	and (3)	Burmish						
137			17.51		0		and		和	and(2)	0			Dumi				and (192)	6464		Function word	and (3)	Kiranti						
138			17.51		0		and		和	and(2)	0			Khaling				and (192)	6464		Function word	and (3)	Kiranti						
139			17.51		0		and		和	and(2)	0			Limbu				and (192)	6464		Function word	and (3)	Kiranti						
140			17.51		0		and		和	and(2)	0			Wambule				and (192)	6464		Function word	and (3)	Kiranti						
141			17.51		0		and		和	and(2)	0			Yakkha				and (192)	6464		Function word	and (3)	Kiranti						
142			17.51		0		and		和	and(2)	0			Yamphu				and (192)	6464		Function word	and (3)	Kiranti						
143			17.51		0		and		和	and(2)	0			Dulong				and (192)	6464		Function word	and (3)	Nungish						
144			17.51		0		and		和	and(2)	0			Jingpo				and (192)	6464		Function word	and (3)	SAL						
145			17.51		0		and		和	and(2)	0			Beijing				and (192)	6464		Function word	and (3)	Sinitic						
146			17.51		0		and		和	and(2)	0			Caijia				and (192)	6464		Function word	and (3)	Sinitic						
147			17.51		0		and		和	and(2)	0			Changsha				and (192)	6464		Function word	and (3)	Sinitic						
148			17.51		0		and		和	and(2)	0			Ganzhou				and (192)	6464		Function word	and (3)	Sinitic						
149			17.51		0		and		和	and(2)	0			Guangzhou				and (192)	6464		Function word	and (3)	Sinitic						
150			17.51		0		and		和	and(2)	0			Meixian				and (192)	6464		Function word	and (3)	Sinitic						
151	*m-rˤəp		17.51		0		and	*m-rˤəp	和	and(2)	14		眔	Old_Chinese			m ◦ rˤ ə p	and (192)	6464	and	Function word	and (3)	Sinitic						
152			17.51		0		and		和	and(2)	0			Xiamen				and (192)	6464		Function word	and (3)	Sinitic						
153			17.51		0		and		和	and(2)	0			Guiqiong				and (192)	6464		Function word	and (3)	rGyalrongic						
154	cʰo		17.51		0		and	cho	和	and(2)	13			Japhug			cʰ o	and (192)	6464		Function word	and (3)	rGyalrongic						
155			17.51		0		and		和	and(2)	0			Khroskyabs_Wobzi				and (192)	6464		Function word	and (3)	rGyalrongic						
156			17.51		0		and		和	and(2)	0			Muya				and (192)	6464		Function word	and (3)	rGyalrongic						
157			17.51		0		and		和	and(2)	0			Stau				and (192)	6464		Function word	and (3)	rGyalrongic						
158			17.51		0		and		和	and(2)	0			Tangut				and (192)	6464		Function word	and (3)	rGyalrongic						
159			17.51		0		and		和	and(2)	0			Zbu				and (192)	6464		Function word	and (3)	rGyalrongic						
#
160			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Dashi				ashes (146)	264		Noun	ashes (5)	Bai						
161	xua⁴²lɔ⁴²ɕu⁵⁵		1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Zhaozhuang			x u a ⁴² l ɔ ⁴² ɕ u ⁵⁵	ashes (146)	264		Noun	ashes (5)	Bai						
162			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Ega				ashes (146)	264		Noun	ashes (5)	Bai						
163			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Enqi				ashes (146)	264		Noun	ashes (5)	Bai						
164			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Eryuan				ashes (146)	264		Noun	ashes (5)	Bai						
165			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Gongxing				ashes (146)	264		Noun	ashes (5)	Bai						
166			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Heqi				ashes (146)	264		Noun	ashes (5)	Bai						
167			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Jianchuan				ashes (146)	264		Noun	ashes (5)	Bai						
168			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Jinman				ashes (146)	264		Noun	ashes (5)	Bai						
169			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Jinxing				ashes (146)	264		Noun	ashes (5)	Bai						
170			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Luobenzhuo				ashes (146)	264		Noun	ashes (5)	Bai						
171			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Mazhelong				ashes (146)	264		Noun	ashes (5)	Bai						
172			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Qiliqiao				ashes (146)	264		Noun	ashes (5)	Bai						
173			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Xiangyun				ashes (146)	264		Noun	ashes (5)	Bai						
174			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Yunlong				ashes (146)	264		Noun	ashes (5)	Bai						
175			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Zhoucheng				ashes (146)	264		Noun	ashes (5)	Bai						
176			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Cone_Tibetan				ashes (146)	264		Noun	ashes (5)	Bodic						
177			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Lhasa_Tibetan				ashes (146)	264		Noun	ashes (5)	Bodic						
178	tʰal.ba		1.84	ashes(43)	0		the ashes	rdul	灰	ashes(4)	189	ashes(2)	灰	Old_Tibetan			r d u l	ashes (146)	264	ash	Noun	ashes (5)	Bodic						
179			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Achang_Lianghe				ashes (146)	264		Noun	ashes (5)	Burmish						
180			1.84	ashes(43)	0		the ashes		灰	ashes(4)	0	ashes(2)		Achang_Longchuan				ashes (146)	264		Noun	ashes (5)	Burmish						
