NUMBER	OWID	GLOSS	POS	ABVD	IELEX	WOLD
76	443659	good	Adjective	good (164)	good (65)	http://wold.clld.org/meaning/16-71
77	1675	the grass	Noun	grass (118)	grass (66)	http://wold.clld.org/meaning/8-51
78	6032	green	Adjective	green (151)	green (67)	http://wold.clld.org/meaning/15-68
79	154737	to grow	Verb	to grow (86)		http://wold.clld.org/meaning/12-53
80	446278	the hair	Noun	hair (26)	hair (69)	http://wold.clld.org/meaning/4-14
81	5616	the hand	Noun	hand (1)	hand (70)	http://wold.clld.org/meaning/4-33
82	5454	he or she [third person singular]	Function word	he/she (184)	he (71)	http://wold.clld.org/meaning/2931
83	5527	the head	Noun	head (24)	head (72)	http://wold.clld.org/meaning/4-2
84	5999	to hear	Verb	to hear (44)	hear (73)	http://wold.clld.org/meaning/15-41
85	5475	the heart	Noun		heart (74)	http://wold.clld.org/meaning/4-44
86	5451	heavy	Adjective	heavy (142)	heavy (75)	http://wold.clld.org/meaning/15-81
87	1287831	here	Function word		here (76)	http://wold.clld.org/meaning/24-09
88	161806	to hide (conceal)	Verb	to hide (171)		http://wold.clld.org/meaning/12-27
89	6044	to hit	Verb	to hit (72)	hit (77)	http://wold.clld.org/meaning/9-21
90	6060	to hold	Verb	to hold (89)	hold (78)	http://wold.clld.org/meaning/11-15
91	5981	the horn (keratinized skin)	Noun		horn (79)	http://wold.clld.org/meaning/4-17
92	5517	the house	Noun	house (61)		http://wold.clld.org/meaning/7-12
93	5494	how	Function word	how? (194)	how (80)	http://wold.clld.org/meaning/17-61
94	6685	hundred	Function word	One Hundred (209)		http://wold.clld.org/meaning/13105
95	6046	to hunt	Verb	to hunt (69)	hunt (81)	http://wold.clld.org/meaning/20-61
96	5432	the husband	Noun	husband (57)	husband (82)	http://wold.clld.org/meaning/2-31
97	5450	I [first person singular]	Function word	I (182)	I (1)	http://wold.clld.org/meaning/2-91
98	1837	the ice	Noun		ice (83)	http://wold.clld.org/meaning/1-77
99	950344	the intestines	Noun	intestines (16)		http://wold.clld.org/meaning/4461
100	6023	to kill	Verb	to kill (74)	kill (86)	http://wold.clld.org/meaning/4-76
101	5918	the knee	Noun		knee (87)	http://wold.clld.org/meaning/4-36
102	6004	to know	Verb	to know, be knowledgeable (20)	know (88)	http://wold.clld.org/meaning/17-17
103	2061	the lake	Noun	lake (126)	lake (89)	http://wold.clld.org/meaning/1-33
104	5876	to laugh	Verb	to laugh (33)	laugh (90)	http://wold.clld.org/meaning/16-25
105	2124	the leaf	Noun	leaf (114)	leaf (91)	http://wold.clld.org/meaning/8-56
106	1499731	left	Adjective	left (2)	left (92)	http://wold.clld.org/meaning/12-42
107	5665	the leg	Noun	leg/foot (4)	leg (93)	http://wold.clld.org/meaning/4-35
108	1510483	to lick	Verb	to suck (42)	suck (163)	http://wold.clld.org/meaning/4-59
109	1425860	to lie down	Verb	to lie down (49)		http://wold.clld.org/meaning/12-14
110	6005	to lie, rest	Verb		lie (94)	http://wold.clld.org/meaning/12-14
111	6811	the lightning	Noun	lightning (135)		http://wold.clld.org/meaning/1-55
112	5476	the liver	Noun	liver (17)	liver (96)	http://wold.clld.org/meaning/4-45
113	5438	long	Adjective	long (155)	long (97)	http://wold.clld.org/meaning/12-57
114	5980	the louse	Noun	louse (108)	louse (98)	http://wold.clld.org/meaning/3811
115	6396	male	Adjective	man/male (54)		http://wold.clld.org/meaning/2-23;3-12
116	6397	the man	Noun	man/male (54)	man (99)	http://wold.clld.org/meaning/2-21
117	5423	many	Function word		many (100)	http://wold.clld.org/meaning/13-15
118	2300	the meat	Noun	meat/flesh (103)	meat (101)	http://wold.clld.org/meaning/5-61
119	5729	the moon	Noun	moon (129)	moon (102)	http://wold.clld.org/meaning/1-53
120	630453	the mosquito	Noun	mosquito (109)		http://wold.clld.org/meaning/3832
121	5463	the mother	Noun	mother (59)	mother (103)	http://wold.clld.org/meaning/2-36
122	2421	the mountain	Noun		mountain (104)	http://wold.clld.org/meaning/1-22
123	6233,6237	the mouse or rat	Noun	rat (102)		http://wold.clld.org/meaning/3-63,3-63
124	332000	the mouth	Noun	mouth (30)	mouth (105)	http://wold.clld.org/meaning/4-24
125	828575	the nail (fingernail or claw)	Noun		fingernail (50)	http://wold.clld.org/meaning/
126	5995	the name	Noun	name (63)	name (106)	http://wold.clld.org/meaning/18-28
127	5566	narrow	Adjective	narrow (158)	narrow (107)	http://wold.clld.org/meaning/12-62
128	869106	near	Adverb	near (179)	near (108)	http://wold.clld.org/meaning/12-43
129	5823	the neck	Noun	neck (25)	neck (109)	http://wold.clld.org/meaning/4-28
130	5951	the needle (for sewing)	Noun	needle (68)		http://wold.clld.org/meaning/6-36
131	5484	new	Adjective	new (163)	new (110)	http://wold.clld.org/meaning/14-13
132	5486	the night	Noun	night (167)	night (111)	http://wold.clld.org/meaning/14-42
133	6193	nine	Function word	Nine (205)		http://wold.clld.org/meaning/13-09
134	5471	the nose	Noun	nose (27)	nose (112)	http://wold.clld.org/meaning/4-23
135	5495	not	Function word	no, not (195)	not (113)	http://wold.clld.org/meaning/24-06
136	5482	old (of person)	Adjective	old (162)	old (114)	http://wold.clld.org/meaning/14-15
137	6244	one	Function word	One (197)	one (115)	http://wold.clld.org/meaning/13-01
138	513017	to open	Verb	to open, uncover (92)		http://wold.clld.org/meaning/12-24
139	1406403	other	Function word	other (190)	other (116)	http://wold.clld.org/meaning/24-11
140	496633	painful	Adjective	painful, sick (160)		http://wold.clld.org/meaning/
141	333730	the person	Noun	person/human being (53)	person (117)	http://wold.clld.org/meaning/2-1
142	619975	to plant	Verb	to plant // to grow (84 // 86)		http://wold.clld.org/meaning/8531
143	6010	to play	Verb		play (118)	http://wold.clld.org/meaning/16-26
144	6071	to pull	Verb		pull (119)	http://wold.clld.org/meaning/9-33
145	6068	to push	Verb		push (120)	http://wold.clld.org/meaning/10-67
146	3100	the rain	Noun	rain (133)	rain (121)	http://wold.clld.org/meaning/1-75
147	1333710	red	Adjective	red (149)	red (122)	http://wold.clld.org/meaning/15-66
148	478515	to reside (live)	Verb	to live, be alive (76)		http://wold.clld.org/meaning/7-11
149	436024	right	Adjective		rightside (124)	http://wold.clld.org/meaning/12-41
150	3253	the river	Noun		river (125)	http://wold.clld.org/meaning/1-36
151	3258	the road	Noun	road/path (6)	road (126)	http://wold.clld.org/meaning/10-71
152	344031	the roof	Noun	thatch/roof (62)		http://wold.clld.org/meaning/7-51
153	3269	the root	Noun	root (115)	root (127)	http://wold.clld.org/meaning/8-54
154	5465	the rope	Noun	rope (65)	rope (128)	http://wold.clld.org/meaning/9-19
155	7031	rotten (of fruits)	Adjective	rotten (112)	rotten (129)	http://wold.clld.org/meaning/5125
156	5984	round	Adjective		round (130)	http://wold.clld.org/meaning/12-81
157	6062	to rub	Verb		rub (131)	http://wold.clld.org/meaning/9-31
158	5599	the salt	Noun	salt (125)	salt (132)	http://wold.clld.org/meaning/5-81
159	3305	the sand	Noun	sand (121)	sand (133)	http://wold.clld.org/meaning/1215
160	6075	to say	Verb	to say (64)	say (134)	http://wold.clld.org/meaning/18-22
161	6047	to scratch	Verb	to scratch (77)	scratch (135)	http://wold.clld.org/meaning/4-8541
162	6154	the sea				http://wold.clld.org/meaning/1-32
163	6003	to see	Verb	to see (46)	see (137)	http://wold.clld.org/meaning/15-51
164	3361	the seed	Noun		seed (138)	http://wold.clld.org/meaning/8311
165	7004	seven	Function word	Seven (203)		http://wold.clld.org/meaning/13-07
166	6073	to sew	Verb	to sew (67)	sew (139)	http://wold.clld.org/meaning/6-35
167	5987	sharp	Adjective	sharp (81)	sharp (140)	http://wold.clld.org/meaning/15-78
168	522875	to shoot (an arrow)	Verb	to shoot (70)		http://wold.clld.org/meaning/20-62
169	6746	short	Adjective	short (154)	short (141)	http://wold.clld.org/meaning/12-59
170	6186	the shoulder	Noun	shoulder (19)		http://wold.clld.org/meaning/4-3
171	155571	shy	Adjective	shy, ashamed (161)		http://wold.clld.org/meaning/
172	7800	sick	Adjective	painful, sick (160)		http://wold.clld.org/meaning/4-84
173	5540	to sing	Verb		sing (142)	http://wold.clld.org/meaning/18-12
174	6022	to sit	Verb	to sit (51)	sit (143)	http://wold.clld.org/meaning/12-13
175	7003	six	Function word	Six (202)		http://wold.clld.org/meaning/13-06
176	3430	the skin	Noun	skin (12)	skin (144)	http://wold.clld.org/meaning/4-12
177	7039	the sky	Noun	sky (128)	sky (145)	http://wold.clld.org/meaning/1-51
178	6519	to sleep	Verb	to sleep (48)	sleep (146)	http://wold.clld.org/meaning/4-61
179	5509	small	Adjective	small (152)	small (147)	http://wold.clld.org/meaning/12-56
180	6520	to smell (perceive odor) [transitive]	Verb	to sniff, smell (29)	smell (148)	http://wold.clld.org/meaning/15-22
181	3451	the smoke	Noun	smoke (145)	smoke (149)	http://wold.clld.org/meaning/1-83
182	5487	smooth	Adjective		smooth (150)	http://wold.clld.org/meaning/15-77
183	3388	the snake	Noun	snake (106)	snake (151)	http://wold.clld.org/meaning/3-85
184	3455	the snow	Noun		snow (152)	http://wold.clld.org/meaning/1-76
185	5499	some	Function word		some (153)	http://wold.clld.org/meaning/13181
186	3588	the spider	Noun	spider (110)		http://wold.clld.org/meaning/3818
187	6051	to spit	Verb	to spit (36)	spit (154)	http://wold.clld.org/meaning/4-56
188	6048	to split	Verb	to split (80)	split (155)	http://wold.clld.org/meaning/9-27
189	6017	to squeeze	Verb	to squeeze (88)	squeeze (156)	http://wold.clld.org/meaning/9343
190	6045	to stab	Verb	to stab, pierce (71)	stab (157)	http://wold.clld.org/meaning/9223
191	6053	to stand	Verb	to stand (52)	stand (158)	http://wold.clld.org/meaning/12-15
192	6041	the star	Noun	star (130)	star (159)	http://wold.clld.org/meaning/1-54
193	336072	to steal	Verb	to steal (73)		http://wold.clld.org/meaning/21-51
194	5662	the stick	Noun	stick/wood (79)	stick (160)	http://wold.clld.org/meaning/
195	3633	the stone (a piece of)	Noun	stone (120)	stone (161)	http://wold.clld.org/meaning/1-44
196	5994	straight	Adjective		straight (162)	http://wold.clld.org/meaning/12-73
197	6027	to suck	Verb	to suck (42)	suck (163)	http://wold.clld.org/meaning/5-16
198	5850	the sun	Noun		sun (164)	http://wold.clld.org/meaning/1-52
199	6454	to swell	Verb	to swell (87)	swell (165)	http://wold.clld.org/meaning/
200	6050	to swim	Verb	to swim (9)	swim (166)	http://wold.clld.org/meaning/10-35
201	5468	the tail	Noun	tail (105)	tail (167)	http://wold.clld.org/meaning/4-18
202	6312	ten	Function word	Ten (206)		http://wold.clld.org/meaning/13-1
203	1149393	that	Function word	that (178)	that (168)	http://wold.clld.org/meaning/24-08
204	858309	there	Function word		there (169)	http://wold.clld.org/meaning/24-1
205	352331	they [third person plural]	Function word	they (187)	they (170)	http://wold.clld.org/meaning/2-96
206	5503	thick	Adjective	thick (157)	thick (171)	http://wold.clld.org/meaning/12-63
207	5990	thin	Adjective	thin (156)	thin (172)	http://wold.clld.org/meaning/12-65
208	6021	to think (reflect)	Verb	to think (21)	think (173)	http://wold.clld.org/meaning/17-13
209	5458	this	Function word	this (177)	this (174)	http://wold.clld.org/meaning/24-07
