NUMBER	GLOSS	TBL_ID	CONCEPTICON_ID
1	above	731	1741
2	all	962	98
3	bad	1053	1292
4	below, under	732	1485
5	big	964	1202
6	black	1005	163
7	cold (of temperature)	1063	1287
8	correct (right)	1045	1725
9	dark	1013	706
10	dirty	1086	1230
11	dry	1028	1398
12	early	1018	672
13	eight	804	1705
14	far	974	1406
15	firewood	534	10
16	five	801	493
17	four	800	1500
18	full		1429
19	full	984	1429
20	good	1052	1035
21	green	1009	1425
22	hard	1034	1884
23	he or she [third person singular]	934	262
24	heavy	1014	1210
25	here	944	136
26	high / tall	968	1265
27	horizontal	1001	2376
28	hot	1062	1286
29	hundred	824	1634
30	I [first person singular]	928	1209
31	inside	715	1606
32	knife	549	1352
33	late	1019	477
34	left	710	244
35	light (of weight)	1052	1052
36	long	972	1203
37	many	987	1198
38	middle	708	1093
39	morning	749	1339
40	narrow	977	1267
41	near	975	1942
42	new	1050	1231
43	nine	805	1483
44	noon	750	12
45	old (of person)	1058	2112
46	one	797	1493
47	outside	714	762
48	red	1007	156
49	right	711	1019
50	round	990	1395
51	salty	1076	1091
52	seven	803	1704
53	sharp	1020	1396
54	short	973	1645
55	shy	1365	487
56	six	802	1703
57	small	965	1246
58	smooth	1037	1234
59	soft	1035	1856
60	straight	1003	1404
61	ten	806	1515
62	that	947	78
63	the ant	365	587
64	the armpit	92	1886
65	the bamboo	389	1927
66	the barley (tibetan or highland)	411	932
67	the belly	96	1251
68	the bird	326	937
69	the blood	129	946
70	the body hair (hair or fur)	266	189
71	the bone	133	1394
72	the branch	374	1531
73	the breast (female)	94	1402
74	the child (young human)	169	1304
75	the cloud	7	1489
76	the daughter	222	1357
77	the dew	15	1977
78	the dog	289	2009
79	the dream	699	2374
80	the dust	45	2
81	the ear	81	1247
82	the earth (soil)	40	1228
83	the earthworm	363	2350
84	the egg	450	744
85	the eye	79	1248
86	the father	218	1217
87	the feather	299	1201
88	the fire	18	221
89	the fish	351	227
90	the flea	355	232
91	the flower	377	239
92	the fog	16	249
93	the foot	103	1301
94	the forest	50	420
95	the fox	325	1312
96	the frog	349	503
97	the front (front side)	712	2194
98	the frost	14	2034
99	the fruit	378	1507
100	the goat	276	1502
101	the grass	436	606
102	the hail	13	609
103	the hair (of the head)	75	1040
104	the hand	107	1277
105	the head	74	1256
106	the heart	144	1223
107	the hoof	264	152
108	the horn (keratinized skin)	263	1393
109	the horse	268	615
110	the house	494	1252
111	the husband	247	1200
112	the ice	17	617
113	the knee	101	1371
114	the lake	31	624
115	the leaf	376	628
116	the lip (the lips)	85	478
117	the liver	145	1224
118	the louse	356	1392
119	the lung	143	688
120	the man (male human)	173	2106
121	the meat	443	634
122	the moon	4	1313
123	the mosquito	360	1509
124	the mother	219	1216
125	the mountain	23	639
126	the mouse or rat	320	2139
127	the mouth	84	674
128	the mud	46	640
129	the nail (fingernail or claw)	113	2128
130	the name	687	1405
131	the neck	89	1333
132	the needle (for sewing)	578	1382
133	the nit	357	267
134	the nose	80	1221
135	the otter	317	15
136	the pig	284	1337
137	the rain	10	658
138	the rainbow	11	1733
139	the rice plant	439	2026
140	the river	30	666
141	the road	38	667
142	the root	375	670
143	the rope	619	1218
144	the salt	61	1274
145	the sand	44	671
146	the sea	32	1474
147	the seed	405	714
148	the sheep	275	1331
149	the shit	151	676
150	the shoulder	90	1482
151	the sickle	624	341
152	the skin	120	763
153	the sky	1	1732
154	the smoke	19	778
155	the snake	347	730
156	the snow	12	784
157	the son	220	1620
158	the sparrow	336	1854
159	the spider	361	843
160	the star	5	1430
161	the stick	586	1295
162	the stone (a piece of)	379	857
163	the sun	2	1343
164	the tail	267	1220
165	the thigh	100	800
166	the thunder	8	1150
167	the tiger	304	846
168	the tongue	139	1205
169	the tooth (front)	137	1380
170	the tree	372	906
171	the water	47	948
172	the wheat	410	1077
173	the wife	248	1199
174	the wind	9	960
175	the wing	298	1257
176	the wolf	324	522
177	the woman	174	962
178	the wood (material)	511	1803
179	the year	777	1226
180	there	950	1937
181	thick	980	1244
182	thin (object)	981	2307
183	this	942	1214
184	thou [second person singular]	931	1215
185	three	799	492
186	to be alive	1087	1422
187	to bite	1753	1403
188	to blow (of wind)	1738	175
189	to burn [intransitive]	1269	1428
190	to buy	1516	1869
191	to chew	1424	321
192	to come	1491	1446
193	to count	1640	1420
194	to cry (weep)	1485	1420
195	to die	1651	1494
196	to dig	1698	1418
197	to drink	1370	1401
198	to eat	1198	1336
199	to fight	1234	1423
200	to float	1553	1574
201	to flow	1502	2003
202	to fly (move through air)	1318	1441
203	to forget	1704	1523
204	to give	1345	1447
205	to hear	1682	1408
206	to hide (conceal)	1169	602
207	to hold	1709	1448
208	to hunt	1230	1435
209	to kill	1602	1417
210	to knead	1594	274
211	to know (something)	1398	1410
212	to laugh	1735	1355
213	to learn	1742	504
214	to lick	1674	319
215	to lie down	1661	215
216	to marry (a man marries a woman)	1578	2164
217	to plant (vegetals, rice)	1774	1486
218	to play	1703	1413
219	to pull	1568	1455
220	to push	1689	1452
221	to reside (live)	1452	1099
222	to run	1544	1519
223	to scratch	1530	1436
224	to see	1471	1409
225	to shoot (an arrow)	1611	1172
226	to sing	1184	1261
227	to sleep	1646	1585
228	to smell (perceive odor) [transitive]	1707	1586
229	to sow (broadcast, scatter seeds)	1597	748
230	to spit	1688	1440
231	to stand	1784	1442
232	to steal	1686	713
233	to think (reflect)	1726	1415
234	to throw	1687	1456
235	to vomit	1535	1278
236	to walk	1815	1443
237	to wipe	1163	1454
238	today	738	1283
239	tomorrow	742	1329
240	twenty	816	1710
241	two	798	1498
242	we [first person plural inclusive]	930	1131
243	wet	1029	1726
245	what	954	1236
246	where	955	1237
247	white	1006	1335
248	who	953	1235
249	yellow	1008	1424
250	yesterday	739	1174
250	you [second person plural]	933	1213
251	young	1059	1207
