NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
147	the sheep	1331	275	547048	sheep (n.)
148	the shit	676	151	546252	defecate (vt.)
149	the shoulder	1482	90	546846	shoulder (n.)
149	the shoulder	1482	90	546891	shoulder (n.)
150	the sickle	341	624	547425	sickle (n.)
151	the skin	763	120	546415	skin (n.)
151	the skin	763	120	547004	skin (n.)
152	the sky	1732	1	546251	sky (n.)
153	the smoke	778	19	546937	smoke (n.)
154	the snake	730	347		547107
155	the snow	784	12	546246	snow (n.)
156	the son	1620	220	546470	son (n.)
157	the sparrow	1854	336		
158	the spider	843	361	547044	spider (n.)
159	the star	1430	5	547473	star (n.)
160	the stick	1295	586	546797	stick (n.)
161	the stone (a piece of)	857	379	547593	stone (n.)
162	the sun	1343	2	547137	sun (n.)
163	the tail	1220	267	547229	tail (n.)
164	the thigh	800	100	547501	thigh (n.)
165	the thunder	1150	8		
166	the tiger	846	304	546298	tiger (n.)
167	the tongue	1205	139	546803	tongue (n.)
168	the tooth (front)	1380	137	547369	tooth (n.)
169	the tree	906	372	546616	tree (n.)
170	the water	948	47	547495	water (n.)
171	the wheat	1077	410	546781	wheat (n.)
172	the wife	1199	248	547581	wife (n.)
173	the wind	960	9	546286	wind (n.)
174	the wing	1257	298		
175	the wolf	522	324		
176	the woman	962	174		546485
177	the wood (material)	1803	511	547390	wood (n.)
178	the year	1226	777	547358	year (n.)
178	the year	1226	777	547614	year (n.)
179	there	1937	950	546555	there (adv.)
180	thick	1244	980		
181	thin (object)	2307	981		546895
182	this	1214	942	546606	this (pro.)
183	thou [second person singular]	1215	931		54665
184	three	492	799	547413	three (num.)
185	to be alive	1422	1087	546746	sit, live, be (vi.)
186	to bite	1403	1753		
187	to blow (of wind)	175	1738	546642	blow, sound of something falling (n.)
188	to burn [intransitive]	1428	1269	547015	burn (vi.)
189	to buy	1869	1516	546488	buy (vt.)
190	to chew	321	1424	546405	chew (vt.)
191	to come	1446	1491	547340	come (vi.)
192	to count	1420	1640	546687	count (vt.)
193	to cry (weep)	1420	1485	546687	count (vt.)
194	to die	1494	1651	547391	die, extinguish (vi.)
195	to dig	1418	1698	546959	dig (vt.)
196	to drink	1401	1370	547505	drink (vt.)
197	to eat	1336	1198	546776	eat (vt.)
198	to fight	1423	1234		
199	to float	1574	1553		
200	to flow	2003	1502		
201	to fly (move through air)	1441	1318	547574	fly (vi.)
202	to forget	1523	1704	546329	forget (vi.)
203	to give	1447	1345	546587	give (to 2nd and 3rd person) (vt.)
204	to hear	1408	1682	547620	hear (vi.)
205	to hide (conceal)	602	1169		
206	to hold	1448	1709	547550	hold, keep (vt.)
207	to hunt	1435	1230	546574	hunt, rush (vt.)
208	to kill	1417	1602	547368	kill, extinguish (vt.)
209	to knead	274	1594	547176	knead (vt.)
210	to know (something)	1410	1398	546793	know (vi.)
210	to know (something)	1410	1398	547441	know (vi.)
211	to laugh	1355	1735	547352	laugh (vi.)
212	to learn	504	1742	547536	learn (vt.)
213	to lick	319	1674	546417	lick (vt.)
213	to lick	319	1674	546447	lick (vt.)
214	to lie down	215	1661	546350	lie down (vi.)
215	to marry (a man marries a woman)	2164	1578		
216	to plant (vegetals, rice)	1486	1774	547330	plant (vt.)
217	to play	1413	1703		
218	to pull	1455	1568	546961	pull (vt.)
218	to pull	1455	1568	547032	pull (vt.)
218	to pull	1455	1568	547328	pull (vt.)
219	to push	1452	1689	546577	push (vt.)
220	to reside (live)	1099	1452		546746
221	to run	1519	1544	546374	run, go away (vi.)
221	to run	1519	1544	546355	run (vi.)
222	to scratch	1436	1530	546945	scrape (vt.)
223	to see	1409	1471	546856	see (imp. sg.) (vi.)
224	to shoot (an arrow)	1172	1611	546875	seed, sprout (n.)
225	to sing	1261	1184		546724
226	to sleep	1585	1646	546666	sleep (vi.)
227	to smell (perceive odor) [transitive]	1586	1707	547407	smell (vi.)
228	to sow (broadcast, scatter seeds)	748	1597	546344	to sow, to plough (n.)
229	to spit	1440	1688	547532	spit (vi.)
230	to stand	1442	1784	547567	stand (vi.)
231	to steal	713	1686		541960
232	to think (reflect)	1415	1726	547398	think (vi.)
233	to throw	1456	1687	547160	throw (vt.)
234	to vomit	1278	1535		542013
235	to walk	1443	1815	547612	walk (vi.)
235	to walk	1443	1815	546540	go (vi.)
236	to wipe	1454	1163	547062	wipe (vt.)
236	to wipe	1454	1163	547388	wipe (vt.)
237	today	1283	738	547520	today (adv.)
238	tomorrow	1329	742	547178	tomorrow (n.)
239	twenty	1710	816	546317	twenty (num.)
240	two	1498	798	547164	two (num.)
241	we [first person plural inclusive]	1131	930	546767	we (agentive form) (pro.)
242	wet	1726	1029	547524	wet (adj.)
243	what	1236	954	546944	what (adv.)
244	where	1237	955	546672	where (adv.)
245	white	1335	1006	547382	white (adj.)
246	who	1235	953	546705	who (sg. agentive) (pro.)
247	yellow	1424	1008	547029	yellow (adj.)
248	yesterday	1174	739	547145	yesterday (adv.)
249	you [second person plural]	1213	933	541771	
250	young	1207	1059	547455	young (adj.)
