NUMBER	GLOSS
0274	sheep (general) (noun)
0275	sheep (noun)
0276	goat (noun)
0277	lamb (noun)
0278	kid (noun)
0279	wool / fleece (noun)
0280	dung (goat, sheep) (noun)
0281	mule (noun)
0282	donkey (noun)
0283	camel (noun)
0284	pig (noun)
0285	boar (noun)
0286	sow (noun)
0287	piglet (noun)
0288	dung (pig) (noun)
0289	dog (noun)
0290	hound (noun)
0291	cat (noun)
0292	rabbit (noun)
0293	chicken (noun)
0294	cock (noun)
0295	hen (noun)
0296	chick (noun)
0297	cockscomb (noun)
0298	wing (noun)
0299	feather / plume (noun)
0300	duck (noun)
0301	goose (noun)
0302	dove (noun)
0303	animal / beast (noun)
0304	tiger (noun)
0305	lion (noun)
0306	dragon (noun)
0307	claw / talon (noun)
0308	monkey (noun)
0309	elephant (noun)
0310	leopard / panther (noun)
0311	bear (noun)
0312	boar (wild) (noun)
0313	deer (noun)
0314	muntjac / deer (barking) (noun)
0315	deer (river) (noun)
0316	musk (noun)
0317	otter (noun)
0318	porcupine (noun)
0319	hedgehog (noun)
0320	mouse (noun)
0321	squirrel (noun)
0322	weasel (yellow) (noun)
0323	jackal (noun)
0324	wolf (noun)
0325	fox (noun)
0326	bird (noun)
0327	nest (bird) (noun)
0328	kite (black-eared) / hawk (noun)
0329	sparrow hawk (noun)
0330	eagle / vulture (noun)
0331	vulture (cinereous) (noun)
0332	owl (noun)
0333	swallow (noun)
0334	goose (wild) (noun)
0335	crane (noun)
0336	sparrow (noun)
0337	bat (noun)
0338	magpie (noun)
0339	crow (noun)
0340	pheasant (noun)
0341	parrot (noun)
0342	turtledove (noun)
0343	woodpecker (noun)
0344	cuckoo (noun)
0345	peacock (noun)
0346	tortoise (noun)
0347	snake (noun)
0348	lizard (noun)
0349	frog (noun)
0350	tadpole (noun)
0351	fish (noun)
0352	scale
0353	insect / worm (noun)
0354	bedbug (noun)
0355	flea (noun)
0356	louse (noun)
0357	nit (noun)
0358	fly (noun)
0359	maggot (noun)
0360	mosquito (noun)
0361	spider (noun)
0362	centipede (noun)
0363	earthworm (noun)
0364	leech (noun)
0365	ant (noun)
0366	silkworm (noun)
0367	bee (noun)
0368	locust (noun)
0369	dragonfly (noun)
0370	butterfly (noun)
0371	snail (noun)
0372	tree (noun)
0373	trunk (noun)
0374	branch / twig (noun)
0375	root (noun)
0376	leaf (noun)
0377	flower (noun)
0378	fruit (noun)
0379	pit / stone (noun)
0380	sprout / shoot (noun)
0381	bud (noun)
0382	willow (noun)
0383	poplar (noun)
0384	fir (China) (noun)
0385	pine (noun)
0386	cypress (noun)
0387	resin / colophony (noun)
0388	torches (pine) (noun)
0389	bamboo (noun)
0390	cane / vine (noun)
0391	thorn / splinter (noun)
0392	peach (noun)
0393	pear (noun)
0394	tangerine (noun)
0395	persimmon (noun)
0396	grape (noun)
0397	chestnut (Chinese) (noun)
0398	banana (plantain) (noun)
0399	sugarcane (noun)
0400	walnut (noun)
0401	crops (noun)
0402	foodstuff / grain (noun)
0403	rice (paddy) (noun)
0404	rice (glutinous) (noun)
0405	seed (noun)
0406	seedling (rice) (noun)
0407	ear / spike (noun)
0408	straw (rice) (noun)
0409	rice (unhusked) (noun)
0410	wheat (noun)
0411	barley (noun)
0412	barley (highland) (noun)
0413	buckwheat (noun)
0414	straw (wheat) (noun)
0415	awn of wheat (noun)
0416	maize / corn (noun)
0417	millet (noun)
0418	cotton (noun)
0419	hemp (noun)
0420	vegetable (noun)
0421	radish (noun)
0422	pepper (hot) / chili (noun)
0423	onion / scallion (noun)
0424	garlic (noun)
0425	ginger (noun)
0426	potato (noun)
0427	melon / gourd (noun)
0428	pumpkin (noun)
0429	cucumber (noun)
0430	pea / bean (noun)
0431	soya bean (noun)
0432	bean (broad) (noun)
0433	pea (noun)
0434	peanut (noun)
0435	sesame (noun)
0436	grass (noun)
0437	mushroom (noun)
0438	fungus (edible) (noun)
0439	rice (noun)
0440	rice (cooked) (noun)
0441	gruel / porridge (noun)
0442	flour (noun)
0443	meat (noun)
0444	meat (lean) (noun)
0445	oil (animal) (noun)
0446	oil (vegetable) (noun)
0447	butter (noun)
0448	seed of Chinese prickly ash (noun)
0449	sugar (noun)
0450	egg (noun)
0451	soup (noun)
0452	alcoholic beverage (noun)
0453	water (boiled) (noun)
0454	tea (noun)
0455	cigarette / tobacco (noun)
0456	medicine (noun)
0457	chaff / bran (noun)
0458	wheat bran (noun)
0459	feed (pig) / pigwash (noun)
0460	fodder / feed (horse) (noun)
0461	thread (noun)
0462	cloth (noun)
0463	silk (noun)
0464	fabric (silk) (noun)
0465	fabric (satin) (noun)
0466	cloth (woollen) (noun)
0467	clothing / garment (noun)
0468	collar (noun)
0469	sleeve (noun)
0470	button (noun)
0471	pants / trousers (noun)
0472	skirt (noun)
0473	cloth (colorful, worn on the head) (noun)
0474	head-cloth / turban (noun)
0475	hat (noun)
0476	belt / girdle (noun)
0477	puttee (noun)
0478	sock / stocking (noun)
0479	shoe (noun)
0480	boot (noun)
0481	comb (noun)
0482	treasured object / treasure (noun)
0483	coral (noun)
0484	earrings (noun)
0485	necklace / necklet (noun)
0486	ring (noun)
0487	bracelet (noun)
0488	blanket (felt) (noun)
0489	cloth (Tibetan, woollen) (noun)
0490	pillow (noun)
0491	mat (noun)
0492	pad / cushion (noun)
0493	cape (for rain, of straw or palm bark) (noun)
0494	house (noun)
0495	roof (noun)
0496	eaves (noun)
0497	foundation (noun)
0498	kitchen (noun)
0499	building (noun)
0500	upstairs
0501	downstairs
0502	warehouse / storehouse (noun)
0503	shed (cow) / fence (ox) (noun)
0504	pigsty / pen (hog) (noun)
0505	stable / fence (horse) (noun)
0506	sheepfold / pen (sheep) (noun)
0507	pen (chicken) (noun)
0508	brick (noun)
0509	tile (noun)
0510	wall (noun)
0511	wood / log (noun)
0512	plank / board (noun)
0513	pillar / column (noun)
0514	door (noun)
0515	threshold (noun)
0516	door (front) / door (entrance) (noun)
0517	window (noun)
0518	beam (of building) (noun)
0519	rafter (of building) (noun)
0520	flight of steps (noun)
0521	fence (bamboo / twig) (noun)
0522	garden (plot) (noun)
0523	thing (noun)
0524	table (noun)
0525	stool / bench (noun)
0526	bed (noun)
0527	chest / box / trunk (noun)
0528	cupboard / cabinet (noun)
0529	box / case (noun)
0530	soap (noun)
0531	mirror (noun)
0532	broom (noun)
0533	light / lamp (noun)
0534	firewood (noun)
0535	charcoal (live) (noun)
0536	flint (noun)
0537	tinder (noun)
0538	steel (for flint) (noun)
0539	match (noun)
0540	torch (noun)
0541	joss stick / incense (noun)
0542	garbage / rubbish (noun)
0543	dye (stuff) (noun)
0544	stove (cooking) / range (kitchen) (noun)
0545	wok (large, iron) / pan (noun)
0546	wok (frying) (noun)
0547	lid / cover (noun)
0548	steamer (of bamboo, for food) (noun)
0549	knife (noun)
0550	handle (of a knife) (noun)
0551	ladle (noun)
0552	spoon (noun)
0553	bowl (noun)
0554	plate / dish (noun)
0555	chopsticks (noun)
0556	bottle (noun)
0557	pot / jar / tin (noun)
0558	jar (earthen) (noun)
0559	kettle / pot (noun)
0560	vat / jar (noun)
0561	bucket (noun)
0562	tray (wooden) (noun)
0563	hoop / band (noun)
0564	ladle (gourd) / dipper (wooden) (noun)
0565	trivet (noun)
0566	tongs (fire) (noun)
0567	tube (bamboo) for blowing on a fire (noun)
0568	section of bamboo used as container (noun)
0569	piece of cloth with straps for carrying a toddler (noun)
0570	steelyard / scales (noun)
0571	container for measuring grain (=1 decaliter) (noun)
0572	container (measuring, 1-liter-volume) (noun)
0573	money (noun)
0574	capital / principal (noun)
0575	goods / merchandise (noun)
0576	interest (financial) (noun)
0577	ruler (measure) (noun)
0578	needle (noun)
0579	awl (noun)
0580	nail / tack (noun)
0581	scissors (noun)
0582	ladder (noun)
0583	umbrella (noun)
0584	lock (noun)
0585	key (noun)
0586	rod / stick (noun)
0587	wheel (noun)
0588	saddle (noun)
0589	halter / bridle (noun)
0590	bellyband (noun)
0591	bit (for horse) (noun)
0592	stirrup (noun)
0593	horseshoe (noun)
0594	manger (noun)
0595	crupper-strap (noun)
0596	reins (noun)
0597	whip (noun)
0598	rack (pack) (noun)
0599	yoke (noun)
0600	ring in cow's nose used to lead it about (noun)
0601	string (oxhide) (noun)
0602	boat / ship (noun)
0603	raft (noun)
0604	tool (noun)
0605	axe (noun)
0606	hammer (noun)
0607	chisel (noun)
0608	saw (noun)
0609	drill / auger (noun)
0610	file (tool) (noun)
0611	plane (tool) (noun)
0612	marker (ink, carpenter's) (noun)
0613	glue / gum (noun)
0614	plow (noun)
0615	plowshare (noun)
0616	rake (noun)
0617	hoe (noun)
0618	pole (carrying / shoulder) (noun)
0619	rope / string (noun)
0620	wedge (noun)
0621	grip / handle (noun)
0622	basket carried on the back (noun)
0623	fertilizer / manure (noun)
0624	sickle (noun)
0625	conduit (open, for water) (noun)
0626	trip-hammer for hulling rice (noun)
0627	mortar (noun)
0628	pestle (noun)
0629	sieve / sifter (noun)
0630	fan (winnowing) (noun)
0631	millstones (noun)
0632	loom (noun)
0633	chopper (noun)
0634	sheath / scabbard (noun)
0635	gun / rifle (noun)
0636	bow (for arrow) (noun)
0637	arrow (noun)
0638	snare / trap (noun)
0639	trap / pitfall (noun)
0640	gunpowder (noun)
0641	poison / toxin (noun)
0642	net (noun)
0643	character / word (noun)
0644	letter (noun)
0645	painting (noun)
0646	book (noun)
0647	paper (noun)
0648	pen (writing instrument) (noun)
0649	ink (Chinese) (noun)
0650	learning / knowledge (noun)
0651	speech / words (noun)
0652	story (noun)
0653	proverb / saying (noun)
0654	joke / jest (noun)
0655	riddle (noun)
0656	song (noun)
0657	dance (noun)
0658	chess (noun)
0659	drum (noun)
0660	gong (noun)
0661	cymbals (noun)
0662	chime (noun)
0663	flute (bamboo) (noun)
0664	flute (bamboo, vertical) (noun)
0665	instrument (two-stringed, bowed) (noun)
0666	bell (noun)
0667	horn (woodwind) (noun)
0668	celestial being (noun)
0669	ghost / spirit (noun)
0670	spirit (evil) / demon (noun)
0671	god of rain / Dragon King (noun)
0672	Buddha (noun)
0673	soul / spirit (noun)
0674	fortune / luck (noun)
0675	strength (physical) (noun)
0676	idea / opinion (noun)
0677	matter / affair (noun)
0678	means / solution (noun)
0679	temper (noun)
0680	news / message (noun)
0681	mark / sign (noun)
0682	birthday (noun)
0683	life / livelihood (noun)
0684	gift / present (noun)
0685	age (noun)
0686	surname / name (family) (noun)
0687	name (noun)
0688	pain / agony (noun)
0689	mistake / error (noun)
0690	danger (noun)
0691	difference / distinction (noun)
0692	part / portion / share (noun)
0693	gap / crevice (noun)
0694	crack / rift / fissure (noun)
0695	mark / trace / track (noun)
0696	dregs / sediment (noun)
0697	shape / appearance (noun)
0698	shadow (noun)
0699	dream (noun)
0700	advantage / benefit (noun)
0701	use (noun)
0702	color (noun)
0703	direction / orientation (noun)
0704	east (noun)
0705	south (noun)
0706	west (noun)
0707	north (noun)
0708	middle (noun)
0709	side (noun)
0710	left
0711	right
0712	front
0713	back
