GLOSS	AMBIGUITY	COVERAGE	SOURCES
bowl (of tobacco) (lit. 'pole / shaft')		1	TBL
bowl (porcelain)		1	TBL
bowl (tea)		1	TBL
bowl (wooden)		1	TBL
box / case		1	TBL
braid / plait		1	TBL
braid / plait (female's)		1	TBL
brains		1	TBL
branch / twig		1	TBL
bray		1	TBL
break (thunderbolt)		1	TBL
break / smash (a bowl)		1	TBL
break / snap (stick)		1	TBL
break to pieces (grain)		1	TBL
break up (meeting) / end		1	TBL
break up / scatter		1	TBL
breastfeed / suckle		1	TBL
breath		1	TBL
breathe (exhale)		1	TBL
bridge (made of a few pieces of wood)		1	TBL
bridge (small)		1	TBL
bridge (vine)		1	TBL
bring up (children)		1	TBL
broken (bowls)		1	TBL
broken, be (bowls)		1	TBL
brothers		1	TBL
brothers (also 'sisters', 'brothers and sisters')		1	TBL
bucket		1	TBL
bucket (for carrying water on back)		1	TBL
bucket (of water)		1	TBL
bucket (red copper)		1	TBL
buckle / button up		1	TBL
buckle up / fasten (a belt)		1	TBL
buckwheat		1	TBL
buckwheat (flower)		1	TBL
buckwheat (tartary, hulless, duck wheat)		1	TBL
build (stove) by laying bricks, stones, etc.		1	TBL
build (wall) by laying bricks, stones, etc.		1	TBL
build by laying bricks, stones, etc.		1	TBL
building		1	TBL
bully / treat s.b. rough		1	TBL
bunch / bundle (of vegetable)		1	TBL
bundle / sheaf		1	TBL
burn the grass on wasteland		1	TBL
burnt / scorched		1	TBL
busy		1	TBL
butter		1	TBL
button		1	TBL
calf (bull-yak crossbreed)		1	TBL
calf (common or bull-yak crossbreed)		1	TBL
calf (common)		1	TBL
calf (yak)		1	TBL
call together / convene		1	TBL
called, be / named		1	TBL
called, be / named (lit. = copula)		1	TBL
camel		1	TBL
can		1	TBL
cane / vine		1	TBL
cane / vine (black)		1	TBL
cane / vine (for making rattan chairs)		1	TBL
cane / vine (herba fibraureae recisae)		1	TBL
cane / vine (tendrilled)		1	TBL
cape (for rain, of straw or palm bark)		1	TBL
capital / principal		1	TBL
careful / attentive		1	TBL
careful, be / cautious		1	TBL
carry (a child) on the back)		1	TBL
carry (loads; of pack animals)		1	TBL
carry (money) on one		1	TBL
carry (sthg.) with a pole on t		1	TBL
carve / engrave		1	TBL
castrate (cocks)		1	TBL
catch (fire) / be (on fire)		1	TBL
catch (fire) / be (on fire) (a house)		1	TBL
catch (fire) / be (on fire) (on mountain)		1	TBL
catch / capture		1	TBL
catch cold		1	TBL
cattle (bull-yak crossbreed)		1	TBL
cattle (bull-yak crossbreed, female)		1	TBL
cattle (bull-yak crossbreed, male)		1	TBL
cattle (common, female)		1	TBL
cattle (common, male)		1	TBL
cave (mountain)		1	TBL
cave / hole		1	TBL
cave in / sink		1	TBL
celebrate (the New Year)		1	TBL
celestial being		1	TBL
chaff / bran		1	TBL
chaff / bran (highland barley)		1	TBL
chaff / bran (wheat)		1	TBL
change		1	TBL
chaotic / disorderly / messy		1	TBL
character / word		1	TBL
charcoal (live)		1	TBL
charcoal (live) (burned out by wood)		1	TBL
charge / sprint (in the front)		1	TBL
chase after		1	TBL
chat		1	TBL
chess		1	TBL
chest / box / trunk		1	TBL
chestnut (Chinese)		1	TBL
chick		1	TBL
chick (newly hatched)		1	TBL
chime		1	TBL
chip (the rim)		1	TBL
chisel		1	TBL
chisel (round)		1	TBL
chisel (square)		1	TBL
chisel / bore (a hole)		1	TBL
choose / pick		1	TBL
chop (firewood)		1	TBL
chop (firewood, bamboo)		1	TBL
chop (wood)		1	TBL
chop / cut (meat)		1	TBL
chop / hew		1	TBL
chop down (trees)		1	TBL
chopsticks (term used by old people)		1	TBL
chopsticks (term used by younger people)		1	TBL
cigarette / tobacco		1	TBL
circle / circular		1	TBL
circle / circular (planar)		1	TBL
circle / circular (spherical)		1	TBL
circle / circular (tubular)		1	TBL
circle / hover / wheel		1	TBL
clarify / clear up		1	TBL
classifier for age		1	TBL
classifier for age of animals		1	TBL
classifier for age of animals (cows)		1	TBL
classifier for age of animals (horses)		1	TBL
classifier for birds		1	TBL
classifier for books		1	TBL
classifier for bowls		1	TBL
classifier for bridges		1	TBL
classifier for brooms		1	TBL
classifier for eggs		1	TBL
classifier for flags		1	TBL
classifier for flags (lit. 'pole / shaft')		1	TBL
classifier for flowers		1	TBL
classifier for garments		1	TBL
classifier for knives		1	TBL
classifier for leaves		1	TBL
classifier for letters		1	TBL
classifier for one of a pair		1	TBL
classifier for pens		1	TBL
classifier for river		1	TBL
classifier for rocks, stones		1	TBL
