135	mountain [noun]	 mountain	*hill / mountain
136	mouse or rat [noun]	-	*mouse
137	mouth [noun]	 mouth	 mouth
138	nail (fingernail or claw) [noun]	*nail (tool)	*nail
139	name [noun]	 name	 name
140	narrow	 narrow	 narrow
141	near	 near	 near
142	neck [noun]	 neck	 neck
143	needle (for sewing) [noun]	*needle	*needle
144	new	 new	 new
145	night [noun]	 night	*night, at
146	nine	 nine	 nine
147	nose [noun]	 nose	 nose
148	not	*slanting, not upright	*have, do not
149	now	 now	*three days from now
150	old (of person)	*old man	*old, be
151	one	 one	 one
152	open [verb]	*open (eye)	 open
153	other	-	*other persons
154	painful	-	-
155	person [noun]	 person	*deaf person
156	plant [verb]	 plant	*plant ash
157	play [verb]	 play	*play / amuse oneself
158	pull [verb]	 pull	*pull / tug
159	push [verb]	 push	*push / shove
160	rain [noun]	 rain	 rain
161	red	 red	 red
162	reside (live) [verb]	-	*live / reside
163	right	 right	 right
164	river [noun]	 river	 river
165	road [noun]	*road / way	 road
166	roof [noun]	-	 roof
167	root [noun]	 root	 root
168	rope [noun]	 rope	*rope / string
169	rotten (of fruits)	-	-
170	round	 round	-
171	rub [verb]	*rub (to soften animal skin)	-
172	salt [noun]	 salt	 salt
173	sand [noun]	 sand	 sand
174	say [verb]	*say / speak	-
175	scratch [verb]	 scratch	*scratch (an itch)
176	sea [noun]	 sea	 sea
177	see [verb]	 see	 see
178	seed [noun]	 seed	 seed
179	seven	 seven	 seven
180	sew [verb]	-	*sew (up)
181	sharp	 sharp	 sharp
182	shoot (an arrow) [verb]	*shoot	*sprout / shoot
183	short	 short	 short
184	shoulder [noun]	 shoulder	 shoulder
185	shy	-	*shy, be / bashful
186	sick	*ill / sick	-
187	sing [verb]	 sing	 sing
188	sit [verb]	 sit	*sit down
189	six	 six	 six
190	skin [noun]	 skin	 skin
191	sky [noun]	 sky	 sky
192	sleep [verb]	 sleep	 sleep
193	small	 small	 small
194	smell (perceive odor) [transitive] [verb]	*smell	*smell
195	smoke [noun]	 smoke	 smoke
196	smooth	 smooth	*smooth / glossy / sleek
197	snake [noun]	 snake	 snake
198	snow [noun]	 snow	 snow
199	some	-	 some
200	spider [noun]	 spider	 spider
201	spit [verb]	 spit	 spit
202	split [verb]	*split open;break	*split open / rend
203	squeeze [verb]	-	*squeeze (for milk)
204	stab [verb]	-	*jab / poke / stab
205	stand [verb]	 stand	 stand
206	star [noun]	 star	 star
207	steal [verb]	 steal	 steal
208	stick [noun]	 stick	*rod / stick
209	stone (a piece of) [noun]	*stone / pit	*stone
210	straight	 straight	 straight
211	suck [verb]	-	 suck
212	sun [noun]	 sun	 sun
213	swell [verb]	-	*expand / swell
214	swim [verb]	-	 swim
215	tail [noun]	 tail	 tail
216	ten	 ten	 ten
217	that	 that	 that
218	there	 there	 there
219	they [third person plural]	 they	 they
220	thick	 thick	 thick
221	thin	 thin	 thin
222	think (reflect) [verb]	*think	*think
223	this	 this	 this
224	thou [second person singular]	*person	-
225	three	 three	 three
226	throw [verb]	 throw	*throw / hurl
227	thunder [noun]	 thunder	 thunder
228	tie (together) [verb]	*tie (e.g. firewood)into a bund	*bind / tie up
229	tongue [noun]	 tongue	 tongue
230	tooth (front) [noun]	*tooth	*tooth
231	tree [noun]	 tree	 tree
232	turn (around) [verb]	-	*s.b.'s turn
233	twenty	 twenty	 twenty
234	two	 two	 two
235	vomit [verb]	 vomit	*throw up / vomit
236	walk [verb]	 walk	 walk
237	warm (hot)	*warm	*warm
238	wash [verb]	*wash (hand)	*wash (clothes)
239	water [noun]	 water	 water
240	we [first person plural]	 we	 we
241	wet	 wet	 wet
242	what	 what	 what
243	when	-	 when
244	where	 where	 where
245	white	 white	 white
246	who	 who	 who
247	wide	 wide	*wide / broad
248	wife [noun]	 wife	 wife
249	wind [noun]	 wind	 wind
250	wing [noun]	 wing	 wing
251	wipe	 wipe	*wipe (the table)
252	with	*blow with mouth	*make friends with
253	woman [noun]	 woman	 woman
254	wood (material) [noun]	*wood	*wood / log
255	work [noun]	*work / labor	*work / labor
256	worm [noun]	*insect / worm	*insect / worm
257	yawn [verb]	-	 yawn
258	year [noun]	 year	 year
259	yellow	 yellow	 yellow
260	you [second person plural]	*you two	 you
