1 	 above 	 ?	?
2 	 all 	 31 	 all / even
3 	 and 	 88 	 bow and arrow;bow (weapon)
4 	 animal [noun] 	 412 	 oil from animal
5 	 ashes [noun] 	 670 	 ashes
6 	 at 	 ?	?
7 	 back [noun] 	 586 	 take back
8 	 bad 	 971 	 bad
9 	 bark [noun] 	 671 	 bark
10 	 bark [verb] 	 671 	 bark
11 	 bark/the bark [verb] 	 671 	 bark
12 	 be alive [verb] 	 30 	 alive
13 	 because 	 ?	?
14 	 belly [noun] 	 976 	 belly
15 	 below, under 	 ?	?
16 	 big 	 681 	 big
17 	 bird [noun] 	 977 	 bird
18 	 bite [verb] 	 978 	 bite
19 	 black 	 980 	 black
20 	 blood [noun] 	 982 	 blood
21 	 blow [verb] 	 76 	 blow (of wind)
22 	 blunt 	 685 	 blunt
23 	 bone [noun] 	 ?	?
24 	 branch [noun] 	 691 	 branch
25 	 breast [noun] 	 986 	 breast
26 	 breathe [verb] 	 ?	?
27 	 burn (intransitive) [verb] 	 ?	?
28 	 burn [transitive] [verb] 	 ?	?
29 	 buy [verb] 	 992 	 buy
30 	 chew [verb] 	 707 	 chew
31 	 child (descendant) [noun] 	 998 	 child
32 	 child (young human [noun] 	 998 	 child
33 	 choose [verb] 	 ?	?
34 	 claw [noun] 	 712 	 claw
35 	 climb [verb] 	 ?	?
36 	 cloud [noun] 	 1002 	 cloud
37 	 cold (of temperature) 	 717 	 cold
38 	 come [verb] 	 1004 	 come
39 	 cook [verb] 	 718 	 cook / boil (rice)
40 	 correct (right) 	 881 	 right / correct
41 	 count [verb] 	 719 	 count
42 	 cry [verb] 	 161 	 cry out / yell
43 	 cut [verb] 	 162 	 cut
44 	 day (opposed to night) [noun] 	 171 	 day(time)
45 	 die [verb] 	 1013 	 die
46 	 dig [verb] 	 1015 	 dig
47 	 dirty 	 1016 	 dirty
48 	 dog [noun] 	 1017 	 dog
49 	 dream [noun] 	 1019 	 dream
50 	 drink [verb] 	 1020 	 drink
51 	 dry 	 1022 	 dry
52 	 dull 	 ?	?
53 	 dust [noun] 	 ?	?
54 	 ear [noun] 	 1024 	 ear
55 	 earth (soil) [noun] 	 744 	 earth
56 	 eat [verb] 	 1028 	 eat
57 	 egg [noun] 	 1029 	 egg
58 	 eight 	 1030 	 eight
59 	 eye [noun] 	 1036 	 eye
60 	 fall [verb] 	 193 	 drop / fall
61 	 far 	 752 	 far
62 	 fat (grease) [noun] 	 225 	 fat (beef)
63 	 fat (obese) 	 225 	 fat (beef)
64 	 father [noun] 	 1039 	 father
65 	 fear (be afraid) [verb] 	 756 	 fear
66 	 feather [noun] 	 757 	 feather
67 	 female 	 528 	 skirt male; skirt female
68 	 few 	 358 	 little / few
69 	 fight [verb] 	 1042 	 fight
70 	 fire [noun] 	 1044 	 fire
71 	 fish [noun] 	 1046 	 fish
72 	 five 	 1047 	 five
73 	 float [verb] 	 761 	 float
74 	 flow [verb] 	 762 	 flow
75 	 flower [noun] 	 1050 	 flower
76 	 fly (move through air) [verb] 	 1051 	 fly
77 	 fog [noun] 	 764 	 fog
78 	 foot [noun] 	 1052 	 foot
79 	 forest [noun] 	 ?	?
80 	 four 	 1056 	 four
81 	 freeze [verb] 	 ?	?
82 	 fruit [noun] 	 1060 	 fruit
83 	 full 	 1061 	 full
84 	 give [verb] 	 682 	 birth, give
85 	 good 	 1066 	 good
86 	 grass [noun] 	 1069 	 grass
87 	 green 	 1070 	 green
88 	 grow [verb] 	 1071 	 grow
89 	 hair [noun] 	 284 	 hair / fur
90 	 hand [noun] 	 1073 	 hand
91 	 he or she [third person singular] 	 856 	 person
92 	 head [noun] 	 1076 	 head
93 	 hear [verb] 	 357 	 listen; hear
94 	 heart [noun] 	 1077 	 heart
95 	 heavy 	 1078 	 heavy
96 	 here 	 1081 	 here
97 	 hide (conceal) [verb] 	 786 	 hide
98 	 hit [verb] 	 300 	 hit / beat
99 	 hold [verb] 	 279 	 grip / hold
100 	 horn (keratinized skin) [noun] 	 1084 	 horn
101 	 house [noun] 	 1087 	 house
102 	 how 	 314 	 how many / much
103 	 hundred 	 1088 	 hundred
104 	 hunt [verb] 	 1089 	 hunt
105 	 husband [noun] 	 1090 	 husband
106 	 I [first person singular] 	 967 	 I
107 	 ice [noun] 	 793 	 ice
108 	 if 	 ?	?
109 	 in 	 849 	 past, in the
110 	 intestines [noun] 	 798 	 intestines
111 	 kill [verb] 	 1096 	 kill
112 	 knee [noun] 	 ?	?
113 	 knife 	 1097 	 knife
114 	 know [verb] 	 1098 	 know
115 	 lake [noun] 	 1100 	 lake
116 	 laugh [verb] 	 805 	 laugh
117 	 leaf [noun] 	 1103 	 leaf
118 	 left 	 807 	 left
119 	 leg [noun] 	 808 	 leg
120 	 lick [verb] 	 810 	 lick
121 	 lick/to suck [verb] 	 ?	?
122 	 lie down [verb] 	 ?	?
123 	 lie, rest [verb] 	 877 	 rest
124 	 lightning [noun] 	 ?	?
125 	 liver [noun] 	 1109 	 liver
126 	 long 	 1110 	 long
127 	 louse [noun] 	 1112 	 louse
128 	 male 	 ?	?
129 	 man [noun] 	 1132 	 old man
130 	 many 	 822 	 many / much
131 	 meat [noun] 	 376 	 meat / flesh
132 	 moon [noun] 	 1117 	 moon
133 	 mosquito [noun] 	 1119 	 mosquito
134 	 mother [noun] 	 1120 	 mother
