ID	GLOSS	?	?
394 	slow 	?	?
400 	soft 	?	?
401 	son 	?	?
402 	song 	?	?
403 	sour 	?	?
404 	south 	?	?
405 	sparrow 	?	?
412 	sugar 	?	?
413 	summer 	?	?
415 	swallow 	?	?
416 	sweat 	?	?
417 	sweep 	?	?
418 	sweet 	?	?
419 	table 	?	?
421 	teach 	?	?
427 	thigh 	?	?
429 	thing 	?	?
432 	thread 	?	?
433 	throat 	?	?
435 	tiger 	?	?
436 	time 	?	?
437 	today 	?	?
438 	tomorrow 	?	?
442 	true 	?	?
444 	ugly 	?	?
445 	understand 	?	?
446 	urine 	?	?
447 	use 	?	?
448 	vegetable 	?	?
449 	village 	?	?
450 	waist 	?	?
451 	wait 	?	?
453 	wall 	?	?
456 	well 	?	?
457 	west 	?	?
462 	window 	?	?
464 	winter 	?	?
465 	wolf 	?	?
467 	wrap 	?	?
468 	write 	?	?
471 	yesterday 	?	?
472 	yoke 	?	?
474 	young 	?	?
