1 	 February 	 ?	?
2 	 January 	 ?	?
3 	 ant 	 116 	 ant
4 	 armpit 	 388 	 armpit
5 	 barley 	 ?	?
6 	 bat 	 ?	?
7 	 bear 	 ?	?
8 	 bedbug 	 119 	 bedbug
9 	 bell 	 ?	?
10 	 blue 	 ?	?
11 	 boar 	 ?	?
12 	 bottle 	 285 	 bottle
13 	 bowl 	 ?	?
14 	 brick 	 ?	?
15 	 bright 	 718 	 bright
16 	 buckwheat (sweet) 	 ?	?
17 	 buttocks 	 396 	 buttocks
18 	 calculate 	 ?	?
19 	 calf 	 ?	?
20 	 carpenter 	 ?	?
21 	 cattle (common) 	 79 	 cattle
22 	 chopper 	 ?	?
23 	 chopsticks 	 279 	 chopsticks
24 	 classifier for people 	 ?	?
25 	 classifier for trees 	 ?	?
26 	 clear (water) 	 741 	 transparent // clear
27 	 cliff 	 ?	?
28 	 coal 	 55 	 coal
29 	 crops 	 ?	?
30 	 crow 	 74 	 crow
31 	 dare 	 ?	?
32 	 daughter-in-law 	 ?	?
33 	 deer 	 ?	?
34 	 doctor 	 ?	?
35 	 donkey 	 88 	 donkey // ass
36 	 dragon 	 ?	?
37 	 dragon (sky) 	 ?	?
38 	 dragonfly 	 112 	 dragonfly
39 	 drop 	 ?	?
40 	 dye 	 591 	 dye (hair)
41 	 earthworm 	 108 	 earthworm
42 	 exchange 	 ?	?
43 	 excrement 	 ?	?
44 	 expensive 	 753 	 expensive
45 	 eyebrow 	 ?	?
46 	 fart 	 ?	?
47 	 father-in-law 	 438 	 wife's father // father-in-law
48 	 firewood 	 286 	 firewood
49 	 fist 	 ?	?
50 	 forearm 	 ?	?
51 	 fox 	 ?	?
52 	 front 	 465 	 front // front side
53 	 frost 	 7 	 frost
54 	 future 	 ?	?
55 	 gong 	 ?	?
56 	 goose 	 97 	 goose
57 	 granddaughter 	 463 	 granddaughter
58 	 grandson 	 462 	 grandson
59 	 grape 	 169 	 grape
60 	 guest 	 ?	?
61 	 gunpowder 	 ?	?
62 	 hail 	 10 	 hail
63 	 hat 	 227 	 hat
64 	 high / tall 	 691 	 high
65 	 horizontal 	 712 	 horizontal
66 	 host 	 ?	?
67 	 inch 	 ?	?
68 	 inside 	 467 	 in // inside
69 	 knead (dough) 	 516 	 knead
70 	 kneel 	 ?	?
71 	 leak 	 ?	?
72 	 light 	 721 	 light (of weight)
73 	 lock 	 295 	 lock
74 	 lose (a game) 	 ?	?
75 	 lung 	 ?	?
76 	 maggot 	 ?	?
77 	 magpie 	 75 	 magpie
78 	 manage 	 611 	 manage
79 	 marry (a woman) 	 635 	 marry (of a man)
80 	 match 	 302 	 match
81 	 measure 	 ?	?
82 	 medicine 	 632 	 buy Chinese medicine
83 	 mirror 	 ?	?
84 	 monkey 	 67 	 monkey
85 	 month 	 ?	?
86 	 mortar 	 ?	?
87 	 mother-in-law 	 439 	 wife's mother // mother-in-law
88 	 mule 	 89 	 mule
89 	 mushroom 	 ?	?
90 	 mute 	 409 	 mute person
91 	 nineteen 	 ?	?
92 	 ninety 	 ?	?
93 	 nit 	 ?	?
94 	 oppose 	 ?	?
95 	 pants / trousers 	 224 	 trousers
96 	 paper 	 361 	 paper
97 	 pea 	 ?	?
98 	 peach 	 164 	 peach
99 	 peanut 	 147 	 peanut
100 	 pencil 	 861 	 pencil (cls for business deals)
101 	 persimmon 	 ?	?
102 	 pestle 	 ?	?
103 	 pheasant 	 ?	?
104 	 pick up 	 ?	?
105 	 pig 	 84 	 male pig
106 	 pine 	 ?	?
107 	 plait 	 ?	?
108 	 pointed 	 ?	?
109 	 pond 	 19 	 pond // pool
110 	 potato 	 150 	 potato
111 	 protect 	 ?	?
112 	 pus 	 ?	?
113 	 rabbit 	 68 	 rabbit // hare
114 	 remember 	 ?	?
115 	 return 	 ?	?
116 	 ring 	 ?	?
117 	 saddle 	 ?	?
118 	 salty 	 764 	 salty
119 	 scold 	 616 	 shout // scold
120 	 set (of the sun) 	 ?	?
121 	 side 	 472 	 side
122 	 sixteen 	 ?	?
123 	 sixty 	 ?	?
124 	 sleeve 	 239 	 sleeve
125 	 soap 	 303 	 soap
126 	 soldier 	 ?	?
127 	 son-in-law 	 458 	 son-in-law
128 	 soul / spirit 	 ?	?
129 	 soup 	 198 	 soup
130 	 spring (water) 	 ?	?
131 	 stir-fry 	 ?	?
132 	 stomach 	 ?	?
133 	 stupid 	 781 	 stupid
134 	 sugarcane 	 ?	?
135 	 tell 	 ?	?
136 	 temple 	 ?	?
137 	 thirteen 	 ?	?
138 	 thirty 	 ?	?
139 	 thousand 	 ?	?
140 	 tile 	 ?	?
141 	 tin 	 54 	 tin
142 	 twelve 	 ?	?
143 	 wake up 	 ?	?
144 	 wedge 	 ?	?
145 	 wheat 	 139 	 wheat
146 	 whip 	 ?	?
147 	 willow 	 ?	?
148 	 win 	 645 	 win
149 	 winnow 	 ?	?
150 	 wither 	 ?	?
151 	 arm 	 389 	 arm
152 	 arrive 	 ?	?
153 	 arrow 	 ?	?
154 	 bamboo 	 335 	 bamboo
155 	 beard 	 ?	?
156 	 beautiful 	 778 	 goodlooking // beautiful
157 	 bed 	 269 	 bed
158 	 bitter 	 ?	?
159 	 bladder 	 ?	?
160 	 body 	 ?	?
161 	 book 	 359 	 book
162 	 bracelet 	 ?	?
163 	 bridge 	 357 	 bridge
164 	 broom 	 306 	 broom
165 	 bud 	 844 	 bud (cls for flower)
166 	 bull 	 80 	 bull
167 	 butterfly 	 111 	 butterfly
168 	 cat 	 91 	 cat
169 	 centipede 	 121 	 centipede
170 	 cheap 	 754 	 cheap
171 	 chest 	 ?	?
172 	 chicken 	 485 	 chicken nest
173 	 chin 	 ?	?
174 	 clean 	 738 	 clean
175 	 cloth 	 630 	 buy cloth
176 	 comb 	 ?	?
177 	 copper 	 50 	 copper // brass // bronze
