135 	 mountain [noun] 	 847 	 hill / mountain
136 	 mouse or rat [noun] 	 2129 	 mouse
137 	 mouth [noun] 	 2409 	 mouth
138 	 nail (fingernail or claw) [noun] 	 1134 	 nail
139 	 name [noun] 	 2411 	 name
140 	 narrow 	 2412 	 narrow
141 	 near 	 2413 	 near
142 	 neck [noun] 	 2414 	 neck
143 	 needle (for sewing) [noun] 	 2415 	 needle
144 	 new 	 2416 	 new
145 	 night [noun] 	 1148 	 night, at
146 	 nine 	 2136 	 nine
147 	 nose [noun] 	 2419 	 nose
148 	 not 	 833 	 have, do not
149 	 now 	 1750 	 three days from now
150 	 old (of person) 	 1170 	 old, be
151 	 one 	 2140 	 one
152 	 open [verb] 	 2141 	 open
153 	 other 	 1188 	 other persons
154 	 painful 	 ?	?
155 	 person [noun] 	 2039 	 deaf person
156 	 plant [verb] 	 1287 	 plant ash
157 	 play [verb] 	 1289 	 play / amuse oneself
158 	 pull [verb] 	 1332 	 pull / tug
159 	 push [verb] 	 1340 	 push / shove
160 	 rain [noun] 	 2426 	 rain
161 	 red 	 2430 	 red
162 	 reside (live) [verb] 	 1003 	 live / reside
163 	 right 	 2176 	 right
164 	 river [noun] 	 2433 	 river
165 	 road [noun] 	 2179 	 road
166 	 roof [noun] 	 2180 	 roof
167 	 root [noun] 	 2434 	 root
168 	 rope [noun] 	 1436 	 rope / string
169 	 rotten (of fruits) 	 ?	?
170 	 round 	 ?	?
171 	 rub [verb] 	 ?	?
172 	 salt [noun] 	 2437 	 salt
173 	 sand [noun] 	 2438 	 sand
174 	 say [verb] 	 ?	?
175 	 scratch [verb] 	 1462 	 scratch (an itch)
176 	 sea [noun] 	 2441 	 sea
177 	 see [verb] 	 2442 	 see
178 	 seed [noun] 	 2443 	 seed
179 	 seven 	 2445 	 seven
180 	 sew [verb] 	 1493 	 sew (up)
181 	 sharp 	 2450 	 sharp
182 	 shoot (an arrow) [verb] 	 1598 	 sprout / shoot
183 	 short 	 2453 	 short
