ID	rn	reflex	GLOSS	x	srcabbr	lgid	language	srcid
60	465209	al-nam-a	generous (vi)		RB-LMMG	1945	Garo (Bangladesh)	7.724-II:idx
61	465210	al-pat	rake (n)		RB-LMMG	1945	Garo (Bangladesh)	5.438-II:idx
62	465211	al-si-a	lazy (vi)		RB-LMMG	1945	Garo (Bangladesh)	7.94-II:idx
63	465212	al-tu-a	easy (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.75-II:idx
64	465213	al-u-gu-ta	potatoes (n)		RB-LMMG	1945	Garo (Bangladesh)	5.27-II:idx
65	465214	am	mat (n)		RB-LMMG	1945	Garo (Bangladesh)	5.852-II:idx
66	465215	a-ma	mother (n)		RB-LMMG	1945	Garo (Bangladesh)	6.612-II:idx
67	465216	a-ma	principal (n)		RB-LMMG	1945	Garo (Bangladesh)	8.442-II:idx
68	465217	am-a	roar (vi)		RB-LMMG	1945	Garo (Bangladesh)	4.476-II:idx
69	465218	a-ma gal-a	lose (vph)		RB-LMMG	1945	Garo (Bangladesh)	8.442-II:idx
70	465219	a-ma-a-pa	parents (n)		RB-LMMG	1945	Garo (Bangladesh)	6.62-II:idx
71	465220	am-bi	grandmother (n)		RB-LMMG	1945	Garo (Bangladesh)	6.612-II:idx
72	465221	am-bi-at-chu	ancestors (n)		RB-LMMG	1945	Garo (Bangladesh)	6.62-II:idx
73	465222	am-bin-o	tomorrow (lw)		RB-LMMG	1945	Garo (Bangladesh)	2.65-II:idx
74	465223	a-mik-ka	someone (pro)		RB-LMMG	1945	Garo (Bangladesh)	1.64-II:idx
75	465224	a-min	glue (n)		RB-LMMG	1945	Garo (Bangladesh)	5.835-II:idx
76	465225	-a-ming	past tense (ts)		RB-LMMG	1945	Garo (Bangladesh)	0.312-II:idx
77	465226	am•-pang	thatch (n)		RB-LMMG	1945	Garo (Bangladesh)	5.632-II:idx
78	465227	am•-pang-man-di	thatching grass (n)		RB-LMMG	1945	Garo (Bangladesh)	4.652-II:idx
79	465228	am-pat-ti	gizzard (n)		RB-LMMG	1945	Garo (Bangladesh)	4.471-II:idx
80	465229	a-mu-a	offering; sacrifice (vt)		RB-LMMG	1945	Garo (Bangladesh)	8.562-II:idx
81	465230	a-mul	era; period (n)		RB-LMMG	1945	Garo (Bangladesh)	2.51-II:idx
82	465231	a-mut-a	accuse (vt)		RB-LMMG	1945	Garo (Bangladesh)	7.36-II:idx
83	465232	an-a	spread (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.62-II:idx
84	465233	a-na-ri	outsider (n)		RB-LMMG	1945	Garo (Bangladesh)	1.64-II:idx
85	465234	a-na-ros	pineapple (n)		RB-LMMG	1945	Garo (Bangladesh)	5.23-II:idx
86	465235	an-dal-a	dark (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.558-II:idx
87	465236	-ang-	away (aa)		RB-LMMG	1945	Garo (Bangladesh)	9.312-II:idx
88	465237	ang-a	I (pro)		RB-LMMG	1945	Garo (Bangladesh)	1.62-II:idx
89	465238	ang-bak	kinsman (n)		RB-LMMG	1945	Garo (Bangladesh)	6.634-II:idx
90	465239	ang-de	child (n)		RB-LMMG	1945	Garo (Bangladesh)	6.617-II:idx
91	465240	ang-gal	ash; charcoal (n)		RB-LMMG	1945	Garo (Bangladesh)	5.421-II:idx
92	465241	ang-gri	nephew (n)		RB-LMMG	1945	Garo (Bangladesh)	6.617-II:idx
93	465242	ang-gur	grape (n)		RB-LMMG	1945	Garo (Bangladesh)	5.23-II:idx
94	465243	ang-gut	ring; ring for finger (n)		RB-LMMG	1945	Garo (Bangladesh)	6.564-II:idx
95	465244	ang-jik	wife (n)		RB-LMMG	1945	Garo (Bangladesh)	6.615-II:idx
96	465245	ang-jong	brother, younger; cousin brother (n)		RB-LMMG	1945	Garo (Bangladesh)	6.614-II:idx
97	465246	ang-sa-du	brother in law, (WiSiHu) (n)		RB-LMMG	1945	Garo (Bangladesh)	6.614-II:idx
