ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
160	the rice plant	1855	rice plant (n)	4
161	right	1320	appropriate; correct; right; suitable (vi)	4
162	the river	560	river (n)	4
163	the road	2270	road (n)	4
164	the root	1284	root (n)	4
165	the rope	849	rope; string (n)	4
166	round	1122	round; spherical (vi)	4
166	round	2709	round (vi)	4
167	to run	1535	run; run away (vi)	4
168	the salt	1486	salt (n)	4
169	salty		!	
170	the sand	1185	sand (n)	4
171	to scratch	458	scratch (vt)	4
172	the sea		!	
173	to see	2036	appear; dream about; look like; see (vt)	4
174	the seed	381	seed (n)	4
175	seven	2579	seven (num)	4
176	sharp	708	sharp (vi)	4
177	the sheep	821	sheep (n)	4
177	the sheep	279	sheep (n)	4
178	to shoot (an arrow)	1042	broadcast; cast; plant; shoot; throw (vt)	4
179	short	1509	short (vi)	4
180	the shoulder	2118	shoulder (n)	4
181	shy		!	
182	the sickle	1536	sickle (n)	4
183	to sing	2343	sing (n)	4
184	six	795	six (num)	4
185	the skin	307	leather; skin (n)	4
186	the sky	2552	sky (n)	4
187	to sleep	657	sleep (vi)	4
187	to sleep	2827	sleep (vi)	4
188	small	2386	small (vi)	4
189	to smell (perceive odor) [transitive]	2564	smell; sniff (vt)	4
190	the smoke	2855	smoke (n)	4
191	smooth	1962	smooth (vi)	4
192	the snake	599	snake (n)	4
193	the snow	442	ice; snow (n)	4
194	soft	1913	soft; tender (vi)	4
195	the son	734	son (n)	4
196	the sparrow	515	sparrow (n)	4
197	the spider	1116	spider (n)	4
198	to spit	2679	spit (vt)	4
199	to stand	500	stand (vi)	4
199	to stand	494	stand (vi)	4
200	the star	123	star (n)	4
201	to steal	628	steal (vt)	4
202	the stick	935	stalk; stick (n)	4
203	the stone (a piece of)	2394	rock; stone (n)	4
204	straight	758	straight (vi)	4
205	the sun	2442	sun; day; daytime (n)	4
206	the tail	1587	tail (n)	4
207	ten	581	ten (num)	4
208	that	2830	that (dem)	4
209	there	2834	there (dem)	4
210	thick	533	thick (vi)	4
210	thick	741	thick (vi)	4
211	the thigh		!	
212	thin (object)	772	thin (adv)	4
213	to think (reflect)	514	believe; suppose; think (vt)	4
214	this	1243	this (dem)	4
215	thou [second person singular]	1967	
216	three	1035	third; three (num)	4
217	to throw	1042	broadcast; cast; plant; shoot; throw (vt)	4
218	the thunder	1121	thunder (vi)	4
219	the tiger	1814	leopard; tiger (n)	4
220	today	711	today (n)	4
221	tomorrow	73	tomorrow (lw)	4
222	the tongue		!	
223	the tooth (front)	2837	tooth (n)	4
224	the tree	411	tree (n)	4
225	twenty	1633	twenty (num)	4
226	two	990	second; two (num)	4
227	to vomit	572	vomit (vi)	4
228	to walk	2275	roam; walk; wander (vi)	4
229	the water	555	liquid; water (n)	4
230	we [first person plural inclusive]	594	we (pro)	4
231	wet	2649	wet (vi)	4
232	what	147	what? (qw)	4
233	the wheat	1060	wheat (n)	4
234	where	224	where (qw)	4
235	white	993	white (vi)	4
236	who	2433	who? (qw)	4
237	the wife	1404	wife (n)	4
238	the wind	201	breeze; wind (n)	4
239	the wing	1090	feather; wing (n)	4
240	to wipe		!	
241	the wolf		!	
242	the woman	1831	woman (n)	4
243	the wood (material)	408	wood (n)	4
244	to sow (broadcast, scatter seeds)	1042		
245	the year	346	year (n)	4
246	yellow	2330	yellow (vi)	4
247	yesterday	1840	yesterday (n)	4
248	you [second person plural]	1997	
249	young	2190	child; interest, monetary; young (n)	4
250	the shit	1548	
