1	Garo	Garo (Bangladesh)	467587	sak-a-o	s a k a o	above; beyond; on top	above	1741
2	Garo	Garo (Bangladesh)	467795	sop	s o p	all	all	98
4	Garo	Garo (Bangladesh)	466649	ka•-ma	k a • m a	below; under	below, under	1485
5	Garo	Garo (Bangladesh)	465835	dal•-a	d a l • a	big; large	big	1202
5	Garo	Garo (Bangladesh)	466888	-ma	m a	big; large	big	1202
6	Garo	Garo (Bangladesh)	466163	gi-sim	g i s i m	black	black	163
7	Garo	Garo (Bangladesh)	465731	chik-jim-a	c h i k j i m a	cold	cold (of temperature)	1287
7	Garo	Garo (Bangladesh)	467718	sin•-a	s i n • a	cold	cold (of temperature)	1287
8	Garo	Garo (Bangladesh)	466639	kak-ket	k a kk e t	correct; true	correct (right)	1725
9	Garo	Garo (Bangladesh)	465235	an-dal-a	a n d a l a	dark	dark	706
10	Garo	Garo (Bangladesh)	466645	kal-si-a	k a l s i a	dirty	dirty	1230
11	Garo	Garo (Bangladesh)	467395	ram-a	r a m a	dry	dry	1398
12	Garo	Garo (Bangladesh)	467878	ta-ra-ta-ri	t a r a t a r i	early; quickly	early	672
13	Garo	Garo (Bangladesh)	465703	-chet	c h e t	eight	eight	1705
14	Garo	Garo (Bangladesh)	465691	chel•-a	c h e l • a	distant; far	far	1406
15	Garo	Garo (Bangladesh)	466283	ha•-bol	h a • b o l	firewood	firewood	10
17	Garo	Garo (Bangladesh)	465206	al-i-	a l i	four	four	1500
17	Garo	Garo (Bangladesh)	465605	-bri	b r i	four	four	1500
18	Garo	Garo (Bangladesh)	467233	ok-ka-a	o kk aa	full of; satisfied	full	1429
18	Garo	Garo (Bangladesh)	466085	gap-a	g a p a	full	full	1429
19	Garo	Garo (Bangladesh)	467130	nam-a	n a m a	good	good	1035
20	Garo	Garo (Bangladesh)	467869	tang-sik-a	t a n g s i k a	green	green	1425
22	Garo	Garo (Bangladesh)	465438	bi-a	b i a	he; she	he or she [third person singular]	262
23	Garo	Garo (Bangladesh)	465800	chrim-a	c h r i m a	heavy	heavy	1210
24	Garo	Garo (Bangladesh)	466416	i•-no	i • n o	here	here	136
25	Garo	Garo (Bangladesh)	465807	chu-a-a	c h u aa	high	high / tall	1265
27	Garo	Garo (Bangladesh)	465911	ding•-a	d i n g • a	hot	hot	1286
27	Garo	Garo (Bangladesh)	466099	gek-gek	g e k g e k	hot	hot	1286
28	Garo	Garo (Bangladesh)	467516	rit-cha-sa	r i t c h a s a	hundred	hundred	1634
29	Garo	Garo (Bangladesh)	465237	ang-a	a n g a	I	I [first person singular]	1209
30	Garo	Garo (Bangladesh)	467190	ning•-a	n i n g • a	inside	inside	1606
31	Garo	Garo (Bangladesh)	465816	chu-ri	c h u r i	knife	knife	1352
32	Garo	Garo (Bangladesh)	466359	ha-rim-a	h a r i m a	delayed; late	late	477
33	Garo	Garo (Bangladesh)	466454	jak-a-si	j a k + a + s i	left	left	244
34	Garo	Garo (Bangladesh)	466526	ja-seng-a	j a s e n g a	light	light (of weight)	1052
35	Garo	Garo (Bangladesh)	467519	ro•-a	r o • a	long	long	1203
36	Garo	Garo (Bangladesh)	465362	bang•-a	b a n g • a	many; much	many	1198
37	Garo	Garo (Bangladesh)	466507	jang-chi	j a n g c h i	half way; middle	middle	1093
38	Garo	Garo (Bangladesh)	468006	wal-ni	w a l n i	morning	morning	1339
39	Garo	Garo (Bangladesh)	465255	ap-chon-a	a p c h o n a	narrow	narrow	1267
39	Garo	Garo (Bangladesh)	465260	ap-si-si	a p s i s i	narrow	narrow	1267
40	Garo	Garo (Bangladesh)	467659	se-pang	s e p a n g	near	near	1942
41	Garo	Garo (Bangladesh)	466166	git-al	g i t a l	new	new	1231
42	Garo	Garo (Bangladesh)	467757	-sku	s k u	nine	nine	1483
43	Garo	Garo (Bangladesh)	467605	sal-jat-chi	s a l j a t c h i	noon	noon	12
44	Garo	Garo (Bangladesh)	466169	git-cham	g i t c h a m	old	old (of person)	2112
44	Garo	Garo (Bangladesh)	467226	o-chol	o c h o l	lame; old	old (of person)	2112
