ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
87	473240	atha	half	n	SVB-GA	1973	Atong	
88	473241	athom	stomach	n	SVB-GA	1973	Atong	
89	473242	atong	what?	interr	SVB-GA	1973	Atong	
90	473243	Atong	Atong language, Atong person	n	SVB-GA	1973	Atong	
91	473244	atongba	something	prof	SVB-GA	1973	Atong	
92	473245	atongtykyi	How?, How come?, Why?		SVB-GA	1973	Atong	
93	473246	atyw	interjection of surprise	interj	SVB-GA	1973	Atong	
94	473247	awa	father	n	SVB-GA	1973	Atong	
95	473248	awan	winnowing basket	n	SVB-GA	1973	Atong	
96	473249	awan-	forget	v	SVB-GA	1973	Atong	
97	473250	a◦wang	1. uncle: father's younger brother, 2. what children call their stepfather	n	SVB-GA	1973	Atong	
98	473251	awyi	grandmother	n	SVB-GA	1973	Atong	
99	473252	-ba	additive/emphatic enclitic: and, also, too; indeed	encl.phr	SVB-GA	1973	Atong	
100	473253	-ba	clausal enclitic: additive/emphatic suffix on main clauses: also, too; indeed	encl.cl	SVB-GA	1973	Atong	
101	473254	-ba	indefinite enclitic on dependent locative clauses: whenever	encl.cl	SVB-GA	1973	Atong	
102	473255	ba(•)-	born	be v.	SVB-GA	1973	Atong	
103	473256	ba•-	carry a child	v	SVB-GA	1973	Atong	
104	473257	baba	father, daddy, dad	n	SVB-GA	1973	Atong	
105	473258	babaji	fortune teller	n	SVB-GA	1973	Atong	
106	473259	babelsi	kitchen	n	SVB-GA	1973	Atong	
107	473260	babylsi	kitchen	n	SVB-GA	1973	Atong	
108	473261	babu	child or baby (used to call a small child or baby)	n	SVB-GA	1973	Atong	
109	473262	Babyra	supreme god	n	SVB-GA	1973	Atong	
110	473263	bada	bunch	n	SVB-GA	1973	Atong	
111	473264	badai-	cross beyond the limit, to pass a certain point	v	SVB-GA	1973	Atong	
112	473265	badal-	unfold	v	SVB-GA	1973	Atong	
113	473266	badym	paddy field, wet rice field	n	SVB-GA	1973	Atong	
114	473267	badyng-	trade, to deal in, to do business in	v	SVB-GA	1973	Atong	
115	473268	bagan	garden	n	SVB-GA	1973	Atong	
