NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
29	I [first person singular]	1209	928	72471	I, me.
#<<<
1	above	1741	731	73708	above, up
1	above	1741	731	73821	on top of, on, onto, above
1	above	1741	731	148129	above, upward, in an upward direction.
#>>>
2	all	98	962	72897	all, everything, everyone.
#<<<
3	bad	1292	1053	72900	beautiful, comely, good, nice
3	bad	1292	1053	73216	good, be alright, be fine (be v.)
3	bad	1292	1053	148135	(of beer) good, full, aromatic, fragrant, strong, wholesome
#>>>
4	below, under	1485	732		???
#<<<
5	big	1202	964	72685	big, large
5	big	1202	964	73705	large, wooden pestle
5	big	1202	964	73044	large, edible frog
5	big	1202	964	147888	whistling thrush, ;Myiophoneus caeruleus, a large (n)
#>>>
6	black	163	1005	72874	black
#<<<
7	cold (of temperature)	1287	1063	72669	cold (of liquids)
7	cold (of temperature)	1287	1063	72899	cold, cough
7	cold (of temperature)	1287	1063	72668	cold, chill
#>>>
8	correct (right)	1725	1045		???
#<<<
9	dark	706	1013	73180	sunset <evening,night>
9	dark	706	1013	73543	night, nighttime, at night
#>>>
10	dirty	1230	1086		???
11	dry	1398	1028		???
12	early	672	1018		???
13	eight	1705	804		???
14	far	1406	974	148088	long (both spatially and temporally), far, far away, distant
15	firewood	10	534	148056	wood, stick, log, lumber, timber, firewood, tree
16	five	493	801		???
#<<<
17	four	1500	800	73645	four
17	four	1500	800	72496	four
#>>>
18	full	1429	984	148135	(of beer) good, full, aromatic, fragrant, strong, wholesome
#<<<
19	good	1035	1052	72880	well [adv] <good>
19	good	1035	1052	72900	beautiful, comely, good, nice
19	good	1035	1052	73216	good, be alright, be fine (be v.)
19	good	1035	1052	148135	(of beer) good, full, aromatic, fragrant, strong, wholesome
#>>>
20	green	1425	1009		???
21	hard	1884	1034		???
#<<<
22	he or she [third person singular]	262	934	73659	he, she, this
22	he or she [third person singular]	262	934	73127	he, she, it
22	he or she [third person singular]	262	934	72784	he, she (human).
22	he or she [third person singular]	262	934	72783	he, she (human).
#>>>
23	heavy	1210	1014	148051	mild, slightly sour, heavy, white and crumbly cheese, fabricated
#<<<
24	here	136	944	73660	here
24	here	136	944	148110	here, over here (same altitude as point of reference)
#>>>
25	high / tall	1265	968		???
26	horizontal	2376	1001		???
#<<<
27	hot	1286	1062	73885	hot (of fluids)
27	hot	1286	1062	73884	hot (of fluids)
27	hot	1286	1062	73614	hot (of liquids)
27	hot	1286	1062	148193	hot (of the ambient air temperature)
#>>>
28	hundred	1634	824		???
#<<<
30	inside	1606	715	73914	at, in, with, at the house of
30	inside	1606	715	72518	in, at, to
30	inside	1606	715	72739	inside, within
30	inside	1606	715	147720	inside (below point of reference)
30	inside	1606	715	147721	inside (on the same plane as the point of reference)
30	inside	1606	715	147724	inside (above point of reference)
30	inside	1606	715	147728	inside, within; cf. hobi, hobɨ, hobu, hoptɨ; Nep.
30	inside	1606	715	147914	in the middle of the day, halfway through the day, at noon, in
30	inside	1606	715	147915	in the middle of the day, halfway through the day, at noon, in
#>>>
31	knife	1352	549	72530	dagger, knife
32	late	477	1019		???
33	left	244	710	147802	hand, lower arm (from elbow to fingertips); front paw
34	light (of weight)	1052	1052	72675	light, lamp
35	long	1203	972	148088	long (both spatially and temporally), far, far away, distant
#<<<
36	many	1198	987	72638	much, many
36	many	1198	987	147684	most able, most skilled, most capable, wisest, most
#>>>
#<<<
37	middle	1093	708	73832	middle, centre
37	middle	1093	708	73826	middle, centre
37	middle	1093	708	73155	middle, centre
#>>>
38	morning	1339	749	72532	morning
39	narrow	1267	977		???
40	near	1942	975	72538	short, near, nearby
41	new	1231	1050		???
42	nine	1483	805		???
#<<<
43	noon	12	750	147914	in the middle of the day, halfway through the day, at noon, in
43	noon	12	750	147915	in the middle of the day, halfway through the day, at noon, in
#>>>
44	old (of person)	2112	1058	73583	old (of inanimate referents)
#<<<
45	one	1493	797	73677	one
45	one	1493	797	73637	one
45	one	1493	797	73636	one, a.
#>>>
46	outside	762	714	73285	outside
47	red	156	1007	72727	red; Nep. rāto
#<<<
48	right	1019	711	147802	hand, lower arm (from elbow to fingertips); front paw
48	right	1019	711	148192	<hearthstone> one of the three stones of the sɨptɨlu, the
#>>>
49	round	1395	990		???
50	salty	1091	1076		???
51	seven	1704	803		???
52	sharp	1396	1020		???
#<<<
53	short	1645	973	72539	short, become short (be v.)
53	short	1645	973	72538	short, near, nearby
#>>>
54	shy	487	1365		???
55	six	1703	802		???
#<<<
56	small	1246	965	73629	little, few, a little bit
56	small	1246	965	73623	small, little.
#>>>
57	smooth	1234	1037		???
58	soft	1856	1035		???
59	straight	1404	1003		???
60	ten	1515	806		???
61	that	78	947	73131	they, them, those
62	the ant	587	365	73771	ant
63	the armpit	1886	92	72712	armpit
64	the bamboo	1927	389	147885	bamboo, any wild bamboo species.
65	the barley (tibetan or highland)	932	411	73817	barley
66	the belly	1251	96	73156	belly, abdomen
67	the bird	937	326		???
68	the blood	946	129	72721	blood
#<<<
69	the body hair (hair or fur)	189	266	148036	body hair, feathers, down, scales
69	the body hair (hair or fur)	189	266	148037	body hair, feathers, down, scales
#>>>
70	the bone	1394	133	73487	bone
#<<<
71	the branch	1531	374	72792	branch
71	the branch	1531	374	72773	branch; Nep. hā̃go.
#>>>
72	the breast (female)	1402	94		???
73	the child (young human)	1304	169	148170	child, offspring, son, daughter
74	the cloud	1489	7	72847	cloud, mist, fog; air
75	the daughter	1357	222	148170	child, offspring, son, daughter
76	the dew	1977	15		???
#<<<
77	the dog	2009	289	72915	dog, hound
77	the dog	2009	289	72914	dog, hound
#>>>
78	the dream	2374	699	73602	dream; vision
79	the dust	2	45		???
80	the ear	1247	81	73245	ear
#<<<
81	the earth (soil)	1228	40	73326	clay, earth, soil, ground.
81	the earth (soil)	1228	40	148019	<earth> soil (with implicit reference to the soil as the
#>>>
82	the earthworm	2350	363		???
83	the egg	744	450		???
84	the eye	1248	79		???
#<<<
85	the father	1217	218	73338	father
85	the father	1217	218	73269	father
#>>>
#<<<
86	the feather	1201	299	73348	feather, quill
86	the feather	1201	299	148036	body hair, feathers, down, scales
86	the feather	1201	299	148037	body hair, feathers, down, scales
#>>>
87	the fire	221	18		???
88	the fish	227	351	73248	fish
89	the flea	232	355	73779	flea, Pulex irritans
#<<<
90	the flower	239	377	73542	cause to bear fruit / to flower
90	the flower	239	377	73337	flower
90	the flower	239	377	73296	flower, bloom (of flowers)
90	the flower	239	377	147941	pick (fruits, flowers), pick up
#>>>
91	the fog	249	16	72847	cloud, mist, fog; air
#<<<
92	the foot	1301	103	73375	foot
92	the foot	1301	103	147973	foot, paw (of fowl, primates (inc. man) and quadrupeds)
#>>>
93	the forest	420	50		???
94	the fox	1312	325		???
95	the frog	503	349	72572	frog, toad
#<<<
96	the front (front side)	2194	712	72967	up front, in front
96	the front (front side)	2194	712	147815	1) up front, in front; Nep. agāḍi; cf. yoː; 2) before
#>>>
97	the frost	2034	14		???
98	the fruit	1507	378	72648	fruit
99	the goat	1502	276	73721	goat
100	the grass	606	436		???
101	the hail	609	13		???
102	the hair (of the head)	1040	75		???
#<<<
103	the hand	1277	107	72962	hand
103	the hand	1277	107	147802	hand, lower arm (from elbow to fingertips); front paw
103	the hand	1277	107	148054	wash up, e.g. one's face, hands / legs, but not one's whole (v.)
#>>>
#<<<
104	the head	1256	74	72602	head
104	the head	1256	74	148103	<old,chief> eldest, most knowledgeable, head, leader
#>>>
#<<<
105	the heart	1223	144	73827	heart
105	the heart	1223	144	72688	mind, feeling, heart, thought
#>>>
106	the hoof	152	264		???
107	the horn (keratinized skin)	1393	263	72683	horn
108	the horse	615	268		???
109	the house	1252	494	72837	house
#<<<
110	the husband	1200	247	73914	at, in, with, at the house of
110	the husband	1200	247	72636	husband
#>>>
111	the ice	617	17		???
