# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	IELEX	IPA	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	SCAID	SOURCE	SUBGROUP	SWADESH_1952	SWADESH_1955	TOKENS	TOWEROFBABEL	WOLD
7256	painful, sick (160)	-			-	130	painful	Japhug		mŋɤm	-	-	-	mŋɤm		-	496633					Adjective	0	-	rGyalrongic	-	-	m ŋ ɤ m	-	-
7257	painful, sick (160)	-			-	0	painful	Khroskyabs_Wobzi		-	-	-	-	-		-	496633					Adjective	0	-	rGyalrongic	-	-	-	-	-
7258	painful, sick (160)	-			-	0	painful	Muya		-	-	-	-	-		-	496633					Adjective	0	-	rGyalrongic	-	-	-	-	-
7259	painful, sick (160)	-			-	0	painful	Stau		-	-	-	-	-		-	496633					Adjective	0	-	rGyalrongic	-	-	-	-	-
7260	painful, sick (160)	-			-	0	painful	Tangut		-	-	-	-	-		-	496633					Adjective	0	-	rGyalrongic	-	-	-	-	-
7261	painful, sick (160)	-			-	0	painful	Zbu		-	-	-	-	-		-	496633					Adjective	0	-	rGyalrongic	-	-	-	-	-
13040						0	painful	Guzhang			疼痛	X		sau³³			496633						0							
13527						0	painful	Caijia									496633						0							
13787						0	painful	Jixi				痛		tˈɑ̃³⁵			496633						0							
14047						0	painful	Changshan									496633						0							
14567						0	painful	Dancun				刺		tˈiɛk³³			496633						0							
#
7633	red (149)	t͡ʂʰ ɚ - - ⁴⁴			红	132	red	Dashi		tʂʰɚ44	red	-	red (122)	t͡ʂʰɚ₄₄		-	1333710					Adjective	910	Wang2006a, 1007	Bai	red(116)	red(66)	t͡ʂʰ ɚ ⁴⁴	red(91)	15.66
7634	red (149)	-			红	0	red	Zhaozhuang		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Bai	red(116)	red(66)	-	red(91)	15.66
7635	red (149)	t͡ɕʰ a - - ⁴⁴			红	132	red	Ega		tɕʰa44	red	-	red (122)	t͡ɕʰa₄₄		-	1333710					Adjective	910	Wang2006a, 1007	Bai	red(116)	red(66)	t͡ɕʰ a ⁴⁴	red(91)	15.66
7636	red (149)	tʰ i - æ ⁵⁵			红	132	red	Enqi		tʰiæ55	red	-	red (122)	tʰiæ₅₅		-	1333710					Adjective	912	Wang2006a, 1007	Bai	red(116)	red(66)	tʰ i æ ⁵⁵	red(91)	15.66
7637	red (149)	x ɔ - - ³⁵			红	132	red	Eryuan		xɔ35	red / 红	-	red (122)	xɔ₃₅		-	1333710					Adjective	913	Allen2007, 406	Bai	red(116)	red(66)	x ɔ ³⁵	red(91)	15.66
7638	red (149)	tʰ æ - - ⁴²			红	132	red	Gongxing		tʰæ42	red	-	red (122)	tʰæ₄₂		-	1333710					Adjective	910	Wang2006a, 1007	Bai	red(116)	red(66)	tʰ æ ⁴²	red(91)	15.66
7639	red (149)	t͡sʰ ɛ - - ⁴⁴			红	132	red	Heqi		tsʰɛ44	red / 红	-	red (122)	t͡sʰɛ₄₄		-	1333710					Adjective	910	Allen2007, 406	Bai	red(116)	red(66)	t͡sʰ ɛ ⁴⁴	red(91)	15.66
7640	red (149)	t͡sʰ ɛ - - ⁴⁴			红	132	red	Jianchuan		tsʰɛ44	red / 红	-	red (122)	t͡sʰɛ₄₄		-	1333710					Adjective	910	Allen2007, 406	Bai	red(116)	red(66)	t͡sʰ ɛ ⁴⁴	red(91)	15.66
7641	red (149)	ʈʰ a - - ⁵⁵			红	132	red	Jinman		ʈʰa55	red	-	red (122)	ʈʰa₅₅		-	1333710					Adjective	910	Wang2006a, 1007	Bai	red(116)	red(66)	ʈʰ a ⁵⁵	red(91)	15.66
7642	red (149)	t͡sʰ a - - ⁴⁴			红	132	red	Jinxing		tsʰa44	red	-	red (122)	t͡sʰa₄₄		-	1333710					Adjective	910	Wang2006a, 1007	Bai	red(116)	red(66)	t͡sʰ a ⁴⁴	red(91)	15.66
7643	red (149)	ʈʰ a - - ⁵⁵			红	132	red	Luobenzhuo		ʈʰa55	red / 红	-	red (122)	ʈʰa₅₅		-	1333710					Adjective	910	Allen2007, 406	Bai	red(116)	red(66)	ʈʰ a ⁵⁵	red(91)	15.66
7644	red (149)	x o ŋ - ³³			红	132	red	Mazhelong		[xoŋ33]	red	-	red (122)	xoŋ₃₃		-	1333710					Adjective	921	Wang2006a, 1007	Bai	red(116)	red(66)	x o ŋ ³³	red(91)	15.66
7645	red (149)	t͡sʰ ɛ - - ⁴⁴			红	132	red	Qiliqiao		tsʰɛ44/xuɔ35	red / 红	-	red (122)	t͡sʰɛ₄₄		-	1333710					Adjective	910	Allen2007, 406	Bai	red(116)	red(66)	t͡sʰ ɛ ⁴⁴	red(91)	15.66
7646	red (149)	t͡sʰ ɛ - - ⁴⁴			红	132	red	Xiangyun		tsʰɛ44	red / 红	-	red (122)	t͡sʰɛ₄₄		-	1333710					Adjective	910	Allen2007, 406	Bai	red(116)	red(66)	t͡sʰ ɛ ⁴⁴	red(91)	15.66
7647	red (149)	t͡sʰ ɛ - - ³³			红	132	red	Yunlong		tsʰɛ33	red / 红	-	red (122)	t͡sʰɛ₃₃		-	1333710					Adjective	910	Allen2007, 406	Bai	red(116)	red(66)	t͡sʰ ɛ ³³	red(91)	15.66
7648	red (149)	t͡sʰ ɛ - - ⁴⁴			红	132	red	Zhoucheng		tsʰɛ44	red	-	red (122)	t͡sʰɛ₄₄		-	1333710					Adjective	910	Wang2006a, 1007	Bai	red(116)	red(66)	t͡sʰ ɛ ⁴⁴	red(91)	15.66
7649	red (149)	-			红	0	red	Cone_Tibetan		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Bodic	red(116)	red(66)	-	red(91)	15.66
7650	red (149)	-			红	0	red	Lhasa_Tibetan		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Bodic	red(116)	red(66)	-	red(91)	15.66
7651	red (149)	-			红	135	red	Old_Tibetan		dmar-	red	赤	red (122)	dmar-		-	1333710					Adjective	0	-	Bodic	red(116)	red(66)	d m a r ◦	red(91)	15.66
7652	red (149)	-			红	0	red	Achang_Lianghe		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Burmish	red(116)	red(66)	-	red(91)	15.66
7653	red (149)	-			红	0	red	Achang_Longchuan		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Burmish	red(116)	red(66)	-	red(91)	15.66
7654	red (149)	-			红	0	red	Achang_Luxi		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Burmish	red(116)	red(66)	-	red(91)	15.66
7655	red (149)	-			红	0	red	Atsi		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Burmish	red(116)	red(66)	-	red(91)	15.66
7656	red (149)	-			红	0	red	Bola		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Burmish	red(116)	red(66)	-	red(91)	15.66
7657	red (149)	-			红	133	red	Burmese		ni	red	赤	red (122)	ni		-	1333710					Adjective	0	-	Burmish	red(116)	red(66)	n i	red(91)	15.66
7658	red (149)	-			红	0	red	Hpun		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Burmish	red(116)	red(66)	-	red(91)	15.66
7659	red (149)	-			红	0	red	Lashi		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Burmish	red(116)	red(66)	-	red(91)	15.66
7660	red (149)	-			红	0	red	Maru		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Burmish	red(116)	red(66)	-	red(91)	15.66
7661	red (149)	-			红	0	red	Old_Burmese		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Burmish	red(116)	red(66)	-	red(91)	15.66
7662	red (149)	-			红	0	red	Xiandau		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Burmish	red(116)	red(66)	-	red(91)	15.66
7663	red (149)	-			红	0	red	Dumi		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Kiranti	red(116)	red(66)	-	red(91)	15.66
7664	red (149)	-			红	137	red	Khaling		ɦalalâm	red	赤	red (122)	ɦalalâm		-	1333710					Adjective	0	-	Kiranti	red(116)	red(66)	ɦ a l a l â m	red(91)	15.66
7665	red (149)	-			红	136	red	Limbu		hɛt	red	赤	red (122)	hɛt		-	1333710					Adjective	0	-	Kiranti	red(116)	red(66)	ʰɛ t	red(91)	15.66
7666	red (149)	-			红	0	red	Wambule		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Kiranti	red(116)	red(66)	-	red(91)	15.66
7667	red (149)	-			红	0	red	Yakkha		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Kiranti	red(116)	red(66)	-	red(91)	15.66
7668	red (149)	-			红	0	red	Yamphu		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Kiranti	red(116)	red(66)	-	red(91)	15.66
7669	red (149)	-			红	0	red	Dulong		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Nungish	red(116)	red(66)	-	red(91)	15.66
7670	red (149)	-			红	0	red	Jingpo		-	-	-	red (122)	-		-	1333710					Adjective	0	-	SAL	red(116)	red(66)	-	red(91)	15.66
7671	red (149)	-			红	0	red	Beijing		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Sinitic	red(116)	red(66)	-	red(91)	15.66
7672	red (149)	-			红	0	red	Caijia		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Sinitic	red(116)	red(66)	-	red(91)	15.66
7673	red (149)	-			红	0	red	Changsha		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Sinitic	red(116)	red(66)	-	red(91)	15.66
7675	red (149)	-			红	0	red	Guangzhou		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Sinitic	red(116)	red(66)	-	red(91)	15.66
7676	red (149)	-			红	0	red	Meixian		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Sinitic	red(116)	red(66)	-	red(91)	15.66
7677	red (149)	-			红	134	red	Old_Chinese		*[t-qʰ](r)Ak	red	赤	red (122)	*[t-qʰ](r)Ak		-	1333710					Adjective	0	-	Sinitic	red(116)	red(66)	t ◦ qʰ r ) A k	red(91)	15.66
7678	red (149)	-			红	0	red	Xiamen		-	-	-	red (122)	-		-	1333710					Adjective	0	-	Sinitic	red(116)	red(66)	-	red(91)	15.66
7679	red (149)	-			红	0	red	Guiqiong		-	-	-	red (122)	-		-	1333710					Adjective	0	-	rGyalrongic	red(116)	red(66)	-	red(91)	15.66
7680	red (149)	-			红	133	red	Japhug		ɣɯrni	red	赤	red (122)	ɣɯrni		-	1333710					Adjective	0	-	rGyalrongic	red(116)	red(66)	ɣ ɯ r n i	red(91)	15.66
7681	red (149)	-			红	0	red	Khroskyabs_Wobzi		-	-	-	red (122)	-		-	1333710					Adjective	0	-	rGyalrongic	red(116)	red(66)	-	red(91)	15.66
7682	red (149)	-			红	0	red	Muya		-	-	-	red (122)	-		-	1333710					Adjective	0	-	rGyalrongic	red(116)	red(66)	-	red(91)	15.66
7683	red (149)	-			红	0	red	Stau		-	-	-	red (122)	-		-	1333710					Adjective	0	-	rGyalrongic	red(116)	red(66)	-	red(91)	15.66
7684	red (149)	-			红	133	red	Tangut		njij¹	red	赤	red (122)	njij¹		-	1333710					Adjective	0	-	rGyalrongic	red(116)	red(66)	n j i j ¹	red(91)	15.66
7685	red (149)	-			红	0	red	Zbu		-	-	-	red (122)	-		-	1333710					Adjective	0	-	rGyalrongic	red(116)	red(66)	-	red(91)	15.66
13041						0	red	Guzhang			紅	紅		ɣau¹³			1333710						0							
13361						0	red	Ganzhou		hə̃2	red (121)			hə̃³			1333710						0					h ə̃ ∼ ³		
13528						0	red	Caijia									1333710						0							
13788						0	red	Jixi				紅		fɑ̃⁴⁴			1333710						0							
14048						0	red	Changshan									1333710						0							
14568						0	red	Dancun				紅		həuŋ²²			1333710						0							
#
7739	-	-			右边	0	right	Dashi		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Bai	right (hand)(118)	-	-	-	12.41
7740	-	-			右边	0	right	Zhaozhuang		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Bai	right (hand)(118)	-	-	-	12.41
7741	-	-			右边	0	right	Ega		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Bai	right (hand)(118)	-	-	-	12.41
7742	-	-			右边	0	right	Enqi		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Bai	right (hand)(118)	-	-	-	12.41
7743	-	t͡ʂ ɛ - ⁴² p ɔ ³¹ -			右边	139	right	Eryuan		tʂɛ42pɔ31	right(side) / 右边	-	rightside (124)	t͡ʂɛ₄₂pɔ₃₁		-	436024					Adjective	922	Allen2007, 28	Bai	right (hand)(118)	-	t͡ʂ ɛ ⁴² p ɔ ³¹	-	12.41
7744	-	-			右边	0	right	Gongxing		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Bai	right (hand)(118)	-	-	-	12.41
7745	-	t͡s ɛ̃ ∼ ⁴² f ɤ ³³ -			右边	139	right	Heqi		tsɛ̃42fɤ33	right(side) / 右边	-	rightside (124)	t͡sɛ̃₄₂fɤ₃₃		-	436024					Adjective	922	Allen2007, 28	Bai	right (hand)(118)	-	t͡s ɛ̃ ∼ ⁴² f ɤ ³³	-	12.41
7746	-	t͡s ɛ - ⁴² f ɤ ³³ -			右边	139	right	Jianchuan		tsɛ42fɤ33	right(side) / 右边	-	rightside (124)	t͡sɛ₄₂fɤ₃₃		-	436024					Adjective	922	Allen2007, 28	Bai	right (hand)(118)	-	t͡s ɛ ⁴² f ɤ ³³	-	12.41
7747	-	-			右边	0	right	Jinman		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Bai	right (hand)(118)	-	-	-	12.41
7748	-	-			右边	0	right	Jinxing		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Bai	right (hand)(118)	-	-	-	12.41
7749	-	c ã ∼ ⁴⁴ ɕ i ³³ -			右边	139	right	Luobenzhuo		cã44ɕi33	right(side) / 右边	-	rightside (124)	cã₄₄ɕi₃₃		-	436024					Adjective	926	Allen2007, 28	Bai	right (hand)(118)	-	c ã ∼ ⁴⁴ ɕ i ³³	-	12.41
7750	-	-			右边	0	right	Mazhelong		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Bai	right (hand)(118)	-	-	-	12.41
7751	-	t͡s ɛ̃ ∼ ⁴⁴ p ɔ ²¹ -			右边	139	right	Qiliqiao		tsɛ̃44pɔ21	right(side) / 右边	-	rightside (124)	t͡sɛ̃₄₄pɔ₂₁		-	436024					Adjective	922	Allen2007, 28	Bai	right (hand)(118)	-	t͡s ɛ̃ ∼ ⁴⁴ p ɔ ²¹	-	12.41
7752	-	t͡s ɛ̃ ∼ ⁴² s ɛ̃ ∼ ²¹			右边	139	right	Xiangyun		tsɛ̃42sɛ̃21	right(side) / 右边	-	rightside (124)	t͡sɛ̃₄₂sɛ̃₂₁		-	436024					Adjective	926	Allen2007, 28	Bai	right (hand)(118)	-	t͡s ɛ̃ ∼ ⁴² s ɛ̃ ∼ ²¹	-	12.41
7753	-	t͡s ɛ - ³¹ - - - -			右边	139	right	Yunlong		tsɛ31	right(side) / 右边	-	rightside (124)	t͡sɛ₃₁		-	436024					Adjective	929	Allen2007, 28	Bai	right (hand)(118)	-	t͡s ɛ ³¹	-	12.41
7754	-	-			右边	0	right	Zhoucheng		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Bai	right (hand)(118)	-	-	-	12.41
7755	-	-			右边	0	right	Cone_Tibetan		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Bodic	right (hand)(118)	-	-	-	12.41
7756	-	-			右边	0	right	Lhasa_Tibetan		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Bodic	right (hand)(118)	-	-	-	12.41
7757	-	-			右边	0	right	Old_Tibetan		-	-	-	rightside (124)	gjas		-	436024					Adjective	0	-	Bodic	right (hand)(118)	-	-	-	12.41
7758	-	-			右边	0	right	Achang_Lianghe		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Burmish	right (hand)(118)	-	-	-	12.41
7759	-	-			右边	0	right	Achang_Longchuan		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Burmish	right (hand)(118)	-	-	-	12.41
7760	-	-			右边	0	right	Achang_Luxi		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Burmish	right (hand)(118)	-	-	-	12.41
7761	-	-			右边	0	right	Atsi		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Burmish	right (hand)(118)	-	-	-	12.41
7762	-	-			右边	0	right	Bola		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Burmish	right (hand)(118)	-	-	-	12.41
7763	-	-			右边	0	right	Burmese		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Burmish	right (hand)(118)	-	-	-	12.41
7764	-	-			右边	0	right	Hpun		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Burmish	right (hand)(118)	-	-	-	12.41
7765	-	-			右边	0	right	Lashi		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Burmish	right (hand)(118)	-	-	-	12.41
7766	-	-			右边	0	right	Maru		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Burmish	right (hand)(118)	-	-	-	12.41
7767	-	-			右边	0	right	Old_Burmese		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Burmish	right (hand)(118)	-	-	-	12.41
7768	-	-			右边	0	right	Xiandau		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Burmish	right (hand)(118)	-	-	-	12.41
7769	-	-			右边	0	right	Dumi		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Kiranti	right (hand)(118)	-	-	-	12.41
7770	-	-			右边	0	right	Khaling		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Kiranti	right (hand)(118)	-	-	-	12.41
7771	-	-			右边	0	right	Limbu		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Kiranti	right (hand)(118)	-	-	-	12.41
7772	-	-			右边	0	right	Wambule		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Kiranti	right (hand)(118)	-	-	-	12.41
7773	-	-			右边	0	right	Yakkha		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Kiranti	right (hand)(118)	-	-	-	12.41
7774	-	-			右边	0	right	Yamphu		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Kiranti	right (hand)(118)	-	-	-	12.41
7775	-	-			右边	0	right	Dulong		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Nungish	right (hand)(118)	-	-	-	12.41
7776	-	-			右边	0	right	Jingpo		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	SAL	right (hand)(118)	-	-	-	12.41
7777	-	-			右边	0	right	Beijing		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Sinitic	right (hand)(118)	-	-	-	12.41
7778	-	-			右边	0	right	Caijia		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Sinitic	right (hand)(118)	-	-	-	12.41
7779	-	-			右边	0	right	Changsha		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Sinitic	right (hand)(118)	-	-	-	12.41
7781	-	-			右边	0	right	Guangzhou		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Sinitic	right (hand)(118)	-	-	-	12.41
7782	-	-			右边	0	right	Meixian		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Sinitic	right (hand)(118)	-	-	-	12.41
7783	-	-			右边	139	right	Old_Chinese	12500 (the work)	-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Sinitic	right (hand)(118)	-	◦	-	12.41
7784	-	-			右边	0	right	Xiamen		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	Sinitic	right (hand)(118)	-	-	-	12.41
7785	-	-			右边	0	right	Guiqiong		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	rGyalrongic	right (hand)(118)	-	-	-	12.41
7786	-	-			右边	138	right	Japhug		χcha	-	-	rightside (124)	χcʰa		-	436024					Adjective	0	-	rGyalrongic	right (hand)(118)	-	χ cʰ a	-	12.41
7787	-	-			右边	0	right	Khroskyabs_Wobzi		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	rGyalrongic	right (hand)(118)	-	-	-	12.41
7788	-	-			右边	0	right	Muya		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	rGyalrongic	right (hand)(118)	-	-	-	12.41
7789	-	-			右边	0	right	Stau		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	rGyalrongic	right (hand)(118)	-	-	-	12.41
7790	-	-			右边	0	right	Tangut		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	rGyalrongic	right (hand)(118)	-	-	-	12.41
7791	-	-			右边	0	right	Zbu		-	-	-	rightside (124)	-		-	436024					Adjective	0	-	rGyalrongic	right (hand)(118)	-	-	-	12.41
13042						0	right	Guzhang			右邊	XX		dza³³ pʰi⁵⁵			436024						0							
13362						0	right	Ganzhou		ju4	right [-hand] (122)			ju⁵			436024						0					j u ⁵		
13529						0	right	Caijia									436024						0							
13789						0	right	Jixi				順		ɕyɑ̃²²		in 'right hand', 'right eye'.	436024						0							
14049						0	right	Changshan									436024						0							
14309						0	right	Qimen			右边	顺边		ɕyan³³ pĩːə¹¹			436024						0							
14569						0	right	Dancun				右邊		jiu³² peiŋ³²			436024						0							
#
8057	rotten (112)	-			腐烂	0	rotten (of fruits)	Dashi		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8058	rotten (112)	-			腐烂	0	rotten (of fruits)	Zhaozhuang		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8059	rotten (112)	-			腐烂	0	rotten (of fruits)	Ega		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8060	rotten (112)	-			腐烂	0	rotten (of fruits)	Enqi		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8061	rotten (112)	-			腐烂	0	rotten (of fruits)	Eryuan		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8062	rotten (112)	-			腐烂	0	rotten (of fruits)	Gongxing		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8063	rotten (112)	-			腐烂	0	rotten (of fruits)	Heqi		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8064	rotten (112)	-			腐烂	0	rotten (of fruits)	Jianchuan		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8065	rotten (112)	-			腐烂	0	rotten (of fruits)	Jinman		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8066	rotten (112)	-			腐烂	0	rotten (of fruits)	Jinxing		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8067	rotten (112)	-			腐烂	0	rotten (of fruits)	Luobenzhuo		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8068	rotten (112)	-			腐烂	0	rotten (of fruits)	Mazhelong		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8069	rotten (112)	-			腐烂	0	rotten (of fruits)	Qiliqiao		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8070	rotten (112)	-			腐烂	0	rotten (of fruits)	Xiangyun		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8071	rotten (112)	-			腐烂	0	rotten (of fruits)	Yunlong		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8072	rotten (112)	-			腐烂	0	rotten (of fruits)	Zhoucheng		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bai	rotten (especially log)(123)	-	-	-	5125
8073	rotten (112)	-			腐烂	0	rotten (of fruits)	Cone_Tibetan		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bodic	rotten (especially log)(123)	-	-	-	5125
8074	rotten (112)	-			腐烂	0	rotten (of fruits)	Lhasa_Tibetan		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Bodic	rotten (especially log)(123)	-	-	-	5125
8075	rotten (112)	-			腐烂	0	rotten (of fruits)	Old_Tibetan		-	-	-	rotten (129)	rul-		-	7031					Adjective	0	-	Bodic	rotten (especially log)(123)	-	-	-	5125
8076	rotten (112)	-			腐烂	0	rotten (of fruits)	Achang_Lianghe		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Burmish	rotten (especially log)(123)	-	-	-	5125
8077	rotten (112)	-			腐烂	0	rotten (of fruits)	Achang_Longchuan		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Burmish	rotten (especially log)(123)	-	-	-	5125
8078	rotten (112)	-			腐烂	0	rotten (of fruits)	Achang_Luxi		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Burmish	rotten (especially log)(123)	-	-	-	5125
8079	rotten (112)	-			腐烂	0	rotten (of fruits)	Atsi		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Burmish	rotten (especially log)(123)	-	-	-	5125
8080	rotten (112)	-			腐烂	0	rotten (of fruits)	Bola		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Burmish	rotten (especially log)(123)	-	-	-	5125
8081	rotten (112)	-			腐烂	0	rotten (of fruits)	Burmese		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Burmish	rotten (especially log)(123)	-	-	-	5125
8082	rotten (112)	-			腐烂	0	rotten (of fruits)	Hpun		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Burmish	rotten (especially log)(123)	-	-	-	5125
8083	rotten (112)	-			腐烂	0	rotten (of fruits)	Lashi		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Burmish	rotten (especially log)(123)	-	-	-	5125
8084	rotten (112)	-			腐烂	0	rotten (of fruits)	Maru		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Burmish	rotten (especially log)(123)	-	-	-	5125
8085	rotten (112)	-			腐烂	0	rotten (of fruits)	Old_Burmese		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Burmish	rotten (especially log)(123)	-	-	-	5125
8086	rotten (112)	-			腐烂	0	rotten (of fruits)	Xiandau		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Burmish	rotten (especially log)(123)	-	-	-	5125
8087	rotten (112)	-			腐烂	0	rotten (of fruits)	Dumi		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Kiranti	rotten (especially log)(123)	-	-	-	5125
8088	rotten (112)	-			腐烂	0	rotten (of fruits)	Khaling		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Kiranti	rotten (especially log)(123)	-	-	-	5125
8089	rotten (112)	-			腐烂	0	rotten (of fruits)	Limbu		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Kiranti	rotten (especially log)(123)	-	-	-	5125
8090	rotten (112)	-			腐烂	0	rotten (of fruits)	Wambule		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Kiranti	rotten (especially log)(123)	-	-	-	5125
8091	rotten (112)	-			腐烂	0	rotten (of fruits)	Yakkha		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Kiranti	rotten (especially log)(123)	-	-	-	5125
8092	rotten (112)	-			腐烂	0	rotten (of fruits)	Yamphu		-	-	-	rotten (129)	-		-	7031					Adjective	0	-	Kiranti	rotten (especially log)(123)	-	-	-	5125
