# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	IELEX	IPA	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	SCAID	SOURCE	SUBGROUP	SWADESH_1952	SWADESH_1955	TOKENS	TOWEROFBABEL	WOLD
5063	I (182)	-			我	0	I [first person singular]	Maru		-	-	-	I (1)	-		-	5450					Function word	0	-	Burmish	I(78)	I(42)	-	I(3)	2.91
5064	I (182)	-			我	0	I [first person singular]	Old_Burmese		-	-	-	I (1)	-		-	5450					Function word	0	-	Burmish	I(78)	I(42)	-	I(3)	2.91
5065	I (182)	-			我	0	I [first person singular]	Xiandau		-	-	-	I (1)	-		-	5450					Function word	0	-	Burmish	I(78)	I(42)	-	I(3)	2.91
5066	I (182)	-			我	0	I [first person singular]	Dumi		-	-	-	I (1)	-		-	5450					Function word	0	-	Kiranti	I(78)	I(42)	-	I(3)	2.91
5067	I (182)	-			我	2	I [first person singular]	Khaling		ʔu^ŋ	I	吾	I (1)	ʔu^ŋ		-	5450					Function word	0	-	Kiranti	I(78)	I(42)	ʔ u ^ ŋ	I(3)	2.91
5068	I (182)	-			我	2	I [first person singular]	Limbu		iŋga	I	吾	I (1)	iŋga		-	5450					Function word	0	-	Kiranti	I(78)	I(42)	i ŋ g a	I(3)	2.91
5069	I (182)	-			我	0	I [first person singular]	Wambule		-	-	-	I (1)	-		-	5450					Function word	0	-	Kiranti	I(78)	I(42)	-	I(3)	2.91
5070	I (182)	-			我	0	I [first person singular]	Yakkha		-	-	-	I (1)	-		-	5450					Function word	0	-	Kiranti	I(78)	I(42)	-	I(3)	2.91
5071	I (182)	-			我	0	I [first person singular]	Yamphu		-	-	-	I (1)	-		-	5450					Function word	0	-	Kiranti	I(78)	I(42)	-	I(3)	2.91
5072	I (182)	-			我	0	I [first person singular]	Dulong		-	-	-	I (1)	-		-	5450					Function word	0	-	Nungish	I(78)	I(42)	-	I(3)	2.91
5073	I (182)	-			我	0	I [first person singular]	Jingpo		-	-	-	I (1)	-		-	5450					Function word	0	-	SAL	I(78)	I(42)	-	I(3)	2.91
5074	I (182)	-			我	0	I [first person singular]	Beijing		-	-	-	I (1)	-		-	5450					Function word	0	-	Sinitic	I(78)	I(42)	-	I(3)	2.91
5075	I (182)	-			我	0	I [first person singular]	Caijia		-	-	-	I (1)	-		-	5450					Function word	0	-	Sinitic	I(78)	I(42)	-	I(3)	2.91
5076	I (182)	-			我	0	I [first person singular]	Changsha		-	-	-	I (1)	-		-	5450					Function word	0	-	Sinitic	I(78)	I(42)	-	I(3)	2.91
5078	I (182)	-			我	0	I [first person singular]	Guangzhou		-	-	-	I (1)	-		-	5450					Function word	0	-	Sinitic	I(78)	I(42)	-	I(3)	2.91
5079	I (182)	-			我	0	I [first person singular]	Meixian		-	-	-	I (1)	-		-	5450					Function word	0	-	Sinitic	I(78)	I(42)	-	I(3)	2.91
5080	I (182)	-			我	3	I [first person singular]	Old_Chinese		*ŋˤa	I	吾	I (1)	*ŋˤa		-	5450					Function word	0	-	Sinitic	I(78)	I(42)	ŋˤ a	I(3)	2.91
5081	I (182)	-			我	0	I [first person singular]	Xiamen		-	-	-	I (1)	-		-	5450					Function word	0	-	Sinitic	I(78)	I(42)	-	I(3)	2.91
5082	I (182)	-			我	0	I [first person singular]	Guiqiong		-	-	-	I (1)	-		-	5450					Function word	0	-	rGyalrongic	I(78)	I(42)	-	I(3)	2.91
5083	I (182)	-			我	2	I [first person singular]	Japhug		aʑo	I	吾	I (1)	aʑo		-	5450					Function word	0	-	rGyalrongic	I(78)	I(42)	a ʑ o	I(3)	2.91
5084	I (182)	-			我	0	I [first person singular]	Khroskyabs_Wobzi		-	-	-	I (1)	-		-	5450					Function word	0	-	rGyalrongic	I(78)	I(42)	-	I(3)	2.91
5085	I (182)	-			我	0	I [first person singular]	Muya		-	-	-	I (1)	-		-	5450					Function word	0	-	rGyalrongic	I(78)	I(42)	-	I(3)	2.91
5086	I (182)	-			我	0	I [first person singular]	Stau		-	-	-	I (1)	-		-	5450					Function word	0	-	rGyalrongic	I(78)	I(42)	-	I(3)	2.91
5087	I (182)	-			我	2	I [first person singular]	Tangut		ŋa²	I	吾	I (1)	ŋa²		-	5450					Function word	0	-	rGyalrongic	I(78)	I(42)	ŋ a ²	I(3)	2.91
5088	I (182)	-			我	0	I [first person singular]	Zbu		-	-	-	I (1)	-		-	5450					Function word	0	-	rGyalrongic	I(78)	I(42)	-	I(3)	2.91
13023						0	I [first person singular]	Guzhang			我	我		u²⁵			5450						0							
13320						0	I [first person singular]	Ganzhou		ŋo3	I (82)			ŋo⁴			5450						0					ŋ o ⁴		
13510						0	I [first person singular]	Caijia									5450						0							
13770						0	I [first person singular]	Jixi				我		ɔ²¹³			5450						0							
14030						0	I [first person singular]	Changshan									5450						0							
14290						0	I [first person singular]	Qimen			我	我		ɑ⁴²		mostly subject	5450						0							
14550						0	I [first person singular]	Dancun				我		ŋɔi²¹			5450						0							
14806						0	I [first person singular]	Qimen			我	我		ʂɯːə⁴²		mostly object							0							
#
1	above (175)	-			-	0	above	Dashi		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081
2	above (175)	-			-	0	above	Zhaozhuang		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081
3	above (175)	-			-	0	above	Ega		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-		-	12081
4	above (175)	-			-	0	above	Enqi		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081
5	above (175)	-			-	0	above	Eryuan		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081
6	above (175)	-			-	0	above	Gongxing		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081
7	above (175)	-			-	0	above	Heqi		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081
8	above (175)	-			-	0	above	Jianchuan		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-		-	12081
9	above (175)	-			-	0	above	Jinman		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081
10	above (175)	-			-	0	above	Jinxing		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081
11	above (175)	-			-	0	above	Luobenzhuo		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081
12	above (175)	-			-	0	above	Mazhelong		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081
13	above (175)	-			-	0	above	Qiliqiao		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081
14	above (175)	-			-	0	above	Xiangyun		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081
15	above (175)	-			-	0	above	Yunlong		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081
16	above (175)	-			-	0	above	Zhoucheng		-	-	-	-	-		-	7064					Function word	0	-	Bai	-	-	-	-	12081
17	above (175)	-			-	0	above	Cone_Tibetan		-	-	-	-	-		-	7064					Function word	0	-	Bodic	-	-	-	-	12081
18	above (175)	-			-	0	above	Lhasa_Tibetan		-	-	-	-	-		-	7064					Function word	0	-	Bodic	-	-		-	12081
19	above (175)	-			-	0	above	Old_Tibetan		-	-	-	-	steŋ		-	7064					Function word	0	-	Bodic	-	-	-	-	12081
20	above (175)	-			-	0	above	Achang_Lianghe		-	-	-	-			-	7064					Function word	0	-	Burmish	-	-		-	12081
21	above (175)	-			-	0	above	Achang_Longchuan		-	-	-	-			-	7064					Function word	0	-	Burmish	-	-	-	-	12081
22	above (175)	-			-	0	above	Achang_Luxi		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081
23	above (175)	-			-	0	above	Atsi		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081
24	above (175)	-			-	0	above	Bola		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081
25	above (175)	-			-	0	above	Burmese		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081
26	above (175)	-			-	0	above	Hpun		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081
27	above (175)	-			-	0	above	Lashi		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081
28	above (175)	-			-	0	above	Maru		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081
29	above (175)	-			-	0	above	Old_Burmese		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081
30	above (175)	-			-	0	above	Xiandau		-	-	-	-	-		-	7064					Function word	0	-	Burmish	-	-	-	-	12081
31	above (175)	-			-	0	above	Dumi		-	-	-	-	-		-	7064					Function word	0	-	Kiranti	-	-	-	-	12081
32	above (175)	-			-	0	above	Khaling		-	-	-	-	-		-	7064					Function word	0	-	Kiranti	-	-	-	-	12081
33	above (175)	-			-	0	above	Limbu		-	-	-	-	-		-	7064					Function word	0	-	Kiranti	-	-	-	-	12081
