# EDICTOR
@modified: 2015-01-20 10:39
#
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	SOURCE	ID_IN_SOURCE	COGID	CHINESE_GLOSS	PST	POS
30	Lanping	ant	pi₃₃pao₃₃t͡sɿ₄₄	p i ₃₃ p ao ₃₃ t͡s ɿ ₄₄	p i - ₃₃ p ao - ₃₃ t͡s ɿ ₄₄	pi33pao33tsɿ44	ant	Allen2007	74	114	蚂蚁	CVTCVTCVT	?
31	Qiliqiao	ant	pi₂₁pɯ₃₁	p i ₂₁ p ɯ ₃₁	p i - ₂₁ p ɯ - ₃₁ - - -	pi21pɯ31	ant	Allen2007	74	114	蚂蚁	CVTCVT	?
32	Yunlong	ant	pi₂₁pɯ₃₁	p i ₂₁ p ɯ ₃₁	p i - ₂₁ p ɯ - ₃₁ - - -	pi21pɯ31	ant	Allen2007	74	114	蚂蚁	CVTCVT	?
33	Xiangyun	ant	pi₂₁pou₂₁t͡sɿ₃₃	p i ₂₁ p ou ₂₁ t͡s ɿ ₃₃	p i - ₂₁ p ou - ₂₁ t͡s ɿ ₃₃	pi21pou21tsɿ33	ant	Allen2007	74	114	蚂蚁	CVTCVTCVT	?
34	Luobenzhuo	ant	t͡ɕi₃₁pɯ₂₁	t͡ɕ i ₃₁ p ɯ ₂₁	t͡ɕ i - ₃₁ p ɯ - ₂₁ - - -	tɕi31pɯ21	ant	Allen2007	74	114	蚂蚁	CVTCVT	?
#
35	Tuoluo	ask	t͡ʂua₄₂	t͡ʂ ua ₄₂	t͡ʂ ua ₄₂	tʂua42	ask; question	Wang2006a	1708	422	?	CVT	verb
36	Gongxing	ask	t͡ɕuɛ₂₄	t͡ɕ uɛ ₂₄	t͡ɕ uɛ ₂₄	tɕuɛ24	ask; question	Wang2006a	1708	422	?	CVT	verb
37	Enqi	ask	piæ₅₅	p iæ ₅₅	p iæ ₅₅	piæ55	ask; question	Wang2006a	1708	422	?	CVT	verb
38	Ega	ask	t͡ɕya₄₄	t͡ɕ ya ₄₄	t͡ɕ ya ₄₄	tɕya44	ask; question	Wang2006a	1708	422	?	CVT	verb
39	Jinman	ask	t͡ɕua₅₅	t͡ɕ ua ₅₅	t͡ɕ ua ₅₅	tɕua55	ask; question	Wang2006a	1708	2622	?	CVT	verb
40	Jinxing	ask	pia₄₄	p ia ₄₄	p ia ₄₄	pia44	ask; question	Wang2006a	1708	422	?	CVT	verb
41	Dashi	ask	piɚ₄₄	p iɚ ₄₄	p iɚ ₄₄	piɚ44	ask; question	Wang2006a	1708	422	?	CVT	verb
42	Zhoucheng	ask	piɛ₄₄	p iɛ ₄₄	p iɛ ₄₄	piɛ44	ask; question	Wang2006a	1708	422	?	CVT	verb
43	Mazhelong	ask	piɚ₄₄	p iɚ ₄₄	p iɚ ₄₄	piɚ44	ask; question	Wang2006a	1708	422	?	CVT	verb
44	Jianchuan	ask	piɛ₄₄	p iɛ ₄₄	p iɛ ₄₄	piɛ44	ask	Allen2007	334	422	问	CVT	verb
45	Eryuan	ask	piɛ₄₄	p iɛ ₄₄	p iɛ ₄₄	piɛ44	ask	Allen2007	334	422	问	CVT	verb
46	Heqi	ask	piɛ₄₄	p iɛ ₄₄	p iɛ ₄₄	piɛ44	ask	Allen2007	334	422	问	CVT	verb
47	Lanping	ask	piɛ₄₄	p iɛ ₄₄	p iɛ ₄₄	piɛ44	ask	Allen2007	334	422	问	CVT	verb
48	Qiliqiao	ask	piɛ₄₄	p iɛ ₄₄	p iɛ ₄₄	piɛ44	ask	Allen2007	334	422	问	CVT	verb
49	Yunlong	ask	piɛ₄₄	p iɛ ₄₄	p iɛ ₄₄	piɛ44	ask	Allen2007	334	422	问	CVT	verb
50	Xiangyun	ask	piɛ₄₄	p iɛ ₄₄	p iɛ ₄₄	piɛ44	ask	Allen2007	334	422	问	CVT	verb
51	Luobenzhuo	ask	ʧua₄₄	ʧ ua ₄₄	ʧ ua ₄₄	ʧua44	ask	Allen2007	334	422	问	CVT	verb
#
52	Tuoluo	bad	quɛ₂₁	q uɛ ₂₁	q uɛ ₂₁	quɛ21	bad (things)	Wang2006a	1053	287	?	CVT	?
53	Gongxing	bad	quɛ₄₂	q uɛ ₄₂	q uɛ ₄₂	quɛ42	bad (things)	Wang2006a	1053	287	?	CVT	?
54	Enqi	bad	quɛ₄₃	q uɛ ₄₃	q uɛ ₄₃	quE43	bad (things)	Wang2006a	1053	287	?	CVT	?
55	Ega	bad	quɛ₄₂	q uɛ ₄₂	q uɛ ₄₂	quɛ42	bad (things)	Wang2006a	1053	287	?	CVT	?
56	Jinman	bad	que₄₂	q ue ₄₂	q ue ₄₂	que42	bad (things)	Wang2006a	1053	287	?	CVT	?
57	Jinxing	bad	kua₄₄	k ua ₄₄	k ua ₄₄	kua44	bad (things)	Wang2006a	1053	287	?	CVT	?
58	Dashi	bad	kue₄₂	k ue ₄₂	k ue ₄₂	kue42	bad (things)	Wang2006a	1053	287	?	CVT	?
59	Mazhelong	bad	kuɛ₄₄	k uɛ ₄₄	k uɛ ₄₄	kuɛ44	bad (things)	Wang2006a	1053	287	?	CVT	?
60	Jianchuan	bad	xe₄₄	x e ₄₄	x e ₄₄	xe44	bad	Allen2007	417	287	坏	CVT	?
61	Eryuan	bad	xe₄₄	x e ₄₄	x e ₄₄	xe44	bad	Allen2007	417	287	坏	CVT	?
62	Heqi	bad	xe₃₃	x e ₃₃	x e ₃₃	xe33	bad	Allen2007	417	287	坏	CVT	?
63	Lanping	bad	xe₄₄	x e ₄₄	x e ₄₄	xe44	bad	Allen2007	417	287	坏	CVT	?
64	Qiliqiao	bad	xe₄₄	x e ₄₄	x e ₄₄	xe44	bad	Allen2007	417	287	坏	CVT	?
65	Yunlong	bad	xɛ₃₃	x ɛ ₃₃	x ɛ ₃₃	xɛ33	bad	Allen2007	417	287	坏	CVT	?
66	Xiangyun	bad	xɛ₄₄	x ɛ ₄₄	x ɛ ₄₄	xɛ44	bad	Allen2007	417	287	坏	CVT	?
67	Luobenzhuo	bad	ʈʰɯ₃₃	ʈʰ ɯ ₃₃	ʈʰ ɯ ₃₃	ʈʰɯ33	bad	Allen2007	417	287	坏	CVT	?
#
68	Tuoluo	bamboo	t͡ʂɤ₄₂	t͡ʂ ɤ ₄₂	t͡ʂ ɤ ₄₂ ( - - - )	tʂv42	bamboo	Wang2006a	389	123	?	CVT	?
69	Gongxing	bamboo	t͡sao₂₄	t͡s ao ₂₄	t͡s ao ₂₄ ( - - - )	tsao24	bamboo	Wang2006a	389	123	?	CVT	?
70	Enqi	bamboo	t͡ɕo₅₅	t͡ɕ o ₅₅	t͡ɕ o ₅₅ ( - - - )	tɕo55	bamboo	Wang2006a	389	123	?	CVT	?
