# EDICTOR
@modified: 2015-01-20 10:39
#
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	SOURCE	ID_IN_SOURCE	COGID	CHINESE_GLOSS	PST	POS
2040	Lanping	mosquito	mɯ̃₅₅t͡sɿ₄₄	m ɯ̃ ₅₅ t͡s ɿ ₄₄	m ɯ̃ - ₅₅ t͡s ɿ ₄₄	mɯ̃55tsɿ44	mosquito	Allen2007	80	112	蚊子	CVTCVT	?
2041	Qiliqiao	mosquito	mɯ₄₄t͡sɿ₃₃	m ɯ ₄₄ t͡s ɿ ₃₃	m ɯ - ₄₄ t͡s ɿ ₃₃	mɯ44tsɿ33	mosquito	Allen2007	80	112	蚊子	CVTCVT	?
2042	Yunlong	mosquito	mɯ₄₄t͡sɿ₃₃	m ɯ ₄₄ t͡s ɿ ₃₃	m ɯ - ₄₄ t͡s ɿ ₃₃	mɯ44tsɿ33	mosquito	Allen2007	80	112	蚊子	CVTCVT	?
2043	Xiangyun	mosquito	mɔ₄₄t͡sɿ₃₃	m ɔ ₄₄ t͡s ɿ ₃₃	m ɔ - ₄₄ t͡s ɿ ₃₃	mɔ44tsɿ33	mosquito	Allen2007	80	112	蚊子	CVTCVT	?
2044	Luobenzhuo	mosquito	mo₅₅t͡ɕi₄₄	m o ₅₅ t͡ɕ i ₄₄	m o - ₅₅ t͡ɕ i ₄₄	mo55tɕi44	mosquito	Allen2007	80	112	蚊子	CVTCVT	?
#
2045	Tuoluo	mother	mo₃₃	m o ₃₃	- - m o - ₃₃	mo33	mother	Wang2006a	219	73	?	CVT	?
2046	Gongxing	mother	mu₂₂	m u ₂₂	- - m u - ₂₂	mu22	mother	Wang2006a	219	73	?	CVT	?
2047	Enqi	mother	mo₂₂	m o ₂₂	- - m o - ₂₂	mo22	mother	Wang2006a	219	73	?	CVT	?
2048	Ega	mother	mo₂₂	m o ₂₂	- - m o - ₂₂	mo22	mother	Wang2006a	219	73	?	CVT	?
2049	Jinman	mother	mo₂₂	m o ₂₂	- - m o - ₂₂	mo22	mother	Wang2006a	219	73	?	CVT	?
2050	Jinxing	mother	mõ₃₃	m õ ₃₃	- - m õ - ₃₃	mõ33	mother	Wang2006a	219	73	?	CVT	?
2051	Dashi	mother	mouu₃₃	m ouu ₃₃	- - m ouu - ₃₃	mouu33	mother	Wang2006a	219	73	?	CVT	?
2052	Zhoucheng	mother	mo₃₃	m o ₃₃	- - m o - ₃₃	mo33	mother	Wang2006a	219	73	?	CVT	?
2053	Mazhelong	mother	moŋ₃₃	m o ŋ ₃₃	- - m o ŋ ₃₃	moŋ33	mother	Wang2006a	219	73	?	CVcT	?
2054	Jianchuan	mother	a₃₁mo₃₃	a ₃₁ m o ₃₃	a ₃₁ m o - ₃₃	a31mo33	mother	Allen2007	163	73	母亲	VTCVT	?
2055	Eryuan	mother	a₅₅mɔ₃₃	a ₅₅ m ɔ ₃₃	a ₅₅ m ɔ - ₃₃	a55mɔ33	mother	Allen2007	163	73	母亲	VTCVT	?
2056	Heqi	mother	mɔu₃₃	m ɔu ₃₃	- - m ɔu - ₃₃	mɔu33	mother	Allen2007	163	73	母亲	CVT	?
2057	Lanping	mother	a₄₄mɔ̃₃₃	a ₄₄ m ɔ̃ ₃₃	a ₄₄ m ɔ̃ - ₃₃	a44mɔ̃33	mother	Allen2007	163	73	母亲	VTCVT	?
2058	Qiliqiao	mother	a₃₁mɔ₃₃	a ₃₁ m ɔ ₃₃	a ₃₁ m ɔ - ₃₃	a31mɔ33	mother	Allen2007	163	73	母亲	VTCVT	?
2059	Yunlong	mother	a₅₅mɔ₃₃	a ₅₅ m ɔ ₃₃	a ₅₅ m ɔ - ₃₃	a55mɔ33	mother	Allen2007	163	73	母亲	VTCVT	?
2060	Xiangyun	mother	a₃₁mɔ₃₃	a ₃₁ m ɔ ₃₃	a ₃₁ m ɔ - ₃₃	a31mɔ33	mother	Allen2007	163	73	母亲	VTCVT	?
2061	Luobenzhuo	mother	a₅₅mɔ₃₃	a ₅₅ m ɔ ₃₃	a ₅₅ m ɔ - ₃₃	a55mɔ33	mother	Allen2007	163	73	母亲	VTCVT	?
#
2062	Tuoluo	mountain	ɕien₅₅	ɕ ie n ₅₅	ɕ ie n ₅₅	ɕien55	mountain	Wang2006a	23	14	?	CVcT	?
2063	Gongxing	mountain	sao₄₂	s ao ₄₂	s ao - ₄₂	sao42	mountain	Wang2006a	23	14	?	CVT	?
2064	Ega	mountain	sɛ₅₅	s ɛ ₅₅	s ɛ - ₅₅	sɛ55	mountain	Wang2006a	23	14	?	CVT	?
2065	Jinman	mountain	ʂɚ̃₅₅	ʂ ɚ̃ ₅₅	ʂ ɚ̃ - ₅₅	ʂɚ̃55	mountain	Wang2006a	23	14	?	CVT	?
2066	Jinxing	mountain	sɤ̃₄₂	s ɤ̃ ₄₂	s ɤ̃ - ₄₂	sṽ42	mountain	Wang2006a	23	14	?	CVT	?
2067	Dashi	mountain	ʂo₄₂	ʂ o ₄₂	ʂ o - ₄₂	ʂo42	mountain	Wang2006a	23	14	?	CVT	?
2068	Zhoucheng	mountain	sɤ₅₃	s ɤ ₅₃	s ɤ - ₅₃	sv53	mountain	Wang2006a	23	14	?	CVT	?
2069	Mazhelong	mountain	sen₅₅	s e n ₅₅	s e n ₅₅	sen55	mountain	Wang2006a	23	14	?	CVcT	?
2070	Jianchuan	mountain	sɤ₄₂	s ɤ ₄₂	s ɤ - ₄₂	sɤ42	mountain	Allen2007	22	14	山	CVT	?
2071	Eryuan	mountain	ʂɤ₄₂	ʂ ɤ ₄₂	ʂ ɤ - ₄₂	ʂɤ42	mountain	Allen2007	22	14	山	CVT	?
2072	Heqi	mountain	suɔ₄₂	s uɔ ₄₂	s uɔ - ₄₂	suɔ42	mountain	Allen2007	22	14	山	CVT	?
2073	Lanping	mountain	su₃₁	s u ₃₁	s u - ₃₁	su31	mountain	Allen2007	22	14	山	CVT	?
2074	Qiliqiao	mountain	sɤ₃₂	s ɤ ₃₂	s ɤ - ₃₂	sɤ32	mountain	Allen2007	22	14	山	CVT	?
2075	Yunlong	mountain	ʃɤ₄₂	ʃ ɤ ₄₂	ʃ ɤ - ₄₂	ʃɤ42	mountain	Allen2007	22	14	山	CVT	?
2076	Xiangyun	mountain	ɕɛ̃₄₂	ɕ ɛ̃ ₄₂	ɕ ɛ̃ - ₄₂	ɕɛ̃42	mountain	Allen2007	22	14	山	CVT	?
2077	Luobenzhuo	mountain	ʂɛ̃₅₅	ʂ ɛ̃ ₅₅	ʂ ɛ̃ - ₅₅	ʂɛ̃55	mountain	Allen2007	22	14	山	CVT	?
#
2078	Tuoluo	mouse	ʂɤ₃₃	ʂ ɤ ₃₃	- - - ʂ ɤ ₃₃	ʂv33	mouse	Wang2006a	320	101	?	CVT	?
2079	Gongxing	mouse	sao₂₂	s ao ₂₂	- - - s ao ₂₂	sao22	mouse	Wang2006a	320	101	?	CVT	?
2080	Enqi	mouse	ɕu₂₂	ɕ u ₂₂	- - - ɕ u ₂₂	ɕu22	mouse	Wang2006a	320	101	?	CVT	?
2081	Ega	mouse	ɕy₂₂	ɕ y ₂₂	- - - ɕ y ₂₂	ɕy22	mouse	Wang2006a	320	101	?	CVT	?
2082	Jinman	mouse	ɕu₂₂	ɕ u ₂₂	- - - ɕ u ₂₂	ɕu22	mouse	Wang2006a	320	101	?	CVT	?
2083	Jinxing	mouse	sɤ₃₃	s ɤ ₃₃	- - - s ɤ ₃₃	sv33	mouse	Wang2006a	320	101	?	CVT	?
2084	Dashi	mouse	ʂo₃₃	ʂ o ₃₃	- - - ʂ o ₃₃	ʂo33	mouse	Wang2006a	320	101	?	CVT	?
2085	Zhoucheng	mouse	sɤ₃₃	s ɤ ₃₃	- - - s ɤ ₃₃	sv33	mouse	Wang2006a	320	101	?	CVT	?
2086	Mazhelong	mouse	sou₃₃	s ou ₃₃	- - - s ou ₃₃	sou33	mouse	Wang2006a	320	101	?	CVT	?
2087	Jianchuan	mouse	sɤ₃₃	s ɤ ₃₃	- - - s ɤ ₃₃	sɤ33	mouse	Allen2007	58	101	老鼠	CVT	?
2088	Eryuan	mouse	ʂɤ₃₃	ʂ ɤ ₃₃	- - - ʂ ɤ ₃₃	ʂɤ33	mouse	Allen2007	58	101	老鼠	CVT	?
2089	Heqi	mouse	suɔ₃₃	s uɔ ₃₃	- - - s uɔ ₃₃	suɔ33	mouse	Allen2007	58	101	老鼠	CVT	?
2090	Lanping	mouse	su₃₃	s u ₃₃	- - - s u ₃₃	su33	mouse	Allen2007	58	101	老鼠	CVT	?
2091	Qiliqiao	mouse	sɤ₃₃	s ɤ ₃₃	- - - s ɤ ₃₃	sɤ33	mouse	Allen2007	58	101	老鼠	CVT	?
2092	Yunlong	mouse	ʃɤ₃₃	ʃ ɤ ₃₃	- - - ʃ ɤ ₃₃	ʃɤ33	mouse	Allen2007	58	101	老鼠	CVT	?
2093	Xiangyun	mouse	ɕɛ₄₄	ɕ ɛ ₄₄	- - - ɕ ɛ ₄₄	ɕɛ44	mouse	Allen2007	58	101	老鼠	CVT	?
2094	Luobenzhuo	mouse	wu₄₄ʂu₃₃	w u ₄₄ ʂ u ₃₃	w u ₄₄ ʂ u ₃₃	wu44ʂu33	mouse	Allen2007	58	101	老鼠	CVTCVT	?
#
2095	Tuoluo	mushroom	ʂɚ̃₃₃	ʂ ɚ̃ ₃₃	ʂ ɚ̃ - ₃₃ - - -	ʂɚ̃33	mushroom	Wang2006a	437	145	?	CVT	?
2096	Gongxing	mushroom	ʂẽ₂₂	ʂ ẽ ₂₂	ʂ ẽ - ₂₂ - - -	ʂẽ22	mushroom	Wang2006a	437	145	?	CVT	?
2097	Enqi	mushroom	ɕiæ	ɕ iæ	ɕ iæ - - - - -	ɕiæ	mushroom	Wang2006a	437	145	?	CV	?
2098	Ega	mushroom	sɛ₂₂	s ɛ ₂₂	s ɛ - ₂₂ - - -	sɛ22	mushroom	Wang2006a	437	145	?	CVT	?
2099	Jinman	mushroom	ʂɚ̃₂₂	ʂ ɚ̃ ₂₂	ʂ ɚ̃ - ₂₂ - - -	ʂɚ̃22	mushroom	Wang2006a	437	145	?	CVT	?
2100	Jinxing	mushroom	san₃₃	s a n ₃₃	s a n ₃₃ - - -	san33	mushroom	Wang2006a	437	145	?	CVcT	?
2101	Dashi	mushroom	t͡ɕʰɚ₅₅mu₃₃	t͡ɕʰ ɚ ₅₅ m u ₃₃	t͡ɕʰ ɚ - ₅₅ m u ₃₃	(tɕʰɚ55mu33)	mushroom	Wang2006a	437	145	?	CVTCVT	?
2102	Zhoucheng	mushroom	sɛ₃₃	s ɛ ₃₃	s ɛ - ₃₃ - - -	sɛ33	mushroom	Wang2006a	437	145	?	CVT	?
2103	Mazhelong	mushroom	sen₃₃	s e n ₃₃	s e n ₃₃ - - -	sen33	mushroom	Wang2006a	437	145	?	CVcT	?
2104	Jianchuan	mushroom	sɛ̃₃₃	s ɛ̃ ₃₃	s ɛ̃ - ₃₃ - - -	sɛ̃33	mushroom	Allen2007	113	145	菌子	CVT	?
2105	Eryuan	mushroom	ʂɛ₃₃	ʂ ɛ ₃₃	ʂ ɛ - ₃₃ - - -	ʂɛ33	mushroom	Allen2007	113	145	菌子	CVT	?
2106	Heqi	mushroom	sʰɿ₃₃	sʰ ɿ ₃₃	sʰ ɿ - ₃₃ - - -	sʰɿ33	mushroom	Allen2007	113	145	菌子	CVT	?
2107	Lanping	mushroom	sɛ̃₃₃	s ɛ̃ ₃₃	s ɛ̃ - ₃₃ - - -	sɛ̃33	mushroom	Allen2007	113	145	菌子	CVT	?
2108	Qiliqiao	mushroom	sɛ₃₃	s ɛ ₃₃	s ɛ - ₃₃ - - -	sɛ33	mushroom	Allen2007	113	145	菌子	CVT	?
2109	Yunlong	mushroom	sɛ₃₃	s ɛ ₃₃	s ɛ - ₃₃ - - -	sɛ33	mushroom	Allen2007	113	145	菌子	CVT	?
2110	Xiangyun	mushroom	sɛ̃₃₃	s ɛ̃ ₃₃	s ɛ̃ - ₃₃ - - -	sɛ̃33	mushroom	Allen2007	113	145	菌子	CVT	?
2111	Luobenzhuo	mushroom	ʂɛ̃₃₃	ʂ ɛ̃ ₃₃	ʂ ɛ̃ - ₃₃ - - -	ʂɛ̃33	mushroom	Allen2007	113	145	菌子	CVT	?
#
2112	Tuoluo	name	ɲua₅₅	ɲ ua ₅₅	ɲ ua - ₅₅	ɲua55	name	Wang2006a	687	202	?	CVT	?
2113	Gongxing	name	ɲuɛ₅₅	ɲ uɛ ₅₅	ɲ uɛ - ₅₅	ɲuɛ55	name	Wang2006a	687	202	?	CVT	?
2114	Enqi	name	miæ₂₄	m iæ ₂₄	m iæ - ₂₄	miæ24	name	Wang2006a	687	202	?	CVT	?
2115	Ega	name	ɲya₅₅	ɲ ya ₅₅	ɲ ya - ₅₅	ɲya55	name	Wang2006a	687	202	?	CVT	?
2116	Jinman	name	ɲo₅₅	ɲ o ₅₅	ɲ o - ₅₅	ɲo55	name	Wang2006a	687	202	?	CVT	?
2117	Jinxing	name	mian₅₅	m ia n ₅₅	m ia n ₅₅	mian55	name	Wang2006a	687	202	?	CVcT	?
2118	Dashi	name	miɚ₃₅	m iɚ ₃₅	m iɚ - ₃₅	miɚ35	name	Wang2006a	687	202	?	CVT	?
2119	Zhoucheng	name	miɛ₃₅	m iɛ ₃₅	m iɛ - ₃₅	miɛ35	name	Wang2006a	687	202	?	CVT	?
2120	Mazhelong	name	miɚ₅₅	m iɚ ₅₅	m iɚ - ₅₅	miɚ55	name	Wang2006a	687	202	?	CVT	?
2121	Jianchuan	name	miɛ₅₅	m iɛ ₅₅	m iɛ - ₅₅	miɛ55	name	Allen2007	242	202	名字	CVT	?
2122	Eryuan	name	miɛ₃₅	m iɛ ₃₅	m iɛ - ₃₅	miɛ35	name	Allen2007	242	202	名字	CVT	?
2123	Heqi	name	miɛ₃₅	m iɛ ₃₅	m iɛ - ₃₅	miɛ35	name	Allen2007	242	202	名字	CVT	?
2124	Lanping	name	miɛ₅₅	m iɛ ₅₅	m iɛ - ₅₅	miɛ55	name	Allen2007	242	202	名字	CVT	?
2125	Qiliqiao	name	miɛ₃₅	m iɛ ₃₅	m iɛ - ₃₅	miɛ35	name	Allen2007	242	202	名字	CVT	?
2126	Yunlong	name	miɛ₃₅	m iɛ ₃₅	m iɛ - ₃₅	miɛ35	name	Allen2007	242	202	名字	CVT	?
2127	Xiangyun	name	miɛ₃₅	m iɛ ₃₅	m iɛ - ₃₅	miɛ35	name	Allen2007	242	202	名字	CVT	?
2128	Luobenzhuo	name	ɲõ₅₅	ɲ õ ₅₅	ɲ õ - ₅₅	ɲõ55	name	Allen2007	242	202	名字	CVT	?
#
2129	Tuoluo	near	jen₃₃	j e n ₃₃	j e n ₃₃	jen33	near	Wang2006a	975	254	?	CVcT	?
2130	Gongxing	near	d͡ʑien₂₂	d͡ʑ ie n ₂₂	d͡ʑ ie n ₂₂	dʑien22	near	Wang2006a	975	254	?	CVcT	?
2131	Enqi	near	t͡ɕi₂₂	t͡ɕ i ₂₂	t͡ɕ i - ₂₂	tɕi22	near	Wang2006a	975	254	?	CVT	?
2132	Ega	near	t͡sʰo₅₅	t͡sʰ o ₅₅	t͡sʰ o - ₅₅	(tsʰo55)	near	Wang2006a	975	254	?	CVT	?
2133	Jinman	near	t͡sʰo₅₅	t͡sʰ o ₅₅	t͡sʰ o - ₅₅	tsʰo55)	near	Wang2006a	975	254	?	CVT	?
2134	Jinxing	near	t͡ɕien₃₃	t͡ɕ ie n ₃₃	t͡ɕ ie n ₃₃	(tɕien33	near	Wang2006a	975	254	?	CVcT	?
2135	Dashi	near	t͡ɕien₃₃	t͡ɕ ie n ₃₃	t͡ɕ ie n ₃₃	tɕien33	near	Wang2006a	975	254	?	CVcT	?
2136	Zhoucheng	near	t͡ɕie₃₃	t͡ɕ ie ₃₃	t͡ɕ ie - ₃₃	tɕie33	near	Wang2006a	975	254	?	CVT	?
2137	Mazhelong	near	t͡ɕen₃₃	t͡ɕ e n ₃₃	t͡ɕ e n ₃₃	tɕen33	near	Wang2006a	975	254	?	CVcT	?
2138	Jianchuan	near	t͡ɕĩ₃₃	t͡ɕ ĩ ₃₃	t͡ɕ ĩ - ₃₃	tɕĩ33	near	Allen2007	397	254	近	CVT	?
2139	Eryuan	near	t͡ɕi₃₃	t͡ɕ i ₃₃	t͡ɕ i - ₃₃	tɕi33	near	Allen2007	397	254	近	CVT	?
2140	Heqi	near	t͡ɕĩ₃₃	t͡ɕ ĩ ₃₃	t͡ɕ ĩ - ₃₃	tɕĩ33	near	Allen2007	397	254	近	CVT	?
2141	Lanping	near	t͡ɕĩ₄₄	t͡ɕ ĩ ₄₄	t͡ɕ ĩ - ₄₄	tɕĩ44	near	Allen2007	397	254	近	CVT	?
2142	Qiliqiao	near	t͡ɕiɛ₃₃	t͡ɕ iɛ ₃₃	t͡ɕ iɛ - ₃₃	tɕiɛ33	near	Allen2007	397	254	近	CVT	?
2143	Yunlong	near	t͡ɕi₃₃	t͡ɕ i ₃₃	t͡ɕ i - ₃₃	tɕi33	near	Allen2007	397	254	近	CVT	?
2144	Xiangyun	near	jĩ₃₃	j ĩ ₃₃	j ĩ - ₃₃	jĩ33	near	Allen2007	397	254	近	CVT	?
2145	Luobenzhuo	near	t͡sʰuɔ₅₅	t͡sʰ uɔ ₅₅	t͡sʰ uɔ - ₅₅	tsʰuɔ55	near	Allen2007	397	254	近	CVT	?
#
2146	Tuoluo	new	ɕien₅₅	ɕ ie n ₅₅	ɕ ie n ₅₅	ɕien55	new	Wang2006a	1050	284	?	CVcT	?
2147	Gongxing	new	ɕien₅₅	ɕ ie n ₅₅	ɕ ie n ₅₅	ɕien55	new	Wang2006a	1050	284	?	CVcT	?
2148	Enqi	new	si₂₄	s i ₂₄	s i - ₂₄	si24	new	Wang2006a	1050	284	?	CVT	?
2149	Ega	new	sɛ₅₅	s ɛ ₅₅	s ɛ - ₅₅	sɛ55	new	Wang2006a	1050	284	?	CVT	?
2150	Jinman	new	sẽ₅₅	s ẽ ₅₅	s ẽ - ₅₅	sẽ55	new	Wang2006a	1050	284	?	CVT	?
2151	Jinxing	new	ɕien₅₅	ɕ ie n ₅₅	ɕ ie n ₅₅	ɕien55	new	Wang2006a	1050	284	?	CVcT	?
2152	Dashi	new	ɕʰien₅₅	ɕʰ ie n ₅₅	ɕʰ ie n ₅₅	ɕʰien55	new	Wang2006a	1050	284	?	CVcT	?
2153	Zhoucheng	new	ɕi₃₅	ɕ i ₃₅	ɕ i - ₃₅	ɕi35	new	Wang2006a	1050	284	?	CVT	?
2154	Mazhelong	new	ɕen₅₅	ɕ e n ₅₅	ɕ e n ₅₅	ɕen55	new	Wang2006a	1050	284	?	CVcT	?
2155	Jianchuan	new	ɕĩ₅₅	ɕ ĩ ₅₅	ɕ ĩ - ₅₅	ɕĩ55	new	Allen2007	421	284	新	CVT	?
2156	Eryuan	new	ɕi₅₅	ɕ i ₅₅	ɕ i - ₅₅	ɕi55	new	Allen2007	421	284	新	CVT	?
2157	Heqi	new	ɕʰĩ₅₅	ɕʰ ĩ ₅₅	ɕʰ ĩ - ₅₅	ɕʰĩ55	new	Allen2007	421	284	新	CVT	?
2158	Lanping	new	ɕĩ₅₅	ɕ ĩ ₅₅	ɕ ĩ - ₅₅	ɕĩ55	new	Allen2007	421	284	新	CVT	?
2159	Qiliqiao	new	ɕi₃₅	ɕ i ₃₅	ɕ i - ₃₅	ɕi35	new	Allen2007	421	284	新	CVT	?
2160	Yunlong	new	se₅₅	s e ₅₅	s e - ₅₅	se55	new	Allen2007	421	284	新	CVT	?
2161	Xiangyun	new	ɕĩ₅₅	ɕ ĩ ₅₅	ɕ ĩ - ₅₅	ɕĩ55	new	Allen2007	421	284	新	CVT	?
2162	Luobenzhuo	new	sẽ₅₅	s ẽ ₅₅	s ẽ - ₅₅	sẽ55	new	Allen2007	421	284	新	CVT	?
#
2163	Tuoluo	nine	t͡ɕi₃₃	t͡ɕ i ₃₃	t͡ɕ i ₃₃	tɕi33	nine	Wang2006a	805	225	?	CVT	?
2164	Gongxing	nine	t͡ɕi₂₂	t͡ɕ i ₂₂	t͡ɕ i ₂₂	tɕi22	nine	Wang2006a	805	225	?	CVT	?
2165	Enqi	nine	t͡ɕiɯ₂₂	t͡ɕ iɯ ₂₂	t͡ɕ iɯ ₂₂	tɕiɯ22	nine	Wang2006a	805	225	?	CVT	?
2166	Ega	nine	t͡ɕi₂₂	t͡ɕ i ₂₂	t͡ɕ i ₂₂	tɕi22	nine	Wang2006a	805	225	?	CVT	?
2167	Jinman	nine	t͡ɕi₂₂	t͡ɕ i ₂₂	t͡ɕ i ₂₂	tɕi22	nine	Wang2006a	805	225	?	CVT	?
2168	Jinxing	nine	t͡ɕiɯ₃₃	t͡ɕ iɯ ₃₃	t͡ɕ iɯ ₃₃	tɕiɯ33	nine	Wang2006a	805	225	?	CVT	?
2169	Dashi	nine	t͡ɕiɯ₃₃	t͡ɕ iɯ ₃₃	t͡ɕ iɯ ₃₃	tɕiɯ33	nine	Wang2006a	805	225	?	CVT	?
2170	Zhoucheng	nine	t͡ɕiɯ₃₃	t͡ɕ iɯ ₃₃	t͡ɕ iɯ ₃₃	tɕiɯ33	nine	Wang2006a	805	225	?	CVT	?
2171	Mazhelong	nine	t͡ɕǝɯ₃₃	t͡ɕ ǝɯ ₃₃	t͡ɕ ǝɯ ₃₃	tɕǝɯ33	nine	Wang2006a	805	225	?	CVT	?
2172	Jianchuan	nine	t͡ɕɯ₃₃	t͡ɕ ɯ ₃₃	t͡ɕ ɯ ₃₃	tɕɯ33	nine	Allen2007	458	225	九	CVT	?
2173	Eryuan	nine	t͡ɕɯ₃₃	t͡ɕ ɯ ₃₃	t͡ɕ ɯ ₃₃	tɕɯ33	nine	Allen2007	458	225	九	CVT	?
2174	Heqi	nine	t͡ɕɯ₃₃	t͡ɕ ɯ ₃₃	t͡ɕ ɯ ₃₃	tɕɯ33	nine	Allen2007	458	225	九	CVT	?
2175	Lanping	nine	t͡ɕɯ₄₄	t͡ɕ ɯ ₄₄	t͡ɕ ɯ ₄₄	tɕɯ44	nine	Allen2007	458	225	九	CVT	?
2176	Qiliqiao	nine	t͡ɕɯ₃₃	t͡ɕ ɯ ₃₃	t͡ɕ ɯ ₃₃	tɕɯ33	nine	Allen2007	458	225	九	CVT	?
2177	Yunlong	nine	t͡ɕɯ₃₃	t͡ɕ ɯ ₃₃	t͡ɕ ɯ ₃₃	tɕɯ33	nine	Allen2007	458	225	九	CVT	?
2178	Xiangyun	nine	t͡ɕou₃₃	t͡ɕ ou ₃₃	t͡ɕ ou ₃₃	tɕou33	nine	Allen2007	458	225	九	CVT	?
2179	Luobenzhuo	nine	t͡ɕi₃₃	t͡ɕ i ₃₃	t͡ɕ i ₃₃	tɕi33	nine	Allen2007	458	225	九	CVT	?
#
2180	Tuoluo	old;aged	kɤ₃₃	k ɤ ₃₃	k ɤ ₃₃	kv33	old	Wang2006a	1493	377	?	CVT	?
2181	Gongxing	old;aged	ku₂₂	k u ₂₂	k u ₂₂	ku22	old	Wang2006a	1493	377	?	CVT	?
2182	Enqi	old;aged	ku₂₂	k u ₂₂	k u ₂₂	ku22	old	Wang2006a	1493	377	?	CVT	?
2183	Ega	old;aged	kɤ₂₂	k ɤ ₂₂	k ɤ ₂₂	kv22	old	Wang2006a	1493	377	?	CVT	?
2184	Jinman	old;aged	kɤ₂₂	k ɤ ₂₂	k ɤ ₂₂	kv22	old	Wang2006a	1493	377	?	CVT	?
2185	Jinxing	old;aged	ku₃₃	k u ₃₃	k u ₃₃	ku33	old	Wang2006a	1493	377	?	CVT	?
2186	Dashi	old;aged	ku₃₃	k u ₃₃	k u ₃₃	ku33	old	Wang2006a	1493	377	?	CVT	?
2187	Zhoucheng	old;aged	ku₃₃	k u ₃₃	k u ₃₃	ku33	old	Wang2006a	1493	377	?	CVT	?
2188	Mazhelong	old;aged	kɤ₃₃	k ɤ ₃₃	k ɤ ₃₃	kv33	old	Wang2006a	1493	377	?	CVT	?
2189	Jianchuan	old;aged	ku₃₃	k u ₃₃	k u ₃₃	ku33	old	Allen2007	415	377	老	CVT	?
2190	Eryuan	old;aged	ku₃₃	k u ₃₃	k u ₃₃	ku33	old	Allen2007	415	377	老	CVT	?
2191	Heqi	old;aged	ku₃₃	k u ₃₃	k u ₃₃	ku33	old	Allen2007	415	377	老	CVT	?
2192	Lanping	old;aged	ku₃₃	k u ₃₃	k u ₃₃	ku33	old	Allen2007	415	377	老	CVT	?
2193	Qiliqiao	old;aged	ku₃₃	k u ₃₃	k u ₃₃	ku33	old	Allen2007	415	377	老	CVT	?
2194	Yunlong	old;aged	ku₃₃	k u ₃₃	k u ₃₃	ku33	old	Allen2007	415	377	老	CVT	?
2195	Xiangyun	old;aged	ku₃₃	k u ₃₃	k u ₃₃	ku33	old	Allen2007	415	377	老	CVT	?
2196	Luobenzhuo	old;aged	kɤ₃₃	k ɤ ₃₃	k ɤ ₃₃	kɤ33	old	Allen2007	415	377	老	CVT	?
#
2197	Tuoluo	old;used	geŋ₂₁	g e ŋ ₂₁	g e ŋ ₂₁	geŋ21	used, old	Wang2006a	1051	285	?	CVcT	?
2198	Gongxing	old;used	gɯ₄₂	g ɯ ₄₂	g ɯ - ₄₂	gɯ42	used, old	Wang2006a	1051	285	?	CVT	?
2199	Enqi	old;used	gɯ₄₃	g ɯ ₄₃	g ɯ - ₄₃	gɯ43	used, old	Wang2006a	1051	285	?	CVT	?
2200	Ega	old;used	gɯ₄₂	g ɯ ₄₂	g ɯ - ₄₂	gɯ42	used, old	Wang2006a	1051	285	?	CVT	?
2201	Jinman	old;used	gɯ̃₄₂	g ɯ̃ ₄₂	g ɯ̃ - ₄₂	gɯ̃42	used, old	Wang2006a	1051	285	?	CVT	?
2202	Zhoucheng	old;used	kɯ₃₁	k ɯ ₃₁	k ɯ - ₃₁	kɯ31	used, old	Wang2006a	1051	285	?	CVT	?
2203	Mazhelong	old;used	kǝɯ₂₁	k ǝɯ ₂₁	k ǝɯ - ₂₁	kǝɯ21	used, old	Wang2006a	1051	285	?	CVT	?
2204	Jianchuan	old;used	kɯ₂₁	k ɯ ₂₁	k ɯ - ₂₁	kɯ21	old	Allen2007	422	285	旧	CVT	?
2205	Eryuan	old;used	kɯ₃₁	k ɯ ₃₁	k ɯ - ₃₁	kɯ31	old	Allen2007	422	285	旧	CVT	?
2206	Heqi	old;used	kɯ₃₁	k ɯ ₃₁	k ɯ - ₃₁	kɯ31	old	Allen2007	422	285	旧	CVT	?
2207	Lanping	old;used	kɯ₃₁	k ɯ ₃₁	k ɯ - ₃₁	kɯ31	old	Allen2007	422	285	旧	CVT	?
2208	Qiliqiao	old;used	kɯ₃₃	k ɯ ₃₃	k ɯ - ₃₃	kɯ33	old	Allen2007	422	285	旧	CVT	?
2209	Yunlong	old;used	kɯ₃₁	k ɯ ₃₁	k ɯ - ₃₁	kɯ31	old	Allen2007	422	285	旧	CVT	?
2210	Xiangyun	old;used	kɯ₂₁	k ɯ ₂₁	k ɯ - ₂₁	kɯ21	old	Allen2007	422	285	旧	CVT	?
2211	Luobenzhuo	old;used	gɯ̃₃₃	g ɯ̃ ₃₃	g ɯ̃ - ₃₃	gɯ̃33	old	Allen2007	422	285	旧	CVT	?
#
2212	Tuoluo	one	a₂₁	a ₂₁	- a ₂₁	a21	one	Wang2006a	797	217	?	VT	?
2213	Gongxing	one	a₅₅	a ₅₅	- a ₅₅	a55	one	Wang2006a	797	217	?	VT	?
2214	Enqi	one	a₄₃	a ₄₃	- a ₄₃	a43	one	Wang2006a	797	217	?	VT	?
