# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	IPA	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	POS	DOCULECT	CONCEPT	OMEGAWIKI	CHINESE_GLOSS
#
6779	ŋa₄₄	Allen2007, 262	bite / 咬	ŋa44	verb	Jianchuan	bite	5993	咬
6780	ŋa₄₄	Allen2007, 262	bite / 咬	ŋa44	verb	Eryuan	bite	5993	咬
6781	ŋa₄₄	Allen2007, 262	bite / 咬	ŋa44	verb	Heqi	bite	5993	咬
6782	ŋa₄₄	Allen2007, 262	bite / 咬	ŋa44	verb	Lanping	bite	5993	咬
6784	ŋa₄₄	Allen2007, 262	bite / 咬	ŋa44	verb	Yunlong	bite	5993	咬
6785	ŋa₄₄	Allen2007, 262	bite / 咬	ŋa44	verb	Xiangyun	bite	5993	咬
6786	ɴã₅₅	Allen2007, 262	bite / 咬	ɴã55	verb	Luobenzhuo	bite	5993	咬
6783	ŋa₄₄	Allen2007, 262	bite / 咬	ŋa44	verb	Qiliqiao	bite	5993	咬
#
238	xɚ₄₂	Wang2006a, 1005	black	[xɚ42]	?	Tuoluo	black	1341728	?
239	χe₂₄	Wang2006a, 1005	black	χe24	?	Gongxing	black	1341728	?
240	χɯ₅₅	Wang2006a, 1005	black	χɯ55	?	Enqi	black	1341728	?
241	xɯ₄₄	Wang2006a, 1005	black	xɯ44	?	Ega	black	1341728	?
242	xɯ₅₅	Wang2006a, 1005	black	xɯ55	?	Jinman	black	1341728	?
243	xɯ₄₄	Wang2006a, 1005	black	xɯ44	?	Jinxing	black	1341728	?
244	xɯ₄₄	Wang2006a, 1005	black	xɯ44	?	Dashi	black	1341728	?
245	xɯ₄₄	Wang2006a, 1005	black	xɯ44	?	Zhoucheng	black	1341728	?
246	xɯ₄₄	Wang2006a, 1005	black	xɯ44	?	Mazhelong	black	1341728	?
247	xɯ₄₄	Allen2007, 410	black / 黑	xɯ44	?	Jianchuan	black	1341728	黑
248	xɯ₄₄	Allen2007, 410	black / 黑	xɯ44	?	Eryuan	black	1341728	黑
249	xɯ₄₄	Allen2007, 410	black / 黑	xɯ44	?	Heqi	black	1341728	黑
250	xɯ₄₄	Allen2007, 410	black / 黑	xɯ44	?	Lanping	black	1341728	黑
251	xɯ₄₄	Allen2007, 410	black / 黑	xɯ44	?	Qiliqiao	black	1341728	黑
252	xɯ₄₄	Allen2007, 410	black / 黑	xɯ44	?	Yunlong	black	1341728	黑
253	xou₄₄	Allen2007, 410	black / 黑	xou44	?	Xiangyun	black	1341728	黑
254	xɯ₅₅	Allen2007, 410	black / 黑	xɯ55	?	Luobenzhuo	black	1341728	黑
#
255	suɔ₄₂	Wang2006a, 129	blood	suɔ42	?	Tuoluo	blood	411	?
256	sua₂₄	Wang2006a, 129	blood	sua24	?	Gongxing	blood	411	?
257	sua₅₅	Wang2006a, 129	blood	sua55	?	Enqi	blood	411	?
258	sua₄₄	Wang2006a, 129	blood	sua44	?	Ega	blood	411	?
259	sua₅₅	Wang2006a, 129	blood	sua55	?	Jinman	blood	411	?
260	suɑ₄₄	Wang2006a, 129	blood	suɑ44	?	Jinxing	blood	411	?
261	sʰua₄₄	Wang2006a, 129	blood	sʰua44	?	Dashi	blood	411	?
262	sua₄₄	Wang2006a, 129	blood	sua44	?	Zhoucheng	blood	411	?
263	sua₄₄	Wang2006a, 129	blood	sua44	?	Mazhelong	blood	411	?
264	sua₄₄	Allen2007, 145	blood / 血	sua44	?	Jianchuan	blood	411	血
265	sua₄₄	Allen2007, 145	blood / 血	sua44	?	Eryuan	blood	411	血
266	sʰua₄₄	Allen2007, 145	blood / 血	sʰua44	?	Heqi	blood	411	血
267	sua₄₄	Allen2007, 145	blood / 血	sua44	?	Lanping	blood	411	血
268	ʃua₄₄	Allen2007, 145	blood / 血	ʃua44	?	Qiliqiao	blood	411	血
269	sua₄₄	Allen2007, 145	blood / 血	sua44	?	Yunlong	blood	411	血
270	sua₄₄	Allen2007, 145	blood / 血	sua44	?	Xiangyun	blood	411	血
271	sua₅₅	Allen2007, 145	blood / 血	sua55	?	Luobenzhuo	blood	411	血
#
272	pʰɯ₅₅	Wang2006a, 1218	blow (the trumpet)	pʰɯ55	verb	Tuoluo	blow	1375415	?
273	pu₅₅	Wang2006a, 1218	blow (the trumpet)	pu55	verb	Gongxing	blow	1375415	?
274	pʰɯ₂₄	Wang2006a, 1218	blow (the trumpet)	pʰɯ24	verb	Enqi	blow	1375415	?
275	pʰɯ₅₅	Wang2006a, 1218	blow (the trumpet)	pʰɯ55	verb	Ega	blow	1375415	?
276	pʰɯ₅₅	Wang2006a, 1218	blow (the trumpet)	pʰɯ55	verb	Jinman	blow	1375415	?
277	pʰɯ₅₅	Wang2006a, 1218	blow (the trumpet)	pʰɯ55	verb	Jinxing	blow	1375415	?
278	pʰu₅₅	Wang2006a, 1218	blow (the trumpet)	pʰu55	verb	Dashi	blow	1375415	?
279	pʰǝɯ₅₅	Wang2006a, 1218	blow (the trumpet)	pʰǝɯ55	verb	Zhoucheng	blow	1375415	?
280	pʰǝɯ₅₅	Wang2006a, 1218	blow (the trumpet)	pʰǝɯ55	verb	Mazhelong	blow	1375415	?
281	pʰɯ₅₅	Allen2007, 266	blow / 吹	pʰɯ55	verb	Jianchuan	blow	1375415	吹
282	pʰɯ₅₅	Allen2007, 266	blow / 吹	pʰɯ55	verb	Eryuan	blow	1375415	吹
283	pʰɯ₅₅	Allen2007, 266	blow / 吹	pʰɯ55	verb	Heqi	blow	1375415	吹
284	pʰu₅₅	Allen2007, 266	blow / 吹	pʰu55	verb	Lanping	blow	1375415	吹
285	pʰɯ₅₅	Allen2007, 266	blow / 吹	pʰɯ55	verb	Qiliqiao	blow	1375415	吹
286	pʰɯ₅₅	Allen2007, 266	blow / 吹	pʰɯ55	verb	Yunlong	blow	1375415	吹
287	pʰou₅₅	Allen2007, 266	blow / 吹	pʰou55	verb	Xiangyun	blow	1375415	吹
288	pʰɯ₄₄	Allen2007, 266	blow / 吹	pʰɯ44	verb	Luobenzhuo	blow	1375415	吹
#
7531	tua₃₁	Allen2007, 426	blunt(knife) / 钝(刀)	tua31	?	Jianchuan	blunt	1511061	钝(刀)
7533	tua₃₁	Allen2007, 426	blunt(knife) / 钝(刀)	tua31	?	Heqi	blunt	1511061	钝(刀)
7537	tue₃₃	Allen2007, 426	blunt(knife) / 钝(刀)	tue33	?	Xiangyun	blunt	1511061	钝(刀)
7532	tua₃₁	Allen2007, 426	blunt(knife) / 钝(刀)	tua31	?	Eryuan	blunt	1511061	钝(刀)
7534	tɯ₂₁	Allen2007, 426	blunt(knife) / 钝(刀)	tɯ21	?	Lanping	blunt	1511061	钝(刀)
7535	ji₃₁mu₃₃	Allen2007, 426	blunt(knife) / 钝(刀)	ji31mu33	?	Qiliqiao	blunt	1511061	钝(刀)
7536	tua₃₁	Allen2007, 426	blunt(knife) / 钝(刀)	tua31	?	Yunlong	blunt	1511061	钝(刀)
7538	ʈɛ₅₅	Allen2007, 426	blunt(knife) / 钝(刀)	ʈɛ55	?	Luobenzhuo	blunt	1511061	钝(刀)
#
305	ku₄₂	Wang2006a, 133	bone	ku42	?	Tuoluo	bone	5983	?
306	qua₂₄	Wang2006a, 133	bone	qua24	?	Gongxing	bone	5983	?
307	qua₅₅	Wang2006a, 133	bone	qua55	?	Enqi	bone	5983	?
308	qua₄₄	Wang2006a, 133	bone	qua44	?	Ega	bone	5983	?
309	qua₅₅	Wang2006a, 133	bone	qua55	?	Jinman	bone	5983	?
310	kuɑ₄₄	Wang2006a, 133	bone	kuɑ44	?	Jinxing	bone	5983	?
311	kua₄₄	Wang2006a, 133	bone	kua44	?	Dashi	bone	5983	?
312	kua₄₄	Wang2006a, 133	bone	kua44	?	Zhoucheng	bone	5983	?
313	kua₄₄	Wang2006a, 133	bone	kua44	?	Mazhelong	bone	5983	?
314	kua₄₄tɯ₂₁	Allen2007, 144	bone / 骨头	kua44tɯ21	?	Jianchuan	bone	5983	骨头
315	kua₄₄tɯ₂₁	Allen2007, 144	bone / 骨头	kua44tɯ21	?	Eryuan	bone	5983	骨头
316	kua₄₄tɯ₂₁	Allen2007, 144	bone / 骨头	kua44tɯ21	?	Heqi	bone	5983	骨头
317	kua₄₄t͡se₄₄	Allen2007, 144	bone / 骨头	kua44tse44	?	Lanping	bone	5983	骨头
318	kua₄₄tɯ₂₁	Allen2007, 144	bone / 骨头	kua44tɯ21	?	Qiliqiao	bone	5983	骨头
319	kua₄₄tɯ₂₁	Allen2007, 144	bone / 骨头	kua44tɯ21	?	Yunlong	bone	5983	骨头
320	kua₄₄tou₂₁	Allen2007, 144	bone / 骨头	kua44tou21	?	Xiangyun	bone	5983	骨头
321	qua₅₅t͡sɛ₄₄	Allen2007, 144	bone / 骨头	qua55tsɛ44	?	Luobenzhuo	bone	5983	骨头
#
322	bo₄₂	Wang2006a, 94	breasts	bo42	?	Tuoluo	breast	5992	?
323	ba₂₁	Wang2006a, 94	breasts	ba21	?	Gongxing	breast	5992	?
324	pa₂₁	Wang2006a, 94	breasts	pa21	?	Enqi	breast	5992	?
325	pa₄₂	Wang2006a, 94	breasts	pa42	?	Ega	breast	5992	?
326	pa₄₂	Wang2006a, 94	breasts	pa42	?	Jinman	breast	5992	?
327	pɑ₄₂	Wang2006a, 94	breasts	pɑ42	?	Jinxing	breast	5992	?
328	pa₄₂	Wang2006a, 94	breasts	pa42	?	Dashi	breast	5992	?
329	pa₄₂	Wang2006a, 94	breasts	pa42	?	Zhoucheng	breast	5992	?
330	ŋɔŋ₃₃	Wang2006a, 94	breasts	[ŋɔŋ33]	?	Mazhelong	breast	5992	?
331	pa₄₂	Allen2007, 138	breast / 乳房	pa42	?	Jianchuan	breast	5992	乳房
332	pa₄₂	Allen2007, 138	breast / 乳房	pa42	?	Eryuan	breast	5992	乳房
333	pa₄₂tu₃₅	Allen2007, 138	breast / 乳房	pa42tu35	?	Heqi	breast	5992	乳房
334	pa₄₂pe₅₅	Allen2007, 138	breast / 乳房	pa42pe55	?	Lanping	breast	5992	乳房
335	pa₄₂ku₂₁	Allen2007, 138	breast / 乳房	pa42ku21	?	Qiliqiao	breast	5992	乳房
336	pa₄₂	Allen2007, 138	breast / 乳房	pa42	?	Yunlong	breast	5992	乳房
337	pa₄₂	Allen2007, 138	breast / 乳房	pa42	?	Xiangyun	breast	5992	乳房
338	pa₄₄	Allen2007, 138	breast / 乳房	pa44	?	Luobenzhuo	breast	5992	乳房
#
373	ma₂₁	Wang2006a, 1516	buy	ma21	verb	Tuoluo	buy	8061	?
374	mæ₄₂	Wang2006a, 1516	buy	mæ42	verb	Gongxing	buy	8061	?
375	mæ₄₃	Wang2006a, 1516	buy	mæ43	verb	Enqi	buy	8061	?
376	ma₄₂	Wang2006a, 1516	buy	ma42	verb	Ega	buy	8061	?
377	ma₄₂	Wang2006a, 1516	buy	ma42	verb	Jinman	buy	8061	?
378	ma₄₂	Wang2006a, 1516	buy	ma42	verb	Jinxing	buy	8061	?
379	mɚ₄₂	Wang2006a, 1516	buy	mɚ42	verb	Dashi	buy	8061	?
380	mɛ₄₂	Wang2006a, 1516	buy	mɛ42	verb	Zhoucheng	buy	8061	?
381	mɚ₂₁	Wang2006a, 1516	buy	mɚ21	verb	Mazhelong	buy	8061	?
382	mɛ₄₂	Allen2007, 301	buy / 买	mɛ42	verb	Jianchuan	buy	8061	买
383	mɛ₄₂	Allen2007, 301	buy / 买	mɛ42	verb	Eryuan	buy	8061	买
384	mɛ₄₂	Allen2007, 301	buy / 买	mɛ42	verb	Heqi	buy	8061	买
385	mæ₄₂	Allen2007, 301	buy / 买	mæ42	verb	Lanping	buy	8061	买
386	mɛ₃₂	Allen2007, 301	buy / 买	mɛ32	verb	Qiliqiao	buy	8061	买
387	mɛ₄₂	Allen2007, 301	buy / 买	mɛ42	verb	Yunlong	buy	8061	买
388	mɛ₄₂	Allen2007, 301	buy / 买	mɛ42	verb	Xiangyun	buy	8061	买
389	ma₃₁	Allen2007, 301	buy / 买	ma31	verb	Luobenzhuo	buy	8061	买
#
6787	t͡sou₄₂	Allen2007, 263	chew / 嚼	tsou42	?	Jianchuan	chew	1510493	嚼
6788	t͡sɔ₄₂	Allen2007, 263	chew / 嚼	tsɔ42	?	Eryuan	chew	1510493	嚼
6789	t͡sɔu₄₂	Allen2007, 263	chew / 嚼	tsɔu42	?	Heqi	chew	1510493	嚼
6790	t͡sa₄₂	Allen2007, 263	chew / 嚼	tsa42	?	Lanping	chew	1510493	嚼
6791	t͡so₄₂	Allen2007, 263	chew / 嚼	tso42	?	Qiliqiao	chew	1510493	嚼
6792	t͡so₄₂	Allen2007, 263	chew / 嚼	tso42	?	Yunlong	chew	1510493	嚼
6793	za₃₁	Allen2007, 263	chew / 嚼	za31	?	Xiangyun	chew	1510493	嚼
6794	ɴã₅₅ʐa₄₂	Allen2007, 263	chew / 嚼	ɴã55ʐa42	?	Luobenzhuo	chew	1510493	嚼
#
6851	mɛ₄₄	Allen2007, 286	climb / 爬	mɛ44	?	Jianchuan	climb	479387	爬
6852	mɛ₄₄	Allen2007, 286	climb / 爬	mɛ44	?	Eryuan	climb	479387	爬
6853	mɛ₄₄	Allen2007, 286	climb / 爬	mɛ44	?	Heqi	climb	479387	爬
6854	mæ₄₄	Allen2007, 286	climb / 爬	mæ44	?	Lanping	climb	479387	爬
6856	mɛ₄₄	Allen2007, 286	climb / 爬	mɛ44	?	Yunlong	climb	479387	爬
6857	mɛ₄₄	Allen2007, 286	climb / 爬	mɛ44	?	Xiangyun	climb	479387	爬
6855	mɛ₄₄	Allen2007, 286	climb / 爬	mɛ44	?	Qiliqiao	climb	479387	爬
6858	ma₅₅	Allen2007, 286	climb / 爬	ma55	?	Luobenzhuo	climb	479387	爬
#
5754	mɯ̃₃₁kao₄₂	Allen2007, 5	cloud / 云	mɯ̃31kao42	?	Luobenzhuo	cloud	623	云
5747	vɤ̃₂₁	Allen2007, 5	cloud / 云	vɤ̃21	?	Jianchuan	cloud	623	云
5748	vɤ₂₁	Allen2007, 5	cloud / 云	vɤ21	?	Eryuan	cloud	623	云
5749	vɤ₂₁	Allen2007, 5	cloud / 云	vɤ21	?	Heqi	cloud	623	云
5750	vã₂₁	Allen2007, 5	cloud / 云	vã21	?	Lanping	cloud	623	云
5751	vɤ₂₁	Allen2007, 5	cloud / 云	vɤ21	?	Qiliqiao	cloud	623	云
5753	jɛ̃₂₁	Allen2007, 5	cloud / 云	jɛ̃21	?	Xiangyun	cloud	623	云
5752	ɥɛ₄₄	Allen2007, 5	cloud / 云	ɥɛ44	?	Yunlong	cloud	623	云
#
575	kɯ₅₅	Wang2006a, 1063	cold	kɯ55	?	Tuoluo	cold	5639	?
576	ga₁₂	Wang2006a, 1063	cold	ga12	?	Gongxing	cold	5639	?
577	kɯ₂₄	Wang2006a, 1063	cold	kɯ24	?	Enqi	cold	5639	?
578	kɯ₅₅	Wang2006a, 1063	cold	kɯ55	?	Ega	cold	5639	?
579	kɯ₅₅	Wang2006a, 1063	cold	kɯ55	?	Jinman	cold	5639	?
580	kɯka₂₁	Wang2006a, 1063	cold	kɯka21	?	Dashi	cold	5639	?
581	kɯ₃₅	Wang2006a, 1063	cold	kɯ35	?	Zhoucheng	cold	5639	?
582	kɯ₅₅	Wang2006a, 1063	cold	kɯ55	?	Mazhelong	cold	5639	?
583	kɯ₅₅	Allen2007, 434	cold / 冷	kɯ55	?	Jianchuan	cold	5639	冷
584	kɯ₃₅	Allen2007, 434	cold / 冷	kɯ35	?	Eryuan	cold	5639	冷
585	kɯ₅₅	Allen2007, 434	cold / 冷	kɯ55	?	Heqi	cold	5639	冷
586	kɯ₄₄	Allen2007, 434	cold / 冷	kɯ44	?	Lanping	cold	5639	冷
587	kɯ₃₅	Allen2007, 434	cold / 冷	kɯ35	?	Qiliqiao	cold	5639	冷
588	kɯ₃₅	Allen2007, 434	cold / 冷	kɯ35	?	Yunlong	cold	5639	冷
589	kɯ₃₅	Allen2007, 434	cold / 冷	kɯ35	?	Xiangyun	cold	5639	冷
590	kɯ₅₅	Allen2007, 434	cold / 冷	kɯ55	?	Luobenzhuo	cold	5639	冷
#
7267	ɣɯ₃₅	Allen2007, 363	come / 来	ɣɯ35	?	Jianchuan	come	6056	来
7268	pe₄₄jɯ₃₅	Allen2007, 363	come / 来	pe44jɯ35	?	Eryuan	come	6056	来
7269	ɣɯ₃₅	Allen2007, 363	come / 来	ɣɯ35	?	Heqi	come	6056	来
7270	ɣɯ₃₅	Allen2007, 363	come / 来	ɣɯ35	?	Lanping	come	6056	来
7271	pe₄₄t͡sɯ₃₅	Allen2007, 363	come / 来	pe44tsɯ35	?	Qiliqiao	come	6056	来
