rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
499644	ku•◦jwak	hot water	n	RR-Yamphu	1873	Yamphu	547.14
499645	khak◦khak◦ma	handle; penis	n	RR-Yamphu	1873	Yamphu	547.22
499646	khak◦khup	species of mushroom	n	RR-Yamphu	1873	Yamphu	547.23
499647	kham	earth, soil	n	RR-Yamphu	1873	Yamphu	547.26
499648	kham◦bri◦ʔa	small earthenware pot or flask	n	RR-Yamphu	1873	Yamphu	547.27
499649	kham◦bu◦ma	species of bug	n	RR-Yamphu	1873	Yamphu	547.28
499650	khap	language	n	RR-Yamphu	1873	Yamphu	548.05
499651	khap◦pi◦sik	cotton	n	RR-Yamphu	1873	Yamphu	548.07
499652	khas◦ma	porcupine	n	RR-Yamphu	1873	Yamphu	548.09
499653	khaʔ◦mi	flour	n	RR-Yamphu	1873	Yamphu	548.13
499654	khaʔ◦wa	ear of millet	n	RR-Yamphu	1873	Yamphu	548.15
499655	kha•◦sa	grass	n	RR-Yamphu	1873	Yamphu	548.2
499656	kha◦u◦suk	grits, the coarse parts of ground grains after sieving	n	RR-Yamphu	1873	Yamphu	548.22
499657	khæn◦sruk◦ma	elbow	n	RR-Yamphu	1873	Yamphu	548.24
499658	khæŋ	curried vegetables, gravy	n	RR-Yamphu	1873	Yamphu	548.25
499659	khæŋ◦saʔ◦wa	leafy, green vegetables	n	RR-Yamphu	1873	Yamphu	548.26
499660	khæ◦o◦ro•k◦pa	bulbul (species of bird)	n	RR-Yamphu	1873	Yamphu	548.27
499661	khæʔ◦æk	species of crab that lives in the water of paddy fields	n	RR-Yamphu	1873	Yamphu	548.3
499662	khæ•k◦ciʔ◦wa	species of bird	n	RR-Yamphu	1873	Yamphu	549.04
499663	khet◦tiʔ◦wa	species of cricket	n	RR-Yamphu	1873	Yamphu	549.07
499664	khe◦wa◦gham	chalk clay	n	RR-Yamphu	1873	Yamphu	549.08
499665	khe◦wa◦si	(lit 'chalk-fruit') species of plant from which a chalk-colored dish is prepared	n	RR-Yamphu	1873	Yamphu	549.09
499666	kheʔ◦ma	oblong shallow basket made of wood and reeds, used for drying things	n	RR-Yamphu	1873	Yamphu	549.12
499667	khe•◦dum◦ba	species of rodent	n	RR-Yamphu	1873	Yamphu	549.14
499668	khi◦daŋ	species of edible root	n	RR-Yamphu	1873	Yamphu	549.19
499669	khim	house	n	RR-Yamphu	1873	Yamphu	549.24
499670	khim◦gu◦rik	gecko	n	RR-Yamphu	1873	Yamphu	550.02
499671	khim◦miʔ◦ma	cloud, mist, haze	n	RR-Yamphu	1873	Yamphu	550.03
499672	khi◦rik	kidneys	n	RR-Yamphu	1873	Yamphu	550.11
499673	khi◦ri•ʔ◦wa	species of owl	n	RR-Yamphu	1873	Yamphu	550.13
499674	khi◦ʔu◦riŋ◦ba	kind of red berry from a nettle	n	RR-Yamphu	1873	Yamphu	550.17
499675	khiʔ◦wæŋ	gall	n	RR-Yamphu	1873	Yamphu	550.18
499676	khi•k◦ma	comb oone's hair	v	RR-Yamphu	1873	Yamphu	550.19
499677	kho◦doʔ◦wa	large boil	n	RR-Yamphu	1873	Yamphu	550.23
499678	khoŋ	copper bowl	n	RR-Yamphu	1873	Yamphu	551.04
499679	kho◦ʔi	kind of knife, a bit larger than a "khoʔiriŋma"	n	RR-Yamphu	1873	Yamphu	551.1
499680	kho◦ʔi◦riŋ◦ma	small kind of sickle, used for harvesting millet	n	RR-Yamphu	1873	Yamphu	551.11
499681	khoʔ◦wa◦si	species of tree (Ficus lacor)	n	RR-Yamphu	1873	Yamphu	551.12
