ID	DOCULECT	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	OMEGAWIKI	CONCEPT	IPA	TOKENS
12833	Ganzhou	fight (48)	təw4 lɔ4	6030	to fight	təw⁵lɔ⁵	t ə w ⁵ l ɔ ⁵
12834	Ganzhou	fire (49)	ho3	1446	the fire	ho⁴	h o ⁴
12835	Ganzhou	fish (50)	y2	1460	the fish	y³	y ³
12836	Ganzhou	five (51)	wu3	156104	five	wu⁴	w u ⁴
12837	Ganzhou	flesh (52)	jo1	2300	the meat	jo²	j o ²
12838	Ganzhou	flow (53)	lju2	961244	to flow	lju³	l j u ³
12839	Ganzhou	flower (54)	hwa2	1487	the flower	hwa³	h w a ³
12840	Ganzhou	fly [vb] (55)	fəj1	6052	to fly (move through air)	fəj²	f ə j ²
12841	Ganzhou	fog (56)	ĩ1	1502	the fog	ĩ²	ĩ ∼ ²
12842	Ganzhou	foot (57)	tsjɔʔ5	5672	the foot	tsjɔʔ⁶	t s j ɔ ʔ ⁶
12843	Ganzhou	four (58)	sə4	6253	four	sə⁵	s ə ⁵
12844	Ganzhou	freeze (59)	pin1tə̃4	6042	to freeze	pin²tə̃⁵	p i n ² t ə̃ ∼ ⁵
12845	Ganzhou	fruit (60)	swəj3 ko3	6280	the fruit	swəj⁴ko⁴	s w ə j ⁴ k o ⁴
12846	Ganzhou	full (61)	mũ3	6040	full	mũ⁴	m ũ ∼ ⁴
12847	Ganzhou	give (62)	la2 tə	6059	to give	la³tə	l a ³ t ə
12848	Ganzhou	good (63)	hɔ3	443659	good	hɔ⁴	h ɔ ⁴
12849	Ganzhou	grass (64)	tshɔ3	1675	the grass	ʦʰɔ⁴	ʦʰ ɔ ⁴
12850	Ganzhou	green (65)	luʔ5	6032	green	luʔ⁶	l u ʔ ⁶
12851	Ganzhou	guts (66)	tsã4	950344	the intestines	tsã⁵	t s ã ∼ ⁵
12852	Ganzhou	hair [of head] (67)	thəw2 faʔ5	446278	the hair	tʰəw³faʔ⁶	tʰ ə w ³ f a ʔ ⁶
12853	Ganzhou	hand (68)	sju3	5616	the hand	sju⁴	s j u ⁴
12854	Ganzhou	he (69)	tha1	5454	he or she [third person singular]	tʰa²	tʰ a ²
12855	Ganzhou	head (70)	thəw2	5527	the head	tʰəw³	tʰ ə w ³
12856	Ganzhou	hear (71)	thĩ1	5999	to hear	tʰĩ²	tʰ ĩ ∼ ²
12857	Ganzhou	heart (72)	sin1	5475	the heart	sin²	s i n ²
12858	Ganzhou	heavy (73)	tsə̃4	5451	heavy	tsə̃⁵	t s ə̃ ∼ ⁵
12859	Ganzhou	here (74)	tsə4 khwæ4	1287831	here	tsə⁵kʰwæ⁵	t s ə ⁵ kʰ w æ ⁵
12860	Ganzhou	hit (75)	ta3	6044	to hit	ta⁴	t a ⁴
12861	Ganzhou	hold (76)	la1	6060	to hold	la²	l a ²
12862	Ganzhou	horn (77)	tsjɔʔ5	5981	the horn (keratinized skin)	tsjɔʔ⁶	t s j ɔ ʔ ⁶
12863	Ganzhou	hot (78)	kun3	5485	warm (hot)	kun⁴	k u n ⁴
12864	Ganzhou	human [nn] (79)	in2	333730	the person	in³	i n ³
12865	Ganzhou	hunt [vb] (80)	tswəj1	6046	to hunt	tswəj²	t s w ə j ²
12866	Ganzhou	husband (81)	tsã4 fu1	5432	the husband	tsã⁵fu²	t s ã ∼ ⁵ f u ²
12867	Ganzhou	I (82)	ŋo3	5450	I [first person singular]	ŋo⁴	ŋ o ⁴
12868	Ganzhou	ice (83)	pin1	1837	the ice	pin²	p i n ²
12869	Ganzhou	if (84)	lu2 ko3	6076	if	lu³ko⁴	l u ³ k o ⁴
12870	Ganzhou	in (85)	tsæ4 li3 mĩ4	6077	in	tsæ⁵li⁴mĩ⁵	t s æ ⁵ l i ⁴ m ĩ ∼ ⁵
12871	Ganzhou	kill (86)	saʔ5	6023	to kill	saʔ⁶	s a ʔ ⁶
12872	Ganzhou	knee (87)	səʔ5 thəw2 kæ4	5918	the knee	səʔ⁶tʰəw³kæ⁵	s ə ʔ ⁶ tʰ ə w ³ k æ ⁵
12873	Ganzhou	knife (88)	tɔ1 tsə3	5873	knife	tɔ²tsə⁴	t ɔ ² t s ə ⁴
12874	Ganzhou	know (89)	sjɔ3 təʔ5	6004	to know	sjɔ⁴təʔ⁶	s j ɔ ⁴ t ə ʔ ⁶
12875	Ganzhou	lake (90)	fu2	2061	the lake	fu³	f u ³
12876	Ganzhou	laugh (91)	sjɔ4	5876	to laugh	sjɔ⁵	s j ɔ ⁵
12877	Ganzhou	leaf (92)	sy4 jəʔ5	2124	the leaf	sy⁵jəʔ⁶	s y ⁵ j ə ʔ ⁶
12878	Ganzhou	left [-hand] (93)	tso3	1499731	left	tso⁴	t s o ⁴
12879	Ganzhou	lie (94)	thã4	6005	to lie, rest	tʰã⁵	tʰ ã ∼ ⁵
12880	Ganzhou	liver (95)	kã1	5476	the liver	kã²	k ã ∼ ²
12881	Ganzhou	long (96)	tshã2	5438	long	ʦʰã³	ʦʰ ã ∼ ³
12882	Ganzhou	louse (97)	səʔ5	5980	the louse	səʔ⁶	s ə ʔ ⁶
12883	Ganzhou	man (98)	lã4 in2	6397	the man	lã⁵in³	l ã ∼ ⁵ i n ³
12884	Ganzhou	many (99)	to1	5423	many	to²	t o ²
12885	Ganzhou	moon (100)	yʔ5 ljã4	5729	the moon	yʔ⁶ljã⁵	y ʔ ⁶ l j ã ∼ ⁵
12886	Ganzhou	mother (101)	muʔ5 tshin1, ma1 ma1	5463	the mother	muʔ⁶ʦʰin²	m u ʔ ⁶ ʦʰ i n ²
12887	Ganzhou	mother (101)	muʔ5 tshin1, ma1 ma1	5463	the mother	ma²ma²	m a ² m a ²
12888	Ganzhou	mountain (102)	sã1	2421	the mountain	sã²	s ã ∼ ²
12889	Ganzhou	mouth (103)	tswəj3 pa1	332000	the mouth	tswəj⁴pa²	t s w ə j ⁴ p a ²
12890	Ganzhou	name (104)	min2 tsə3	5995	the name	min³tsə⁴	m i n ³ t s ə ⁴
12891	Ganzhou	narrow (105)	sjɔ3, tsəʔ5	5566	narrow	sjɔ⁴	s j ɔ ⁴
12892	Ganzhou	narrow (105)	sjɔ3, tsəʔ5	5566	narrow	tsəʔ⁶	t s ə ʔ ⁶
12893	Ganzhou	near (106)	tsin4	869106	near	tsin⁵	t s i n ⁵
12894	Ganzhou	neck (107)	tsin3 po2 tsə3	5823	the neck	tsin⁴po³tsə⁴	t s i n ⁴ p o ³ t s ə ⁴
12895	Ganzhou	new (108)	sin1	5484	new	sin²	s i n ²
12896	Ganzhou	night (109)	jə4	5486	the night	jə⁵	j ə ⁵
12897	Ganzhou	nose (110)	pi4 tsə3	5471	the nose	pi⁵tsə⁴	p i ⁵ t s ə ⁴
12898	Ganzhou	not (111)	puʔ5	5495	not	puʔ⁶	p u ʔ ⁶
12899	Ganzhou	now (112)	sĩ4 tsæ4	5936	now	sĩ⁵tsæ⁵	s ĩ ∼ ⁵ t s æ ⁵
12900	Ganzhou	old (113)	lɔ3	5482	old (of person)	lɔ⁴	l ɔ ⁴
12901	Ganzhou	one (114)	iʔ5	6244	one	iʔ⁶	i ʔ ⁶
12902	Ganzhou	other (115)	pjəʔ5 ko4	1406403	other	pjəʔ⁶ko⁵	p j ə ʔ ⁶ k o ⁵
12903	Ganzhou	path (116)	lu4	3258	the road	lu⁵	l u ⁵
12904	Ganzhou	play (117)	wã2	6010	to play	wã³	w ã ∼ ³
12905	Ganzhou	pull (118)	la1	6071	to pull	la²	l a ²
12906	Ganzhou	push (119)	thwəj1	6068	to push	tʰwəj²	tʰ w ə j ²
12907	Ganzhou	rain [nn] (120)	y3	3100	the rain	y⁴	y ⁴
12908	Ganzhou	red (121)	hə̃2	1333710	red	hə̃³	h ə̃ ∼ ³
12909	Ganzhou	right [-hand] (122)	ju4	436024	right	ju⁵	j u ⁵
12910	Ganzhou	river (123)	tsjã1	3253	the river	tsjã²	t s j ã ∼ ²
12911	Ganzhou	root (124)	kə̃1	3269	the root	kə̃²	k ə̃ ∼ ²
12912	Ganzhou	rotten (125)	lã4	7031	rotten (of fruits)	lã⁵	l ã ∼ ⁵
12913	Ganzhou	round (126)	ɥĩ2	5984	round	ɥĩ³	ɥ ĩ ∼ ³
12914	Ganzhou	rub (127)	tshaʔ5	6062	to rub	ʦʰaʔ⁶	ʦʰ a ʔ ⁶
12915	Ganzhou	salt (128)	ĩ2	5599	the salt	ĩ³	ĩ ∼ ³
12916	Ganzhou	sand (129)	sa1	3305	the sand	sa²	s a ²
12917	Ganzhou	say (130)	tsjã3	6075	to say	tsjã⁴	t s j ã ∼ ⁴
12918	Ganzhou	scratch (131)	sɔ1 jã3	6047	to scratch	sɔ²jã⁴	s ɔ ² j ã ∼ ⁴
12919	Ganzhou	sea (132)	ta4 hæ3	6154	the sea	ta⁵hæ⁴	t a ⁵ h æ ⁴
12920	Ganzhou	see (133)	khã4	6003	to see	kʰã⁵	kʰ ã ∼ ⁵
12921	Ganzhou	seed (134)	tsə̃3 tsə3	3361	the seed	tsə̃⁴tsə⁴	t s ə̃ ∼ ⁴ t s ə ⁴
12922	Ganzhou	sew (135)	fə̃2	6073	to sew	fə̃³	f ə̃ ∼ ³
12923	Ganzhou	sharp (136)	tsĩ1	5987	sharp	tsĩ²	t s ĩ ∼ ²
12924	Ganzhou	short (137)	tõ3	6746	short	tõ⁴	t õ ∼ ⁴
12925	Ganzhou	sing (138)	tshã4ko1	5540	to sing	ʦʰã⁵ko²	ʦʰ ã ∼ ⁵ k o ²
12926	Ganzhou	sit (139)	tso4	6022	to sit	tso⁵	t s o ⁵
12927	Ganzhou	skin (140)	phi2 fu1	3430	the skin	pʰi³fu²	pʰ i ³ f u ²
12928	Ganzhou	sky (141)	thĩ1 khə̃1	7039	the sky	tʰĩ²kʰə̃²	tʰ ĩ ∼ ² kʰ ə̃ ∼ ²
12929	Ganzhou	sleep (142)	swəj4	6519	to sleep	swəj⁵	s w ə j ⁵
12930	Ganzhou	small (143)	sjɔ3	5509	small	sjɔ⁴	s j ɔ ⁴
12931	Ganzhou	smell [tr] (144)	wə̃2	6520	to smell (perceive odor) [transitive]	wə̃³	w ə̃ ∼ ³
12932	Ganzhou	smoke (145)	ĩ1	3451	the smoke	ĩ²	ĩ ∼ ²
12933	Ganzhou	smooth (146)	sun4, ju2	5487	smooth	sun⁵	s u n ⁵
12934	Ganzhou	smooth (146)	sun4, ju2	5487	smooth	ju³	j u ³
12935	Ganzhou	snake (147)	sjə2	3388	the snake	sjə³	s j ə ³
12936	Ganzhou	snow (148)	sɥəʔ5	3455	the snow	sɥəʔ⁶	s ɥ ə ʔ ⁶
12937	Ganzhou	some (pl.) (149)	ju3 ti	5499	some	ju⁴ti	j u ⁴ t i
12938	Ganzhou	spit (150)	ŋəw3	6051	to spit	ŋəw⁴	ŋ ə w ⁴
12939	Ganzhou	split (151)	fə̃1 khæ1	6048	to split	fə̃²kʰæ²	f ə̃ ∼ ² kʰ æ ²
12940	Ganzhou	squeeze (152)	nĩ3	6017	to squeeze	nĩ⁴	n ĩ ∼ ⁴
12941	Ganzhou	stab (153)	thə̃1	6045	to stab	tʰə̃²	tʰ ə̃ ∼ ²
12942	Ganzhou	stand (154)	tsã4	6053	to stand	tsã⁵	t s ã ∼ ⁵
12943	Ganzhou	star (155)	sin1	6041	the star	sin²	s i n ²
12944	Ganzhou	stick [nn] (156)	kun4 tsə3	5662	the stick	kun⁵tsə⁴	k u n ⁵ t s ə ⁴
12945	Ganzhou	stone (157)	səʔ5 thəw2	3633	the stone (a piece of)	səʔ⁶tʰəw³	s ə ʔ ⁶ tʰ ə w ³
12946	Ganzhou	straight (158)	tsəʔ5	5994	straight	tsəʔ⁶	t s ə ʔ ⁶
12947	Ganzhou	suck (159)	siʔ5	6027	to lick/to suck	siʔ⁶	s i ʔ ⁶
12948	Ganzhou	sun (160)	iʔ5 thəw2	5850	the sun	iʔ⁶tʰəw³	i ʔ ⁶ tʰ ə w ³
12949	Ganzhou	swell (161)	phə̃2 tsã4	6454	to swell	pʰə̃³tsã⁵	pʰ ə̃ ∼ ³ t s ã ∼ ⁵
12950	Ganzhou	swim (162)	wã2 swəj3	6050	to swim	wã³swəj⁴	w ã ∼ ³ s w ə j ⁴
12951	Ganzhou	tail (163)	wəj3 pa1	5468	the tail	wəj⁴pa²	w ə j ⁴ p a ²
12952	Ganzhou	that (nt.) (164)	la4 ko4	1149393	that	la⁵ko⁵	l a ⁵ k o ⁵
12953	Ganzhou	there (165)	la4 khwæ4	858309	there	la⁵kʰwæ⁵	l a ⁵ kʰ w æ ⁵
12954	Ganzhou	they (166)	tha1 mə̃1	352331	they [third person plural]	tʰa²mə̃²	tʰ a ² m ə̃ ∼ ²
12955	Ganzhou	thick (167)	ĩ4, həw4	5503	thick	ĩ⁵	ĩ ∼ ⁵
12956	Ganzhou	thick (167)	ĩ4, həw4	5503	thick	həw⁵	h ə w ⁵
12957	Ganzhou	thin (168)	sju4	5990	thin	sju⁵	s j u ⁵
12958	Ganzhou	think (169)	sjã3	6021	to think (reflect)	sjã⁴	s j ã ∼ ⁴
12959	Ganzhou	this (nt.) (170)	tsæ4 ko4	5458	this	tsæ⁵ko⁵	t s æ ⁵ k o ⁵
12960	Ganzhou	three (171)	sã1	156096	three	sã²	s ã ∼ ²
12961	Ganzhou	throw (172)	thəw2	6072	to throw	tʰəw³	tʰ ə w ³
12962	Ganzhou	tie (173)	tsin3	844574	to tie (together)	tsin⁴	t s i n ⁴
12963	Ganzhou	tongue (174)	səʔ5 thjɔ2	5440	the tongue	səʔ⁶tʰjɔ³	s ə ʔ ⁶ tʰ j ɔ ³
12964	Ganzhou	tooth (175)	ja2 tshə3	5946	the tooth (front)	ja³ʦʰə⁴	j a ³ ʦʰ ə ⁴
12965	Ganzhou	tree (176)	sy4	3854	the tree	sy⁵	s y ⁵
12966	Ganzhou	1 (177)	tsin1	6244	one	tsin²	t s i n ²
12967	Ganzhou	two (178)	ljã3, a4	6248	two	ljã⁴	l j ã ∼ ⁴
12968	Ganzhou	two (178)	ljã3, a4	6248	two	a⁵	a ⁵
12969	Ganzhou	vomit (179)	ŋəw3 thu4	5617	to vomit	ŋəw⁴tʰu⁵	ŋ ə w ⁴ tʰ u ⁵
12970	Ganzhou	walk (180)	tsəw3	6054	to walk	tsəw⁴	t s ə w ⁴
12971	Ganzhou	wash (181)	si3	6069	to wash	si⁴	s i ⁴
12972	Ganzhou	water (182)	swəj3	4118	the water	swəj⁴	s w ə j ⁴
12973	Ganzhou	we (183)	ŋo3 mə̃1	5455	we [first person plural]	ŋo⁴mə̃²	ŋ o ⁴ m ə̃ ∼ ²
12974	Ganzhou	wet (184)	tshɔ2 səʔ5	7027	wet	ʦʰɔ³səʔ⁶	ʦʰ ɔ ³ s ə ʔ ⁶
12975	Ganzhou	what (185)	sə̃2 mə	5491	what	sə̃³mə	s ə̃ ∼ ³ m ə
12976	Ganzhou	white (186)	pəʔ5	5825	white	pəʔ⁶	p ə ʔ ⁶
12977	Ganzhou	who (187)	la3 iʔ5 ko4	5490	who	la⁴iʔ⁶ko⁵	l a ⁴ i ʔ ⁶ k o ⁵
12978	Ganzhou	wide (188)	khũ1 ta4	5502	wide	kʰũ²ta⁵	kʰ ũ ∼ ² t a ⁵
12979	Ganzhou	wife (189)	lɔ3 pho2	5429	the wife	lɔ⁴pʰo³	l ɔ ⁴ pʰ o ³
12980	Ganzhou	wind [nn] (190)	fə̃1	4160	the wind	fə̃²	f ə̃ ∼ ²
12981	Ganzhou	wing (191)	tshə4 pã3	5528	the wing	ʦʰə⁵pã⁴	ʦʰ ə ⁵ p ã ∼ ⁴
12982	Ganzhou	wipe (192)	maʔ5	6070	wipe	maʔ⁶	m a ʔ ⁶
12983	Ganzhou	with (193)	thə̃2, ho2	5844	with	tʰə̃³	tʰ ə̃ ∼ ³
12984	Ganzhou	with (193)	thə̃2, ho2	5844	with	ho³	h o ³
12985	Ganzhou	woman (194)	ny3 in2	4165	the woman	ny⁴in³	n y ⁴ i n ³
12986	Ganzhou	woods (195)	sy4 lin2	1533	the forest	sy⁵lin³	s y ⁵ l i n ³
12987	Ganzhou	worm (196)	tshə̃2	5466	the worm	ʦʰə̃³	ʦʰ ə̃ ∼ ³
12988	Ganzhou	you (sg.) (197)	ni3	5459	thou [second person singular]	ni⁴	n i ⁴
12989	Ganzhou	you (pl.) (198)	ni3 mə̃1	5456	you [second person plural]	ni⁴mə̃²	n i ⁴ m ə̃ ∼ ²
12990	Ganzhou	year (199)	nĩ2, swəj4	5478	the year	nĩ³	n ĩ ∼ ³
12991	Ganzhou	year (199)	nĩ2, swəj4	5478	the year	swəj⁵	s w ə j ⁵
12992	Ganzhou	yellow (200)	hwã2	6031	yellow	hwã³	h w ã ∼ ³
