# EDICTOR
@modified: 2015-02-10 12:26
#
ID	IPA	CONCEPT	CHINESE	COGID	DOCULECT	TOKENS	OMEGAWIKI
151	*m-rˤəp	and	和	14	Old_Chinese	m ◦ rˤ ə p	6464
152		and	和	0	Xiamen		6464
153		and	和	0	Guiqiong		6464
154	cʰo	and	和	13	Japhug	cʰ o	6464
155		and	和	0	Khroskyabs_Wobzi		6464
156		and	和	0	Muya		6464
157		and	和	0	Stau		6464
158		and	和	0	Tangut		6464
159		and	和	0	Zbu		6464
#
160		the ashes	灰	0	Dashi		264
161	xua⁴²lɔ⁴²ɕu⁵⁵	the ashes	灰	0	Zhaozhuang	x u a ⁴² l ɔ ⁴² ɕ u ⁵⁵	264
162		the ashes	灰	0	Ega		264
163		the ashes	灰	0	Enqi		264
164		the ashes	灰	0	Eryuan		264
165		the ashes	灰	0	Gongxing		264
166		the ashes	灰	0	Heqi		264
167		the ashes	灰	0	Jianchuan		264
168		the ashes	灰	0	Jinman		264
169		the ashes	灰	0	Jinxing		264
170		the ashes	灰	0	Luobenzhuo		264
171		the ashes	灰	0	Mazhelong		264
172		the ashes	灰	0	Qiliqiao		264
173		the ashes	灰	0	Xiangyun		264
174		the ashes	灰	0	Yunlong		264
175		the ashes	灰	0	Zhoucheng		264
176		the ashes	灰	0	Cone_Tibetan		264
177		the ashes	灰	0	Lhasa_Tibetan		264
178	tʰal.ba	the ashes	灰	189	Old_Tibetan	r d u l	264
179		the ashes	灰	0	Achang_Lianghe		264
180		the ashes	灰	0	Achang_Longchuan		264
181		the ashes	灰	0	Achang_Luxi		264
182		the ashes	灰	0	Atsi		264
183		the ashes	灰	0	Bola		264
184	pra	the ashes	灰	188	Burmese	p r a	264
185		the ashes	灰	0	Hpun		264
186		the ashes	灰	0	Lashi		264
187		the ashes	灰	0	Maru		264
188		the ashes	灰	0	Old_Burmese		264
189		the ashes	灰	0	Xiandau		264
190		the ashes	灰	0	Dumi		264
191	pʉjʉ	the ashes	灰	191	Khaling	p ʉ j ʉ	264
192	khappu	the ashes	灰	190	Limbu	kʰ a pp u	264
193		the ashes	灰	0	Wambule		264
194		the ashes	灰	0	Yakkha		264
195		the ashes	灰	0	Yamphu		264
196		the ashes	灰	0	Dulong		264
197		the ashes	灰	0	Jingpo		264
198		the ashes	灰	0	Beijing		264
199		the ashes	灰	0	Caijia		264
200		the ashes	灰	0	Changsha		264
201		the ashes	灰	0	Ganzhou		264
202		the ashes	灰	0	Guangzhou		264
203		the ashes	灰	0	Meixian		264
204		the ashes	灰	186	Old_Chinese		264
205		the ashes	灰	0	Xiamen		264
206		the ashes	灰	0	Guiqiong		264
207	tʰɤfkɤlɤɣi	the ashes	灰	185	Japhug	tʰ ɤ f k ɤ l ɤ ɣ i	264
208		the ashes	灰	0	Khroskyabs_Wobzi		264
209		the ashes	灰	0	Muya		264
210		the ashes	灰	0	Stau		264
211	lhjwạ¹	the ashes	灰	187	Tangut	lʰ j w ạ ¹	264
212		the ashes	灰	0	Zbu		264
#
213		the back	背	0	Dashi		5648
214		the back	背	0	Zhaozhuang		5648
215		the back	背	0	Ega		5648
216		the back	背	0	Enqi		5648
217		the back	背	0	Eryuan		5648
218		the back	背	0	Gongxing		5648
219		the back	背	0	Heqi		5648
220		the back	背	0	Jianchuan		5648
221		the back	背	0	Jinman		5648
222		the back	背	0	Jinxing		5648
223		the back	背	0	Luobenzhuo		5648
224		the back	背	0	Mazhelong		5648
225		the back	背	0	Qiliqiao		5648
226		the back	背	0	Xiangyun		5648
227		the back	背	0	Yunlong		5648
228		the back	背	0	Zhoucheng		5648
229		the back	背	0	Cone_Tibetan		5648
230		the back	背	0	Lhasa_Tibetan		5648
231	rgʲab	the back	背	0	Old_Tibetan		5648
232		the back	背	0	Achang_Lianghe		5648
233		the back	背	0	Achang_Longchuan		5648
234		the back	背	0	Achang_Luxi		5648
235		the back	背	0	Atsi		5648
236		the back	背	0	Bola		5648
237		the back	背	0	Burmese		5648
238		the back	背	0	Hpun		5648
239		the back	背	0	Lashi		5648
240		the back	背	0	Maru		5648
241		the back	背	0	Old_Burmese		5648
242		the back	背	0	Xiandau		5648
243		the back	背	0	Dumi		5648
244		the back	背	0	Khaling		5648
245		the back	背	0	Limbu		5648
246		the back	背	0	Wambule		5648
247		the back	背	0	Yakkha		5648
248		the back	背	0	Yamphu		5648
249		the back	背	0	Dulong		5648
250		the back	背	0	Jingpo		5648
251		the back	背	0	Beijing		5648
252		the back	背	0	Caijia		5648
253		the back	背	0	Changsha		5648
254		the back	背	0	Ganzhou		5648
255		the back	背	0	Guangzhou		5648
256		the back	背	0	Meixian		5648
257	*pˤək-s	the back	背	193	Old_Chinese	pˤ ə k ◦ s	5648
258		the back	背	0	Xiamen		5648
259		the back	背	0	Guiqiong		5648
260	tɯ-mgɯr	the back	背	192	Japhug	t ɯ ◦ m g ɯ r	5648
261		the back	背	0	Khroskyabs_Wobzi		5648
262		the back	背	0	Muya		5648
263		the back	背	0	Stau		5648
264		the back	背	0	Tangut		5648
265		the back	背	0	Zbu		5648
#
