# Wordlist

# DATA
ID	SRCABBR	STEDT_GLOSS	CONCEPT	RN	GFN	SRCID	LGID	DOCULECT	REFLEX
11824	ZMYYC	die	die	219771		780.14	557	Ergong (Danba)	sɛ
12828	ZMYYC	die	die	219773		780.18	561	Ersu	ʂo⁵⁵
13833	ZMYYC	die	die	219788		780.48	592	Kaman [Miju]	si⁵³
14837	ZMYYC	die	die	219747		780.17	595	Guiqiong	sɿ⁵⁵
15841	ZMYYC	die	die	219789		780.50	662	Idu	ɕi⁵⁵
16845	ZMYYC	die	die	219762		780.47	690	Jingpho	si³³
17849	ZMYYC	die	die	219781		780.34	696	Jinuo	ɕi³¹
18853	ZMYYC	die	die	219755		780.33	851	Lahu (Black)	sɿ³³
19857	ZMYYC	die	die	219778		780.28	908	Naxi (Lijiang)	ʂɯ³³
20861	ZMYYC	die	die	219752		780.27	942	Lisu	ʃɿ⁴⁴
21865	ZMYYC	die	die	219760		780.43	1034	Maru [Langsu]	ʃik³¹
22869	ZMYYC	die	die	219743		780.7	1088	Tsangla (Motuo)	ɕi
23874	ZMYYC	die	die	219767		780.6	1092	Tshona (Mama)	ɕi⁵³
24878	ZMYYC	die	die	219746		780.15	1136	Muya [Minyak]	sɯ⁵³
25882	ZMYYC	die	die	219748		780.19	1147	Namuyi	ʂɿ³³qo⁵⁵
26886	ZMYYC	die	die	219761		780.45	1215	Nusu (Bijiang)	ʂi³⁵
27890	ZMYYC	die	die	219745		780.11	1306	Pumi (Qinghua)	nə¹³sɤ¹³
28894	ZMYYC	die	die	219769		780.10	1309	Pumi (Taoba)	nə³⁵sə³⁵
29898	ZMYYC	die	die	219768		780.8	1320	Qiang (Mawo)	ɕi
30902	ZMYYC	die	die	219744		780.9	1323	Qiang (Taoping)	ʃe⁵⁵
31906	ZMYYC	die	die	219770		780.12	1340	rGyalrong	ka ʃi
32910	ZMYYC	die	die	219741		780.3	1380	Tibetan (Khams:Dege)	xhe⁵³
33914	ZMYYC	die	die	219774		780.20	1409	Xumi	ɕɛ⁵³
34918	ZMYYC	die	die	219780		780.32	1416	Hani (Shuikui)	ʃɿ⁵⁵
35922	ZMYYC	die	die	219784		780.40	1428	Burmese (Spoken Rangoon)	tθe²²
36926	ZMYYC	die	die	219790		780.52	1431	Sulung [Puroik]	ji³³
37912	ZMYYC	die	die	231976		780.13	1496	Tangut [Xixia]	--
38934	ZMYYC	die	die	219766		780.4	1550	Tibetan (Amdo:Bla-brang)	xhə
39938	ZMYYC	die	die	219765		780.2	1557	Tibetan (Lhasa)	ɕi⁵³
40942	ZMYYC	die	die	219740		780.1	1582	Tibetan (Written)	ɦɕi
41946	ZMYYC	die	die	219742		780.5	1585	Tibetan (Amdo:Zeku)	xhə
42950	ZMYYC	die	die	219783		780.38	1615	Tujia	sie³⁵
43954	ZMYYC	die	die	219775		780.22	1658	Yi (Dafang)	ɕi³³
44959	ZMYYC	die	die	219751		780.25	1662	Yi (Mile)	ʂi³³
45964	ZMYYC	die	die	219777		780.26	1663	Yi (Mojiang)	ɕi²¹
46969	ZMYYC	die	die	219776		780.24	1664	Yi (Nanhua)	ɕi³³
47973	ZMYYC	die	die	219750		780.23	1666	Yi (Nanjian)	xɯ⁵⁵
48977	ZMYYC	die	die	219749		780.21	1670	Yi (Xide)	sɿ³³
49981	ZMYYC	die	die	219753		780.29	1676	Naxi (Yongning)	ʂɿ³³
50985	ZMYYC	die	die	219785		780.42	1693	Atsi [Zaiwa]	ʃi⁵¹
51990	ZMYYC	die	die	219772		780.16	1699	Queyu (Yajiang) [Zhaba]	tə³⁵si⁵⁵
#
879	ZMYYC	difficult	difficult	224808		879.41	200	Achang (Longchuan)	ko³¹
1883	ZMYYC	difficult	difficult	224835		879.44	269	Anong	di³¹ɕɑ³¹ɛ⁵⁵
2887	ZMYYC	difficult	difficult	224806		879.37	311	Bai (Bijiang)	ne²¹
3891	ZMYYC	difficult	difficult	224805		879.35	314	Bai (Dali)	nɑ²¹
4895	ZMYYC	difficult	difficult	224831		879.36	317	Bai (Jianchuan)	nɑ²¹
5899	ZMYYC	difficult	difficult	224813		879.51	368	Bokar Lhoba	ȵiŋ
6903	ZMYYC	difficult	difficult	224807		879.39	411	Burmese (Written)	khɑk
7907	ZMYYC	difficult	difficult	224828		879.30	418	Hani (Caiyuan)	mi⁵⁵sɔ³¹
8911	ZMYYC	difficult	difficult	224812		879.49	509	Darang [Taraon]	tɑ³¹tioŋ⁵⁵
9915	ZMYYC	difficult	difficult	224803		879.31	510	Hani (Dazhai)	sø³¹; sa³¹
10919	ZMYYC	difficult	difficult	224836		879.46	537	Trung [Dulong]	tɯ³¹ɕɑ⁵³
11923	ZMYYC	difficult	difficult	224820		879.14	557	Ergong (Danba)	mi ʑɛ ʑɛ
12927	ZMYYC	difficult	difficult	224822		879.18	561	Ersu	jɑ³³ndzɿ⁵⁵
13932	ZMYYC	difficult	difficult	224837		879.48	592	Kaman [Miju]	tɑ³¹tioŋ⁵⁵
14936	ZMYYC	difficult	difficult	224796		879.17	595	Guiqiong	mɑ⁵⁵tɕɔ̃⁵⁵
15940	ZMYYC	difficult	difficult	224838		879.50	662	Idu	e⁵⁵hi⁵⁵mi⁵⁵
16944	ZMYYC	difficult	difficult	224811		879.47	690	Jingpho	jak³¹
17948	ZMYYC	difficult	difficult	224830		879.34	696	Jinuo	ja³³
18952	ZMYYC	difficult	difficult	224804		879.33	851	Lahu (Black)	xᴀ¹¹
19956	ZMYYC	difficult	difficult	224827		879.28	908	Naxi (Lijiang)	ndʑə³¹
20960	ZMYYC	difficult	difficult	224801		879.27	942	Lisu	ʃuɑ⁵⁵
21964	ZMYYC	difficult	difficult	224809		879.43	1034	Maru [Langsu]	ɣuk⁵⁵
22968	ZMYYC	difficult	difficult	224792		879.7	1088	Tsangla (Motuo)	kalo
23973	ZMYYC	difficult	difficult	224816		879.6	1092	Tshona (Mama)	kᴀ⁵⁵po⁵³
24977	ZMYYC	difficult	difficult	224795		879.15	1136	Muya [Minyak]	ʁɛ³³ʁɛ⁵⁵
25981	ZMYYC	difficult	difficult	224797		879.19	1147	Namuyi	ʂɿ⁵⁵
26985	ZMYYC	difficult	difficult	224810		879.45	1215	Nusu (Bijiang)	ʐɑ⁵⁵ɑ³¹
27989	ZMYYC	difficult	difficult	224794		879.11	1306	Pumi (Qinghua)	dʐɛ³¹dʐõ⁵⁵
28993	ZMYYC	difficult	difficult	224818		879.10	1309	Pumi (Taoba)	xiɛ⁵⁵lɛ⁵⁵mə⁵³
29997	ZMYYC	difficult	difficult	224817		879.8	1320	Qiang (Mawo)	ʂqu
31001	ZMYYC	difficult	difficult	224793		879.9	1323	Qiang (Taoping)	χqɑ³³
32005	ZMYYC	difficult	difficult	224819		879.12	1340	rGyalrong	kə sɐ khɐ
33009	ZMYYC	difficult	difficult	224790		879.3	1380	Tibetan (Khams:Dege)	ka⁵⁵mo⁵³
34013	ZMYYC	difficult	difficult	224823		879.20	1409	Xumi	me⁵⁵dʑyɛ⁵⁵ʐɿ³³rɛ̃³⁵
35017	ZMYYC	difficult	difficult	224829		879.32	1416	Hani (Shuikui)	ɣu⁵⁵ʃɔ³¹
36021	ZMYYC	difficult	difficult	224833		879.40	1428	Burmese (Spoken Rangoon)	khɛʔ⁴⁴
37025	ZMYYC	difficult	difficult	224839		879.52	1431	Sulung [Puroik]	ba³³kaȶ³³niaŋ¹¹
38021	ZMYYC	difficult	difficult	232085		879.13	1496	Tangut [Xixia]	--
39033	ZMYYC	difficult	difficult	224815		879.4	1550	Tibetan (Amdo:Bla-brang)	hka ɣə
40037	ZMYYC	difficult	difficult	224814		879.2	1557	Tibetan (Lhasa)	khaʔ⁵³ko⁵³
41041	ZMYYC	difficult	difficult	224789		879.1	1582	Tibetan (Written)	khag po
42045	ZMYYC	difficult	difficult	224791		879.5	1585	Tibetan (Amdo:Zeku)	rka mo
43049	ZMYYC	difficult	difficult	224832		879.38	1615	Tujia	kho⁵⁵khɯ⁵⁵
44053	ZMYYC	difficult	difficult	224824		879.22	1658	Yi (Dafang)	ma²¹bi³³
45058	ZMYYC	difficult	difficult	224800		879.25	1662	Yi (Mile)	xo⁵⁵
46063	ZMYYC	difficult	difficult	224826		879.26	1663	Yi (Mojiang)	mu²¹tɕhe̱³³
47068	ZMYYC	difficult	difficult	224825		879.24	1664	Yi (Nanhua)	pe³³ʂo̱⁵⁵
48072	ZMYYC	difficult	difficult	224799		879.23	1666	Yi (Nanjian)	ʂa²¹
49076	ZMYYC	difficult	difficult	224798		879.21	1670	Yi (Xide)	ɣɯ³³
50080	ZMYYC	difficult	difficult	224802		879.29	1676	Naxi (Yongning)	lo³³xɑ³³
51084	ZMYYC	difficult	difficult	224834		879.42	1693	Atsi [Zaiwa]	vui²¹
52089	ZMYYC	difficult	difficult	224821		879.16	1699	Queyu (Yajiang) [Zhaba]	ka⁵⁵ka⁵⁵
#
597	ZMYYC	dig	dig	210426		597.41	200	Achang (Longchuan)	tu³¹
1601	ZMYYC	dig	dig	210453		597.44	269	Anong	m̥ɑu³¹
2605	ZMYYC	dig	dig	210424		597.37	311	Bai (Bijiang)	uɑ⁴²
3609	ZMYYC	dig	dig	210423		597.35	314	Bai (Dali)	uɑ⁴²
4613	ZMYYC	dig	dig	210449		597.36	317	Bai (Jianchuan)	uɑ⁴²
5617	ZMYYC	dig	dig	210431		597.51	368	Bokar Lhoba	koː
6621	ZMYYC	dig	dig	210425		597.39	411	Burmese (Written)	tu³
7625	ZMYYC	dig	dig	210446		597.30	418	Hani (Caiyuan)	tv̩³¹
8629	ZMYYC	dig	dig	210430		597.49	509	Darang [Taraon]	uɑ⁵⁵
9633	ZMYYC	dig	dig	210421		597.31	510	Hani (Dazhai)	bɤ³¹
10637	ZMYYC	dig	dig	210454		597.46	537	Trung [Dulong]	kɔŋ⁵⁵
11641	ZMYYC	dig	dig	210438		597.14	557	Ergong (Danba)	quɛi
12645	ZMYYC	dig	dig	210440		597.18	561	Ersu	dzɛ⁵⁵
13650	ZMYYC	dig	dig	210455		597.48	592	Kaman [Miju]	guɑ³⁵; son³⁵
14654	ZMYYC	dig	dig	210414		597.17	595	Guiqiong	xɑ⁵⁵
15658	ZMYYC	dig	dig	210456		597.50	662	Idu	uɑ⁵⁵
16662	ZMYYC	dig	dig	210429		597.47	690	Jingpho	thu³¹
17666	ZMYYC	dig	dig	210448		597.34	696	Jinuo	tu³³
18670	ZMYYC	dig	dig	210422		597.33	851	Lahu (Black)	qɔ⁵³
19674	ZMYYC	dig	dig	210445		597.28	908	Naxi (Lijiang)	ndv³³
20678	ZMYYC	dig	dig	210419		597.27	942	Lisu	du³¹
21682	ZMYYC	dig	dig	210427		597.43	1034	Maru [Langsu]	tau³⁵
22686	ZMYYC	dig	dig	210410		597.7	1088	Tsangla (Motuo)	bak
23691	ZMYYC	dig	dig	210434		597.6	1092	Tshona (Mama)	koʔ⁵³
24695	ZMYYC	dig	dig	210413		597.15	1136	Muya [Minyak]	ʁɛ⁵⁵qo⁵⁵
25699	ZMYYC	dig	dig	210415		597.19	1147	Namuyi	qɛ³⁵
26703	ZMYYC	dig	dig	210428		597.45	1215	Nusu (Bijiang)	khuɑ⁵³
27707	ZMYYC	dig	dig	210412		597.11	1306	Pumi (Qinghua)	nə¹³tʂhy⁵⁵
28711	ZMYYC	dig	dig	210436		597.10	1309	Pumi (Taoba)	nə³⁵lu³⁵
29715	ZMYYC	dig	dig	210435		597.8	1320	Qiang (Mawo)	phi phi
30719	ZMYYC	dig	dig	210411		597.9	1323	Qiang (Taoping)	qhə³¹la⁵⁵
31723	ZMYYC	dig	dig	210437		597.12	1340	rGyalrong	ka lwa
32727	ZMYYC	dig	dig	210408		597.3	1380	Tibetan (Khams:Dege)	ko⁵³
33731	ZMYYC	dig	dig	210441		597.20	1409	Xumi	phɐ³⁵
34735	ZMYYC	dig	dig	210447		597.32	1416	Hani (Shuikui)	tv̩³¹
35739	ZMYYC	dig	dig	210451		597.40	1428	Burmese (Spoken Rangoon)	tu⁵⁵
36743	ZMYYC	dig	dig	210457		597.52	1431	Sulung [Puroik]	bɹo⁵³
37708	ZMYYC	dig	dig	231772		597.13	1496	Tangut [Xixia]	--
38751	ZMYYC	dig	dig	210433		597.4	1550	Tibetan (Amdo:Bla-brang)	hke
39755	ZMYYC	dig	dig	210432		597.2	1557	Tibetan (Lhasa)	tʂhyʔ¹³
40759	ZMYYC	dig	dig	210407		597.1	1582	Tibetan (Written)	ɦdru
41763	ZMYYC	dig	dig	210409		597.5	1585	Tibetan (Amdo:Zeku)	rko
42767	ZMYYC	dig	dig	210450		597.38	1615	Tujia	ka⁵³
43771	ZMYYC	dig	dig	210442		597.22	1658	Yi (Dafang)	ndu³³
44776	ZMYYC	dig	dig	210418		597.25	1662	Yi (Mile)	dɯ²¹
45781	ZMYYC	dig	dig	210444		597.26	1663	Yi (Mojiang)	kᴀ̱²¹
46786	ZMYYC	dig	dig	210443		597.24	1664	Yi (Nanhua)	kɛ̱⁵⁵
47790	ZMYYC	dig	dig	210417		597.23	1666	Yi (Nanjian)	ku̪²¹
48794	ZMYYC	dig	dig	210416		597.21	1670	Yi (Xide)	ndu³³
49798	ZMYYC	dig (ditch)	dig	210420		597.29	1676	Naxi (Yongning)	dv³³
50802	ZMYYC	dig	dig	210452		597.42	1693	Atsi [Zaiwa]	khai²¹
51807	ZMYYC	dig	dig	210439		597.16	1699	Queyu (Yajiang) [Zhaba]	lə³⁵khuɐ⁵³
#
906	ZMYYC	diligent	diligent	226185		906.41	200	Achang (Longchuan)	ʑe⁵⁵
1910	ZMYYC	diligent	diligent	226212		906.44	269	Anong	*
2914	ZMYYC	diligent	diligent	226183		906.37	311	Bai (Bijiang)	ȵi²¹ʈɑ̃²¹
3918	ZMYYC	diligent	diligent	226182		906.35	314	Bai (Dali)	tɕhɯ⁵⁵tɕɯ³¹
4922	ZMYYC	diligent	diligent	226208		906.36	317	Bai (Jianchuan)	tɕhɯ̃⁵⁵tɕɯ³¹
5926	ZMYYC	diligent	diligent	226190		906.51	368	Bokar Lhoba	tɕe rə
6930	ZMYYC	diligent	diligent	226184		906.39	411	Burmese (Written)	luṁ¹lɑ¹hri¹
7934	ZMYYC	diligent	diligent	226205		906.30	418	Hani (Caiyuan)	tshiŋ³¹; ma³¹li⁵⁵
8938	ZMYYC	diligent	diligent	226189		906.49	509	Darang [Taraon]	ɑŋ⁵⁵ɑŋ⁵⁵
9942	ZMYYC	diligent	diligent	226180		906.31	510	Hani (Dazhai)	ȵi̱³³nɔ⁵⁵; mjɔ³¹ɔ⁵⁵ko̱³¹
10946	ZMYYC	diligent	diligent	226213		906.46	537	Trung [Dulong]	leŋ⁵⁵
11950	ZMYYC	diligent	diligent	226197		906.14	557	Ergong (Danba)	tsɛu
12954	ZMYYC	diligent	diligent	226199		906.18	561	Ersu	ngu³³ru⁵⁵
13959	ZMYYC	diligent	diligent	226214		906.48	592	Kaman [Miju]	kioŋ⁵⁵
14963	ZMYYC	diligent	diligent	226173		906.17	595	Guiqiong	tɕhĩ³³khuɛ³⁵
15967	ZMYYC	diligent	diligent	226215		906.50	662	Idu	ɑ³¹ʔɑŋ⁵⁵
16971	ZMYYC	diligent	diligent	226188		906.47	690	Jingpho	kje̱t³¹
17975	ZMYYC	diligent	diligent	226207		906.34	696	Jinuo	a³³sa³³a³³ja³³
18979	ZMYYC	diligent	diligent	226181		906.33	851	Lahu (Black)	kɛ³¹
19983	ZMYYC	diligent	diligent	226204		906.28	908	Naxi (Lijiang)	tɕhi³¹khua⁵⁵
20987	ZMYYC	diligent	diligent	226178		906.27	942	Lisu	lɑ⁴⁴ti⁴⁴
21991	ZMYYC	diligent	diligent	226186		906.43	1034	Maru [Langsu]	kjɛ̱t³¹
22995	ZMYYC	diligent	diligent	226169		906.7	1088	Tsangla (Motuo)	sarekore
24000	ZMYYC	diligent	diligent	226193		906.6	1092	Tshona (Mama)	tsyn⁵⁵dʐyʔ⁵³
25004	ZMYYC	diligent	diligent	226172		906.15	1136	Muya [Minyak]	tʂhø³³tʂhø³⁵
26008	ZMYYC	diligent	diligent	226174		906.19	1147	Namuyi	lɛ³³lɛ⁵³
27012	ZMYYC	diligent	diligent	226187		906.45	1215	Nusu (Bijiang)	lɑ³⁵ti³⁵ɑ⁵⁵
28016	ZMYYC	diligent	diligent	226171		906.11	1306	Pumi (Qinghua)	tsɑ̃⁵⁵xɑ̃⁵⁵
29020	ZMYYC	diligent	diligent	226195		906.10	1309	Pumi (Taoba)	dzio⁵⁵rə⁵⁵mə⁵³
30024	ZMYYC	diligent	diligent	226194		906.8	1320	Qiang (Mawo)	mɑ ʂqe
31028	ZMYYC	diligent	diligent	226170		906.9	1323	Qiang (Taoping)	ɕo³³le⁵⁵
32032	ZMYYC	diligent	diligent	226196		906.12	1340	rGyalrong	kə nə rwɐ tjo
33036	ZMYYC	diligent	diligent	226167		906.3	1380	Tibetan (Khams:Dege)	du¹³ri⁵³
34040	ZMYYC	diligent	diligent	226200		906.20	1409	Xumi	khu⁵⁵thɑ⁵⁵
35044	ZMYYC	diligent	diligent	226206		906.32	1416	Hani (Shuikui)	mã³¹li³⁵
36048	ZMYYC	diligent	diligent	226210		906.40	1428	Burmese (Spoken Rangoon)	lõ⁵³lɑ⁵³ɕi⁵³
37052	ZMYYC	diligent	diligent	226216		906.52	1431	Sulung [Puroik]	*
38052	ZMYYC	diligent	diligent	232116		906.13	1496	Tangut [Xixia]	--
39060	ZMYYC	diligent	diligent	226192		906.4	1550	Tibetan (Amdo:Bla-brang)	tshak jaŋ
40064	ZMYYC	diligent	diligent	226191		906.2	1557	Tibetan (Lhasa)	hur⁵⁵pu⁵³
41068	ZMYYC	diligent	diligent	226166		906.1	1582	Tibetan (Written)	hur po
42072	ZMYYC	diligent	diligent	226168		906.5	1585	Tibetan (Amdo:Zeku)	rtson ndʐi
43076	ZMYYC	diligent	diligent	226209		906.38	1615	Tujia	a³⁵lie⁵⁵
44080	ZMYYC	diligent	diligent	226201		906.22	1658	Yi (Dafang)	vu³³khɒ³³
45085	ZMYYC	diligent	diligent	226177		906.25	1662	Yi (Mile)	mo³³di̱²¹; lᴀ̱²¹tsho̱⁵⁵
46090	ZMYYC	diligent	diligent	226203		906.26	1663	Yi (Mojiang)	xe⁵⁵
47095	ZMYYC	diligent	diligent	226202		906.24	1664	Yi (Nanhua)	tɕhi³³lᴀ³³
48099	ZMYYC	diligent	diligent	226176		906.23	1666	Yi (Nanjian)	sa²¹di̱²¹
49103	ZMYYC	diligent	diligent	226175		906.21	1670	Yi (Xide)	ndʑiː⁴⁴pha³³
50107	ZMYYC	diligent	diligent	226179		906.29	1676	Naxi (Yongning)	tshuə¹³
51111	ZMYYC	diligent	diligent	226211		906.42	1693	Atsi [Zaiwa]	kje̱t²¹
52116	ZMYYC	diligent	diligent	226198		906.16	1699	Queyu (Yajiang) [Zhaba]	ʂa⁵⁵ʂa⁵⁵
#
395	ZMYYC	dinner	dinner	200124		395.41	200	Achang (Longchuan)	ni³¹kʐɔm⁵⁵tɕɔ⁵⁵
1399	ZMYYC	dinner	dinner	200151		395.44	269	Anong	ɑ³¹ɕi⁵⁵kɑ⁵⁵phi³¹
2403	ZMYYC	dinner	dinner	200122		395.37	311	Bai (Bijiang)	beʴ³³
3407	ZMYYC	dinner	dinner	200121		395.35	314	Bai (Dali)	pe³³
4411	ZMYYC	dinner	dinner	200147		395.36	317	Bai (Jianchuan)	pẽ³³
5415	ZMYYC	dinner	dinner	200129		395.51	368	Bokar Lhoba	*
6419	ZMYYC	dinner	dinner	200123		395.39	411	Burmese (Written)	ȵɑ¹sɑ²
7423	ZMYYC	dinner	dinner	200144		395.30	418	Hani (Caiyuan)	*
8427	ZMYYC	dinner	dinner	200128		395.49	509	Darang [Taraon]	*
9431	ZMYYC	dinner	dinner	200119		395.31	510	Hani (Dazhai)	tɕi̱³¹xo³¹
10435	ZMYYC	dinner	dinner	200152		395.46	537	Trung [Dulong]	xɹɯi⁵⁵ɑŋ³¹dzɑ⁵⁵
11439	ZMYYC	dinner	dinner	200136		395.14	557	Ergong (Danba)	gɯ ɕo dzi
12443	ZMYYC	dinner	dinner	200138		395.18	561	Ersu	ndʒɛ⁵⁵
13448	ZMYYC	dinner	dinner	200153		395.48	592	Kaman [Miju]	*
14452	ZMYYC	dinner	dinner	200112		395.17	595	Guiqiong	mɔ̃³³ŋi⁵⁵tsi³³
15456	ZMYYC	dinner	dinner	200154		395.50	662	Idu	ȵi⁵⁵muŋ⁵⁵tiɑ⁵⁵
16460	ZMYYC	dinner	dinner	200127		395.47	690	Jingpho	ʃă³¹naʔ⁵⁵ʃat³¹
17464	ZMYYC	dinner	dinner	200146		395.34	696	Jinuo	tɕhy³³xa³³
18468	ZMYYC	dinner	dinner	200120		395.33	851	Lahu (Black)	mu⁵³phə²¹ɔ¹¹
19472	ZMYYC	dinner	dinner	200143		395.28	908	Naxi (Lijiang)	mɯ³³khv⁵⁵ndzɯ³³
20476	ZMYYC	dinner	dinner	200117		395.27	942	Lisu	mɯ³¹khɯ³¹dzɑ³³tʃhɿ³¹
21480	ZMYYC	dinner	dinner	200125		395.43	1034	Maru [Langsu]	mji⁵⁵tshum³¹
22484	ZMYYC	dinner	dinner	200108		395.7	1088	Tsangla (Motuo)	*
23489	ZMYYC	dinner	dinner	200132		395.6	1092	Tshona (Mama)	nɔm⁵⁵thɔ⁵³
24493	ZMYYC	dinner	dinner	200111		395.15	1136	Muya [Minyak]	gui³⁵
25497	ZMYYC	dinner	dinner	200113		395.19	1147	Namuyi	*
26501	ZMYYC	dinner	dinner	200126		395.45	1215	Nusu (Bijiang)	miɑʴ³¹tshe⁵⁵
27505	ZMYYC	dinner	dinner	200110		395.11	1306	Pumi (Qinghua)	mɤ¹³tʃhɯ⁵⁵
28509	ZMYYC	dinner	dinner	200134		395.10	1309	Pumi (Taoba)	mu³⁵tɕhi⁵³
29513	ZMYYC	dinner	dinner	200133		395.8	1320	Qiang (Mawo)	tə pi
30517	ZMYYC	dinner	dinner	200109		395.9	1323	Qiang (Taoping)	ʐɑ⁵⁵χte⁵⁵
31521	ZMYYC	dinner	dinner	200135		395.12	1340	rGyalrong	ta pri
32525	ZMYYC	dinner	dinner	200106		395.3	1380	Tibetan (Khams:Dege)	*
33529	ZMYYC	dinner	dinner	200139		395.20	1409	Xumi	mɑ³³ɬɛ⁵⁵phɛ̃³⁵
34533	ZMYYC	dinner	dinner	200145		395.32	1416	Hani (Shuikui)	ʃã³¹v̩³¹
35537	ZMYYC	dinner	dinner	200149		395.40	1428	Burmese (Spoken Rangoon)	ȵɑ⁵³sɑ²²
36541	ZMYYC	dinner	dinner	200155		395.52	1431	Sulung [Puroik]	a³³cit³³mə³³luat³³
37484	ZMYYC	dinner	dinner	231548		395.13	1496	Tangut [Xixia]	--
38549	ZMYYC	dinner	dinner	200131		395.4	1550	Tibetan (Amdo:Bla-brang)	nəp tɕa
39553	ZMYYC	dinner	dinner	200130		395.2	1557	Tibetan (Lhasa)	*
40557	ZMYYC	dinner	dinner	200105		395.1	1582	Tibetan (Written)	*
41561	ZMYYC	dinner	dinner	200107		395.5	1585	Tibetan (Amdo:Zeku)	nam ngoŋ shi
42565	ZMYYC	dinner	dinner	200148		395.38	1615	Tujia	wuan⁵⁵xuan³⁵
43569	ZMYYC	dinner	dinner	200140		395.22	1658	Yi (Dafang)	*
44574	ZMYYC	dinner	dinner	200116		395.25	1662	Yi (Mile)	mu²¹tɕhi̱²¹tso³³
45579	ZMYYC	dinner	dinner	200142		395.26	1663	Yi (Mojiang)	mu³³tɕhi̱²¹dzo²¹
46584	ZMYYC	dinner	dinner	200141		395.24	1664	Yi (Nanhua)	dzo³³dʐᴀ²¹
47588	ZMYYC	dinner	dinner	200115		395.23	1666	Yi (Nanjian)	dzɑ⁵⁵dzu²¹
48592	ZMYYC	dinner	dinner	200114		395.21	1670	Yi (Xide)	khɯ⁵⁵tʂhɯ²¹
49596	ZMYYC	dinner	dinner	200118		395.29	1676	Naxi (Yongning)	tʂhuə³³
50600	ZMYYC	dinner	dinner	200150		395.42	1693	Atsi [Zaiwa]	mjin⁵⁵tsaŋ²¹
51605	ZMYYC	dinner	dinner	200137		395.16	1699	Queyu (Yajiang) [Zhaba]	mi⁵⁵ŋə³³du³⁵
#
854	ZMYYC	dirty	dirty	223533		854.41	200	Achang (Longchuan)	ək³⁵
1858	ZMYYC	dirty	dirty	223560		854.44	269	Anong	ɳɑŋ⁵⁵ɛ³¹
2862	ZMYYC	dirty	dirty	223531		854.37	311	Bai (Bijiang)	xo³³xo⁵⁵
3866	ZMYYC	dirty	dirty	223530		854.35	314	Bai (Dali)	lɑ⁴⁴thɑ⁴⁴
4870	ZMYYC	dirty	dirty	223556		854.36	317	Bai (Jianchuan)	tshɑ⁵⁵ne⁴²
5874	ZMYYC	dirty	dirty	223538		854.51	368	Bokar Lhoba	ka naŋ
6878	ZMYYC	dirty	dirty	223532		854.39	411	Burmese (Written)	ȵɑs pɑt
7882	ZMYYC	dirty	dirty	223553		854.30	418	Hani (Caiyuan)	tsaŋ³³; mɔ³¹su⁵⁵
8886	ZMYYC	dirty	dirty	223537		854.49	509	Darang [Taraon]	kɑ³¹pɯ⁵³
9890	ZMYYC	dirty	dirty	223528		854.31	510	Hani (Dazhai)	ɕe̱³³nɔ̱³¹
10894	ZMYYC	dirty	dirty	223561		854.46	537	Trung [Dulong]	tsɑŋ⁵⁵mɑ⁵⁵mɯ³¹cɑ⁵³
11898	ZMYYC	dirty	dirty	223545		854.14	557	Ergong (Danba)	mi spɔ tʂaŋ
12902	ZMYYC	dirty	dirty	223547		854.18	561	Ersu	tʂhu⁵⁵
13907	ZMYYC	dirty	dirty	223562		854.48	592	Kaman [Miju]	kɑ³¹so⁵³
14911	ZMYYC	dirty	dirty	223521		854.17	595	Guiqiong	ȵɔ̃⁵⁵mu⁵⁵
15915	ZMYYC	dirty	dirty	223563		854.50	662	Idu	pɹɑ⁵⁵liɑ⁵⁵mi⁵⁵
16919	ZMYYC	dirty	dirty	223536		854.47	690	Jingpho	mă³¹tsa̱t⁵⁵
17923	ZMYYC	dirty	dirty	223555		854.34	696	Jinuo	mɔ³³mɹɛ³³mɯ³³
18927	ZMYYC	dirty	dirty	223529		854.33	851	Lahu (Black)	tsᴀ³¹
19931	ZMYYC	dirty	dirty	223552		854.28	908	Naxi (Lijiang)	ȵə⁵⁵ȵə³³
20935	ZMYYC	dirty	dirty	223526		854.27	942	Lisu	nɛ⁴⁴
21939	ZMYYC	dirty	dirty	223534		854.43	1034	Maru [Langsu]	la̱u³⁵
22943	ZMYYC	dirty	dirty	223517		854.7	1088	Tsangla (Motuo)	tsokpa
23948	ZMYYC	dirty	dirty	223541		854.6	1092	Tshona (Mama)	bɔk¹³po⁵³
24952	ZMYYC	dirty	dirty	223520		854.15	1136	Muya [Minyak]	tɕha⁵⁵nɑ⁵⁵
25956	ZMYYC	dirty	dirty	223522		854.19	1147	Namuyi	mɛ⁵⁵ʂɛ³³ʂɛ⁵⁵
26960	ZMYYC	dirty	dirty	223535		854.45	1215	Nusu (Bijiang)	mɑ⁵⁵ɬɑ³¹
27964	ZMYYC	dirty	dirty	223519		854.11	1306	Pumi (Qinghua)	dʐa¹³
28968	ZMYYC	dirty	dirty	223543		854.10	1309	Pumi (Taoba)	dʐɛ⁵⁵mə⁵³
29972	ZMYYC	dirty	dirty	223542		854.8	1320	Qiang (Mawo)	mə ɕu tiu
30976	ZMYYC	dirty	dirty	223518		854.9	1323	Qiang (Taoping)	mi⁵⁵kan⁵⁵tsin¹³
31980	ZMYYC	dirty	dirty	223544		854.12	1340	rGyalrong	mak ʃo
