# Wordlist

# DATA
ID	SRCABBR	STEDT_GLOSS	CONCEPT	RN	GFN	SRCID	LGID	DOCULECT	REFLEX
7111	ZMYYC	August	August	184232		83.30	418	Hani (Caiyuan)	*
8115	ZMYYC	August	August	184216		83.49	509	Darang [Taraon]	xɑ⁵⁵lo⁵³liɯm³⁵
9119	ZMYYC	August	August	184207		83.31	510	Hani (Dazhai)	ɕe̱³¹la³³
10123	ZMYYC	August	August	184240		83.46	537	Trung [Dulong]	ɕɑ̆t⁵⁵sɯ³¹lɑ⁵⁵
11127	ZMYYC	August	August	184224		83.14	557	Ergong (Danba)	ɦɛ dʑɛ pa
12131	ZMYYC	August	August	184226		83.18	561	Ersu	pa⁵⁵i⁵⁵ɬɑ³³
13136	ZMYYC	August	August	184241		83.48	592	Kaman [Miju]	lɑi⁵³kɯ³¹gɹɯn⁵³
14140	ZMYYC	August	August	184200		83.17	595	Guiqiong	dʑɛ³⁵pu⁵³
15144	ZMYYC	August	August	184242		83.50	662	Idu	e⁵⁵lɑ⁵⁵i⁵⁵lioŋ⁵⁵
16148	ZMYYC	August	August	184215		83.47	690	Jingpho	kup³¹ʃi³¹ta̱³³
17152	ZMYYC	August	August	184234		83.34	696	Jinuo	xɛ⁴⁴ɬɔ³³
18156	ZMYYC	August	August	184208		83.33	851	Lahu (Black)	pᴀ³¹ze³³xᴀ³³pᴀ³³
19160	ZMYYC	August	August	184231		83.28	908	Naxi (Lijiang)	xuɑ⁵⁵me³³
20164	ZMYYC	August	August	184205		83.27	942	Lisu	he⁴¹hɑ³³
21168	ZMYYC	August	August	184213		83.43	1034	Maru [Langsu]	lɔ̱⁵⁵ʃɛʔ⁵⁵khjɛʔ⁵⁵
22172	ZMYYC	August	August	184196		83.7	1088	Tsangla (Motuo)	dawadʑepa; phaʔ da
23177	ZMYYC	August	August	184220		83.6	1092	Tshona (Mama)	le⁵³cen¹³
24181	ZMYYC	August	August	184199		83.15	1136	Muya [Minyak]	dɛ³³wɛ⁵⁵dʑe³⁵pɛ⁵³
25185	ZMYYC	August	August	184201		83.19	1147	Namuyi	hɪ̃³³ɬi⁵⁵
26189	ZMYYC	August	August	184214		83.45	1215	Nusu (Bijiang)	ʂɑʴ⁵³ɬɑ³¹
27193	ZMYYC	August	August	184198		83.11	1306	Pumi (Qinghua)	qa⁵⁵sɑ̃u¹³ʒi¹³
28197	ZMYYC	August	August	184222		83.10	1309	Pumi (Taoba)	ʂuɛ³⁵li⁵⁵mei³⁵
29201	ZMYYC	August	August	184221		83.8	1320	Qiang (Mawo)	khaʴʂ
30205	ZMYYC	August	August	184197		83.9	1323	Qiang (Taoping)	tʂhe⁵⁵ʂɿ³³
31209	ZMYYC	August	August	184223		83.12	1340	rGyalrong	zla wa brɟjɐt pɐ
32213	ZMYYC	August	August	184194		83.3	1380	Tibetan (Khams:Dege)	da¹³wa⁵³dʑe³¹pa⁵³
33217	ZMYYC	August	August	184227		83.20	1409	Xumi	ɕyi⁵⁵ɬɯ³³
34221	ZMYYC	August	August	184233		83.32	1416	Hani (Shuikui)	xɛ̱³¹l̥ɔ³³
35225	ZMYYC	August	August	184237		83.40	1428	Burmese (Spoken Rangoon)	tɑ̃²²hsɑũ²²mõ⁵⁵
36229	ZMYYC	August	August	184243		83.52	1431	Sulung [Puroik]	par³³vuaŋ³³aŋ³³bo³³
37967	ZMYYC	August	August	232031		83.13	1496	Tangut [Xixia]	--
38237	ZMYYC	August	August	184219		83.4	1550	Tibetan (Amdo:Bla-brang)	hda dʑal
39241	ZMYYC	August	August	184218		83.2	1557	Tibetan (Lhasa)	ta¹³wa¹³cɛʔ¹³pa⁵³
40245	ZMYYC	August	August	184193		83.1	1582	Tibetan (Written)	zla ba brgjad pa
41249	ZMYYC	August	August	184195		83.5	1585	Tibetan (Amdo:Zeku)	rdza wɟjal pa
42253	ZMYYC	August	August	184236		83.38	1615	Tujia	pa³⁵jie⁵⁵
43257	ZMYYC	August	August	184228		83.22	1658	Yi (Dafang)	ɣa³³ho²¹
44262	ZMYYC	August	August	184204		83.25	1662	Yi (Mile)	xi̱²¹ɬo³³
45267	ZMYYC	August	August	184230		83.26	1663	Yi (Mojiang)	he̱²¹xo²¹
46272	ZMYYC	August	August	184229		83.24	1664	Yi (Nanhua)	he̱⁵⁵ɕo³³
47276	ZMYYC	August	August	184203		83.23	1666	Yi (Nanjian)	hi²¹lɑ³³
48280	ZMYYC	August (bovine month)	August	184202		83.21	1670	Yi (Xide)	ȵu³³ɬɯ²¹
49284	ZMYYC	August	August	184206		83.29	1676	Naxi (Yongning)	xu¹³ɬe³³mi³³
50288	ZMYYC	August	August	184238		83.42	1693	Atsi [Zaiwa]	lŏ̱̆⁵⁵mo⁵⁵ʃit⁵⁵khjap⁵⁵
51293	ZMYYC	August	August	184225		83.16	1699	Queyu (Yajiang) [Zhaba]	da³⁵wa⁵⁵dʑe³⁵pa⁵³
#
315	ZMYYC	Chinese	Chinese	196044		315.41	200	Achang (Longchuan)	kă³¹phuaŋ³¹
1319	ZMYYC	Chinese	Chinese	196071		315.44	269	Anong	hɛŋ³¹tʂhɿ⁵⁵
2323	ZMYYC	Chinese	Chinese	196042		315.37	311	Bai (Bijiang)	xɑ̃⁴²pu⁵⁵
3327	ZMYYC	Chinese	Chinese	196041		315.35	314	Bai (Dali)	xɑ⁴²xuo⁴⁴
4331	ZMYYC	Chinese	Chinese	196067		315.36	317	Bai (Jianchuan)	xɑ̃⁴²xo⁴⁴
5335	ZMYYC	Chinese	Chinese	196049		315.51	368	Bokar Lhoba	dʑa mi
6339	ZMYYC	Chinese	Chinese	196043		315.39	411	Burmese (Written)	hɑn lu²mjo³
7343	ZMYYC	Chinese	Chinese	196064		315.30	418	Hani (Caiyuan)	a³¹xa̱³¹
8347	ZMYYC	Chinese	Chinese	196048		315.49	509	Darang [Taraon]	khi⁵⁵
9351	ZMYYC	Chinese	Chinese	196039		315.31	510	Hani (Dazhai)	phju⁵⁵ȵu⁵⁵; a⁵⁵ȵu⁵⁵
10355	ZMYYC	Chinese	Chinese	196072		315.46	537	Trung [Dulong]	ɟɑ⁵⁵
11359	ZMYYC	Chinese	Chinese	196056		315.14	557	Ergong (Danba)	ʐdʑɛ
12363	ZMYYC	Chinese	Chinese	196058		315.18	561	Ersu	ndzɑ⁵⁵
13368	ZMYYC	Chinese	Chinese	196073		315.48	592	Kaman [Miju]	khi⁵⁵
14372	ZMYYC	Chinese	Chinese	196032		315.17	595	Guiqiong	dʑɛ³⁵
15376	ZMYYC	Chinese	Chinese	196074		315.50	662	Idu	dʑɑ⁵⁵mi⁵⁵
16380	ZMYYC	Chinese	Chinese	196047		315.47	690	Jingpho	mu³¹wa³¹
17384	ZMYYC	Chinese	Chinese	196066		315.34	696	Jinuo	a³³xo³¹
18388	ZMYYC	Chinese	Chinese	196040		315.33	851	Lahu (Black)	xɛ⁵⁴pᴀ¹¹
19392	ZMYYC	Chinese	Chinese	196063		315.28	908	Naxi (Lijiang)	xɑ³³pɑ³¹
20396	ZMYYC	Chinese	Chinese	196037		315.27	942	Lisu	xɯ³¹ʃɿ³¹
21400	ZMYYC	Chinese	Chinese	196045		315.43	1034	Maru [Langsu]	xa³¹vɔ³¹
22404	ZMYYC	Chinese	Chinese	196028		315.7	1088	Tsangla (Motuo)	dʑariʔ
23409	ZMYYC	Chinese	Chinese	196052		315.6	1092	Tshona (Mama)	cᴀ¹³rik¹³
24413	ZMYYC	Chinese	Chinese	196031		315.15	1136	Muya [Minyak]	ʁɐ³⁵
25417	ZMYYC	Chinese	Chinese	196033		315.19	1147	Namuyi	ʁua⁵³
26421	ZMYYC	Chinese	Chinese	196046		315.45	1215	Nusu (Bijiang)	xe⁵⁵
27425	ZMYYC	Chinese	Chinese	196030		315.11	1306	Pumi (Qinghua)	ʂɛ¹³
28429	ZMYYC	Chinese	Chinese	196054		315.10	1309	Pumi (Taoba)	ɕə³⁵
29433	ZMYYC	Chinese	Chinese	196053		315.8	1320	Qiang (Mawo)	ʁəʴ
30437	ZMYYC	Chinese	Chinese	196029		315.9	1323	Qiang (Taoping)	ʁə³³
31441	ZMYYC	Chinese	Chinese	196055		315.12	1340	rGyalrong	rɟjɐ rək
32445	ZMYYC	Chinese	Chinese	196026		315.3	1380	Tibetan (Khams:Dege)	dʑa⁵³
33449	ZMYYC	Chinese	Chinese	196059		315.20	1409	Xumi	χɛ̃³³pɑ³⁵
34453	ZMYYC	Chinese	Chinese	196065		315.32	1416	Hani (Shuikui)	a³¹xa³¹
35457	ZMYYC	Chinese	Chinese	196069		315.40	1428	Burmese (Spoken Rangoon)	hɑ̃²²lu²²mjo⁵⁵
36461	ZMYYC	Chinese	Chinese	196075		315.52	1431	Sulung [Puroik]	dʑɛ³³mi³³bi³³
37396	ZMYYC	Chinese	Chinese	231460		315.13	1496	Tangut [Xixia]	--
38469	ZMYYC	Chinese	Chinese	196051		315.4	1550	Tibetan (Amdo:Bla-brang)	hdʑa rək
39473	ZMYYC	Chinese	Chinese	196050		315.2	1557	Tibetan (Lhasa)	ca¹³riʔ¹³
40477	ZMYYC	Chinese	Chinese	196025		315.1	1582	Tibetan (Written)	rgja rigs
41481	ZMYYC	Chinese	Chinese	196027		315.5	1585	Tibetan (Amdo:Zeku)	rɟja rək
42485	ZMYYC	Chinese	Chinese	196068		315.38	1615	Tujia	pha⁵⁵kha²¹
43489	ZMYYC	Chinese	Chinese	196060		315.22	1658	Yi (Dafang)	sa³³phu⁵⁵
44494	ZMYYC	Chinese	Chinese	196036		315.25	1662	Yi (Mile)	ɕe̱³³pho²¹; lo²¹dʑi²¹
45499	ZMYYC	Chinese	Chinese	196062		315.26	1663	Yi (Mojiang)	thɒ²¹ni⁵⁵pho²¹
