ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
78	Ukhrul	the ear	525831	1247	81	ear	kʰə-na	kʰ ə + n a
79	Ukhrul	the earth (soil)	526741	1228	40	earth, dirt	ŋə-lej	ŋ ə + l e j
80	Ukhrul	the egg	526632	744	450	egg	hɐr-ru	h ɐ r + r u
81	Ukhrul	the eye	525832	1248	79	eye	ʔa-mik	ʔ a + m i k
82	Ukhrul	the father	525837	1217	218	father	ʔa-va	ʔ a + v a
84	Ukhrul	the fire	526683	221	18	fire	mej	m e j
85	Ukhrul	the fish	526763	227	351	fish	kʰaj	kʰ a j
86	Ukhrul	the flower	525822	239	377	flower	ʔa-wan	ʔ a + w a n
88	Ukhrul	the foot	526890	1301	103	foot, leg	ʔa-pʰej	ʔ a + pʰ e j
89	Ukhrul	the forest	526768	420	50	mountain, forest	kə-pʰuŋ	k ə + pʰ u ŋ
90	Ukhrul	the frog	526658	503	349	frog	kʰaj-fu	kʰ a j + f u
91	Ukhrul	the fruit	525805	1507	378	fruit	tʰej	tʰ e j
92	Ukhrul	the goat	528755	1502	276	goat	me	m e
93	Ukhrul	the grass	525814	606	436	grass	kʰuwa	kʰ u w a
95	Ukhrul	the hair (of the head)	525815	1040	75	hair (on head)	kuj-sam	k u j + s a m
96	Ukhrul	the hand	526865	1277	107	hand / arm	ʔa-paŋ	ʔ a + p a ŋ
97	Ukhrul	the head	525823	1256	74	head	(a)-kuj	a k u j
98	Ukhrul	the head	526771	1256	74	head	ʔa-kuj	ʔ a + k u j
99	Ukhrul	the heart	526800	1223	144	heart	mə-|luŋ	m ə + + l u ŋ
100	Ukhrul	the horn (keratinized skin)	525850	1393	263	horn	a-ŋə-ci	a + ŋ ə + c i
102	Ukhrul	the house	526877	1252	494	house	ʃim	ʃ i m
103	Ukhrul	the knee	526895	1371	101	knee	ʔa-kʰuk	ʔ a + kʰ u k
105	Ukhrul	the leaf	526671	628	376	leaf	ʔa-na	ʔ a + n a
106	Ukhrul	the lip (the lips)	526816	478	85	lip	mor-caj	m o r + c a j
107	Ukhrul	the liver	526742	1224	145	liver	ʔa-mə-tʰin	ʔ a + m ə + tʰ i n
108	Ukhrul	the louse	525801	1392	356	louse	rik	r i k
109	Ukhrul	the lung	526653	688	143	lung; liver	ʔa-pʰar	ʔ a + pʰ a r
110	Ukhrul	the man (male human)	525896	2106	173	man, son	mə-jar-naw	m ə + j a r + n a w
111	Ukhrul	the meat	525800	634	443	meat; animal; skin	sa	s a
112	Ukhrul	the moon	526897	1313	4	moon	kə-caŋ	k ə + c a ŋ
113	Ukhrul	the mother	526863	1216	219	mother	ʔa-vu	ʔ a + v u
114	Ukhrul	the mountain	526768	639	23	mountain, forest	kə-pʰuŋ	k ə + pʰ u ŋ
115	Ukhrul	the mouse or rat	525848	2139	320	rat, rodent	ʃi-ok	ʃ i + o k
116	Ukhrul	the mouth	525861	674	84	mouth	kʰə-mor	kʰ ə + m o r
117	Ukhrul	the nail (fingernail or claw)	526734	2128	113	(finger) nail	leŋ-kor	l e ŋ + k o r
118	Ukhrul	the name	526660	1405	687	name	ʔa-miŋ	ʔ a + m i ŋ
119	Ukhrul	the neck	526735	1333	89	neck	ʔa-kʰoŋ	ʔ a + kʰ o ŋ
120	Ukhrul	the needle (for sewing)	526766	1382	578	needle	kə-pim	k ə + p i m
121	Ukhrul	the nose	525812	1221	80	nose	na-taŋ	n a + t a ŋ
122	Ukhrul	the otter	526819	15	317	otter	si-rɐm	s i + r ɐ m
123	Ukhrul	the pig	525898	1337	284	pig	hok	h o k
124	Ukhrul	the rain	527873	658	10	rain	kʰə-ro	kʰ ə + r o
125	Ukhrul	the river	525804	666	30	river	koŋ	k o ŋ
127	Ukhrul	the road	525864	667	38	road	ʃoŋ-fu	ʃ o ŋ + f u
130	Ukhrul	the root	526693	670	375	root	ʔa-ŋə-juŋ	ʔ a + ŋ ə + j u ŋ
131	Ukhrul	the salt	526670	1274	61	salt	mə-ci	m ə + c i
132	Ukhrul	the sand	526165	671	44	sand	si-tuj	s i + t u j
133	Ukhrul	the seed	526133	714	405	seed	ʔa-tʰa	ʔ a + tʰ a
134	Ukhrul	the shit	526876	676	151	defecate	kə-paj	k ə + p a j
135	Ukhrul	the skin	525886	763	120	skin (human); meat	ʔa-sa	ʔ a + s a
136	Ukhrul	the sky	526687	1732	1	sky; rain	kə-tsiŋ	k ə + ts i ŋ
137	Ukhrul	the smoke	525865	778	19	smoke	mej-kʰut	m e j + kʰ u t
138	Ukhrul	the snake	525849	730	347	snake	pʰa-|ru	pʰ a + + r u
140	Ukhrul	the son	525896	1620	220	man, son	mə-jar-naw	m ə + j a r + n a w
141	Ukhrul	the star	525871	1430	5	star	si◦ra	s i + r a
143	Ukhrul	the stick	526770	1295	586	tree / wood / stick	tʰiŋ	tʰ i ŋ
145	Ukhrul	the stone (a piece of)	526691	857	379	stone	ŋə-luŋ	ŋ ə + l u ŋ
146	Ukhrul	the sun	525872	1343	2	sun	tsimik	ts i m i k
147	Ukhrul	the sun	526692	1343	2	sun / day	tsi-mik	ts i + m i k
148	Ukhrul	the tail	526740	1220	267	tail	kʰə-mej	kʰ ə + m e j
