ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
1	Hayu	I [first person singular]	120105	1209	928	my, me (pron po)	aŋ	a ŋ
2	Hayu	I [first person singular]	120407	1209	928	I, me, we, us (pron (1)	gu	g u
3	Hayu	above	120114	1741	731	up, above (adv loc)	ani	a n i
4	Hayu	above	120115	1741	731	above (pp)	ani	a n i
5	Hayu	below, under	121592	1485	732	down, below (adv)	hutoŋ	h u t o ŋ
6	Hayu	below, under	121287	1485	732	below, down (adv)	yʊ̃ːkha	j ʊ̃ː kʰ a
7	Hayu	big	121645	1202	964	be big, become big; win (vi, vr)	xʊn	x ʊ n
8	Hayu	big	120161	1202	964	big, huge (adj)	ʊlawo	ʊ l a w o
9	Hayu	black	120304	163	1005	black (adj)	khaktshiŋmi	kʰ a k tsʰ i ŋ m i
10	Hayu	cold (of temperature)	120635	1287	1063	cold (temperature) (n)	dzũːsa	d z ũː s a
11	Hayu	dark	121295	706	1013	night, at night (n, adv)	yeksa	j e k s a
12	Hayu	dark	120217	706	1013	dark, darkness (adj)	kuŋkuŋ	k u ŋ k u ŋ
13	Hayu	dirty	121129	1230	1086	be stained, soiled (vtt (im)	bɩ(t)	b ɿ t
14	Hayu	dry	121560	1398	1028	dry (of earth) (adj)	soːso	s oː s o
15	Hayu	early	120877	672	1018	soon, early (adv)	naːna	n aː n a
16	Hayu	far	121643	1406	974	far (adv)	xuʔlam	x u ʔ l a m
17	Hayu	four	121181	1500	800	four (num)	bli	b l i
18	Hayu	full	120603	1429	984	satisfied (be v.)	tsho	tsʰ o
19	Hayu	good	120904	1035	1052	good (adj)	nuk-ha	n u k + h a
20	Hayu	green	120401	1425	1009	green, unripe	giruŋ	g i r u ŋ
21	Hayu	hard	120492	1884	1034	hard (be v.)	tsam	ts a m
22	Hayu	he or she [third person singular]	120267	262	934	he, him (pron (3)	komi	k o m i
23	Hayu	heavy	121386	1210	1014	heavy (vr)	lit	l i t
24	Hayu	high / tall	120646	1265	968	tall, high (be v.)	dzoŋ	d z o ŋ
25	Hayu	horizontal	121539	2376	1001	horizontal (adj)	xeŋdaŋ	x e ŋ d a ŋ
26	Hayu	hot	120639	1286	1062	hot (be v.)	dze	d z e
27	Hayu	inside	121161	1606	715	in, on, at (pp)	-be	+ b e
