# Wordlist

# META
@modified:2015-01-20 10:39
@tree:(((Luobenzhuo,(Enqi,(Ega,Jinman))),(Gongxing,Tuoluo)),(Mazhelong,((Xiangyun,((Qiliqiao,(Eryuan,Yunlong)),(Lanping,(Heqi,Jianchuan)))),(Zhoucheng,(Dashi,Jinxing)))));

# DATA
ID	GLOSS_IN_SOURCE	SOURCE	ENTRY_IN_SOURCE	POS	CHINESE_GLOSS	DOCULECT	IPA	CONCEPT	ID_IN_SOURCE	PST	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
12	alcohol(drink)	Allen2007	tsũɔ̃33	?	酒	Heqi	t͡sũɔ̃₃₃	alcohol	204	CVT	t͡s ũ ɔ̃ ₃₃	2 7 7 8	AXYT	CYU4	6	6.C.C 6.Y.V 6.U.V 6.4.T	1.6 3.0 3.0 1.0	1
13	alcohol(drink)	Allen2007	tsõ44	?	酒	Lanping	t͡sõ₄₄	alcohol	204	CVT	t͡s õ ₄₄	2 7 8	AXT	CU5	10	10.C.C 10.U.V 10.5.T	1.6 3.0 1.0	0
14	alcohol(drink)	Allen2007	tsɿ33	?	酒	Qiliqiao	t͡sɿ₃₃	alcohol	204	CVT	t͡s ɿ ₃₃	2 7 8	AXT	CI4	13	13.C.C 13.I.V 13.4.T	1.6 3.0 1.0	0
15	alcohol(drink)	Allen2007	dzɿ33	?	酒	Yunlong	d͡zɿ₃₃	alcohol	204	CVT	d͡z ɿ ₃₃	2 7 8	AXT	CI4	16	16.C.C 16.I.V 16.4.T	1.6 3.0 1.0	0
16	alcohol(drink)	Allen2007	jɛ̃33	?	酒	Xiangyun	jɛ̃₃₃	alcohol	204	CVT	j ɛ̃ ₃₃	6 7 8	AXT	JE4	15	15.J.C 15.E.V 15.4.T	1.6 3.0 1.0	1
17	alcohol(drink)	Allen2007	tsõ33	?	酒	Luobenzhuo	t͡sõ₃₃	alcohol	204	CVT	t͡s õ ₃₃	2 7 8	AXT	CU4	11	11.C.C 11.U.V 11.4.T	1.6 3.0 1.0	0
#
18	ant	Wang2006a	tɕien55(ɕaŋ55)	?	?	Tuoluo	t͡ɕien₅₅ɕaŋ₅₅	ant	365	CVcTCVcT	t͡ɕ i e n ₅₅ ɕ a ŋ ₅₅	2 7 7 4 8 3 7 4 8	AXYLTBYLT	CIEN5SAN5	14	14.C.C 14.I.V 14.E.V 14.N.c 14.5.T 14.S.C 14.A.V 14.N.c 14.5.T	1.6 3.0 3.0 1.1 1.0 1.3 3.0 1.1 1.0	0
19	ant	Wang2006a	dzu12bu12	?	?	Gongxing	d͡zu₁₂bu₁₂	ant	365	CVTCVT	d͡z u ₁₂ b u ₁₂	2 7 8 1 7 8	AXTBYT	CY2PY2	5	5.C.C 5.Y.V 5.2.T 5.P.C 5.Y.V 5.2.T	1.6 3.0 1.0 1.3 3.0 1.0	0
20	ant	Wang2006a	tsu43pɯ21	?	?	Enqi	t͡su₄₃pɯ₂₁	ant	365	CVTCVT	t͡s u ₄₃ p ɯ ₂₁	2 7 8 1 7 8	AXTBYT	CY3PI3	3	3.C.C 3.Y.V 3.3.T 3.P.C 3.I.V 3.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
21	ant	Wang2006a	tɕi21pɯ21	?	?	Ega	t͡ɕi₂₁pɯ₂₁	ant	365	CVTCVT	t͡ɕ i ₂₁ p ɯ ₂₁	2 7 8 1 7 8	AXTBYT	CI3PI3	2	2.C.C 2.I.V 2.3.T 2.P.C 2.I.V 2.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
