# Wordlist

# META
@modified:2015-01-20 10:39
@tree:(((Luobenzhuo,(Enqi,(Ega,Jinman))),(Gongxing,Tuoluo)),(Mazhelong,((Xiangyun,((Qiliqiao,(Eryuan,Yunlong)),(Lanping,(Heqi,Jianchuan)))),(Zhoucheng,(Dashi,Jinxing)))));

# DATA
ID	GLOSS_IN_SOURCE	SOURCE	ENTRY_IN_SOURCE	POS	CHINESE_GLOSS	DOCULECT	IPA	CONCEPT	ID_IN_SOURCE	PST	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
857	earth	Allen2007	tɕi31	?	地	Eryuan	t͡ɕi₃₁	earth	20	CVT	t͡ɕ i ₃₁	2 7 8	AXT	CI3	4	4.C.C 4.I.V 4.3.T	1.6 3.0 1.0	0
858	earth	Allen2007	tɕi31pɛ21	?	地	Heqi	t͡ɕi₃₁pɛ₂₁	earth	20	CVTCVT	t͡ɕ i ₃₁ p ɛ ₂₁	2 7 8 1 7 8	AXTBYT	CI3PE3	6	6.C.C 6.I.V 6.3.T 6.P.C 6.E.V 6.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
859	earth	Allen2007	tɕi31	?	地	Lanping	t͡ɕi₃₁	earth	20	CVT	t͡ɕ i ₃₁	2 7 8	AXT	CI3	10	10.C.C 10.I.V 10.3.T	1.6 3.0 1.0	0
860	earth	Allen2007	tɕi31pɛ21	?	地	Qiliqiao	t͡ɕi₃₁pɛ₂₁	earth	20	CVTCVT	t͡ɕ i ₃₁ p ɛ ₂₁	2 7 8 1 7 8	AXTBYT	CI3PE3	13	13.C.C 13.I.V 13.3.T 13.P.C 13.E.V 13.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
861	earth	Allen2007	tɕi31	?	地	Yunlong	t͡ɕi₃₁	earth	20	CVT	t͡ɕ i ₃₁	2 7 8	AXT	CI3	16	16.C.C 16.I.V 16.3.T	1.6 3.0 1.0	0
862	earth	Allen2007	ji31pɛ21	?	地	Xiangyun	ji₃₁pɛ₂₁	earth	20	CVTCVT	j i ₃₁ p ɛ ₂₁	6 7 8 1 7 8	AXTBYT	JI3PE3	15	15.J.C 15.I.V 15.3.T 15.P.C 15.E.V 15.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
863	earth	Allen2007	tɕĩ44pa42	?	地	Luobenzhuo	t͡ɕĩ₄₄pa₄₂	earth	20	CVTCVT	t͡ɕ ĩ ₄₄ p a ₄₂	2 7 8 1 7 8	AXTBYT	CI5PA3	11	11.C.C 11.I.V 11.5.T 11.P.C 11.A.V 11.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
3917	soil; earth	Wang2006a	tʰoŋ33	?	?	Tuoluo	tʰoŋ₃₃	earth	40	CVcT	tʰ o ŋ ₃₃	1 7 4 8	AXLT	TUN4	14	14.T.C 14.U.V 14.N.c 14.4.T	1.6 3.0 1.1 1.0	0
3918	soil; earth	Wang2006a	tʰy22	?	?	Gongxing	tʰy₂₂	earth	40	CVT	tʰ y ₂₂	1 7 8	AXT	TY1	5	5.T.C 5.Y.V 5.1.T	1.6 3.0 1.0	1
3919	soil; earth	Wang2006a	nE21	?	?	Enqi	nɛ₂₁	earth	40	CVT	n ɛ ₂₁	4 7 8	AXT	NE3	3	3.N.C 3.E.V 3.3.T	1.6 3.0 1.0	0
3920	soil; earth	Wang2006a	nɛ215	?	?	Ega	nɛ₂₁₅	earth	40	CVT	n ɛ ₂₁₅	4 7 8	AXT	NE6	2	2.N.C 2.E.V 2.6.T	1.6 3.0 1.0	0
3921	soil; earth	Wang2006a	ne21	?	?	Jinman	ne₂₁	earth	40	CVT	n e ₂₁	4 7 8	AXT	NE3	8	8.N.C 8.E.V 8.3.T	1.6 3.0 1.0	0
3922	soil; earth	Wang2006a	tʰu33	?	?	Jinxing	tʰu₃₃	earth	40	CVT	tʰ u ₃₃	1 7 8	AXT	TY4	9	9.T.C 9.Y.V 9.4.T	1.6 3.0 1.0	1
3923	soil; earth	Wang2006a	(pʰɚ55le21)	?	?	Dashi	pʰɚ₅₅le₂₁	earth	40	CVTCVT	pʰ ɚ ₅₅ l e ₂₁	1 7 8 5 7 8	AXTBYT	PE5LE3	1	1.P.C 1.E.V 1.5.T 1.L.C 1.E.V 1.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
3924	soil; earth	Wang2006a	tʰu33	?	?	Zhoucheng	tʰu₃₃	earth	40	CVT	tʰ u ₃₃	1 7 8	AXT	TY4	17	17.T.C 17.Y.V 17.4.T	1.6 3.0 1.0	0
3925	soil; earth	Wang2006a	ne42	?	?	Mazhelong	ne₄₂	earth	40	CVT	n e ₄₂	4 7 8	AXT	NE3	12	12.N.C 12.E.V 12.3.T	1.6 3.0 1.0	0
#
864	worm	Wang2006a	ʐv35	?	?	Tuoluo	ʐɤ₃₅	earthworm;worm	353	CVT	ʐ ɤ ₃₅	3 7 8	AXT	SE2	14	14.S.C 14.E.V 14.2.T	1.6 3.0 1.0	0
865	worm	Wang2006a	dzao12	?	?	Gongxing	d͡zao₁₂	earthworm;worm	353	CVT	d͡z a o ₁₂	2 7 7 8	AXYT	CAU2	5	5.C.C 5.A.V 5.U.V 5.2.T	1.6 3.0 3.0 1.0	1
866	worm	Wang2006a	tɕio21	?	?	Enqi	t͡ɕio₂₁	earthworm;worm	353	CVT	t͡ɕ i o ₂₁	2 7 7 8	AXYT	CIU3	3	3.C.C 3.I.V 3.U.V 3.3.T	1.6 3.0 3.0 1.0	0
867	worm	Wang2006a	tɕiu21	?	?	Ega	t͡ɕiu₂₁	earthworm;worm	353	CVT	t͡ɕ i u ₂₁	2 7 7 8	AXYT	CIY3	2	2.C.C 2.I.V 2.Y.V 2.3.T	1.6 3.0 3.0 1.0	0
868	worm	Wang2006a	tɕiu21	?	?	Jinman	t͡ɕiu₂₁	earthworm;worm	353	CVT	t͡ɕ i u ₂₁	2 7 7 8	AXYT	CIY3	8	8.C.C 8.I.V 8.Y.V 8.3.T	1.6 3.0 3.0 1.0	0
869	worm	Wang2006a	tsṽ21	?	?	Jinxing	t͡sɤ̃₂₁	earthworm;worm	353	CVT	t͡s ɤ̃ ₂₁	2 7 8	AXT	CE3	9	9.C.C 9.E.V 9.3.T	1.6 3.0 1.0	1
870	worm	Wang2006a	tʂo21	?	?	Dashi	t͡ʂo₂₁	earthworm;worm	353	CVT	t͡ʂ o ₂₁	2 7 8	AXT	CU3	1	1.C.C 1.U.V 1.3.T	1.6 3.0 1.0	1
871	worm	Wang2006a	tsv21	?	?	Zhoucheng	t͡sɤ₂₁	earthworm;worm	353	CVT	t͡s ɤ ₂₁	2 7 8	AXT	CE3	17	17.C.C 17.E.V 17.3.T	1.6 3.0 1.0	1
872	worm	Wang2006a	dzõ21	?	?	Mazhelong	d͡zõ₂₁	earthworm;worm	353	CVT	d͡z õ ₂₁	2 7 8	AXT	CU3	12	12.C.C 12.U.V 12.3.T	1.6 3.0 1.0	0
873	earthworm	Allen2007	tɕi21tɕɛ55tsɤ21	?	蚯蚓	Jianchuan	t͡ɕi₂₁t͡ɕɛ₅₅t͡sɤ₂₁	earthworm;worm	81	CVTCVTCVT	t͡ɕ i ₂₁ t͡ɕ ɛ ₅₅ t͡s ɤ ₂₁	2 7 8 2 7 8 2 7 8	AXTBYTBYT	CI3CE5CE3	7	7.C.C 7.I.V 7.3.T 7.C.C 7.E.V 7.5.T 7.C.C 7.E.V 7.3.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
874	earthworm	Allen2007	kʲi31kɛ35tʂɤ21	?	蚯蚓	Eryuan	kʲi₃₁kɛ₃₅t͡ʂɤ₂₁	earthworm;worm	81	CVTCVTCVT	kʲ i ₃₁ k ɛ ₃₅ t͡ʂ ɤ ₂₁	1 7 8 1 7 8 2 7 8	AXTBYTBYT	KI3KE2CE3	4	4.K.C 4.I.V 4.3.T 4.K.C 4.E.V 4.2.T 4.C.C 4.E.V 4.3.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
875	earthworm	Allen2007	xua55tʰu33tsũɔ̃21	?	蚯蚓	Heqi	xua₅₅tʰu₃₃t͡sũɔ̃₂₁	earthworm;worm	81	CVTCVTCVT	x u a ₅₅ tʰ u ₃₃ t͡s ũ ɔ̃ ₂₁	3 7 7 8 1 7 8 2 7 7 8	AXYTBYTBYYT	GYA5TY4CYU3	6	6.G.C 6.Y.V 6.A.V 6.5.T 6.T.C 6.Y.V 6.4.T 6.C.C 6.Y.V 6.U.V 6.3.T	1.6 3.0 3.0 1.0 1.3 3.0 1.0 1.3 3.0 3.0 1.0	0
876	earthworm	Allen2007	ku55lu55tsu21	?	蚯蚓	Lanping	ku₅₅lu₅₅t͡su₂₁	earthworm;worm	81	CVTCVTCVT	k u ₅₅ l u ₅₅ t͡s u ₂₁	1 7 8 5 7 8 2 7 8	AXTBYTBYT	KY5LY5CY3	10	10.K.C 10.Y.V 10.5.T 10.L.C 10.Y.V 10.5.T 10.C.C 10.Y.V 10.3.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
877	earthworm	Allen2007	pi21tɕa35tsɤ21	?	蚯蚓	Qiliqiao	pi₂₁t͡ɕa₃₅t͡sɤ₂₁	earthworm;worm	81	CVTCVTCVT	p i ₂₁ t͡ɕ a ₃₅ t͡s ɤ ₂₁	1 7 8 2 7 8 2 7 8	AXTBYTBYT	PI3CA2CE3	13	13.P.C 13.I.V 13.3.T 13.C.C 13.A.V 13.2.T 13.C.C 13.E.V 13.3.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
878	earthworm	Allen2007	tɕi31kɛ35tɕao21	?	蚯蚓	Yunlong	t͡ɕi₃₁kɛ₃₅t͡ɕao₂₁	earthworm;worm	81	CVTCVTCVT	t͡ɕ i ₃₁ k ɛ ₃₅ t͡ɕ a o ₂₁	2 7 8 1 7 8 2 7 7 8	AXTBYTBYYT	CI3KE2CAU3	16	16.C.C 16.I.V 16.3.T 16.K.C 16.E.V 16.2.T 16.C.C 16.A.V 16.U.V 16.3.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 3.0 1.0	0
879	earthworm	Allen2007	ɕi33li33kʲɛ35tɕɛ̃21	?	蚯蚓	Xiangyun	ɕi₃₃li₃₃kʲɛ₃₅t͡ɕɛ̃₂₁	earthworm;worm	81	CVTCVTCVTCVT	ɕ i ₃₃ l i ₃₃ kʲ ɛ ₃₅ t͡ɕ ɛ̃ ₂₁	3 7 8 5 7 8 1 7 8 2 7 8	AXTBYTBYTBYT	SI4LI4KE2CE3	15	15.S.C 15.I.V 15.4.T 15.L.C 15.I.V 15.4.T 15.K.C 15.E.V 15.2.T 15.C.C 15.E.V 15.3.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
880	earthworm	Allen2007	qɔ55tɕɤ31	?	蚯蚓	Luobenzhuo	qɔ₅₅t͡ɕɤ₃₁	earthworm;worm	81	CVTCVT	q ɔ ₅₅ t͡ɕ ɤ ₃₁	1 7 8 2 7 8	AXTBYT	KU5CE3	11	11.K.C 11.U.V 11.5.T 11.C.C 11.E.V 11.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
#
881	easy	Wang2006a	(tsi55o33)	?	?	Tuoluo	t͡si₅₅o₃₃	easy	1068	CVTVT	t͡s i ₅₅ o ₃₃	2 7 8 7 8	AXTYT	CI5U4	14	14.C.C 14.I.V 14.5.T 14.U.V 14.4.T	1.6 3.0 1.0 3.0 1.0	0
882	easy	Wang2006a	u21	?	?	Gongxing	u₂₁	easy	1068	VT	u ₂₁	7 8	XT	Y3	5	5.Y.V 5.3.T	3.0 1.0	0
883	easy	Wang2006a	u21	?	?	Enqi	u₂₁	easy	1068	VT	u ₂₁	7 8	XT	Y3	3	3.Y.V 3.3.T	3.0 1.0	0
884	easy	Wang2006a	u42	?	?	Ega	u₄₂	easy	1068	VT	u ₄₂	7 8	XT	Y3	2	2.Y.V 2.3.T	3.0 1.0	0
885	easy	Wang2006a	u42	?	?	Jinman	u₄₂	easy	1068	VT	u ₄₂	7 8	XT	Y3	8	8.Y.V 8.3.T	3.0 1.0	0
886	easy	Wang2006a	ɣou42	?	?	Jinxing	ɣou₄₂	easy	1068	CVT	ɣ o u ₄₂	3 7 7 8	AXYT	GUY3	9	9.G.C 9.U.V 9.Y.V 9.3.T	1.6 3.0 3.0 1.0	0
887	easy	Wang2006a	ɣou42	?	?	Dashi	ɣou₄₂	easy	1068	CVT	ɣ o u ₄₂	3 7 7 8	AXYT	GUY3	1	1.G.C 1.U.V 1.Y.V 1.3.T	1.6 3.0 3.0 1.0	0
888	easy	Wang2006a	ou42	?	?	Zhoucheng	ou₄₂	easy	1068	VT	o u ₄₂	7 7 8	XYT	UY3	17	17.U.V 17.Y.V 17.3.T	3.0 3.0 1.0	0
889	easy	Allen2007	ɣou42sɛ31	?	容易	Jianchuan	ɣou₄₂sɛ₃₁	easy	431	CVTCVT	ɣ o u ₄₂ s ɛ ₃₁	3 7 7 8 3 7 8	AXYTBYT	GUY3SE3	7	7.G.C 7.U.V 7.Y.V 7.3.T 7.S.C 7.E.V 7.3.T	1.6 3.0 3.0 1.0 1.3 3.0 1.0	0
890	easy	Allen2007	u42	?	容易	Eryuan	u₄₂	easy	431	VT	u ₄₂	7 8	XT	Y3	4	4.Y.V 4.3.T	3.0 1.0	0
891	easy	Allen2007	ɣɔu42	?	容易	Heqi	ɣɔu₄₂	easy	431	CVT	ɣ ɔ u ₄₂	3 7 7 8	AXYT	GUY3	6	6.G.C 6.U.V 6.Y.V 6.3.T	1.6 3.0 3.0 1.0	0
892	easy	Allen2007	wu31	?	容易	Lanping	wu₃₁	easy	431	CVT	w u ₃₁	6 7 8	AXT	WY3	10	10.W.C 10.Y.V 10.3.T	1.6 3.0 1.0	0
893	easy	Allen2007	ɔ42	?	容易	Qiliqiao	ɔ₄₂	easy	431	VT	ɔ ₄₂	7 8	XT	U3	13	13.U.V 13.3.T	3.0 1.0	0
894	easy	Allen2007	jo33ji31	?	容易	Yunlong	jo₃₃ji₃₁	easy	431	CVTCVT	j o ₃₃ j i ₃₁	6 7 8 6 7 8	AXTBYT	JU4JI3	16	16.J.C 16.U.V 16.4.T 16.J.C 16.I.V 16.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
895	easy	Allen2007	wɔ42	?	容易	Xiangyun	wɔ₄₂	easy	431	CVT	w ɔ ₄₂	6 7 8	AXT	WU3	15	15.W.C 15.U.V 15.3.T	1.6 3.0 1.0	0
896	easy	Allen2007	wu33	?	容易	Luobenzhuo	wu₃₃	easy	431	CVT	w u ₃₃	6 7 8	AXT	WY4	11	11.W.C 11.Y.V 11.4.T	1.6 3.0 1.0	0
#
897	eat	Wang2006a	ju42	verb	?	Tuoluo	ju₄₂	eat	1198	CVT	j u ₄₂	6 7 8	AXT	JY3	14	14.J.C 14.Y.V 14.3.T	1.6 3.0 1.0	1
898	eat	Wang2006a	ju42	verb	?	Gongxing	ju₄₂	eat	1198	CVT	j u ₄₂	6 7 8	AXT	JY3	5	5.J.C 5.Y.V 5.3.T	1.6 3.0 1.0	1
899	eat	Wang2006a	jɯ55	verb	?	Enqi	jɯ₅₅	eat	1198	CVT	j ɯ ₅₅	6 7 8	AXT	JI5	3	3.J.C 3.I.V 3.5.T	1.6 3.0 1.0	0
900	eat	Wang2006a	ji44	verb	?	Ega	ji₄₄	eat	1198	CVT	j i ₄₄	6 7 8	AXT	JI5	2	2.J.C 2.I.V 2.5.T	1.6 3.0 1.0	0
901	eat	Wang2006a	ji55	verb	?	Jinman	ji₅₅	eat	1198	CVT	j i ₅₅	6 7 8	AXT	JI5	8	8.J.C 8.I.V 8.5.T	1.6 3.0 1.0	0
902	eat	Wang2006a	jɯ44	verb	?	Jinxing	jɯ₄₄	eat	1198	CVT	j ɯ ₄₄	6 7 8	AXT	JI5	9	9.J.C 9.I.V 9.5.T	1.6 3.0 1.0	1
903	eat	Wang2006a	jɯ44	verb	?	Dashi	jɯ₄₄	eat	1198	CVT	j ɯ ₄₄	6 7 8	AXT	JI5	1	1.J.C 1.I.V 1.5.T	1.6 3.0 1.0	1
904	eat	Wang2006a	jɯ44	verb	?	Zhoucheng	jɯ₄₄	eat	1198	CVT	j ɯ ₄₄	6 7 8	AXT	JI5	17	17.J.C 17.I.V 17.5.T	1.6 3.0 1.0	1
905	eat	Wang2006a	ji44	verb	?	Mazhelong	ji₄₄	eat	1198	CVT	j i ₄₄	6 7 8	AXT	JI5	12	12.J.C 12.I.V 12.5.T	1.6 3.0 1.0	0
906	eat	Allen2007	jɯ44	verb	吃	Jianchuan	jɯ₄₄	eat	260	CVT	j ɯ ₄₄	6 7 8	AXT	JI5	7	7.J.C 7.I.V 7.5.T	1.6 3.0 1.0	1
907	eat	Allen2007	jɯ44	verb	吃	Eryuan	jɯ₄₄	eat	260	CVT	j ɯ ₄₄	6 7 8	AXT	JI5	4	4.J.C 4.I.V 4.5.T	1.6 3.0 1.0	1
908	eat	Allen2007	jɯ44	verb	吃	Heqi	jɯ₄₄	eat	260	CVT	j ɯ ₄₄	6 7 8	AXT	JI5	6	6.J.C 6.I.V 6.5.T	1.6 3.0 1.0	1
909	eat	Allen2007	jɯ44	verb	吃	Lanping	jɯ₄₄	eat	260	CVT	j ɯ ₄₄	6 7 8	AXT	JI5	10	10.J.C 10.I.V 10.5.T	1.6 3.0 1.0	0
910	eat	Allen2007	ɣɯ33	verb	吃	Qiliqiao	ɣɯ₃₃	eat	260	CVT	ɣ ɯ ₃₃	3 7 8	AXT	GI4	13	13.G.C 13.I.V 13.4.T	1.6 3.0 1.0	0
911	eat	Allen2007	jɯ44	verb	吃	Yunlong	jɯ₄₄	eat	260	CVT	j ɯ ₄₄	6 7 8	AXT	JI5	16	16.J.C 16.I.V 16.5.T	1.6 3.0 1.0	1
912	eat	Allen2007	jou44	verb	吃	Xiangyun	jou₄₄	eat	260	CVT	j o u ₄₄	6 7 7 8	AXYT	JUY5	15	15.J.C 15.U.V 15.Y.V 15.5.T	1.6 3.0 3.0 1.0	1
913	eat	Allen2007	ji44	verb	吃	Luobenzhuo	ji₄₄	eat	260	CVT	j i ₄₄	6 7 8	AXT	JI5	11	11.J.C 11.I.V 11.5.T	1.6 3.0 1.0	0
#
914	egg	Wang2006a	sen42	?	?	Gongxing	sen₄₂	egg	450	CVcT	s e n ₄₂	3 7 4 8	AXLT	SEN3	5	5.S.C 5.E.V 5.N.c 5.3.T	1.6 3.0 1.1 1.0	0
915	egg	Wang2006a	sE43	?	?	Enqi	sɛ₄₃	egg	450	CVT	s ɛ ₄₃	3 7 8	AXT	SE3	3	3.S.C 3.E.V 3.3.T	1.6 3.0 1.0	0
916	egg	Wang2006a	sɛ42	?	?	Ega	sɛ₄₂	egg	450	CVT	s ɛ ₄₂	3 7 8	AXT	SE3	2	2.S.C 2.E.V 2.3.T	1.6 3.0 1.0	0
917	egg	Wang2006a	sẽ42	?	?	Jinman	sẽ₄₂	egg	450	CVT	s ẽ ₄₂	3 7 8	AXT	SE3	8	8.S.C 8.E.V 8.3.T	1.6 3.0 1.0	0
918	egg	Wang2006a	sen42	?	?	Jinxing	sen₄₂	egg	450	CVcT	s e n ₄₂	3 7 4 8	AXLT	SEN3	9	9.S.C 9.E.V 9.N.c 9.3.T	1.6 3.0 1.1 1.0	0
919	egg	Wang2006a	sen42	?	?	Dashi	sen₄₂	egg	450	CVcT	s e n ₄₂	3 7 4 8	AXLT	SEN3	1	1.S.C 1.E.V 1.N.c 1.3.T	1.6 3.0 1.1 1.0	0
920	egg	Wang2006a	se42	?	?	Zhoucheng	se₄₂	egg	450	CVT	s e ₄₂	3 7 8	AXT	SE3	17	17.S.C 17.E.V 17.3.T	1.6 3.0 1.0	0
921	egg	Wang2006a	sɛ42	?	?	Mazhelong	sɛ₄₂	egg	450	CVT	s ɛ ₄₂	3 7 8	AXT	SE3	12	12.S.C 12.E.V 12.3.T	1.6 3.0 1.0	0
922	egg	Allen2007	se42	?	蛋	Jianchuan	se₄₂	egg	84	CVT	s e ₄₂	3 7 8	AXT	SE3	7	7.S.C 7.E.V 7.3.T	1.6 3.0 1.0	0
923	egg	Allen2007	se42	?	蛋	Eryuan	se₄₂	egg	84	CVT	s e ₄₂	3 7 8	AXT	SE3	4	4.S.C 4.E.V 4.3.T	1.6 3.0 1.0	0
924	egg	Allen2007	sẽ42	?	蛋	Heqi	sẽ₄₂	egg	84	CVT	s ẽ ₄₂	3 7 8	AXT	SE3	6	6.S.C 6.E.V 6.3.T	1.6 3.0 1.0	0
925	egg	Allen2007	sɛ̃42	?	蛋	Lanping	sɛ̃₄₂	egg	84	CVT	s ɛ̃ ₄₂	3 7 8	AXT	SE3	10	10.S.C 10.E.V 10.3.T	1.6 3.0 1.0	0
926	egg	Allen2007	se32	?	蛋	Qiliqiao	se₃₂	egg	84	CVT	s e ₃₂	3 7 8	AXT	SE3	13	13.S.C 13.E.V 13.3.T	1.6 3.0 1.0	0
927	egg	Allen2007	sɛ42	?	蛋	Yunlong	sɛ₄₂	egg	84	CVT	s ɛ ₄₂	3 7 8	AXT	SE3	16	16.S.C 16.E.V 16.3.T	1.6 3.0 1.0	0
928	egg	Allen2007	sẽ42	?	蛋	Xiangyun	sẽ₄₂	egg	84	CVT	s ẽ ₄₂	3 7 8	AXT	SE3	15	15.S.C 15.E.V 15.3.T	1.6 3.0 1.0	0
929	egg	Allen2007	sæ̃42	?	蛋	Luobenzhuo	sæ̃₄₂	egg	84	CVT	s æ̃ ₄₂	3 7 8	AXT	SE3	11	11.S.C 11.E.V 11.3.T	1.6 3.0 1.0	0
#
930	eight	Wang2006a	tɕo42	?	?	Tuoluo	t͡ɕo₄₂	eight	804	CVT	t͡ɕ o ₄₂	2 7 8	AXT	CU3	14	14.C.C 14.U.V 14.3.T	1.6 3.0 1.0	0
931	eight	Wang2006a	tɕua24	?	?	Gongxing	t͡ɕua₂₄	eight	804	CVT	t͡ɕ u a ₂₄	2 7 7 8	AXYT	CYA2	5	5.C.C 5.Y.V 5.A.V 5.2.T	1.6 3.0 3.0 1.0	0
932	eight	Wang2006a	pia55	?	?	Enqi	pia₅₅	eight	804	CVT	p i a ₅₅	1 7 7 8	AXYT	PIA5	3	3.P.C 3.I.V 3.A.V 3.5.T	1.6 3.0 3.0 1.0	0
933	eight	Wang2006a	tɕya44	?	?	Ega	t͡ɕya₄₄	eight	804	CVT	t͡ɕ y a ₄₄	2 7 7 8	AXYT	CYA5	2	2.C.C 2.Y.V 2.A.V 2.5.T	1.6 3.0 3.0 1.0	0
934	eight	Wang2006a	tɕua55	?	?	Jinman	t͡ɕua₅₅	eight	804	CVT	t͡ɕ u a ₅₅	2 7 7 8	AXYT	CYA5	8	8.C.C 8.Y.V 8.A.V 8.5.T	1.6 3.0 3.0 1.0	0
935	eight	Wang2006a	pio44?	?	?	Jinxing	pio₄₄?	eight	804	CVTc	p i o ₄₄ ?	1 7 7 8 0	AXYTN	PIU50	9	9.P.C 9.I.V 9.U.V 9.5.T 9.0.c	1.6 3.0 3.0 1.0 0.5	0
936	eight	Wang2006a	pia44	?	?	Dashi	pia₄₄	eight	804	CVT	p i a ₄₄	1 7 7 8	AXYT	PIA5	1	1.P.C 1.I.V 1.A.V 1.5.T	1.6 3.0 3.0 1.0	0
937	eight	Wang2006a	pia44	?	?	Zhoucheng	pia₄₄	eight	804	CVT	p i a ₄₄	1 7 7 8	AXYT	PIA5	17	17.P.C 17.I.V 17.A.V 17.5.T	1.6 3.0 3.0 1.0	0
938	eight	Wang2006a	pia44	?	?	Mazhelong	pia₄₄	eight	804	CVT	p i a ₄₄	1 7 7 8	AXYT	PIA5	12	12.P.C 12.I.V 12.A.V 12.5.T	1.6 3.0 3.0 1.0	0
939	eight	Allen2007	pia44	?	八	Jianchuan	pia₄₄	eight	457	CVT	p i a ₄₄	1 7 7 8	AXYT	PIA5	7	7.P.C 7.I.V 7.A.V 7.5.T	1.6 3.0 3.0 1.0	0
940	eight	Allen2007	pia44	?	八	Eryuan	pia₄₄	eight	457	CVT	p i a ₄₄	1 7 7 8	AXYT	PIA5	4	4.P.C 4.I.V 4.A.V 4.5.T	1.6 3.0 3.0 1.0	0
941	eight	Allen2007	pia44	?	八	Heqi	pia₄₄	eight	457	CVT	p i a ₄₄	1 7 7 8	AXYT	PIA5	6	6.P.C 6.I.V 6.A.V 6.5.T	1.6 3.0 3.0 1.0	0
942	eight	Allen2007	pia44	?	八	Lanping	pia₄₄	eight	457	CVT	p i a ₄₄	1 7 7 8	AXYT	PIA5	10	10.P.C 10.I.V 10.A.V 10.5.T	1.6 3.0 3.0 1.0	0
943	eight	Allen2007	pia44	?	八	Qiliqiao	pia₄₄	eight	457	CVT	p i a ₄₄	1 7 7 8	AXYT	PIA5	13	13.P.C 13.I.V 13.A.V 13.5.T	1.6 3.0 3.0 1.0	0
944	eight	Allen2007	pia44	?	八	Yunlong	pia₄₄	eight	457	CVT	p i a ₄₄	1 7 7 8	AXYT	PIA5	16	16.P.C 16.I.V 16.A.V 16.5.T	1.6 3.0 3.0 1.0	0
945	eight	Allen2007	pia44	?	八	Xiangyun	pia₄₄	eight	457	CVT	p i a ₄₄	1 7 7 8	AXYT	PIA5	15	15.P.C 15.I.V 15.A.V 15.5.T	1.6 3.0 3.0 1.0	0
946	eight	Allen2007	ʧua44	?	八	Luobenzhuo	ʧua₄₄	eight	457	CVT	ʧ u a ₄₄	2 7 7 8	AXYT	CYA5	11	11.C.C 11.Y.V 11.A.V 11.5.T	1.6 3.0 3.0 1.0	1
#
947	eye	Wang2006a	uen33	?	?	Tuoluo	uen₃₃	eye	79	VcT	u e n ₃₃	7 7 4 8	XYLT	YEN4	14	14.Y.V 14.E.V 14.N.c 14.4.T	3.0 3.0 1.1 1.0	0
948	eye	Wang2006a	uen22	?	?	Gongxing	uen₂₂	eye	79	VcT	u e n ₂₂	7 7 4 8	XYLT	YEN1	5	5.Y.V 5.E.V 5.N.c 5.1.T	3.0 3.0 1.1 1.0	0
949	eye	Wang2006a	ŋui22	?	?	Enqi	ŋui₂₂	eye	79	CVT	ŋ u i ₂₂	4 7 7 8	AXYT	NYI1	3	3.N.C 3.Y.V 3.I.V 3.1.T	1.6 3.0 3.0 1.0	0
950	eye	Wang2006a	ŋui22	?	?	Ega	ŋui₂₂	eye	79	CVT	ŋ u i ₂₂	4 7 7 8	AXYT	NYI1	2	2.N.C 2.Y.V 2.I.V 2.1.T	1.6 3.0 3.0 1.0	0
951	eye	Wang2006a	mi22	?	?	Jinman	mi₂₂	eye	79	CVT	m i ₂₂	4 7 8	AXT	MI1	8	8.M.C 8.I.V 8.1.T	1.6 3.0 1.0	0
952	eye	Wang2006a	uẽ33	?	?	Jinxing	uẽ₃₃	eye	79	VT	u ẽ ₃₃	7 7 8	XYT	YE4	9	9.Y.V 9.E.V 9.4.T	3.0 3.0 1.0	0
953	eye	Wang2006a	uẽ33	?	?	Dashi	uẽ₃₃	eye	79	VT	u ẽ ₃₃	7 7 8	XYT	YE4	1	1.Y.V 1.E.V 1.4.T	3.0 3.0 1.0	0
954	eye	Wang2006a	ue33	?	?	Zhoucheng	ue₃₃	eye	79	VT	u e ₃₃	7 7 8	XYT	YE4	17	17.Y.V 17.E.V 17.4.T	3.0 3.0 1.0	0
955	eye	Wang2006a	ŋuɛ33	?	?	Mazhelong	ŋuɛ₃₃	eye	79	CVT	ŋ u ɛ ₃₃	4 7 7 8	AXYT	NYE4	12	12.N.C 12.Y.V 12.E.V 12.4.T	1.6 3.0 3.0 1.0	0
