# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	SOURCE	ID_IN_SOURCE	COGID	CHINESE_GLOSS	PST	POS
5668	Ega	(meaning has to be checked)	ŋu₅₅t͡si₂₂	ŋ u ₅₅ t͡s i ₂₂	ŋ u ₅₅ t͡s i - ₂₂ -	(ŋu55tsi22)	(meaning has to be checked)	Wang2006a	1823	444	?	CVTCVT	?
5669	Jinxing	(meaning has to be checked)	ʔɤ₄₄	ʔ ɤ ₄₄	ʔ ɤ ₄₄ - - - - -	ʔv44	(meaning has to be checked)	Wang2006a	1823	444	?	CVT	?
5670	Dashi	(meaning has to be checked)	o₅₅	o ₅₅	- o ₅₅ - - - - -	o55	(meaning has to be checked)	Wang2006a	1823	444	?	VT	?
5671	Zhoucheng	(meaning has to be checked)	v₅₅	v ₅₅	- - - - - v ₅₅ -	v55	(meaning has to be checked)	Wang2006a	1823	444	?	cT	?
5672	Mazhelong	(meaning has to be checked)	t͡ɕa₂₁oŋ₅₅	t͡ɕ a ₂₁ o ŋ ₅₅	t͡ɕ a ₂₁ - o ŋ ₅₅ -	(tɕa21oŋ55)	(meaning has to be checked)	Wang2006a	1823	444	?	CVTVcT	?
5708	Gongxing	(meaning has to be checked)	pʰa₂₄	pʰ a ₂₄	pʰ a ₂₄ - - -	pʰa24	(meaning has to be checked)	Wang2006a	2075	449	?	CVT	?
5709	Enqi	(meaning has to be checked)	pʰa₅₅	pʰ a ₅₅	pʰ a ₅₅ - - -	pʰa55	(meaning has to be checked)	Wang2006a	2075	449	?	CVT	?
5710	Ega	(meaning has to be checked)	pʰa₄₄	pʰ a ₄₄	pʰ a ₄₄ - - -	pʰa44	(meaning has to be checked)	Wang2006a	2075	449	?	CVT	?
5711	Jinman	(meaning has to be checked)	t͡sõ₂₂qʰo₂₂	t͡s õ ₂₂ qʰ o ₂₂	t͡s õ ₂₂ qʰ o ₂₂	(tsõ22qʰo22)	(meaning has to be checked)	Wang2006a	2075	449	?	CVTCVT	?
5712	Zhoucheng	(meaning has to be checked)	pe₃₅	p e ₃₅	p e ₃₅ - - -	pe35	(meaning has to be checked)	Wang2006a	2075	449	?	CVT	?
5713	Mazhelong	(meaning has to be checked)	pɛ₅₅	p ɛ ₅₅	p ɛ ₅₅ - - -	pɛ55	(meaning has to be checked)	Wang2006a	2075	449	?	CVT	?
5732	Gongxing	(meaning has to be checked)	kua₁₂	k ua ₁₂	k ua ₁₂ - - - - - -	kua12	(meaning has to be checked)	Wang2006a	2118	453	?	CVT	?
5733	Enqi	(meaning has to be checked)	kua₅₅	k ua ₅₅	k ua ₅₅ - - - - - -	kua55	(meaning has to be checked)	Wang2006a	2118	453	?	CVT	?
5734	Ega	(meaning has to be checked)	kui₅₅;i₄₅qɯ₂₂	k ui ₅₅ ; i ₄₅ q ɯ ₂₂	k ui ₅₅ ; i ₄₅ q ɯ ₂₂	(kui55;i45qɯ22)	(meaning has to be checked)	Wang2006a	2118	453	?	CVTCVTCVT	?
5735	Jinman	(meaning has to be checked)	kua₅₅	k ua ₅₅	k ua ₅₅ - - - - - -	kua55	(meaning has to be checked)	Wang2006a	2118	453	?	CVT	?
5736	Zhoucheng	(meaning has to be checked)	kua₅₅	k ua ₅₅	k ua ₅₅ - - - - - -	kua55	(meaning has to be checked)	Wang2006a	2118	453	?	CVT	?
5737	Mazhelong	(meaning has to be checked)	kua₄₄	k ua ₄₄	k ua ₄₄ - - - - - -	kua44	(meaning has to be checked)	Wang2006a	2118	453	?	CVT	?
5738	Gongxing	(meaning has to be checked)	qʰu₅₅	qʰ u ₅₅	qʰ u ₅₅	qʰu55	(meaning has to be checked)	Wang2006a	2121	454	?	CVT	?
5739	Enqi	(meaning has to be checked)	qʰu₂₄	qʰ u ₂₄	qʰ u ₂₄	qʰu24	(meaning has to be checked)	Wang2006a	2121	454	?	CVT	?
5740	Ega	(meaning has to be checked)	qʰu₂₄	qʰ u ₂₄	qʰ u ₂₄	qʰu24	(meaning has to be checked)	Wang2006a	2121	454	?	CVT	?
5741	Jinman	(meaning has to be checked)	qʰu₅₅	qʰ u ₅₅	qʰ u ₅₅	qʰu55	(meaning has to be checked)	Wang2006a	2121	454	?	CVT	?
5742	Zhoucheng	(meaning has to be checked)	kʰu₅₅	kʰ u ₅₅	kʰ u ₅₅	kʰu55	(meaning has to be checked)	Wang2006a	2121	454	?	CVT	?
5743	Mazhelong	(meaning has to be checked)	kʰo₅₅	kʰ o ₅₅	kʰ o ₅₅	kʰo55	(meaning has to be checked)	Wang2006a	2121	454	?	CVT	?
#
5406	Tuoluo	(people) crawl	ma₄₂	m a ₄₂	m a ₄₂	ma42	(people) crawl	Wang2006a	1536	390	?	CVT	?
5407	Gongxing	(people) crawl	mæ₂₄	m æ ₂₄	m æ ₂₄	mæ24	(people) crawl	Wang2006a	1536	390	?	CVT	?
5408	Enqi	(people) crawl	mæ₅₅	m æ ₅₅	m æ ₅₅	mæ55	(people) crawl	Wang2006a	1536	390	?	CVT	?
5409	Ega	(people) crawl	ma₄₄	m a ₄₄	m a ₄₄	ma44	(people) crawl	Wang2006a	1536	390	?	CVT	?
5410	Jinman	(people) crawl	ma₅₅	m a ₅₅	m a ₅₅	ma55	(people) crawl	Wang2006a	1536	390	?	CVT	?
5411	Jinxing	(people) crawl	ma₄₄	m a ₄₄	m a ₄₄	ma44	(people) crawl	Wang2006a	1536	390	?	CVT	?
5412	Dashi	(people) crawl	mɚ₄₄	m ɚ ₄₄	m ɚ ₄₄	mɚ44	(people) crawl	Wang2006a	1536	390	?	CVT	?
5413	Zhoucheng	(people) crawl	mɛ₄₄	m ɛ ₄₄	m ɛ ₄₄	mɛ44	(people) crawl	Wang2006a	1536	390	?	CVT	?
5414	Mazhelong	(people) crawl	mɚ₄₄	m ɚ ₄₄	m ɚ ₄₄	mɚ44	(people) crawl	Wang2006a	1536	390	?	CVT	?
#
4330	Tuoluo	(rice) seedling	ʐɚ₃₅	ʐ ɚ ₃₅	- ʐ ɚ ₃₅	ʐɚ35	(rice) seedling	Wang2006a	406	132	?	CVT	?
4331	Gongxing	(rice) seedling	dʐi₂₁	d ʐ i ₂₁	d ʐ i ₂₁	dʐi21	(rice) seedling	Wang2006a	406	132	?	CCVT	?
4332	Enqi	(rice) seedling	t͡sɿ₂₁	t͡s ɿ ₂₁	- t͡s ɿ ₂₁	tsɿ21	(rice) seedling	Wang2006a	406	132	?	CVT	?
4333	Ega	(rice) seedling	t͡sɛ₂₁	t͡s ɛ ₂₁	- t͡s ɛ ₂₁	tsɛ21	(rice) seedling	Wang2006a	406	132	?	CVT	?
4334	Jinman	(rice) seedling	t͡ɕɚ₂₁	t͡ɕ ɚ ₂₁	- t͡ɕ ɚ ₂₁	tɕɚ21	(rice) seedling	Wang2006a	406	132	?	CVT	?
4335	Jinxing	(rice) seedling	t͡sa₂₁	t͡s a ₂₁	- t͡s a ₂₁	tsa21	(rice) seedling	Wang2006a	406	132	?	CVT	?
4336	Dashi	(rice) seedling	t͡ʂi₃₁	t͡ʂ i ₃₁	- t͡ʂ i ₃₁	tʂi31	(rice) seedling	Wang2006a	406	132	?	CVT	?
