ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
67	Ukhrul	old (of person)	526034	2112	1058	old, used	kə-cam	k ə c a m
68	Ukhrul	old (of person)	527688	2112	1058	old; be mature (be v.)	kʰə-rɐr	kʰ ə r ɐ r
69	Ukhrul	one	525873	1493	797	one	ʔa-kʰa	ʔ a kʰ a
70	Ukhrul	one	528719	1493	797	one	ʔa-kʰɐ	ʔ a kʰ ɐ
71	Ukhrul	one	528720	1493	797	one	kʰɐt-kʰɐ	kʰ ɐ t kʰ ɐ
72	Ukhrul	outside	525999	762	714	outside	ʔa-jar	ʔ a j a r
73	Ukhrul	red	528046	156	1007	red (be v.)	kə-huŋ	k ə h u ŋ
74	Ukhrul	right	526703	1019	711	right side	ja-vak	j a v a k
75	Ukhrul	round	526661	1395	990	round (be v.)	kʰə-ŋum	kʰ ə ŋ u m
76	Ukhrul	seven	525875	1704	803	seven	ʃə-ni	ʃ ə n i
77	Ukhrul	seven	526795	1704	803	seven	ʃi-ni	ʃ i n i
78	Ukhrul	sharp	525747	1396	1020	sharp	kə-tsan	k ə ts a n
79	Ukhrul	sharp	526716	1396	1020	sharp	kə-tsɐn	k ə ts ɐ n
80	Ukhrul	sharp	528131	1396	1020	sharp (be v.)	kə-tsɐŋ	k ə ts ɐ ŋ
81	Ukhrul	short	527094	1645	973	short (be v.)	kə-ʃu	k ə ʃ u
82	Ukhrul	short	527522	1645	973	short (be v.)	kʰə-ŋə-pɐt	kʰ ə ŋ ə p ɐ t
83	Ukhrul	six	525841	1703	802	six	tʰa-ruk	tʰ a r u k
84	Ukhrul	six	526808	1703	802	six	tʰə-ruk	tʰ ə r u k
85	Ukhrul	small	528523	1246	965	small (be v.)	kə-tɐ	k ə t ɐ
86	Ukhrul	small	528551	1246	965	small, low (be v.)	kə-tew	k ə t e w
87	Ukhrul	small	525755	1246	965	little	kə-tew-kʰa	k ə t e w kʰ a
88	Ukhrul	smooth	526119	1234	1037	smooth (be v.)	kʰə-nan	kʰ ə n a n
89	Ukhrul	soft	525786	1856	1035	soft (to touch) (be v.)	kʰə-ŋə-pet	kʰ ə ŋ ə p e t
