ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
76	Hayu	straight	120150	1404	1003	ahead, in front, before (adv)	uboŋ	u b o ŋ
77	Hayu	straight	120713	1404	1003	flat (esp. of land), straight (adj)	teŋteŋ	t e ŋ t e ŋ
78	Hayu	straight	121436	1404	1003	straight (adv)	loxkota	l o x k o t a
79	Hayu	straight	120543	1404	1003	straight (adj)	tseŋtseŋ(-mʊ)	ts e ŋ ts e ŋ
80	Hayu	the ant	120499	587	365	ant (n)	tsikibʊʔla	ts i k i b ʊ ʔ l a
81	Hayu	the bamboo	121096	1927	389	bamboo (n)	pholo	ph o l o
82	Hayu	the bamboo	120455	1927	389	bamboo (n)	cayi	c a y i
83	Hayu	the belly	121553	1251	96	belly (n)	soːgali	s oː g a l i
84	Hayu	the belly	121231	1251	96	stomach (n)	mʊːli	m ʊː l i
85	Hayu	the bird	120240	937	326	bird, the bulbul (n df.)	kʊʔla	k ʊ ʔ l a
86	Hayu	the bird	121169	937	326	bird, a kind of bulbul (n df.)	betsiŋ kʊʔla	betsiŋ kʊʔla
87	Hayu	the bird	120436	937	326	bird, a kind of bulbul (n df.)	goring kuʔla	goring kuʔla
88	Hayu	the bird	120848	937	326	bird, a kind of bulbul (n df.)	detsiŋ-kuʔla	d e ts i ŋ k u ʔ l a
89	Hayu	the bird	121566	937	326	bird (n df.)	haːkʊ paːkʊ	haːkʊ paːkʊ
90	Hayu	the bird	120512	937	326	bird (general, excluding the largest species) (n)	tsixtsi	ts i x ts i
91	Hayu	the bird	120406	937	326	a bird (n df.)	gɩ̃ːlik	g ɩ̃ː l i k
92	Hayu	the bird	120504	937	326	pigeon, bird (n)	tsɩ̃ːtsi	ts ɩ̃ː ts i
93	Hayu	the blood	121257	946	129	blood (n)	yi	y i
94	Hayu	the blood	120927	946	129	blood or mucus in the stool (n)	nocaŋki	n o c a ŋ k i
95	Hayu	the body hair (hair or fur)	121555	189	266	hair, fur (n)	som	s o m
96	Hayu	the body hair (hair or fur)	121558	189	266	hair (n)	som	s o m
97	Hayu	the body hair (hair or fur)	120213	189	266	body hair (n)	kukusom	k u k u s o m
98	Hayu	the bone	121340	1394	133	bone (n)	ru	r u
99	Hayu	the branch	120390	1531	374	branch, sprout, grow (vi)	gat	g a t
100	Hayu	the breast (female)	120590	1402	94	breast, nipple (n)	tshux◦tsu	tsh u x ◦ ts u
101	Hayu	the cloud	120272	1489	7	cloud (n)	kowal	k o w a l
102	Hayu	the daughter	120672	1357	222	daughter (n)	taːmi	t aː m i
103	Hayu	the dog	120159	2009	289	dog (n)	ʊː◦ri	ʊː ◦ r i
104	Hayu	the dust	120203	2	45	dust, dirt (n)	kiːlaŋ	k iː l a ŋ
105	Hayu	the dust	120978	2	45	dust, dirt (n)	puːlaŋ	p uː l a ŋ
106	Hayu	the ear	120920	1247	81	ear (n)	nok◦tshuŋ	n o k ◦ tsh u ŋ
107	Hayu	the earth (soil)	120732	1228	40	land, alight (vi)	ton	t o n
108	Hayu	the earth (soil)	120542	1228	40	dirt / filth (n)	tseksiŋ-waxsiŋ	ts e ks i ŋ w a xs i ŋ
109	Hayu	the earth (soil)	120247	1228	40	earth, soil (n)	ko	k o
110	Hayu	the earth (soil)	120203	1228	40	dust, dirt (n)	kiːlaŋ	k iː l a ŋ
111	Hayu	the earth (soil)	120978	1228	40	dust, dirt (n)	puːlaŋ	p uː l a ŋ
112	Hayu	the egg	120219	744	450	egg (n)	kuŋ◦luŋ	k u ŋ ◦ l u ŋ
113	Hayu	the egg	120493	744	450	egg, eggshell, testicle (n)	tsaʔluŋ	ts a ʔ l u ŋ
114	Hayu	the eye	121235	1248	79	eye / face (n)	mek	m e k
115	Hayu	the eye	120818	1248	79	eye, get sthg in one's (vtt (im)	diŋ	d i ŋ
116	Hayu	the father	120149	1217	218	father (n)	uxpʊ	u x p ʊ
117	Hayu	the feather	121196	1201	299	feather (n)	blop	b l o p
118	Hayu	the fire	121232	221	18	fire (n)	me	m e
119	Hayu	the fish	121611	227	351	fish (of the Kosi River) (n)	ho	h o
120	Hayu	the flea	121332	232	355	flea; ghost (n)	riʔmitshiŋ	r i ʔ m i tsh i ŋ
121	Hayu	the flower	121153	239	377	bloom (vi)	bʊt	b ʊ t
122	Hayu	the flower	120972	239	377	flower (n)	puŋmi	p u ŋ m i
123	Hayu	the flower	120693	239	377	pick (leaves, flowers), comb (vt)	tʊ	t ʊ
124	Hayu	the foot	121412	1301	103	foot, leg (n)	le	l e
125	Hayu	the foot	121010	1301	103	calf, lower leg (n)	poktolo	p o k t o l o
126	Hayu	the forest	121277	420	50	burn (e.g. house, forest) (vtt)	yɩm	y ɩ m
127	Hayu	the fox	121460	1312	325	fox (n)	waːhup (?)	w aː h u p
128	Hayu	the frog	120679	503	349	frog sp. (n df.)	tiktiktoktok	t i k t i k t o k t o k
129	Hayu	the frog	121082	503	349	an inedible frog (n)	phektsho	ph e k tsh o
130	Hayu	the front (front side)	120150	2194	712	ahead, in front, before (adv)	uboŋ	u b o ŋ
131	Hayu	the fruit	120696	1507	378	fruit, Phyllanthus emblica (n df.)	tuksi	t u ks i
132	Hayu	the fruit	121482	1507	378	fruit (suff n)	-si	s i
133	Hayu	the goat	120545	1502	276	goat (n)	tseːli	ts eː l i
134	Hayu	the grass	121242	606	436	grass, weed (n)	moksa	m o ks a
135	Hayu	the grass	120396	606	436	a grass (n df.)	gigidzum	g i g i d z u m
136	Hayu	the hail	121317	609	13	call, summon, hail (vtt)	raŋ	r a ŋ
137	Hayu	the hail	121522	609	13	call out to, hail (vtt)	sup	s u p
