ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
78	Bahing	the body hair (hair or fur)	122849	189	266	body hair, down (n)	suŋ	s u ŋ
79	Bahing	the bone	122690	1394	133	bone (n)	ryse	r y s e
80	Bahing	the cloud	121840	1489	7	cloud (n)	kuksɛl	k u ks ɛ l
81	Bahing	the daughter	122194	1357	222	daughter (n)	tami	t a m i
82	Bahing	the daughter	122593	1357	222	eldest female of a sib, eldest sister or daughter (n)	mɔːdi	m ɔː d i
83	Bahing	the dog	121929	2009	289	dog (n)	khlitsa	kh l i ts a
84	Bahing	the dream	122035	2374	699	dream (n)	ŋamo	ŋ a m o
85	Bahing	the dust	122012	2	45	dust (n)	glypdzi	g l y p d z i
86	Bahing	the dust	122457	2	45	dust, sweepings (n)	phyrky	ph y r k y
87	Bahing	the ear	122344	1247	81	ear (n)	nœgatsi	n œ g a ts i
88	Bahing	the ear	122803	1247	81	ear (n)	samanœ	s a m a n œ
89	Bahing	the ear	122779	1247	81	noise, disturbance (n)	sɛnda	s ɛ n d a
90	Bahing	the earth (soil)	122174	1228	40	jump down, land, alight (v)	dz(h)ukt-	d z u k t
91	Bahing	the earth (soil)	121889	1228	40	earth, soil (n)	khapi	kh a p i
92	Bahing	the earth (soil)	121887	1228	40	the earth (n)	khadi	kh a d i
93	Bahing	the earth (soil)	121772	1228	40	fields, land (n)	waleko	w a l e k o
94	Bahing	the earthworm	121743	2350	363	earthworm (n)	jyndi	j y n d i
95	Bahing	the egg	122549	744	450	egg (n)	ʔbadi	ʔ b a d i
96	Bahing	the eye	122568	1248	79	eye (n)	mitsi	m i ts i
97	Bahing	the father	122384	1217	218	father (n)	papa	p a p a
98	Bahing	the father	122398	1217	218	father, male (n)	pø	p ø
99	Bahing	the feather	122465	1201	299	feather (n)	phlem	ph l e m
100	Bahing	the feather	122621	1201	299	wash (the head or hair) (vt)	myr-	m y r
101	Bahing	the feather	122086	1201	299	hair (of the head) (n)	tsam	ts a m
102	Bahing	the fire	122565	221	18	fire (n)	mi	m i
103	Bahing	the fire	122484	221	18	heat (n)	bapmi	b a p m i
104	Bahing	the fish	122026	227	351	fish (n)	ŋa	ŋ a
105	Bahing	the flower	122451	239	377	flower (n)	phuŋ	ph u ŋ
106	Bahing	the foot	121917	1301	103	foot (n)	khyli	kh y l i
107	Bahing	the forest	122796	420	50	forest (n)	saʔbala	s a ʔ b a l a
108	Bahing	the frog	121866	503	349	frog (n)	krukru	k r u k r u
109	Bahing	the front (front side)	122032	2194	712	front (khim a-ŋanla 'in front of the house') (n)	ŋan	ŋ a n
110	Bahing	the frost	122459	2034	14	frost (n)	phyrsa	ph y rs a
111	Bahing	the fruit	122463	1507	378	fruit, Nep. kāphal (n df.)	phretsi	ph r e ts i
