ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
71	Kanauri	many	337393	1198	987	much (adj)	gobʻ tsorös	gobʻ tsorös
72	Kanauri	many	337794	1198	987	much (adj)	khwār	kh w ā r
73	Kanauri	many	337913	1198	987	much (adj)	kyālökhā	k y ā l ö kh ā
74	Kanauri	many	339470	1198	987	most (superlative) (adj/v)	zō	z ō
75	Kanauri	middle	338777	1093	708	passive or middle or with reciprocal sense (infix)	s̱ẖi-	s̱ ẖ i
76	Kanauri	middle	338031	1093	708	middle (adj)	majöṅ	m a j ö ṅ
77	Kanauri	morning	338232	1339	749	morning (n)	nāsĭmī	n ās ĭ m ī
78	Kanauri	morning	338905	1339	749	morning (n)	sŏm	s ŏ m
79	Kanauri	narrow	337384	1267	977	narrow (adj)	gaṭös	g a ṭ ös
80	Kanauri	narrow	337578	1267	977	close / shut (vt)	hŭrĕāmigʻ	h ŭ r ĕ ā m i gʻ
81	Kanauri	narrow	337382	1267	977	few / small / narrow (adj)	gaṭō	g a ṭ ō
82	Kanauri	near	338238	1942	975	near (adv)	nerön	n e r ö n
83	Kanauri	near	338003	1942	975	on this side / in this direction / near	lokōʻ	l o k ōʻ
84	Kanauri	near	338002	1942	975	on this side / near (adv)	lō	l ō
85	Kanauri	near	337603	1942	975	in this direction / on this side / near (adv)	jekōʻ	j e k ōʻ
86	Kanauri	nine	337461	1483	805	nine (adj)	gŭi	g ŭ i
87	Kanauri	nine	339458	1483	805	nine (adj)	zgŭī	z g ŭ ī
88	Kanauri	noon	336797	12	750	noon	bărābăr lai	bărābăr lai
89	Kanauri	noon	337254	12	750	midday (n)	dobăr	d o b ă r
90	Kanauri	old (of person)	338703	2112	1058	old (not used of woman) (adj)	rŭzā	r ŭ z ā
91	Kanauri	one	337582	1493	797	one	ī	ī
92	Kanauri	one	337583	1493	797	one	idʻ	i dʻ
93	Kanauri	outside	336855	762	714	out / outside (adv)	beriṅ	b e r i ṅ
94	Kanauri	red	338862	156	1007	red (adj)	s̱ẖwikhʻ (gʻ)	s̱ ẖ w i khʻ
95	Kanauri	red	338835	156	1007	pine, red / Pinus logifolia (n)	s̱ẖṭī	s̱ ẖ ṭ ī
96	Kanauri	right	339425	1019	711	right (not left) (adj)	zaköṅ	z a k ö ṅ
97	Kanauri	round	336824	1395	990	spherical / round (adj)	baṭlös	b a ṭ l ös
98	Kanauri	salty	338720	1091	1076	salt (n)	sămbŭr tshā	sămbŭr tshā
99	Kanauri	salty	339219	1091	1076	salt (n)	tshā	tsh ā
100	Kanauri	seven	338955	1704	803	seven (adj)	stis̱ẖ	s t i s̱ ẖ
101	Kanauri	seven	339134	1704	803	seven (adj)	tis̱ẖ	t i s̱ ẖ
102	Kanauri	sharp	338602	1396	1020	sharp (adj)	răsk	r ăs k
103	Kanauri	sharp	339280	1396	1020	sharp (adj)	tsŏkös	ts ŏ k ös
104	Kanauri	six	339321	1703	802	six	ṭŭgʻ	ṭ ŭ gʻ
105	Kanauri	small	338206	1246	965	small / fine	nakits	n a k i ts
106	Kanauri	small	339250	1246	965	little (adj)	tshöbo	tsh ö b o
107	Kanauri	small	339251	1246	965	little (adj)	tshöp	tsh ö p
108	Kanauri	small	337339	1246	965	small (adj)	dzigits	d z i g i ts
109	Kanauri	small	337166	1246	965	small / little (adj)	damrits	d a m r i ts
110	Kanauri	small	337591	1246	965	small / little (adj)	itrits	i t r i ts
111	Kanauri	small	337612	1246	965	small / little (adj)	jĭti	j ĭ t i
112	Kanauri	small	337613	1246	965	small / little (adj)	jĭtĭts	j ĭ t ĭ ts
113	Kanauri	small	337614	1246	965	small / little (adj)	jĭtrĭts	j ĭ t r ĭ ts
114	Kanauri	smooth	338071	1234	1037	smooth (adj)	mas̱ẖṭits	m a s̱ ẖ ṭ i ts
115	Kanauri	smooth	338072	1234	1037	smooth (adj)	mas̱ẖṭös	m a s̱ ẖ ṭ ös
