NUMBER	GLOSS	SEMANTIC TAG	STATUS	CINDEX	CGLOSS	MATCH_QUALITY
131	the buttocks	body	&	0099	buttocks (noun)	3
132	the arm	body	&	0105	arm (noun)	3
133	the thigh	body	&	0100	thigh (noun)	3
134	the hoof	body	&	0264	hoof (noun)	3
135	the horn (keratinized skin)	body, animal	!	0263	horn (noun)	3
136	the leaf	body, animal	!	0376	leaf (noun)	3
137	the meat	body, animal	!	0444	meat (lean) (noun)	2
138	the root	body, animal	!	0375	root (noun)	3
139	the tail	body, animal	!	0267	tail (noun)	3
140	the wing	body, animal	!	0298	wing (noun)	3
141	the branch	body, plant	!	0374	branch / twig (noun)	3
142	the fat (grease)	body, substance	?	1024	fat	3
143	young	characterisation, age	&	1059	young	1
144	bad	characterisation, character	!	1053	bad	1
145	good	characterisation, character	!	1052	good	1
146	lazy	characterisation, character	&	1112	lazy	1
147	white	characterisation, color	!	1006	white	1
148	yellow	characterisation, color	!	1008	yellow	1
149	hard	characterisation, form	&	1034	hard	1
150	soft	characterisation, form	&	1035	soft	1
151	far	characterisation, location	!	0974	far / distant	2
152	deep	characterisation, location	&	0982	deep	1
153	shallow	characterisation, location	&	0983	shallow	1
154	beautiful	characterisation, opinion	&	1060	beautiful	1
155	difficult	characterisation, opinion	&	1067	difficult	1
156	easy	characterisation, opinion	&	1068	easy	1
157	ugly	characterisation, opinion	&	1061	ugly	1
158	all	characterisation, quantity	!	0962	all / everything	2
159	big	characterisation, quantity	!	0964	big / large	2
160	few	characterisation, quantity	!	0924	several / few, a	2
161	heavy	characterisation, quantity	!	1014	heavy	1
162	wide	characterisation, quantity	!	0966	wide (in diameter) / coarse	2
163	high / tall	characterisation, quantity	&	0968	high / tall	1
164	light (of weight)	characterisation, quantity	&	0533	light / lamp (noun)	2
165	dirty	characterisation, state	!	1086	dirty	1
166	dry	characterisation, state	!	1028	dry	1
167	full	characterisation, state	!	0984	full	1
168	wet	characterisation, state	!	1029	wet	1
169	bright	characterisation, state	&	1012	bright	1
170	clear, transparent (as of water)	characterisation, state	&	1022	clear, be (weather) / sunny (verb)	2
171	clean	characterisation, state	&	1085	clean	1
172	dark	characterisation, state	&	1013	dark	1
173	salty	characterisation, taste	&	1076	salty	1
174	warm (hot)	characterisation, temperature	!	1065	warm	2
175	hot	characterisation, temperature	&	1062	hot	1
176	correct (right)	characterization, character	!	1045	right / correct	2
177	shy	characterization, character	!	1365	shy, be / bashful (verb)	2
178	black	characterization, color	!	1005	black	1
179	green	characterization, color	!	1009	green	1
180	red	characterization, color	!	1007	red	1
181	round	characterization, form	!	0990	???	8
182	sharp	characterization, form	!	1020	sharp	1
183	smooth	characterization, form	!	1037	smooth / glossy / sleek	2
184	straight	characterization, form	!	1003	straight	1
185	thin	characterization, form	!	1026	thin	1
186	left	characterization, location	!	0710	left	1
187	right	characterization, location	!	0711	right	1
188	long	characterization, quantity	!	0972	long	1
189	many	characterization, quantity	!	0987	many / much	2
190	narrow	characterization, quantity	!	0977	narrow	1
191	near	characterization, quantity	!	0975	near	1
192	short	characterization, quantity	!	0973	short	1
193	small	characterization, quantity	!	0965	small	1
194	some	characterization, quantity	!	0923	some	1
195	thick	characterization, quantity	!	0980	thick	1
196	new	characterization, state	!	1050	new	1
197	old (of person)	characterization, state	!	1051	used / old	2
198	sick	characterization, state	!	1160	???	8
199	fat (obese)	characterization, state	?	1025	fat (pig)	2
202	cold (of temperature)	characterization, weather	!	1063	cold (weather, water)	2
203	not	function word	?	1519	have, do not (verb)	5
204	the man (male human)	human being	!	0173	man (noun)	3
205	the name	human being	!	0686	surname / name (family) (noun)	3
206	the person	human being	!	0206	person w / pockmarked face (noun)	5
207	the woman	human being	!	0174	woman (noun)	3
208	the child (descendant)	kinship	!	0169	child (noun)	3
209	the child (young human	kinship	!	0169	child (noun)	3
210	the father	kinship	!	0218	father (noun)	3
211	the husband	kinship	!	0247	husband (noun)	3
212	the mother	kinship	!	0219	mother (noun)	3
213	the wife	kinship	!	0248	wife (noun)	3
214	the daughter	kinship	&	0222	daughter (noun)	3
215	the grandfather	kinship	&	0216	grandfather (noun)	3
216	the grandmother	kinship	&	0217	grandmother (noun)	3
217	the son	kinship	&	0220	son (noun)	3
218	the granddaughter	kinship	&	0225	granddaughter (noun)	3
219	the grandson	kinship	&	0224	grandson (noun)	3
220	there	location	!	0950	there	1
221	the front (front side)	location	&	0712	front	3
222	horizontal	location	&	1001	horizontal	1
223	inside	location	&	0715	inside	1
224	middle	location	&	0708	middle (noun)	2
225	outside	location	&	0714	outside	1
226	above	location, adjective or noun	!	0731	over / above	2
227	below, under	location, adjective or noun	!	0732	below / under	2
228	here	location, pronoun	!	0944	here	1
229	the dream	mind	!	1821	dream (verb)	3
230	the cloud	nature	!	0007	cloud (noun)	3
231	the dog	nature	!	0289	dog (noun)	3
232	the dust	nature	!	0045	dust (noun)	3
233	the earth (soil)	nature	!	0022	earth / ground (noun)	3
234	the fire	nature	!	1231	fire (a shot)	3
235	the fog	nature	!	0016	fog (noun)	3
236	the forest	nature	!	0050	forest (noun)	3
237	the grass	nature	!	0436	grass (noun)	3
238	the ice	nature	!	0017	ice (noun)	3
239	the lake	nature	!	0031	lake (noun)	3
240	the smoke	nature	!	1743	smoke / fumigate (verb)	3
241	the frost	nature	&	0014	frost (noun)	3
242	the hail	nature	&	0013	hail (noun)	3
243	the pond	nature	&	0033	pond (noun)	3
244	the dew	nature	&	0015	dew (noun)	3
245	the mud	nature	&	0046	mud (noun)	3
246	the rainbow	nature	&	0011	rainbow (noun)	3
247	the fruit	nature, food	!	0378	fruit (noun)	3
248	the mountain	nature, geography	!	0023	hill / mountain (noun)	3
249	the river	nature, geography	!	0030	river (noun)	3
250	the sea	nature, geography	!	0032	sea (noun)	3
251	the sky	nature, geography	!	0001	sky (noun)	3
252	the star	nature, geography	!	0005	star (noun)	3
253	the moon	nature, object	!	0004	moon (noun)	3
254	the snow	nature, object	!	0012	snow (noun)	3
255	the tree	nature, object	!	0372	tree (noun)	3
256	the rain	nature, phenomenon	!	0010	rain (noun)	3
257	the wind	nature, phenomenon	!	0009	wind (noun)	3
258	the lightning	nature, phenomenon	?	1606	lightning (verb)	3
259	the sand	nature, substance	!	0044	sand (noun)	3
260	the stone (a piece of)	nature, substance	!	0043	stone (noun)	3
261	the water	nature, substance	!	0047	water (noun)	3
262	the ashes	nature, substance	?	0063	???	8
263	eight	number	!	0804	eight	1
264	five	number	!	0801	five	1
265	four	number	!	0800	four	1
266	hundred	number	!	0824	hundred	1
267	nine	number	!	0805	nine	1
268	one	number	!	0797	one	1
269	seven	number	!	0803	seven	1
270	six	number	!	0802	six	1
271	ten	number	!	0806	ten	1
272	three	number	!	0799	three	1
273	twenty	number	!	0816	twenty	1
274	two	number	!	0798	two	1
275	thing	object, abstract	&	0523	thing (noun)	2
276	the bridge	object, building	&	0070	bridge (noun)	3
277	the hat	object, clothing	&	0475	hat (noun)	3
278	the trousers	object, clothing	&	0471	pants / trousers (noun)	3
279	the bottle	object, clothing	&	0556	bottle (noun)	3
280	the salt	object, food	!	0061	salt (noun)	3
281	the seed	object, food	!	0405	seed (noun)	3
282	the soup	object, food	&	0451	soup (noun)	3
283	the wheat	object, food	&	0410	wheat (noun)	3
284	the rice	object, food	&	0409	rice (unhusked) (noun)	3
285	bed	object, furniture	&	0526	bed (noun)	2
286	mat	object, furniture	&	0491	mat (noun)	2
287	table	object, furniture	&	0524	table (noun)	2
288	the road	object, geography	!	0038	road (noun)	3
289	the sun	object, geography	!	0002	sun (noun)	3
290	the roof	object, house	?	0495	roof (noun)	3
291	the coal	object, mineral, metal	&	0058	coal (noun)	3
292	the copper	object, mineral, metal	&	0053	copper (noun)	3
293	the gold	object, mineral, metal	&	0051	gold (noun)	3
294	the iron	object, mineral, metal	&	0054	iron (noun)	3
295	the silver	object, mineral, metal	&	0052	silver (noun)	3
296	the thunder	object, phenomenon	!	0008	thunder (noun)	3
297	knife	object, tool	!	0549	knife (noun)	2
298	the needle (for sewing)	object, tool	!	0578	needle (noun)	3
299	the rope	object, tool	!	0619	rope / string (noun)	3
300	the stick	object, tool	!	0586	rod / stick (noun)	3
301	sickle	object, tool	&	0624	sickle (noun)	2
302	firewood	object, utility	&	0534	firewood (noun)	2
303	the flower	plant	!	0377	flower (noun)	3
304	the grape	plant, food	&	0396	grape (noun)	3
305	the peach	plant, food	&	0392	peach (noun)	3
306	the bamboo	plant, food	&	0389	bamboo (noun)	3
307	the vegetable	plant, food	&	0420	vegetable (noun)	3
308	the wood (material)	plant, substance	!	0511	wood / log (noun)	3
309	to be alive	process	!	1396	alive, become / active (verb)	3
310	to blow (of wind)	process	!	1738	blow (one's nose) (verb)	2
311	to burn [intransitive]	process	!	1662	scald / burn (the hand) (verb)	2
312	to die	process	!	1651	die (verb)	2
313	to fall	process	!	1719	fall (rain) (verb)	2
314	to fear (be afraid)	process	!	1721	???	8
315	to float	process	!	1553	float (verb)	2
316	to flow	process	!	1502	flow (of water) (verb)	2
317	to swell	process	?	1549	expand / swell (verb)	2
318	I [first person singular]	pronoun	!	0928	I	2
319	that	pronoun	!	0947	that	1
320	they [third person plural]	pronoun	!	0936	they	2
321	this	pronoun	!	0942	this	1
322	thou [second person singular]	pronoun	!	0931	???	8
323	we [first person plural]	pronoun	!	0929	we (two)	2
324	you [second person plural]	pronoun	!	0931	you	2
325	he or she [third person singular]	pronoun	?	0934	he	2
326	what	pronoun, question	!	0954	what	1
327	where	pronoun, question	!	0955	where	1
328	who	pronoun, question	!	0953	who	1
329	how	pronoun, question	?	0957	how	1
330	when	pronoun, question	?	0956	when	1
331	the house	residence	!	0494	house (noun)	3
332	now	time	!	0744	three days from now	6
333	the year	time	!	0777	year (noun)	3
334	the day (opposed to night)	time	?	0769	day (first of lunar month) (noun)	3
335	the night	time	?	0752	night, at / evening, in the	3
336	early	time	&	1018	early	1
337	late	time	&	1019	late	1
338	morning	time	&	0749	morning (noun)	2
339	noon	time	&	0750	noon (noun)	2
340	today	time	&	0738	today	1
341	tomorrow	time	&	0742	tomorrow	1
342	yesterday	time	&	0739	yesterday	1
