NUMBER	GLOSS
7064	above
1173416	all
6464	and
6078	at
5650	bad
514093	because
6199	below, under
5437	big
1341728	black
5639	cold (of temperature)
5693	cold (of temperature)
7026	correct (right)
5483	dirty
5989	dry
5988	dull
7005	eight
5997	far
5619	fat (obese)
6393	female
5500	few
156104	five
6253	four
6040	full
443659	good
6032	green
5454	he or she [third person singular]
5451	heavy
1287831	here
5494	how
6685	hundred
5450	I [first person singular]
6076	if
6077	in
5873	knife
1499731	left
5438	long
6396	male
5423	many
5566	narrow
869106	near
5484	new
6193	nine
5495	not
5936	now
5482	old (of person)
6244	one
1406403	other
496633	painful
1333710	red
436024	right
7031	rotten (of fruits)
5984	round
7004	seven
5987	sharp
6746	short
155571	shy
7800	sick
7003	six
5509	small
5487	smooth
5499	some
5994	straight
6312	ten
1149393	that
194	the animal
264	the ashes
5648	the back
5439	the bark
5516	the belly
400	the bird
411	the blood
5983	the bone
6343	the branch
5992	the breast
7413	the child (descendant)
568	the child (young human
623	the cloud
5477	the day (opposed to night)
966	the dog
8448	the dream
1009	the dust
5510	the ear
5481	the earth (soil)
340828	the egg
5511	the eye
5624	the fat (grease)
5464	the father
5436	the feather
1446	the fire
1460	the fish
1487	the flower
1502	the fog
5672	the foot
1533	the forest
6280	the fruit
1675	the grass
446278	the hair
5616	the hand
5527	the head
5475	the heart
5981	the horn (keratinized skin)
5517	the house
5432	the husband
1837	the ice
950344	the intestines
5918	the knee
2061	the lake
2124	the leaf
5665	the leg
6811	the lightning
5476	the liver
5980	the louse
6397	the man (male human)
2300	the meat
5729	the moon
630453	the mosquito
5463	the mother
2421	the mountain
6233,6237	the mouse or rat
332000	the mouth
828575	the nail (fingernail or claw)
5995	the name
5823	the neck
5951	the needle (for sewing)
5486	the night
5471	the nose
333730	the person
3100	the rain
3253	the river
3258	the road
344031	the roof
3269	the root
5465	the rope
5599	the salt
3305	the sand
6154	the sea
3361	the seed
6186	the shoulder
3430	the skin
7039	the sky
3451	the smoke
3388	the snake
3455	the snow
3588	the spider
6041	the star
5662	the stick
3633	the stone (a piece of)
5850	the sun
5468	the tail
509787	the thunder
5440	the tongue
5946	the tooth (front)
3854	the tree
4118	the water
5429	the wife
4160	the wind
5528	the wing
4165	the woman
741520	the wood (material)
471303	the work
5466	the worm
5478	the year
858309	there
352331	they [third person plural]
5503	thick
5990	thin
5458	this
5459	thou [second person singular]
156096	three
5444	to bark
6028	to be alive
5993	to bite
1375415	to blow (of wind)
5998	to breathe
6039	to burn [intransitive]
1299599	to burn [transitive]
8061	to buy
1510493	to chew
7084	to choose
479387	to climb
6056	to come
479132	to cook
6026	to count
7709	to cry (weep)
6043	to cut
6245	to die
6024	to dig
5991	to drink
5827	to eat
5622	to fall
6025	to fear (be afraid)
6030	to fight
6457	to float
961244	to flow
6052	to fly (move through air)
6042	to freeze (intransitive)
6059	to give
154737	to grow
5999	to hear
161806	to hide (conceal)
6044	to hit
6060	to hold
6046	to hunt
6023	to kill
6004	to know
5876	to laugh
1510483	to lick
1425860	to lie down
6005	to lie, rest
513017	to open
619975	to plant
6010	to play
6071	to pull
6068	to push
478515	to reside (live)
6062	to rub
6075	to say
6047	to scratch
6003	to see
6073	to sew
522875	to shoot (an arrow)
5540	to sing
6022	to sit
6519	to sleep
6520	to smell (perceive odor) [transitive]
6051	to spit
6048	to split
6017	to squeeze
6045	to stab
6053	to stand
336072	to steal
6027	to suck
6454	to swell
6050	to swim
6021	to think (reflect)
6072	to throw
844574	to tie (together)
6055	to turn (around)
5617	to vomit
6054	to walk
6069	to wash
6070	to wipe
441371	to yawn
7013	twenty
6248	two
5485	warm (hot)
5455	we [first person plural]
7027	wet
5491	what
5493	when
5492	where
5825	white
5490	who
5502	wide
5844	with
6031	yellow
5456	you [second person plural]
