NUMBER	GLOSS	CINDEX	CGLOSS	MATCH_QUALITY
639	insert / stick into	1778	stick into / stab (verb)	2

640	sharpen	0	???	8

641	grind	1747	grind / pestle (medicine) (verb)	2

642	winnow	1748	winnow (verb)	3

643	rub (to soften animal skin)	0	???	8

644	scoop	1754	scoop up (water) / ladle out (verb)	5

645	strain (tea)	1508	filter / strain (verb)	3

646	put on / wear	1212	put on (shoes)	2
646	put on / wear	1211	wear (a garment)	2

647	take off (clothing)	1695	take off (clothes) (verb)	3

648	wash (hand)	1713	wash (clothes) (verb)	3

649	wash (clothes)	1713	wash (clothes) (verb)	3

650	bathe	0	???	8

651	shave (hair of head)	1352	shave (hairs) / scrape (verb)	2

652	dye	0543	dye (stuff) (noun)	2

653	patch	1161	patch (clothing)	2

654	comb (verb)	1634	comb (verb)	1

655	braid	0076	braid / plait (noun)	2

656	make bed	1586	make way for / give way (verb)	5

657	sweep	1601	sweep (verb)	3

658	open (door)	1191	open (an umbrella)	2

659	open (lid)	1191	open (an umbrella)	2

660	put / place	1212	put on (shoes)	5
660	put / place	0064	place (noun)	2

661	hang (object)	1354	hang (on the wall) (verb)	3

662	untie	1600	untie / undo (verb)	2

