ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
62	478775	ʔəwʔ-	presage, be first hint (of rising sun, moon), threaten	vit.	RC-DOC	1977	Chepang	
63	478776	ʔəsəʔ-	shy, restrained, polite	vr.	RC-DOC	1977	Chepang	
64	478777	ʔəh-	desire, be attracted to, covet	vr.	RC-DOC	1977	Chepang	
65	478778	ʔəh.siʔ-	pleasing, desirable	vr.	RC-DOC	1977	Chepang	
66	478779	ʔa	I	pn.	RC-DOC	1977	Chepang	
67	478780	-ʔa	Past Tense {-ʔa.ka}	fn.	RC-DOC	1977	Chepang	
68	478781	ʔa-	go	vi.	RC-DOC	1977	Chepang	
69	478782	-ʔa(ʔ)	Emphatic Assertion of Truth or Finality (Referential or Situational); it is indeed as claimed	fn1.	RC-DOC	1977	Chepang	
70	478783	-ʔa.ka	Past Tense	fn.	RC-DOC	1977	Chepang	
71	478784	ʔa.ka.cyulʔ	armpit	n.	RC-DOC	1977	Chepang	
72	478785	ʔa.ko	mine (WD)	pn.	RC-DOC	1977	Chepang	
73	478786	ʔa.khənʔ	speech, chant words, old sayings, traditions (<N əkshər letter?)	n.	RC-DOC	1977	Chepang	
74	478787	ʔa.khərʔ	speech, chant words, old sayings, traditions (<N əkshər letter?)	n.	RC-DOC	1977	Chepang	
75	478788	ʔa.khimʔ	vitality, strength, influence or spirit of person	n.	RC-DOC	1977	Chepang	
76	478789	ʔa.gərʔ.(pa/ma)	ancestor god (male/female), (sp.), original provider of crops	nn.	RC-DOC	1977	Chepang	
77	478790	ʔa.ghə	tradition, legend	n.	RC-DOC	1977	Chepang	
78	478791	ʔa.ghən	tradition, traditional way, legend	n.	RC-DOC	1977	Chepang	
79	478792	ʔa.ghi ba.ra	place (sp.), of spirit's fire (on the way to the world of the dead)	n.	RC-DOC	1977	Chepang	
80	478793	ʔa.ciʔ.yaŋ	blowfly, grey	n.	RC-DOC	1977	Chepang	
81	478794	ʔa.chyu	exclamation with cold; oho!	excl.	RC-DOC	1977	Chepang	
82	478795	ʔa.chyo	exclamation; oh dear!	excl.	RC-DOC	1977	Chepang	
83	478796	ʔa.ji	friend (arch.)	n.	RC-DOC	1977	Chepang	
84	478797	ʔa.ti.si.(ri)	god (sp.), minor deity who appeared with the sun and moon gods, (nyam.diŋ, lah.diŋ), involved in drum making, brother of Batisi(ri)	nn.	RC-DOC	1977	Chepang	
85	478798	ʔa.tha.pa	god (sp.), original drum-maker, brother of Bathapa	nn.	RC-DOC	1977	Chepang	
86	478799	ʔa.nə	much, many, very	adj.	RC-DOC	1977	Chepang	
87	478800	ʔa.ne	Conjunction (Consequential); then, so (<N ani and)	fn.	RC-DOC	1977	Chepang	
88	478801	ʔa.nya	sister (older) (WD)	nk.	RC-DOC	1977	Chepang	
89	478802	ʔa.nyar.raŋ	place in underworld (cos.) - if person's spirit is taken there he will die	nn.	RC-DOC	1977	Chepang	
90	478803	ʔa.nyalʔ	curse, affliction	n.	RC-DOC	1977	Chepang	
91	478804	ʔa.pa	father	nk.	RC-DOC	1977	Chepang	
92	478805	ʔa.pu	older brother (WD)	nk.	RC-DOC	1977	Chepang	
93	478806	ʔa.bə	now (<N)	nt.	RC-DOC	1977	Chepang	
