OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
858309	na₅₅xou₃₁	n a ₅₅ x o u ₃₁	1210	Allen2007, 487	there / 那里	na55xou31	n a ₅₅ x o u ₃₁
5827	jou₄₄	j o u ₄₄	250	Allen2007, 260	eat / 吃	jou44	j o u ₄₄
6245	ɕi₃₃	ɕ i ₃₃	162	Allen2007, 381	die / 死	ɕi33	ɕ i ₃₃
1460	ŋɯ₃₅	ŋ ɯ ₃₅	320	Allen2007, 69	fish / 鱼	ŋɯ35	ŋ ɯ ₃₅
1341728	xou₄₄	x o u ₄₄	74	Allen2007, 410	black / 黑	xou44	x o u ₄₄
6056	ɣɯ₃₅	ɣ ɯ ₃₅	138	Allen2007, 363	come / 来	ɣɯ35	ɣ ɯ ₃₅
6010	t͡sʰu₃₁	t͡sʰ u ₃₁	874	Allen2007, 333	play / 玩耍	tsʰu31	t͡sʰ u ₃₁
623	jɛ̃₂₁	j ɛ̃ ₂₁	134	Allen2007, 5	cloud / 云	jɛ̃21	j ɛ̃ ₂₁
6248	kɔu₃₃	k ɔ u ₃₃	1328	Allen2007, 451	two / 二	kɔu33	k ɔ u ₃₃
6003	kʲẽ₄₂	kʲ ẽ ₄₂	979	Allen2007, 256	see / 见	kʲẽ42	kʲ ẽ ₄₂
5481	ne₃₁	n e ₃₁	1095	Allen2007, 21	soil / 土	ne31	n e ₃₁
1375415	pʰou₅₅	pʰ o u ₅₅	87	Allen2007, 266	blow / 吹	pʰou55	pʰ o u ₅₅
6054	pe₄₄	p e ₄₄	1349	Allen2007, 281	walk / 走	pe44	p e ₄₄
8061	mɛ₄₂	m ɛ ₄₂	121	Allen2007, 301	buy / 买	mɛ42	m ɛ ₄₂
6685	a₃₁pɛ₄₄	a ₃₁ p ɛ ₄₄	504	Allen2007, 460	one hundred / 一百	a31pɛ44	a ₃₁ p ɛ ₄₄
7005	pia₄₄	p i a ₄₄	253	Allen2007, 457	eight / 八	pia44	p i a ₄₄ -
5823	ku₂₁lu₅₅mi₄₂t͡ɕɿ₃₃	k u ₂₁ l u ₅₅ m i ₄₂ t͡ɕ ɿ ₃₃	775	Allen2007, 134	neck / 脖子	ku21lu55mi42tɕɿ33	k u ₂₁ l u ₅₅ m i ₄₂ t͡ɕ ɿ ₃₃
5527	tou₂₁po₂₁	t o u ₂₁ p o ₂₁	434	Allen2007, 124	head / 头	tou21po21	t o u - ₂₁ p - o ₂₁
