# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	IELEX	IPA	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	SCAID	SOURCE	SUBGROUP	SWADESH_1952	SWADESH_1955	TOKENS	TOWEROFBABEL	WOLD	STEDT_TAXON_NAME	STEDT_RN	REFLEX	LGID	GFN	SRCID	SRCABBR	RGEN	STEDT_GLOSS
14030						0	I [first person singular]	Changshan									5450						0								Changshan								
14290						0	I [first person singular]	Qimen			我	我		ɑ⁴²		mostly subject	5450						0								Qimen								
14550						0	I [first person singular]	Dancun				我		ŋɔi²¹			5450						0								Dancun								
14806						0	I [first person singular]	Qimen			我	我		ʂɯːə⁴²		mostly object							0								Qimen								
14873						0	I [first person singular]	Karen						je³¹									0	STEDT/TBL	Karenic			j e ³¹			Karen	81944	je³¹	1849	pron	0928.50	TBL	392765	I
15026						0	I [first person singular]	Nusu_Central						ŋa³³									0	STEDT/TBL	Northern Loloish			ŋ a ³³			Nusu (Central)	49410	ŋa³³	1831	pron	0928.34	TBL	392749	I
15230						0	I [first person singular]	Hani_Mojiang						ŋɔ⁵⁵									0	STEDT/TBL	Southern Loloish			ŋ ɔ ⁵⁵			Hani (Mojiang)	66098	ŋɔ⁵⁵	1840	pron	0928.42	TBL	392757	I
15445						0	I [first person singular]	Xumi						ŋɛ³⁵									0	STEDT/TBL	Qiangic			ŋ ɛ ³⁵			Xumi	15851	ŋɛ³⁵	1812	pron	0928.17	TBL	392732	I
15539						0	I [first person singular]	Tibetan_Written						ŋa									0	STEDT/TBL	Tibetan			ŋ a			Tibetan (Written)	1053	ŋa	1804	pron	0928.01	TBL	392716	I
15540						0	I [first person singular]	Tibetan_Written						bdag									0	STEDT/TBL	Tibetan			b ◦ d a g			Tibetan (Written)	1054	bdag	1804	pron	0928.01	TBL	392766	I
15732						0	I [first person singular]	Lyuzu						æ⁵³									0	STEDT/TBL	Qiangic			æ ⁵³			Lyuzu	17732	æ⁵³	1813	pron	0928.18	TBL	392733	I
15733						0	I [first person singular]	Lyuzu						a³³duo⁵³									0	STEDT/TBL	Qiangic			a ³³ ◦ d u o ⁵³			Lyuzu	17733	a³³duo⁵³	1813	pron	0928.18	TBL	392769	I
15906						0	I [first person singular]	Cuona_Menba						ŋe³⁵									0	STEDT/TBL	Bodic			ŋ e ³⁵			Cuona Menba	83501	ŋe³⁵	1850	pron	0928.06	TBL	392721	I
16111						0	I [first person singular]	Queyu_Xinlong						ŋɯ¹³									0	STEDT/TBL	Qiangic			ŋ ɯ ¹³			Queyu (Xinlong)	8513	ŋɯ¹³	1808	pron	0928.13	TBL	392767	I
16211						0	I [first person singular]	Yi_Xide						ŋɑ³³									0	STEDT/TBL	Northern Loloish			ŋ ɑ ³³			Yi (Xide)	51243	ŋɑ³³	1832	pron	0928.35	TBL	392750	I
16425						0	I [first person singular]	Lahu_Lancang						ŋɑ³¹									0	STEDT/TBL	Central Loloish			ŋ ɑ ³¹			Lahu (Lancang)	67901	ŋɑ³¹	1841	pron	0928.43	TBL	392758	I
16830						0	I [first person singular]	Pumi_Jiulong						ie⁵⁵									0	STEDT/TBL	Qiangic			i e ⁵⁵			Pumi (Jiulong)	3015	ie⁵⁵	1805	pron	0928.10	TBL	392725	I
16954						0	I [first person singular]	Jingpho						ŋai³³									0	STEDT/TBL	Jingpho			ŋ a i ³³			Jingpho	19572	ŋai³³	1814	pron	0928.19	TBL	392734	I
17100						0	I [first person singular]	Yidu						ŋɑ³⁵									0	STEDT/TBL	Deng			ŋ ɑ ³⁵			Yidu	31652	ŋɑ³⁵	1821	pron	0928.25	TBL	392740	I
17115						0	I [first person singular]	Motuo_Menba						dʑaŋ									0	STEDT/TBL	Bodic			dʑ a ŋ			Motuo Menba	85337	dʑaŋ	1851	pron	0928.07	TBL	392722	I
17454						0	I [first person singular]	Bai_Jianchuan						ŋo²¹									0	STEDT/TBL	Bai			ŋ o ²¹			Bai (Jianchuan)	76950	ŋo²¹	1846	pron	0928.48	TBL	392763	I
17554						0	I [first person singular]	Yi_Weishan						ŋɑ⁵⁵									0	STEDT/TBL	Northern Loloish			ŋ ɑ ⁵⁵			Yi (Weishan)	53199	ŋɑ⁵⁵	1833	pron	0928.36	TBL	392751	I
17681						0	I [first person singular]	Jinuo						ŋɔ⁴²									0	STEDT/TBL	Central Loloish			ŋ ɔ ⁴²			Jinuo	69730	ŋɔ⁴²	1842	pron	0928.44	TBL	392759	I
17972						0	I [first person singular]	rGyalrong_Maerkang						ŋɑ									0	STEDT/TBL	rGyalrong			ŋ ɑ			rGyalrong (Maerkang)	4667	ŋɑ	1806	pron	0928.11	TBL	392726	I
18261						0	I [first person singular]	Qiang_Mawo						qɑ									0	STEDT/TBL	Qiangic			q ɑ			Qiang (Mawo)	87042	qɑ	1852	pron	0928.08	TBL	392723	I
18791						0	I [first person singular]	Yi_Nanhua						ŋo³³									0	STEDT/TBL	Northern Loloish			ŋ o ³³			Yi (Nanhua)	55092	ŋo³³	1834	pron	0928.37	TBL	392752	I
18875						0	I [first person singular]	Naxi						ŋə²¹									0	STEDT/TBL	Naxi			ŋ ə ²¹			Naxi	71586	ŋə²¹	1843	pron	0928.45	TBL	392760	I
19223						0	I [first person singular]	Daofu						ŋa									0	STEDT/TBL	rGyalrongic			ŋ a			Daofu	6587	ŋa	1807	pron	0928.12	TBL	392727	I
19579						0	I [first person singular]	Pumi_Lanping						ɛ⁵⁵									0	STEDT/TBL	Qiangic			ɛ ⁵⁵			Pumi (Lanping)	88967	ɛ⁵⁵	1853	pron	0928.09	TBL	392724	I
19683						0	I [first person singular]	Dulong						ŋɑ⁵³									0	STEDT/TBL	Nungic			ŋ ɑ ⁵³			Dulong	23577	ŋɑ⁵³	1816	pron	0928.20	TBL	392735	I
19921						0	I [first person singular]	Tibetan_Batang						ŋa²³¹									0	STEDT/TBL	Tibetan			ŋ a ²³¹			Tibetan (Batang)	40339	ŋa²³¹	1826	pron	0928.03	TBL	392718	I
20075						0	I [first person singular]	Yi_Wuding						ŋu¹¹									0	STEDT/TBL	Northern Loloish			ŋ u ¹¹			Yi (Wuding)	56940	ŋu¹¹	1835	pron	0928.38	TBL	392753	I
20553						0	I [first person singular]	Queyu_Xinlong						ŋa¹³									0	STEDT/TBL	Qiangic			ŋ a ¹³			Queyu (Xinlong)	8512	ŋa¹³	1808	pron	0928.13	TBL	392728	I
20830						0	I [first person singular]	Hani_Lüchun						ŋa⁵⁵									0	STEDT/TBL	Southern Loloish			ŋ a ⁵⁵			Hani (Lüchun)	64290	ŋa⁵⁵	1839	pron	0928.41	TBL	392756	I
20885						0	I [first person singular]	Nung						ŋɑ⁵⁵									0	STEDT/TBL	Nungic			ŋ ɑ ⁵⁵			Nung	25397	ŋɑ⁵⁵	1817	pron	0928.21	TBL	392736	I
21337						0	I [first person singular]	Gazhuo						ŋa³³									0	STEDT/TBL	Northern Loloish			ŋ a ³³			Gazhuo	75227	ŋa³³	1845	pron	0928.47	TBL	392762	I
21355						0	I [first person singular]	Yi_Sani						ŋɒ³³									0	STEDT/TBL	Central Loloish			ŋ ɒ ³³			Yi (Sani)	58866	ŋɒ³³	1836	pron	0928.39	TBL	392754	I
21719						0	I [first person singular]	Zhaba_Daofu_County						ŋa¹³									0	STEDT/TBL	Qiangic			ŋ a ¹³			Zhaba (Daofu County)	10353	ŋa¹³	1809	pron	0928.14	TBL	392729	I
22525						0	I [first person singular]	Tibetan_Xiahe						ŋa									0	STEDT/TBL	Tibetan			ŋ a			Tibetan (Xiahe)	60691	ŋa	1837	pron	0928.04	TBL	392719	I
22733						0	I [first person singular]	Kaman_Miju						ki⁵³									0	STEDT/TBL	Deng			k i ⁵³			Kaman [Miju]	28301	ki⁵³	1819	pron	0928.23	TBL	392738	I
22957						0	I [first person singular]	Muya						ŋə⁵³									0	STEDT/TBL	Qiangic			ŋ ə ⁵³			Muya	12293	ŋə⁵³	1810	pron	0928.15	TBL	392730	I
23371						0	I [first person singular]	Namuyi						ŋa⁵⁵									0	STEDT/TBL	Qiangic			ŋ a ⁵⁵			Namuyi	73409	ŋa⁵⁵	1844	pron	0928.46	TBL	392761	I
