# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	IELEX	IPA	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	SCAID	SOURCE	SUBGROUP	SWADESH_1952	SWADESH_1955	TOKENS	TOWEROFBABEL	WOLD	STEDT_TAXON_NAME	STEDT_RN	REFLEX	LGID	GFN	SRCID	SRCABBR	RGEN	STEDT_GLOSS
927	bone (15)	-			骨头	0	the bone	Hpun		-	-	-	bone (18)	-		-	5983					Noun	0	-	Burmish	bone(18)	bone(10)	-	bone(38)	4.16	Hpun								
928	bone (15)	-			骨头	0	the bone	Lashi		-	-	-	bone (18)	-		-	5983					Noun	0	-	Burmish	bone(18)	bone(10)	-	bone(38)	4.16	Lashi								
929	bone (15)	-			骨头	0	the bone	Maru		-	-	-	bone (18)	-		-	5983					Noun	0	-	Burmish	bone(18)	bone(10)	-	bone(38)	4.16	Maru								
930	bone (15)	-			骨头	0	the bone	Old_Burmese		-	-	-	bone (18)	-		-	5983					Noun	0	-	Burmish	bone(18)	bone(10)	-	bone(38)	4.16	Old_Burmese								
931	bone (15)	-			骨头	0	the bone	Xiandau		-	-	-	bone (18)	-		-	5983					Noun	0	-	Burmish	bone(18)	bone(10)	-	bone(38)	4.16	Xiandau								
932	bone (15)	-			骨头	0	the bone	Dumi		-	-	-	bone (18)	-		-	5983					Noun	0	-	Kiranti	bone(18)	bone(10)	-	bone(38)	4.16	Dumi								
933	bone (15)	-			骨头	223	the bone	Khaling		solo	bone	骨	bone (18)	solo		-	5983					Noun	0	-	Kiranti	bone(18)	bone(10)	s o l o	bone(38)	4.16	Khaling								
934	bone (15)	-			骨头	221	the bone	Limbu		yɛt	bone	骨	bone (18)	yɛt		-	5983					Noun	0	-	Kiranti	bone(18)	bone(10)	y ɛ t	bone(38)	4.16	Limbu								
935	bone (15)	-			骨头	0	the bone	Wambule		-	-	-	bone (18)	-		-	5983					Noun	0	-	Kiranti	bone(18)	bone(10)	-	bone(38)	4.16	Wambule								
936	bone (15)	-			骨头	0	the bone	Yakkha		-	-	-	bone (18)	-		-	5983					Noun	0	-	Kiranti	bone(18)	bone(10)	-	bone(38)	4.16	Yakkha								
937	bone (15)	-			骨头	0	the bone	Yamphu		-	-	-	bone (18)	-		-	5983					Noun	0	-	Kiranti	bone(18)	bone(10)	-	bone(38)	4.16	Yamphu								
938	bone (15)	-			骨头	0	the bone	Dulong		-	-	-	bone (18)	-		-	5983					Noun	0	-	Nungish	bone(18)	bone(10)	-	bone(38)	4.16	Dulong								
939	bone (15)	-			骨头	0	the bone	Jingpo		-	-	-	bone (18)	-		-	5983					Noun	0	-	SAL	bone(18)	bone(10)	-	bone(38)	4.16	Jingpo								
940	bone (15)	-			骨头	0	the bone	Beijing		-	-	-	bone (18)	-		-	5983					Noun	0	-	Sinitic	bone(18)	bone(10)	-	bone(38)	4.16	Beijing								
941	bone (15)	-			骨头	0	the bone	Caijia		-	-	-	bone (18)	-		-	5983					Noun	0	-	Sinitic	bone(18)	bone(10)	-	bone(38)	4.16	Caijia								
942	bone (15)	-			骨头	0	the bone	Changsha		-	-	-	bone (18)	-		-	5983					Noun	0	-	Sinitic	bone(18)	bone(10)	-	bone(38)	4.16	Changsha								
944	bone (15)	-			骨头	0	the bone	Guangzhou		-	-	-	bone (18)	-		-	5983					Noun	0	-	Sinitic	bone(18)	bone(10)	-	bone(38)	4.16	Guangzhou								
945	bone (15)	-			骨头	0	the bone	Meixian		-	-	-	bone (18)	-		-	5983					Noun	0	-	Sinitic	bone(18)	bone(10)	-	bone(38)	4.16	Meixian								
946	bone (15)	-			骨头	222	the bone	Old_Chinese		*kˤut	bone	骨	bone (18)	*kˤut		-	5983					Noun	0	-	Sinitic	bone(18)	bone(10)	kˤ u t	bone(38)	4.16	Old_Chinese								
947	bone (15)	-			骨头	0	the bone	Xiamen		-	-	-	bone (18)	-		-	5983					Noun	0	-	Sinitic	bone(18)	bone(10)	-	bone(38)	4.16	Xiamen								
948	bone (15)	-			骨头	0	the bone	Guiqiong		-	-	-	bone (18)	-		-	5983					Noun	0	-	rGyalrongic	bone(18)	bone(10)	-	bone(38)	4.16	Guiqiong								
949	bone (15)	-			骨头	221	the bone	Japhug		ɕɤrɯ	bone	骨	bone (18)	ɕɤrɯ		-	5983					Noun	0	-	rGyalrongic	bone(18)	bone(10)	ɕ ɤ r ɯ	bone(38)	4.16	Japhug								
950	bone (15)	-			骨头	0	the bone	Khroskyabs_Wobzi		-	-	-	bone (18)	-		-	5983					Noun	0	-	rGyalrongic	bone(18)	bone(10)	-	bone(38)	4.16	Khroskyabs_Wobzi								
951	bone (15)	-			骨头	0	the bone	Muya		-	-	-	bone (18)	-		-	5983					Noun	0	-	rGyalrongic	bone(18)	bone(10)	-	bone(38)	4.16	Muya								
952	bone (15)	-			骨头	0	the bone	Stau		-	-	-	bone (18)	-		-	5983					Noun	0	-	rGyalrongic	bone(18)	bone(10)	-	bone(38)	4.16	Stau								
953	bone (15)	-			骨头	221	the bone	Tangut		rjɨr¹	bone	骨	bone (18)	rjɨr¹		-	5983					Noun	0	-	rGyalrongic	bone(18)	bone(10)	r j ɨ r ¹	bone(38)	4.16	Tangut								
954	bone (15)	-			骨头	0	the bone	Zbu		-	-	-	bone (18)	-		-	5983					Noun	0	-	rGyalrongic	bone(18)	bone(10)	-	bone(38)	4.16	Zbu								
13064						0	the bone	Guzhang			骨頭	骨頭		kuɑ⁴¹ ta			5983						0								Guzhang								
13464						0	the bone	Ganzhou		kuʔ5 thəw2	bone (17)			kuʔ⁶tʰəw³			5983						0					k u ʔ ⁶ tʰ ə w ³			Ganzhou								
13551						0	the bone	Caijia									5983						0								Caijia								
13811						0	the bone	Jixi				骨頭		kuɤʔ³² tˈi⁴⁴			5983						0								Jixi								
14071						0	the bone	Changshan									5983						0								Changshan								
14591						0	the bone	Dancun				骨		kut⁵⁵			5983						0								Dancun								
14981						0	the bone	Tibetan_Written						rus pa									0	STEDT/TBL	Tibetan			r u s _ p a			Tibetan (Written)	162	rus pa	1804	n	0133.01	TBL	351825	bone
15203						0	the bone	Lyuzu						əʴ³³khuo⁵³									0	STEDT/TBL	Qiangic			əʴ ³³ ◦ kh u o ⁵³			Lyuzu	16891	əʴ³³khuo⁵³	1813	n	0133.18	TBL	351842	bone
15672						0	the bone	Yi_Xide						vu²¹du³³									0	STEDT/TBL	Northern Loloish			v u ²¹ ◦ d u ³³			Yi (Xide)	50385	vu²¹du³³	1832	n	0133.35	TBL	351859	bone
15675						0	the bone	Bokar						loŋ poŋ									0	STEDT/TBL	Western Tani			l o ŋ _ p o ŋ			Bokar	28956	loŋ poŋ	1820	n	0133.24	TBL	351848	bone
15730						0	the bone	Nung						ʂɑ³¹kho⁵⁵									0	STEDT/TBL	Nungic			ʂ ɑ ³¹ ◦ kh o ⁵⁵			Nung	24595	ʂɑ³¹kho⁵⁵	1817	n	0133.21	TBL	351845	bone
15896						0	the bone	Lahu_Lancang						ɔ³¹mv²¹ku³³									0	STEDT/TBL	Central Loloish			ɔ ³¹ m v ²¹ ◦ k u ³³			Lahu (Lancang)	67100	ɔ³¹mv²¹ku³³	1841	n	0133.43	TBL	351867	bone
16286						0	the bone	Pumi_Jiulong						ʐɑ¹¹qɑ⁵⁵									0	STEDT/TBL	Qiangic			ʐ ɑ ¹¹ ◦ q ɑ ⁵⁵			Pumi (Jiulong)	2184	ʐɑ¹¹qɑ⁵⁵	1805	n	0133.10	TBL	351834	bone
16577						0	the bone	Motuo_Menba						khaŋ									0	STEDT/TBL	Bodic			kh a ŋ			Motuo Menba	84483	khaŋ	1851	n	0133.07	TBL	351831	bone
16606						0	the bone	Tibetan_Alike						rə pæ									0	STEDT/TBL	Tibetan			r ə _ p æ			Tibetan (Alike)	79560	rə pæ	1848	n	0133.05	TBL	351829	bone
16818						0	the bone	Yi_Weishan						ʔvu̪²¹dɑ⁵⁵dzɿ³³									0	STEDT/TBL	Northern Loloish			ʔ v u̪ ²¹ ◦ d ɑ ⁵⁵ ◦ dz ɿ ³³			Yi (Weishan)	52381	ʔvu̪²¹dɑ⁵⁵dzɿ³³	1833	n	0133.36	TBL	351860	bone
17103						0	the bone	Jinuo						ʃə⁴⁴ɣɤ⁴⁴									0	STEDT/TBL	Central Loloish			ʃ ə ⁴⁴ ◦ ɣ ɤ ⁴⁴			Jinuo	68929	ʃə⁴⁴ɣɤ⁴⁴	1842	n	0133.44	TBL	351868	bone
17417						0	the bone	rGyalrong_Maerkang						ʃɐ |rə									0	STEDT/TBL	rGyalrong			ʃ ɐ _ |r ə			rGyalrong (Maerkang)	3851	ʃɐ |rə	1806	n	0133.11	TBL	351835	bone
17724						0	the bone	Tibetan_Lhasa						ry⁵⁵ko⁵²									0	STEDT/TBL	Tibetan			r y ⁵⁵ ◦ k o ⁵²			Tibetan (Lhasa)	20631	ry⁵⁵ko⁵²	1815	n	0133.02	TBL	351875	bone
17744						0	the bone	Qiang_Mawo						əʴ pɑtʂ									0	STEDT/TBL	Qiangic			əʴ _ p ɑ tʂ			Qiang (Mawo)	86193	əʴ pɑtʂ	1852	n	0133.08	TBL	351832	bone
17999						0	the bone	Cuona_Menba						ru³⁵ko⁵³									0	STEDT/TBL	Bodic			r u ³⁵ ◦ k o ⁵³			Cuona Menba	82705	ru³⁵ko⁵³	1850	n	0133.06	TBL	351830	bone
18262						0	the bone	Yi_Nanhua						ɤɯ²¹gɑ²¹									0	STEDT/TBL	Northern Loloish			ɤ ɯ ²¹ ◦ g ɑ ²¹			Yi (Nanhua)	54276	ɤɯ²¹gɑ²¹	1834	n	0133.37	TBL	351861	bone
18338						0	the bone	Naxi						so³³lo³³									0	STEDT/TBL	Naxi			s o ³³ ◦ l o ³³			Naxi	70757	so³³lo³³	1843	n	0133.45	TBL	351877	bone
18648						0	the bone	Daofu						rə ra									0	STEDT/TBL	rGyalrongic			r ə _ r a			Daofu	5708	rə ra	1807	n	0133.12	TBL	351836	bone
18841						0	the bone	Jingpho						n³¹|ʒa³³									0	STEDT/TBL	Jingpho			n ³¹| ◦ ʒ a ³³			Jingpho	18749	n³¹|ʒa³³	1814	n	0133.19	TBL	351843	bone
19000						0	the bone	Pumi_Lanping						ʐɑ⁵⁵qɑ¹³									0	STEDT/TBL	Qiangic			ʐ ɑ ⁵⁵ ◦ q ɑ ¹³			Pumi (Lanping)	88137	ʐɑ⁵⁵qɑ¹³	1853	n	0133.09	TBL	351833	bone
19096						0	the bone	Dulong						ɑŋ⁵⁵ɹɯ⁵⁵									0	STEDT/TBL	Nungic			ɑ ŋ ⁵⁵ ◦ ɹ ɯ ⁵⁵			Dulong	22752	ɑŋ⁵⁵ɹɯ⁵⁵	1816	n	0133.20	TBL	351844	bone
19336						0	the bone	Tibetan_Batang						ʐᴜ¹³pa⁵³									0	STEDT/TBL	Tibetan			ʐ ᴜ ¹³ ◦ p a ⁵³			Tibetan (Batang)	39494	ʐᴜ¹³pa⁵³	1826	n	0133.03	TBL	351827	bone
19528						0	the bone	Yi_Wuding						xɯ¹¹ɤɯ³³									0	STEDT/TBL	Northern Loloish			x ɯ ¹¹ ɤ ɯ ³³			Yi (Wuding)	56127	xɯ¹¹ɤɯ³³	1835	n	0133.38	TBL	351862	bone
19582						0	the bone	Namuyi						ʂa⁵⁵qa⁵⁵									0	STEDT/TBL	Qiangic			ʂ a ⁵⁵ ◦ q a ⁵⁵			Namuyi	72589	ʂa⁵⁵qa⁵⁵	1844	n	0133.46	TBL	351870	bone
20012						0	the bone	Queyu_Xinlong						ʃə⁵⁵|rə⁵⁵									0	STEDT/TBL	Qiangic			ʃ ə ⁵⁵| ◦ r ə ⁵⁵			Queyu (Xinlong)	7686	ʃə⁵⁵|rə⁵⁵	1808	n	0133.13	TBL	351837	bone
20372						0	the bone	Xumi						ɕæ⁵⁵|əʴ³³									0	STEDT/TBL	Qiangic			ɕ æ ⁵⁵| əʴ ³³			Xumi	15024	ɕæ⁵⁵|əʴ³³	1812	n	0133.17	TBL	351841	bone
20815						0	the bone	Gazhuo						v³¹kɯ³⁵									0	STEDT/TBL	Northern Loloish			v ³¹ ◦ k ɯ ³⁵			Gazhuo	74424	v³¹kɯ³⁵	1845	n	0133.47	TBL	351871	bone
20831						0	the bone	Yi_Sani						ɣɯ¹¹pv̩³³									0	STEDT/TBL	Central Loloish			ɣ ɯ ¹¹ ◦ p v̩ ³³			Yi (Sani)	58063	ɣɯ¹¹pv̩³³	1836	n	0133.39	TBL	351863	bone
20949						0	the bone	Tibetan_Lhasa						ry¹³pə⁵⁵									0	STEDT/TBL	Tibetan			r y ¹³ ◦ p ə ⁵⁵			Tibetan (Lhasa)	20630	ry¹³pə⁵⁵	1815	n	0133.02	TBL	351826	bone
21040						0	the bone	Karen						a³¹xɯ̱i⁵⁵									0	STEDT/TBL	Karenic			a ³¹ ◦ x ɯ̱ i ⁵⁵			Karen	81148	a³¹xɯ̱i⁵⁵	1849	n	0133.50	TBL	351874	bone
21160						0	the bone	Lisu						o̱³¹to̱³³									0	STEDT/TBL	Central Loloish			o̱ ³¹ ◦ t o̱ ³³			Lisu	61648	o̱³¹to̱³³	1838	n	0133.40	TBL	351864	bone
21209						0	the bone	Zhaba_Daofu_County						xə⁵⁵|ʐə⁵⁵									0	STEDT/TBL	Qiangic			x ə ⁵⁵| ◦ ʐ ə ⁵⁵			Zhaba (Daofu County)	9507	xə⁵⁵|ʐə⁵⁵	1809	n	0133.14	TBL	351838	bone
21210						0	the bone	Zhaba_Daofu_County						ɕə⁵⁵|ʐə⁵⁵									0	STEDT/TBL	Qiangic			ɕ ə ⁵⁵| ◦ ʐ ə ⁵⁵			Zhaba (Daofu County)	9508	ɕə⁵⁵|ʐə⁵⁵	1809	n	0133.14	TBL	351876	bone
21339						0	the bone	Darang_Taraon						ɹɯ³¹boŋ³⁵									0	STEDT/TBL	Deng			ɹ ɯ ³¹ ◦ b o ŋ ³⁵			Darang [Taraon]	26078	ɹɯ³¹boŋ³⁵	1818	n	0133.22	TBL	351846	bone
21891						0	the bone	Bai_Jianchuan						kuɑ̱³³tiə⁴²									0	STEDT/TBL	Bai			k u ɑ̱ ³³ ◦ t i ə ⁴²			Bai (Jianchuan)	76112	kuɑ̱³³tiə⁴²	1846	n	0133.48	TBL	351872	bone
22242						0	the bone	Kaman_Miju						ɕiŋ⁵⁵rɑk⁵⁵									0	STEDT/TBL	Deng			ɕ i ŋ ⁵⁵ ◦ r ɑ k ⁵⁵			Kaman [Miju]	27498	ɕiŋ⁵⁵rɑk⁵⁵	1819	n	0133.23	TBL	351847	bone
22924						0	the bone	Muya						tɕhue⁵⁵rə⁵³									0	STEDT/TBL	Qiangic			tɕh u e ⁵⁵ ◦ r ə ⁵³			Muya	11429	tɕhue⁵⁵rə⁵³	1810	n	0133.15	TBL	351839	bone
23257						0	the bone	Tibetan_Xiahe						rə pa									0	STEDT/TBL	Tibetan			r ə _ p a			Tibetan (Xiahe)	59878	rə pa	1837	n	0133.04	TBL	351828	bone
23409						0	the bone	Tujia						lu⁵⁵ka⁵⁵									0	STEDT/TBL	Tujia			l u ⁵⁵ ◦ k a ⁵⁵			Tujia	78076	lu⁵⁵ka⁵⁵	1847	n	0133.49	TBL	351873	bone
24390						0	the bone	Hani_Lüchun						sa³¹jø³¹									0	STEDT/TBL	Southern Loloish			s a ³¹ ◦ j ø ³¹			Hani (Lüchun)	63483	sa³¹jø³¹	1839	n	0133.41	TBL	351865	bone
24441						0	the bone	Yidu						*									0	STEDT/TBL	Deng			*			Yidu	30856	*	1821	n	0133.25	TBL	351849	bone
24547						0	the bone	Guiqiong						wu̵⁵⁵wu̵³³									0	STEDT/TBL	Qiangic			w u̵ ⁵⁵ ◦ w u̵ ³³			Guiqiong	13360	wu̵⁵⁵wu̵³³	1811	n	0133.16	TBL	351840	bone
24767						0	the bone	Naxi						o³³									0	STEDT/TBL	Naxi			o ³³			Naxi	70756	o³³	1843	n	0133.45	TBL	351869	bone
25374						0	the bone	Nusu_Central						ɣɹɯ⁵⁵									0	STEDT/TBL	Northern Loloish			ɣ ɹ ɯ ⁵⁵			Nusu (Central)	48598	ɣɹɯ⁵⁵	1831	n	0133.34	TBL	351858	bone
25592						0	the bone	Hani_Mojiang						ʃɔ³¹ji³¹									0	STEDT/TBL	Southern Loloish			ʃ ɔ ³¹ ◦ j i ³¹			Hani (Mojiang)	65274	ʃɔ³¹ji³¹	1840	n	0133.42	TBL	351866	bone
#
955	branch (113)	-			-	0	the branch	Dashi		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Dashi								
956	branch (113)	-			-	0	the branch	Zhaozhuang		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Zhaozhuang								
957	branch (113)	-			-	0	the branch	Ega		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Ega								
958	branch (113)	-			-	0	the branch	Enqi		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Enqi								
959	branch (113)	-			-	0	the branch	Eryuan		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Eryuan								
960	branch (113)	-			-	0	the branch	Gongxing		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Gongxing								
961	branch (113)	-			-	0	the branch	Heqi		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Heqi								
962	branch (113)	-			-	0	the branch	Jianchuan		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Jianchuan								
963	branch (113)	-			-	0	the branch	Jinman		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Jinman								
964	branch (113)	-			-	0	the branch	Jinxing		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Jinxing								
965	branch (113)	-			-	0	the branch	Luobenzhuo		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Luobenzhuo								
966	branch (113)	-			-	0	the branch	Mazhelong		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Mazhelong								
967	branch (113)	-			-	0	the branch	Qiliqiao		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Qiliqiao								
968	branch (113)	-			-	0	the branch	Xiangyun		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Xiangyun								
969	branch (113)	-			-	0	the branch	Yunlong		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Yunlong								
970	branch (113)	-			-	0	the branch	Zhoucheng		-	-	-	-	-		-	6343					Noun	0	-	Bai	-	-	-	-	8.55	Zhoucheng								
971	branch (113)	-			-	0	the branch	Cone_Tibetan		-	-	-	-	-		-	6343					Noun	0	-	Bodic	-	-	-	-	8.55	Cone_Tibetan								
972	branch (113)	-			-	0	the branch	Lhasa_Tibetan		-	-	-	-	-		-	6343					Noun	0	-	Bodic	-	-	-	-	8.55	Lhasa_Tibetan								
973	branch (113)	-			-	0	the branch	Old_Tibetan		-	-	-	-	jal.ga		-	6343					Noun	0	-	Bodic	-	-	-	-	8.55	Old_Tibetan								
974	branch (113)	-			-	0	the branch	Achang_Lianghe		-	-	-	-	-		-	6343					Noun	0	-	Burmish	-	-	-	-	8.55	Achang_Lianghe								
975	branch (113)	-			-	0	the branch	Achang_Longchuan		-	-	-	-	-		-	6343					Noun	0	-	Burmish	-	-	-	-	8.55	Achang_Longchuan								
976	branch (113)	-			-	0	the branch	Achang_Luxi		-	-	-	-	-		-	6343					Noun	0	-	Burmish	-	-	-	-	8.55	Achang_Luxi								
977	branch (113)	-			-	0	the branch	Atsi		-	-	-	-	-		-	6343					Noun	0	-	Burmish	-	-	-	-	8.55	Atsi								
978	branch (113)	-			-	0	the branch	Bola		-	-	-	-	-		-	6343					Noun	0	-	Burmish	-	-	-	-	8.55	Bola								
979	branch (113)	-			-	0	the branch	Burmese		-	-	-	-	-		-	6343					Noun	0	-	Burmish	-	-	-	-	8.55	Burmese								
980	branch (113)	-			-	0	the branch	Hpun		-	-	-	-	-		-	6343					Noun	0	-	Burmish	-	-	-	-	8.55	Hpun								
981	branch (113)	-			-	0	the branch	Lashi		-	-	-	-	-		-	6343					Noun	0	-	Burmish	-	-	-	-	8.55	Lashi								
982	branch (113)	-			-	0	the branch	Maru		-	-	-	-	-		-	6343					Noun	0	-	Burmish	-	-	-	-	8.55	Maru								
983	branch (113)	-			-	0	the branch	Old_Burmese		-	-	-	-	-		-	6343					Noun	0	-	Burmish	-	-	-	-	8.55	Old_Burmese								
984	branch (113)	-			-	0	the branch	Xiandau		-	-	-	-	-		-	6343					Noun	0	-	Burmish	-	-	-	-	8.55	Xiandau								
985	branch (113)	-			-	0	the branch	Dumi		-	-	-	-	-		-	6343					Noun	0	-	Kiranti	-	-	-	-	8.55	Dumi								
986	branch (113)	-			-	0	the branch	Khaling		-	-	-	-	-		-	6343					Noun	0	-	Kiranti	-	-	-	-	8.55	Khaling								
987	branch (113)	-			-	0	the branch	Limbu		-	-	-	-	-		-	6343					Noun	0	-	Kiranti	-	-	-	-	8.55	Limbu								
988	branch (113)	-			-	0	the branch	Wambule		-	-	-	-	-		-	6343					Noun	0	-	Kiranti	-	-	-	-	8.55	Wambule								
989	branch (113)	-			-	0	the branch	Yakkha		-	-	-	-	-		-	6343					Noun	0	-	Kiranti	-	-	-	-	8.55	Yakkha								
990	branch (113)	-			-	0	the branch	Yamphu		-	-	-	-	-		-	6343					Noun	0	-	Kiranti	-	-	-	-	8.55	Yamphu								
991	branch (113)	-			-	0	the branch	Dulong		-	-	-	-	-		-	6343					Noun	0	-	Nungish	-	-	-	-	8.55	Dulong								
992	branch (113)	-			-	0	the branch	Jingpo		-	-	-	-	-		-	6343					Noun	0	-	SAL	-	-	-	-	8.55	Jingpo								
993	branch (113)	-			-	0	the branch	Beijing		-	-	-	-	-		-	6343					Noun	0	-	Sinitic	-	-	-	-	8.55	Beijing								
994	branch (113)	-			-	0	the branch	Caijia		-	-	-	-	-		-	6343					Noun	0	-	Sinitic	-	-	-	-	8.55	Caijia								
995	branch (113)	-			-	0	the branch	Changsha		-	-	-	-	-		-	6343					Noun	0	-	Sinitic	-	-	-	-	8.55	Changsha								
997	branch (113)	-			-	0	the branch	Guangzhou		-	-	-	-	-		-	6343					Noun	0	-	Sinitic	-	-	-	-	8.55	Guangzhou								
998	branch (113)	-			-	0	the branch	Meixian		-	-	-	-	-		-	6343					Noun	0	-	Sinitic	-	-	-	-	8.55	Meixian								
999	branch (113)	-			-	225	the branch	Old_Chinese		*ke	branch	支	-	*ke		-	6343					Noun	0	-	Sinitic	-	-	k e	-	8.55	Old_Chinese								
1000	branch (113)	-			-	0	the branch	Xiamen		-	-	-	-	-		-	6343					Noun	0	-	Sinitic	-	-	-	-	8.55	Xiamen								
1001	branch (113)	-			-	0	the branch	Guiqiong		-	-	-	-	-		-	6343					Noun	0	-	rGyalrongic	-	-	-	-	8.55	Guiqiong								
1002	branch (113)	-			-	224	the branch	Japhug		tɤ-rtaʁ	-	-	-	tɤ-rtaʁ		-	6343					Noun	0	-	rGyalrongic	-	-	t ɤ ◦ r t a ʁ	-	8.55	Japhug								
1003	branch (113)	-			-	0	the branch	Khroskyabs_Wobzi		-	-	-	-	-		-	6343					Noun	0	-	rGyalrongic	-	-	-	-	8.55	Khroskyabs_Wobzi								
1004	branch (113)	-			-	0	the branch	Muya		-	-	-	-	-		-	6343					Noun	0	-	rGyalrongic	-	-	-	-	8.55	Muya								
1005	branch (113)	-			-	0	the branch	Stau		-	-	-	-	-		-	6343					Noun	0	-	rGyalrongic	-	-	-	-	8.55	Stau								
1006	branch (113)	-			-	0	the branch	Tangut		-	-	-	-	-		-	6343					Noun	0	-	rGyalrongic	-	-	-	-	8.55	Tangut								
1007	branch (113)	-			-	0	the branch	Zbu		-	-	-	-	-		-	6343					Noun	0	-	rGyalrongic	-	-	-	-	8.55	Zbu								
13065						0	the branch	Guzhang								none	6343						0								Guzhang								
13552						0	the branch	Caijia									6343						0								Caijia								
13812						0	the branch	Jixi				樹X		ɕy²² ŋo³¹			6343						0								Jixi								
14072						0	the branch	Changshan									6343						0								Changshan								
15171						0	the branch	Tibetan_Written						jal ga									0	STEDT/TBL	Tibetan			j a l _ g a			Tibetan (Written)	453	jal ga	1804	n	0374.01	TBL	364125	branch / twig
15376						0	the branch	Lyuzu						se³³kæ⁵³li³¹									0	STEDT/TBL	Qiangic			s e ³³ ◦ k æ ⁵³ ◦ l i ³¹			Lyuzu	17150	se³³kæ⁵³li³¹	1813	n	0374.18	TBL	364142	branch / twig
15523						0	the branch	Cuona_Menba						ʔa⁵⁵lak⁵³									0	STEDT/TBL	Bodic			ʔ a ⁵⁵ ◦ l a k ⁵³			Cuona Menba	82947	ʔa⁵⁵lak⁵³	1850	n	0374.06	TBL	364130	branch / twig
15851						0	the branch	Yi_Xide						sɿ̄³³lo⁵⁵									0	STEDT/TBL	Northern Loloish			s ɿ̄ ³³ ◦ l o ⁵⁵			Yi (Xide)	50645	sɿ̄³³lo⁵⁵	1832	n	0374.35	TBL	364159	branch / twig
16040						0	the branch	Lahu_Lancang						si⁵⁴qɑ³⁵									0	STEDT/TBL	Central Loloish			s i ⁵⁴ ◦ q ɑ ³⁵			Lahu (Lancang)	67347	si⁵⁴qɑ³⁵	1841	n	0374.43	TBL	364167	branch / twig
16487						0	the branch	Pumi_Jiulong						tʂuə¹¹ja⁵⁵									0	STEDT/TBL	Qiangic			tʂ u ə ¹¹ ◦ j a ⁵⁵			Pumi (Jiulong)	2442	tʂuə¹¹ja⁵⁵	1805	n	0374.10	TBL	364134	branch / twig
16488						0	the branch	Pumi_Jiulong						sə¹¹tʂuə⁵⁵									0	STEDT/TBL	Qiangic			s ə ¹¹ ◦ tʂ u ə ⁵⁵			Pumi (Jiulong)	2443	sə¹¹tʂuə⁵⁵	1805	n	0374.10	TBL	364175	branch / twig
16504						0	the branch	Nusu_Central						si̱⁵³ka̱⁵³									0	STEDT/TBL	Northern Loloish			s i̱ ⁵³ ◦ k a̱ ⁵³			Nusu (Central)	48847	si̱⁵³ka̱⁵³	1831	n	0374.34	TBL	364158	branch / twig
16613						0	the branch	Jingpho						lă³¹kji̱ŋ³¹									0	STEDT/TBL	Jingpho			l ă ³¹ ◦ k j i̱ ŋ ³¹			Jingpho	18997	lă³¹kji̱ŋ³¹	1814	n	0374.19	TBL	364143	branch / twig
16725						0	the branch	Motuo_Menba						da ka									0	STEDT/TBL	Bodic			d a _ k a			Motuo Menba	84745	da ka	1851	n	0374.07	TBL	364131	branch / twig
16930						0	the branch	Daofu						qa rvɐ									0	STEDT/TBL	rGyalrongic			q a _ r ◦ v ɐ			Daofu	5986	qa rvɐ	1807	n	0374.12	TBL	364136	branch / twig
17161						0	the branch	Yi_Weishan						sɿ̄³³phɑ²¹lɪ̱²¹									0	STEDT/TBL	Northern Loloish			s ɿ̄ ³³ ◦ ph ɑ ²¹ ◦ l ɪ̱ ²¹			Yi (Weishan)	52629	sɿ̄³³phɑ²¹lɪ̱²¹	1833	n	0374.36	TBL	364160	branch / twig
17496						0	the branch	Darang_Taraon						xɑ³¹ɹɑ⁵³									0	STEDT/TBL	Deng			x ɑ ³¹ ◦ ɹ ɑ ⁵³			Darang [Taraon]	26319	xɑ³¹ɹɑ⁵³	1818	n	0374.22	TBL	364146	branch / twig
