# Wordlist

# DATA
ID	POS	CONCEPT	LGID	RGEN	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	DOCULECT	SRCID	SRCABBR	ID_IN_SOURCE	IPA	TOKENS	SOURCE	TAXON_NAME_IN_SOURCE	SUBGROUP
76950	pron	I [first person singular]	1846	392763	I	ŋo²¹	Bai_Jianchuan	0928.48	TBL	76950	ŋo²¹	ŋ o ²¹	STEDT/TBL	Bai (Jianchuan)	Bai
60691	pron	I [first person singular]	1837	392719	I	ŋa	Tibetan_Xiahe	0928.04	TBL	60691	ŋa	ŋ a	STEDT/TBL	Tibetan (Xiahe)	Tibetan
4667	pron	I [first person singular]	1806	392726	I	ŋɑ	rGyalrong_Maerkang	0928.11	TBL	4667	ŋɑ	ŋ ɑ	STEDT/TBL	rGyalrong (Maerkang)	rGyalrong
12293	pron	I [first person singular]	1810	392730	I	ŋə⁵³	Muya	0928.15	TBL	12293	ŋə⁵³	ŋ ə ⁵³	STEDT/TBL	Muya	Qiangic
78871	pron	I [first person singular]	1847	392764	I	ŋa³⁵	Tujia	0928.49	TBL	78871	ŋa³⁵	ŋ a ³⁵	STEDT/TBL	Tujia	Tujia
29799	pron	I [first person singular]	1820	392739	I	ŋoː	Bokar	0928.24	TBL	29799	ŋoː	ŋ oː	STEDT/TBL	Bokar	Western Tani
26873	pron	I [first person singular]	1818	392737	I	xɑŋ³⁵	Darang_Taraon	0928.22	TBL	26873	xɑŋ³⁵	x ɑ ŋ ³⁵	STEDT/TBL	Darang [Taraon]	Deng
14189	pron	I [first person singular]	1811	392731	I	ŋə³⁵	Guiqiong	0928.16	TBL	14189	ŋə³⁵	ŋ ə ³⁵	STEDT/TBL	Guiqiong	Qiangic
62459	pron	I [first person singular]	1838	392755	I	ŋuɑ³³	Lisu	0928.40	TBL	62459	ŋuɑ³³	ŋ u ɑ ³³	STEDT/TBL	Lisu	Central Loloish
73409	pron	I [first person singular]	1844	392761	I	ŋa⁵⁵	Namuyi	0928.46	TBL	73409	ŋa⁵⁵	ŋ a ⁵⁵	STEDT/TBL	Namuyi	Qiangic
28301	pron	I [first person singular]	1819	392738	I	ki⁵³	Kaman_Miju	0928.23	TBL	28301	ki⁵³	k i ⁵³	STEDT/TBL	Kaman [Miju]	Deng
21560	pron	I [first person singular]	1815	392717	I	ŋa¹³	Tibetan_Lhasa	0928.02	TBL	21560	ŋa¹³	ŋ a ¹³	STEDT/TBL	Tibetan (Lhasa)	Tibetan
80380	pron	I [first person singular]	1848	392720	I	ŋæ	Tibetan_Alike	0928.05	TBL	80380	ŋæ	ŋ æ	STEDT/TBL	Tibetan (Alike)	Tibetan
15852	pron	I [first person singular]	1812	392768	I	ŋa⁵⁵	Xumi	0928.17	TBL	15852	ŋa⁵⁵	ŋ a ⁵⁵	STEDT/TBL	Xumi	Qiangic
#
49211	prep	above	1831	382680	over / above	*	Nusu_Central	0731.34	TBL	49211	*	*	STEDT/TBL	Nusu (Central)	Northern Loloish
65899	prep	above	1840	382688	over / above	a³¹tha³³fɔ³³	Hani_Mojiang	0731.42	TBL	65899	a³¹tha³³fɔ³³	a ³¹ ◦ th a ³³ ◦ f ɔ ³³	STEDT/TBL	Hani (Mojiang)	Southern Loloish
848	prep	above	1804	382647	over / above	jan tɕhad	Tibetan_Written	0731.01	TBL	848	jan tɕhad	j a n _ tɕh a d	STEDT/TBL	Tibetan (Written)	Tibetan
17530	prep	above	1813	382664	over / above	de³³le⁵⁵ɣɯʴ³³tɕi³¹	Lyuzu	0731.18	TBL	17530	de³³le⁵⁵ɣɯʴ³³tɕi³¹	d e ³³ ◦ l e ⁵⁵ ◦ ɣ ɯʴ ³³ ◦ tɕ i ³¹	STEDT/TBL	Lyuzu	Qiangic
51037	prep	above	1832	382681	over / above	tshɿ³³hɑ³³	Yi_Xide	0731.35	TBL	51037	tshɿ³³hɑ³³	tsh ɿ ³³ ◦ h ɑ ³³	STEDT/TBL	Yi (Xide)	Northern Loloish
51038	prep	above	1832	382699	over / above	khɯ²¹hɑ³³	Yi_Xide	0731.35	TBL	51038	khɯ²¹hɑ³³	kh ɯ ²¹ ◦ h ɑ ³³	STEDT/TBL	Yi (Xide)	Northern Loloish
67704	prep	above	1841	382689	over / above	ɔ³¹nɑ³³phɔ⁵³lo³³	Lahu_Lancang	0731.43	TBL	67704	ɔ³¹nɑ³³phɔ⁵³lo³³	ɔ ³¹ ◦ n ɑ ³³ ◦ ph ɔ ⁵³ ◦ l o ³³	STEDT/TBL	Lahu (Lancang)	Central Loloish
2816	prep	above	1805	382656	over / above	*	Pumi_Jiulong	0731.10	TBL	2816	*	*	STEDT/TBL	Pumi (Jiulong)	Qiangic
19368	prep	above	1814	382665	over / above	n³¹tsa̱³³	Jingpho	0731.19	TBL	19368	n³¹tsa̱³³	n ³¹ ◦ ts a̱ ³³	STEDT/TBL	Jingpho	Jingpho
25199	prep	above	1817	382667	over / above	*	Nung	0731.21	TBL	25199	*	*	STEDT/TBL	Nung	Nungic
85133	prep	above	1851	382653	over / above	ga ten	Motuo_Menba	0731.07	TBL	85133	ga ten	g a _ t e n	STEDT/TBL	Motuo Menba	Bodic
69533	prep	above	1842	382690	over / above	tha³³la³³	Jinuo	0731.44	TBL	69533	tha³³la³³	th a ³³ ◦ l a ³³	STEDT/TBL	Jinuo	Central Loloish
4467	prep	above	1806	382657	over / above	wu prɐi	rGyalrong_Maerkang	0731.11	TBL	4467	wu prɐi	w u _ p r ɐ i	STEDT/TBL	rGyalrong (Maerkang)	rGyalrong
86837	prep	above	1852	382654	over / above	məχ	Qiang_Mawo	0731.08	TBL	86837	məχ	m ə χ	STEDT/TBL	Qiang (Mawo)	Qiangic
21349	prep	above	1815	382648	over / above	jɛ̃¹³tɕhɛ⁵²	Tibetan_Lhasa	0731.02	TBL	21349	jɛ̃¹³tɕhɛ⁵²	j ɛ̃ ∼ ¹³ ◦ tɕh ɛ ⁵²	STEDT/TBL	Tibetan (Lhasa)	Tibetan
54892	prep	above	1834	382683	over / above	tɕɑ̱³³ɑ²¹ʂɿ²¹	Yi_Nanhua	0731.37	TBL	54892	tɕɑ̱³³ɑ²¹ʂɿ²¹	tɕ ɑ̱ ³³ ɑ ²¹ ◦ ʂ ɿ ²¹	STEDT/TBL	Yi (Nanhua)	Northern Loloish
71379	prep	above	1843	382691	over / above	gə²¹to⁵⁵	Naxi	0731.45	TBL	71379	gə²¹to⁵⁵	g ə ²¹ ◦ t o ⁵⁵	STEDT/TBL	Naxi	Naxi
