NUMBER	GLOSS	SEMANTIC TAG	STATUS
196	son (noun)	kinship	NEW
197	sparrow (noun)	animal	NEW
198	spider (noun)	animal	OLD
199	spit (verb)	action	OLD
200	stand (verb)	action	OLD
201	star (noun)	nature, geography	OLD
202	steal (verb)	action	OLD
203	stick (noun)	object, tool	OLD
204	stone (a piece of) (noun)	nature, substance	OLD
205	straight	characterization, form	OLD
206	sun (noun)	object, geography	OLD
207	tail (noun)	body, animal	OLD
208	ten	number	OLD
209	that	pronoun	OLD
210	there	location	OLD
211	thick	characterization, quantity	OLD
212	thigh (noun)	body	NEW
213	thin	characterization, form	OLD
214	think (reflect) (verb)	action	OLD
215	this	pronoun	OLD
216	thou [second person pronoun singular]	pronoun	OLD
217	three	number	OLD
218	throw (verb)	action	OLD
219	thunder (noun)	object, phenomenon	OLD
220	tiger (noun)	animal	NEW
221	today	time	NEW
222	tomorrow	time	NEW
223	tongue (noun)	body	OLD
224	tooth (front) (noun)	body	OLD
225	tree (noun)	nature, object	OLD
226	twenty	number	OLD
227	two	number	OLD
228	vomit (verb)	action	OLD
229	walk (verb)	action	OLD
230	water (noun)	nature, substance	OLD
231	we [first person plural]	pronoun	OLD
232	wet	characterisation, state	OLD
233	what	pronoun, question	OLD
234	wheat (noun)	object, food	NEW
235	where	pronoun, question	OLD
236	white	characterisation, color	OLD
237	who	pronoun, question	OLD
238	wife (noun)	kinship	OLD
239	wind (noun)	nature, phenomenon	OLD
240	wing (noun)	body, animal	OLD
241	wipe (verb)	action	OLD
242	wolf (noun)	animal	NEW
243	woman (noun)	human being	OLD
244	wood (material) (noun)	plant, substance	OLD
245	worm (noun)	animal	OLD
246	year (noun)	time	OLD
247	yellow	characterisation, color	OLD
248	yesterday	time	NEW
249	you [second person plural]	pronoun	OLD
250	young	characterisation, age	NEW
