lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
185492				(go da) kuŋ kuŋ	from now on		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	108.51	10.1.1	Prepositions	0
181412				(jiŋ koŋ) a rɯk	ground		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	28.51	3.2.11	Ground/Earth/Soil/Dirt	0
208697	5610,5610			(nɯm)num	push		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	563.51	6.2.2.3.1	Push	0
181463				(tu gɯŋ) jiŋ koŋ	plain		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	29.51	3.2.5	Landforms and geographical features	0
228536				a bar	classifier for objects with ha		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	952.51	10.1.3	Classifiers	0
196967				a baː	brother (elder)		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	333.51	1.5.3.2	Five	0
196253	p,6261			a bo	father		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	319.51	4.7.1	Previous generation	0
228791	p,6672			a bor	classifier for clothes		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	957.51	10.1.3	Classifiers	0
194519				a buk	boil	n	368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	285.51	6.6	Verbs requiring liquids	0
228434				a doŋ	classifier for trees		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	950.51	10.1.3	Classifiers	0
230423				a go	how many / much		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	989.51	10.1	Ontological	0
225017	p,6335			a gu	hot		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	883.51			0
182891				a gɛː	top		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	57.51	1.2.1.3	Fontanel	0
228893	o,1310			a jam	fathom=6 feet		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	959.51	9.8	Measure Words	0
222008				a jar	upright		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	824.51	7.1.5.3	Position - high/low	0
222467	p,5683			a jen	bright		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	833.51	7.1.11.1	Light	0
191663				a jiŋ	ear (of grain-producing plant)		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	229.51	1.2.7	Ear	0
192479	p,623			a jo	tongue		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	245.51	1.3.3	Tongue	0
196202	p,6134			a jo	grandmother		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	318.51	4.7.1	Previous generation	0
196916				a jo	mother-in-law		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	332.51	4.7.4	Related by marriage	0
183044				a ju	outside		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	60.51	9.2.7	Extent	0
199976				a keː	rice (cooked)		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	392.51	3.1.4	Seeds and flowers, nuts	0
193805	p,2125			a kiː	intestines		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	271.51	1.7.7	Intestines/Bowels/Guts	0
226445	p,6383,p,6383			a ko; a ken	one		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	911.51	9.9	Numbers and numeric expression	0
196661	p,2362			a kɯ	uncle (maternal)		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	327.51	4.7.1	Previous generation	0
226700	p,2621			a kɯ	six		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	916.51	9.9	Numbers and numeric expression	0
188144				a kɯ ta ri	bedbug		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	160.51	2.2.6	Insects, Arachnids, and Worms	0
188705	p,757			a lap	wing		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	171.51	1.5.1.3	Wing	0
200435	p,191			a laŋ	soup		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	401.51	5.5	Cooking Implements	0
186104				a liː	cat		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	120.51	2.1.3	Feline	0
189419				a liː a ŋo	crops		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	185.51	1.7.6.1	Gizzard/Crop	0
192785	p,695			a lok	hand		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	251.51	1.5.1.1	Hand	0
185186	p,6432			a loː	day(time)		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	102.51	1.5.3.2	Five	0
224864				a lu	loose / lax		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	880.51	6.13.1	Tying	0
224201				a men	old (things)		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	867.51	7.1.8.3	Neutral term	0
197018	p,6450			a meː	sister (elder)		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	334.51	4.7.2	Same generation	0
206351	p,2450			a min	name		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	517.51	5.8	Religion	0
199874				a mə	rice (uncooked)		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	390.51	3.1.4	Seeds and flowers, nuts	0
188756	p,1429			a mɯ	hair / fur		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	172.51	1.2.3	Hair of Head	0
191561				a mɯk	stone / pit		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	227.51	3.2.9	Rocks and minerals	0
191408	p,402			a nə	leaf		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	224.51	3.1.3	Leaves	0
196304	p,1621			a nə	mother		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	320.51	4.7.1	Previous generation	0
196355	p,2183			a paŋ	uncle (paternal, elder)		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	321.51	4.7.1	Previous generation	0
196457	p,2183			a paŋ	uncle (paternal, younger)		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	323.51	4.7.1	Previous generation	0
215531				a pen pen	marry (a woman)		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	697.51	6.19	Social action	0
193550	p,591			a pin	skin		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	266.51	1.6.5	Skin	0
226598	p,2409			a piː	four		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	914.51	9.9	Numbers and numeric expression	0
221957				a pə	horizontal		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	823.51	7.1.5.4	Position - front/back/side-side	0
225833	p,6511			a pɛ	tired		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	899.51	9.6.2.2	Negative Human Qualities	0
209615	p,6511			a pɛː	rest		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	581.51	1.1.4.1	Sleep/Be asleep	0
194009	p,6546			a pɯ	gall		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	275.51	1.7.3.1	Gall/Bile	0
205535	p,1654			a pɯ	ball		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	501.51	9.7.1	Shape and size	0
228485				a pɯ	classifier for animals		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	951.51	10.1.3	Classifiers	0
188960	p,814			a raŋ	horn		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	176.51	1.2.2	Horn(ed)/Antler	0
185237	p,144			a ro	morning		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	103.51	9.1.4	Times of Day	0
181106	p,2070			a ruŋ	well		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	22.51	9.6.1.1	Positive Qualities	0
184676				a rə	tomorrow		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	92.51	9.1.3	Days	0
204719	p,6584			a rəː	money		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	485.51	5.9	Monetary Terms	0
204770	p,6584			a rəː	price		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	486.51	5.9	Monetary Terms	0
181361	p,6588			a rɯk	field		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	27.51	3.2.5	Landforms and geographical features	0
195794				a rɯk ləː nə	farmer		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	310.51	9.10.5	Places in general, countries	0
220988	p,6589			a rɯŋ	deep		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	804.51	7.1.5.3	Position - high/low	0
186461	p,m,m,6555			a tiː ɕə◦rə	boar		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	127.51	2.1.12	Porcine	 1
195182				a to	host		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	298.51	4.4.2	Clans and neighbors	0
196151	p,6619			a to	grandfather		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	317.51	4.7.1	Previous generation	0
196865	p,6619			a to	father-in-law		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	331.51	4.7.4	Related by marriage	0
221294	p,7173			a təŋ	short		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	810.51	9.7.2	Verbs referring to size/shape	0
206402				a təŋ a jəŋ	thing		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	518.51	8.1	Abstract Entities	0
225374	p,6634			a tɯk	hot (spicy)		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	890.51			0
195080	p,6362			a tɕen	friend		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	296.51	4.4.2	Clans and neighbors	0
219560	p,1847			a tɕi	ill / sick		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	776.51	1.1.5.1	Sick/Hurt/Ache	0
225935	p,1847			a tɕi	pain / ache		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	901.51	1.1.5.1	Sick/Hurt/Ache	0
193193	p,5539			a tɕuː	breast		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	259.51	1.4.4.3	Chest	0
191765	p,18			a ɯː (ɯi)	body		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	231.51	1.1.1	Body	0
226496	p,2504			a ȵi	two		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	912.51	9.9	Numbers and numeric expression	0
181718	p,1613			a ɕup	hole		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	34.51	3.2.7	Cracks/Chasms/Crevices	0
195029	p,6658			a ɦo	child		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	295.51	1.5.3.2	Five	0
191459	p,1278			a ɦok	branch		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	225.51	1.5.3.1	Limb/Branch	0
228638	p,6684			a ɦoŋ	classifier for long, thin obje		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	954.51	9.7.2	Verbs referring to size/shape	0
226547	p,2666			a ɦum	three		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	913.51	9.9	Numbers and numeric expression	0
208289	1457			ak	scratch		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	555.51	1.6.5.5	Itch/Scratch	0
225884	1457			ak	itch		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	900.51	1.6.5.5	Itch/Scratch	0
195845				am dʑi	doctor		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	311.51	4.2.1.5	Health-care	0
187073				aŋ pə	goose		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	139.51	2.1.10	Fowl (i.e. Domestic Birds)	0
193703				aː	stomach		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	269.51	1.7.6	Stomach	0
230117	6669			aː	that		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	983.51	10.1	Ontological	0
230168	6669,m			aː lo	there		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	984.51	9.2.7	Extent	0
198956				aː luŋ	earring		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	372.51	5.11.8.3	Jewelry and Accessories	0
221651	p,6290			aː◦to	far		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	817.51	9.2.4	Apart	0
185339	p,2784			a◦joː	night		368	Bokar Lhoba	73	1.1.1.1	Western Tani	Sun H 91 ZMYY	ZMYYC	105.51	9.1.4	Times of Day	0
