rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
325756	fa siɔ 16	end of school		Dell-Bai	1793	Bai (Dali)	1
325757	fa tue 31	object to, to		Dell-Bai	1793	Bai (Dali)	2
325758	fe 2	very		Dell-Bai	1793	Bai (Dali)	3
325759	fö lu ?2	stove / furnace		Dell-Bai	1793	Bai (Dali)	4
325760	fö zö 66	dragonfly		Dell-Bai	1793	Bai (Dali)	5
325761	fö zö ??	kite		Dell-Bai	1793	Bai (Dali)	6
325762	foe niɛ 22:66	fever, have a, to		Dell-Bai	1793	Bai (Dali)	7
325763	foe 3/4	back side; turn over, to		Dell-Bai	1793	Bai (Dali)	8
325764	fv 1	bee		Dell-Bai	1793	Bai (Dali)	9
325765	fv mi 12	honey		Dell-Bai	1793	Bai (Dali)	10
325766	fv 2	six		Dell-Bai	1793	Bai (Dali)	11
325767	-fv 2			Dell-Bai	1793	Bai (Dali)	12
325768	fv 2	calligraphy brush		Dell-Bai	1793	Bai (Dali)	13
325769	fv suɛ 25	diarrhea		Dell-Bai	1793	Bai (Dali)	14
325770	fv ts'ɛ 22	saw	n	Dell-Bai	1793	Bai (Dali)	15
325771	fv tö 37	axe		Dell-Bai	1793	Bai (Dali)	16
325772	fv 6	seal, to		Dell-Bai	1793	Bai (Dali)	17
325773	fv fv sɛ ??5	fan		Dell-Bai	1793	Bai (Dali)	18
325774	ka 2	OBJECT MARKER, similar to Chinese ba		Dell-Bai	1793	Bai (Dali)	19
325775	ka pi 26	pen (for writing)		Dell-Bai	1793	Bai (Dali)	20
325776	ka soe 22	beggar		Dell-Bai	1793	Bai (Dali)	21
325777	ka 3	tell / announce, to		Dell-Bai	1793	Bai (Dali)	22
325778	ka 4	wharf		Dell-Bai	1793	Bai (Dali)	23
325779	ka 4	dare, to		Dell-Bai	1793	Bai (Dali)	24
325780	ka 6	teach, to		Dell-Bai	1793	Bai (Dali)	25
325781	ka 6	vat		Dell-Bai	1793	Bai (Dali)	26
325782	ka 6	dry		Dell-Bai	1793	Bai (Dali)	27
325783	ka 6	high		Dell-Bai	1793	Bai (Dali)	28
325784	ka 6	thick (not fluid, of congee)		Dell-Bai	1793	Bai (Dali)	29
325785	ka 7	hold in mouth, to		Dell-Bai	1793	Bai (Dali)	30
325786	ka na 76	olive		Dell-Bai	1793	Bai (Dali)	31
325787	ke 6	toward		Dell-Bai	1793	Bai (Dali)	32
325788	ke 6	hen		Dell-Bai	1793	Bai (Dali)	33
325789	ke k'v 6 3/4	chicken hut		Dell-Bai	1793	Bai (Dali)	34
325790	ke mɔ 63	hen (as opposed to rooster)		Dell-Bai	1793	Bai (Dali)	35
325791	ke sɛ 65	egg (chicken)		Dell-Bai	1793	Bai (Dali)	36
325792	ke tsw 62	chicken		Dell-Bai	1793	Bai (Dali)	37
325793	ke 7	climb, to		Dell-Bai	1793	Bai (Dali)	38
325794	kɛ 2	see, to		Dell-Bai	1793	Bai (Dali)	39
325795	kɛ koe 36	reform	n	Dell-Bai	1793	Bai (Dali)	40
325796	ko tö 6:26	person with pock-marked face		Dell-Bai	1793	Bai (Dali)	41
325797	ko 3	two		Dell-Bai	1793	Bai (Dali)	42
325798	ko 7	fat		Dell-Bai	1793	Bai (Dali)	43
325799	koe ni 12	today		Dell-Bai	1793	Bai (Dali)	44
325800	koe tsw sua 1?2	year, this		Dell-Bai	1793	Bai (Dali)	45
325801	koe 2	go by / occur, to		Dell-Bai	1793	Bai (Dali)	46
325802	koe pioe 22	that which divides the property of two people		Dell-Bai	1793	Bai (Dali)	47
325803	koe tɔ 5 3/4	precious		Dell-Bai	1793	Bai (Dali)	48
325804	-koe 6			Dell-Bai	1793	Bai (Dali)	49
325805	koe 6	doubt / suspect, to		Dell-Bai	1793	Bai (Dali)	50
325806	koe 6	fear, to		Dell-Bai	1793	Bai (Dali)	51
325807	koe kw 66	fever, intermittent		Dell-Bai	1793	Bai (Dali)	52
325808	koe miw 61	revolution		Dell-Bai	1793	Bai (Dali)	53
325809	koe 7	meat		Dell-Bai	1793	Bai (Dali)	54
325810	kɔ lɛ 12	butterfly		Dell-Bai	1793	Bai (Dali)	55
325811	kɔ 5	rainbow		Dell-Bai	1793	Bai (Dali)	56
325812	kɔ sy 53	dew		Dell-Bai	1793	Bai (Dali)	57
325813	kɔ 6	cake		Dell-Bai	1793	Bai (Dali)	58
325814	kɔ lia 66	sorghum		Dell-Bai	1793	Bai (Dali)	59
325815	kɔ tsw 62	pigeon		Dell-Bai	1793	Bai (Dali)	60
325816	kɔ 7	sea / lake		Dell-Bai	1793	Bai (Dali)	61
325817	kɔ tv 75	hole		Dell-Bai	1793	Bai (Dali)	62
325818	kɔ ?	foot / hoof of an animal		Dell-Bai	1793	Bai (Dali)	63
325819	kɔ lɔ tsw ???	oyster		Dell-Bai	1793	Bai (Dali)	64
325820	ku sw 11	story / tale		Dell-Bai	1793	Bai (Dali)	65
325821	ku zoe 28	worker		Dell-Bai	1793	Bai (Dali)	66
325822	ku 3	old		Dell-Bai	1793	Bai (Dali)	67
325823	ku pɔ 36	man, old		Dell-Bai	1793	Bai (Dali)	68
325824	ku tue 32	story		Dell-Bai	1793	Bai (Dali)	69
325825	ku tsu 36	Tibetan		Dell-Bai	1793	Bai (Dali)	70
325826	ku iɔ 34	woman, old		Dell-Bai	1793	Bai (Dali)	71
325827	ku 4	story		Dell-Bai	1793	Bai (Dali)	72
325828	ku 6	aunt (father's sister)		Dell-Bai	1793	Bai (Dali)	73
325829	-ku 6			Dell-Bai	1793	Bai (Dali)	74
325830	ku ma 62	syn. ku 6; cf. ma 2		Dell-Bai	1793	Bai (Dali)	75
325831	ku 6	thick (not fluid)		Dell-Bai	1793	Bai (Dali)	76
325832	ku 7	bridge		Dell-Bai	1793	Bai (Dali)	77
325833	ku 7	bottle		Dell-Bai	1793	Bai (Dali)	78
325834	kua 2	stick / hook onto / hang, to		Dell-Bai	1793	Bai (Dali)	79
325835	kua ts'ɛ 61	coffin		Dell-Bai	1793	Bai (Dali)	80
325836	kua zu 66	pants		Dell-Bai	1793	Bai (Dali)	81
325837	kua tsɛ 78	stutterer		Dell-Bai	1793	Bai (Dali)	82
325838	kue tiw 21	regulation		Dell-Bai	1793	Bai (Dali)	83
325839	kue xuo 26	Osmanthus fragrans (type of flower)		Dell-Bai	1793	Bai (Dali)	84
325840	kue 3	scram, to		Dell-Bai	1793	Bai (Dali)	85
325841	kuɛ fv p'ɔ 218	widow		Dell-Bai	1793	Bai (Dali)	86
325842	kuɛ tsw 23	restaurant		Dell-Bai	1793	Bai (Dali)	87
325843	kuɛ 3/4	turn, to		Dell-Bai	1793	Bai (Dali)	88
325844	kuo 6	rice on stalk		Dell-Bai	1793	Bai (Dali)	89
325845	kuo 6	classifier (numeral) for cigarettes: iä 2 ko 3, ku		Dell-Bai	1793	Bai (Dali)	90
325846	kuo 6	pot		Dell-Bai	1793	Bai (Dali)	91
325847	kuo ts'a 64	spatula		Dell-Bai	1793	Bai (Dali)	92
325848	kuo tɔ 63-	grow / big, get, to		Dell-Bai	1793	Bai (Dali)	93
325849	kuoe 5	bad (speaking about the character of a person or a		Dell-Bai	1793	Bai (Dali)	94
325850	kuoe 7			Dell-Bai	1793	Bai (Dali)	95
325851	kuoe 7	horizontal		Dell-Bai	1793	Bai (Dali)	96
325852	kv nio tɔ 134	deaf		Dell-Bai	1793	Bai (Dali)	97
325853	kv tö pɔ 127	deaf		Dell-Bai	1793	Bai (Dali)	98
325854	kv koe 2:5 6	dresser		Dell-Bai	1793	Bai (Dali)	99
325855	kv lv 22	corner		Dell-Bai	1793	Bai (Dali)	100
325856	kv 6	yell / shout / cry, to		Dell-Bai	1793	Bai (Dali)	101
325857	kv 6	submerge, to		Dell-Bai	1793	Bai (Dali)	102
325858	kv 6	ditch	n	Dell-Bai	1793	Bai (Dali)	103
325859	kv ngv 66	fish (sp., Schizopygetaliensis)		Dell-Bai	1793	Bai (Dali)	104
325860	kv tö 72	hunchback		Dell-Bai	1793	Bai (Dali)	105
325861	kw lö kw 112	hook	n	Dell-Bai	1793	Bai (Dali)	106
325862	kw 3-	[CHIN gloss, gei: to give]		Dell-Bai	1793	Bai (Dali)	107
325863	kw 3	thick		Dell-Bai	1793	Bai (Dali)	108
325864	kw 3	old / used		Dell-Bai	1793	Bai (Dali)	109
325865	kw ts'ö 34	shallot		Dell-Bai	1793	Bai (Dali)	110
325866	kw 6	cold		Dell-Bai	1793	Bai (Dali)	111
325867	kw 7	flow		Dell-Bai	1793	Bai (Dali)	112
325868	kw 7	sell, to		Dell-Bai	1793	Bai (Dali)	113
325869	kw 7	mount , to(a horse)		Dell-Bai	1793	Bai (Dali)	114
325870	k'a 2	thirst		Dell-Bai	1793	Bai (Dali)	115
325871	k'a 8	carry on shoulder, to		Dell-Bai	1793	Bai (Dali)	116
325872	k'e 1	lead by hand or bridle, to		Dell-Bai	1793	Bai (Dali)	117
325873	k'o siɔ 26	science		Dell-Bai	1793	Bai (Dali)	118
