rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
80849	ka³¹	gill (of fish)		ZYS-Bai	309	Bai (Jianchuan)	9.2.4
80907	sõ³³	birth, give		ZYS-Bai	309	Bai (Jianchuan)	10.4.15
80906	tɕi̱⁴² xæ̃⁵⁵	birth, give		ZYS-Bai	309	Bai (Jianchuan)	10.4.15
80686	tsʰu³¹ kʰo³³	gizzard / crop of bird		ZYS-Bai	309	Bai (Jianchuan)	4.2.4
80878	tu³³ tɯ̱²¹ po̱²¹ kʰo³³	glans penis		ZYS-Bai	309	Bai (Jianchuan)	10.3.2
80796	ɣu̱²¹ fe̱⁴⁴	goatee		ZYS-Bai	309	Bai (Jianchuan)	8.1.2.2
80678	to̱⁴² jæ̃³³ kʰo³³	goiter		ZYS-Bai	309	Bai (Jianchuan)	4.1.1
80543	ko̱⁴⁴ kã̱⁴² «ne̱²¹»	groin / loins		ZYS-Bai	309	Bai (Jianchuan)	1.10
80791	ma̱²¹	hair (general)		ZYS-Bai	309	Bai (Jianchuan)	8.1
80792	tɯ̱²¹ ma⁵⁵	hair of head		ZYS-Bai	309	Bai (Jianchuan)	8.1.1
80570	tɯ̱²¹ ma⁵⁵	hair of head		ZYS-Bai	309	Bai (Jianchuan)	2.7
80749	ko̱⁴⁴ tɕĩ⁵⁵	hamstring		ZYS-Bai	309	Bai (Jianchuan)	6.2.1.2
80738	sɯ³³	hand		ZYS-Bai	309	Bai (Jianchuan)	6.1.7
80930	a³¹ tʰo³¹	hand span		ZYS-Bai	309	Bai (Jianchuan)	13.2
80719	kʰæ⁵⁵ fv̩³³	haunches (of animal)		ZYS-Bai	309	Bai (Jianchuan)	5.8.3
80564	tɯ̱²¹ po̱²¹	head		ZYS-Bai	309	Bai (Jianchuan)	2.1
80563	tɯ̱²¹ po̱²¹	head		ZYS-Bai	309	Bai (Jianchuan)	2.0
80619	tɕʰæ̃⁵⁵	hear	v.	ZYS-Bai	309	Bai (Jianchuan)	3.6.7
80851	ɕĩ⁵⁵	heart		ZYS-Bai	309	Bai (Jianchuan)	9.3
80940	ɕĩ⁵⁵ ŋṽ̩⁵⁵	heart / locus of emotions		ZYS-Bai	309	Bai (Jianchuan)	14.2
80939	ɕĩ⁵⁵ kʰo³³	heart / locus of emotions		ZYS-Bai	309	Bai (Jianchuan)	14.2
80941	ɕĩ⁵⁵ ŋṽ̱ˌ⁴²	heart / locus of emotions		ZYS-Bai	309	Bai (Jianchuan)	14.2
