lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
224023				ta³³pə³³	slow		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	863.52	9.6.2.1	Negative Qualities	0
215404				taŋ³³	give / send / deliver		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	694.52	6.23	Giving	0
215812				taŋ³³	give out / distribute		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	702.52	6.23	Giving	0
215353				taŋ³³duȶ¹¹	return	v.t.	1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	693.52	6.2.2.1	Assorted action verbs	0
215965				taŋ³³θɯ⁵³duȶ¹¹	pay indemnity to		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	705.52	6.22	Exchanges	0
215149				taȶ¹¹	hit (target)		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	689.52	6.8	Striking, hitting verbs	0
184090				te³³lo³³aŋ³³bo³³	May		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	80.52	9.1.2	Months and Years	0
185416				to³³	now		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	106.52	9.1.5	Other Intervals	0
209284	1906			toŋ³³	sit		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	574.52	6.1.1.4.1	Sit	0
196177				toŋ³³maȶ⁵³	grandfather		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	317.52	4.7.1	Previous generation	0
209641				toŋ³³ȵɛn³³	rest		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	581.52	1.1.4.1	Sleep/Be asleep	0
230500				to⁵³ba³³juŋ³³	just now		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	990.52	9.1.1	Adverbial uses	0
216169				tsa⁵³ɣɛ⁵³	fight		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	709.52	6.5	Fighting	0
211069				tsei	choke		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	609.52	1.3.5.7	Choke	0
181183				tsei³³	spring (water)		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	23.52	6.7.9	Manner is primary	0
214333				tsei³³	light (candle)		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	673.52	7.1.11.1	Light	0
210151				tsən³³	move something to a new place		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	591.52	6.7.11	Movement (general)	0
210202				tsən³³	carry on a pole (two people)		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	592.52	6.2.2.2.1	Carry	0
207295				tua⁵³	bite		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	535.52	1.3.4.4	Bite/Hold in Mouth	0
231112			5:bTibetan	tuŋ³³tuŋ³³	certainly		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	1002.52	7.2	Epistemics	0
208570				tuȶ³³	cast		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	560.52	6.12	Throwing	0
208468				tuȶ³³mak³³	throw		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	558.52	6.12	Throwing	0
199033				tək³³	bracelet		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	373.52	5.11.8.3	Jewelry and Accessories	0
197911				tər³³gɹəŋ³³	pole		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	351.52	9.7.1	Shape and size	0
199339				tər³³ma³³	pants / trousers		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	379.52	5.11.8.2.1.3	Lower body	0
209896				tə³³duȶ³³	repair		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	586.52	6.14	Construction	0
193117	p,560			tə³³kɯ⁵³	chest		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	257.52	1.4.4.3	Chest	0
226369				tə³³no³³	poor		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	909.52	9.6.2.2	Negative Human Qualities	0
218770				tə³³vaʴ³³	collapse		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	760.52	9.5	Change of state	0
182509				tə³³zua⁵³	south		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	49.52	9.2.8	Directions	0
180571				tɕak³³kə³³	ice		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	11.52	3.2.3	Water and other liquids	0
184447				tɕa³³me³³aŋ³³bo³³	December		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	87.52	9.1.2	Months and Years	0
194239				tɕaŋ³³	phlegm		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	279.52	1.8.3	Spit/Saliva	0
