jiăohuo搅和	303
jiăoluò角落	242
jiăoz饺子	98
jīdàn鸡蛋102
jiě解	277
jiēba結巴	206
jiēbīng結冰	248
jiēdào街道	178
jiěfau姐夫	225
jiēhūn結婚（指男方）	319
jiēhūn結婚（指女方）	319
jiějie姐姐	225
jiēshi結实	368
jiēwěn接吻	344
jĭng井	130
jīnnián今年	12
jīntiān今天	15
jīnz金子	25
jiŭ酒	107
jiŭcài韭菜	81
jiùfù舅父	218
jiùmŭ舅母	219
jīwō鸡窩	244
jìyú鯽魚	50
jŭ举	264
juăn捲	275
juănxīncài捲心菜	77
júz桔子	84
jùz锯子	161
kāi开	272
kāichē开車	316
kāishuĭ开水	109
kāiwánxiào开玩笑	310
kàn看	250
kāng糠	73
kào靠	287
kě渴	385
kělián可怜	401
kěn啃	255
késou咳嗽	331
kōng空	353
kŏushuĭ口水	241
kū哭	309
kuà跨	286
kuài快（锋利）	373
kuài快（迅速）	374
kuàiz筷子	141
kuān宽	350
kūlong窟窿	243
kùz褲子	113
lā拉（拉住）	269
lā拉（拉屎）	329
làiháma癩蛤蟆	53
lājī垃圾	242
làjiāo辣椒	82
lăn懒	397
láng狼	33
lángān拦干	128
làngfei浪费	345
lāo捞	261
lăo老（不嫩）	366
lăo老（不年輕）	389
lăohŭ老虎	32
lăoshí老实	392
lăoshŭ老鼠	35
lăotàipó老太婆	202
lăotóur老头儿	202
lăoyīng老鷹	36
làzhu蜡烛	152
léi雷	7
lèi累	385
lěng冷	379
lí梨	84
lĭ理	307
liándāo鐮刀	166
liáng涼	381
liàng晾	296
liàng亮	360
lĭmian里面	235
lín鳞	65
lĭngz領子	120
línyŭ淋雨	249
lĭyú鯉魚	45
lĭz里子	121
lìz栗子	88
lìzhi荔枝	90
lóngz聋子	205
lŏu摟	271
lóuti楼梯	129
lù鹿	34
luàn乱	369
lúnchuán輪船	177
lúnz輪子	168
luóbo蘿卜	79
luóz騍子	45
lùshuĭ露水	4
lǘ驴	45
mà駡	309
mābù抹布	154
mái埋	283
măibù买布	316
măiyào买药（买中药）	317
măiyón买油	317
màiz麦子	71
mălíngshŭ馬鈴薯	76
māma媽媽	213
măn滿	354
máng忙	387
mántou饅头	95
māo猫	46
máobĭ毛笔	183
máojin毛巾	119
māotóuyīng猫头鷹	36
máoyī毛衣	112
màoz帽子	115
máquè麻雀	39
măshang馬上	439
mătou碼头	175
măyĭ螞蟻	59
máz麻子	207
méi煤	28
mèifu妹夫	226
méihuā梅花	65
mèimei妹妹	226
méiyóu煤油	29
méiyŏu沒有（无）	343
méi〔you〕沒〔有〕（未）	448
méiz梅子	85
ménkănr門槛儿	127
miànfěn面粉	71
miánhua棉花	68
miàntiáor面条儿	97
mĭfàn米飯	94
mìfēng蜜蜂	56
míngnián明年	12
míngtiān明天	15
mĭtāng米湯	95
mō摸	260
móhu模糊	372
mòz末子	240
mùchái木柴	144
mŭgŏu母狗	44
mŭjī母鸡	48
mŭmă母馬	42
mŭniú母牛	41
mùtàn木炭	145
mùtou木头	168
mùtuōxié木拖鞋	116
mŭzhū母猪	43
ná拿	259
năbian哪边	417
nàbian那边	414
năge哪个	416
nàge那个	411
năinai奶奶	212
nàme那么	415
nán难	377
nángua南瓜	78
nánháir男孩儿	204
nánkàn难看	391
nánren男人	201
năr哪儿	417
nàr那儿	413
nàxie那些	412
nèiháng內行	398
nèn嫩	367
nénggàn能干	398
ní泥	30
nĭ你	404
niánqing年輕	390
nĭde你的	409
niē捏	259
nièz鑷子	160
nĭmen你們	406
nuănhuo暧和	380
nuòmĭ糯米	70
nǚ'ér女儿	230
nǚháir女孩儿	204
nǚren女人	201
nǚxu女婿	230
pà怕	336
pāimă拍馬	313
pàng胖	388
pángbian旁边	237
pángxie螃蟹	51
păo跑	284
pàomo泡床	241
pàozhang炮仗	190
péi陪	314
pēn噴	257
pěng捧	265
pèng碰	281
pēnti噴嚏	328
piányi便宜	378
piàolianġ漂亮	390
pìgu屁股	199
píng平	355
píngz瓶子	144
píxiāng皮箱	135
pō泼	301
pò破	370
pópo婆婆	222
pū鋪	278
pútao葡萄	86
qī漆	171
qiā掐	260
qiān鉛	27
qián錢	172
qiăn淺	353
qián'é前額	192
qiáng墙	126
qiángdào强盜	211
qiángzhuàng强壮	391
qiántou前头	234
qiánnián前年	14
qiántiān前天	17
qiānxū谦虚	395
qiánz鉗子	160
qiáo桥	180
qiàqiăo恰巧	442
qìchē汽車	175
qìchuán汽船	177
qiē切	298
qiéz茄子	80
qíguài奇怪	402
qīng輕	362
qīngchu淸楚	372
qíngtiān晴天	8
qīngtíng蜻蜓	57
qīngwā靑蛙	53
qínkuài勤快	397
qiú球	188
qiūqian秋千	189
qiūyĭn蚯蚓	55
qìyóu汽油	29
qīz妻子	226
quàn劝	312
qùnián去年	13
qúnz裙子	114
răn染	297
rè热	379
rènao热闹	371
rēng扔	282
rēngjiù仍旧	445
rénjia人家	408
rénlìchē人力車	176
rénxíngdào人行道	179
rèshuĭpíng热水瓶	146
rìz日子	14
róngyi容易	377
ruăn軟	366
rúguŏ如果	453
rùz褥子	137
sā撒	329
sāi塞	273
săn伞	150
săo扫	302
săoz嫂子	224
sàozhou扫帚	154
shā杀	3ŏŏ
shă傻	392
shài晒	295
shàitái晒台	127
shāiz篩子	167
shăndiàn閃电	6
shāngdiàn商店	172
shàngfén上坟	344
shàngkè上课	320
shàngmian上面	236
shàngwŭ上午	20
shàngyī上衣	110
shànz扇子	150
sliāowēi稍微	441
shàoz哨子	190
shé蛇	62
shéi谁	415
shēn深	352
shēng生（生育）	340
shēng生（不熟）	368
shēngbìng生病	330
shēngkou牲口	40
Shēngnüèji生瘧疾	333
shéngz绳子	148
shénme什么	416
shěmŭ嬸母	216
shétou舌头	194
shī湿	363
shì是	342
shíhou时候	11
shíhui石灰	169
shìqing事情	245
shítou石头	30
shīz狮子	32
shòu瘦	389
shŏupà手帕	119
shōushi收拾	303
shŏutào手套	118
shŏuzhítou手指头	197
shū书	181
shū輸	324
shù豎	358
shuā刷	293
shuāi摔	288
shuàn涮	294
shuāng霜	4
ahuāngbāotāi双胞胎	210
shūcài蔬菜	77
shūfù叔父	215
shūfū舒服	386
shuí谁	415
shuĭguŏ水果	83
shuìjiào睡觉	325
shuĭní水泥	170
shuĭpiáo水瓢	142
