NUMBER	CHINESE_GLOSS	POS	ENGLISH_GLOSS
808	我們	pronouns	we (first person pronoun)
809	咱們	pronouns	we (inclusive)
810	你們	pronouns	you (second person plural pronoun)
811	他們	pronouns	they (third person plural)
812	大家	pronouns	all // everybody
813	自己	pronouns	self // oneself
814	人家	pronouns	they // the others
815	我的	pronouns	my (first person singular)
816	你的	pronouns	your (second person singular)
817	他的	pronouns	his // her // its (third person singular)
818	別的	pronouns	others // of the others
819	这个	pronouns	this
820	那个	pronouns	that
821	这些	pronouns	these
822	那些	pronouns	those
823	这儿	pronouns	here
824	那儿	pronouns	there
825	这边	pronouns	this side // here
826	那边	pronouns	that side // there
827	这么	pronouns	this way
828	那么	pronouns	that way
829	誰	pronouns	who (interrogative pronoun)
830	什么	pronouns	what (interrogative pronoun)
831	哪个	pronouns	which (interrogative pronoun)
832	哪儿	pronouns	where (interrogative pronoun)
833	哪边	pronouns	which place // where
834	怎么	pronouns	how
835	多么	pronouns	how much // to which degree
836	多少	pronouns	how much
837	多久	pronouns	how long
838	一个人	classifiers	piece (cls for persons)
839	一头牛	classifiers	head (cls for cows)
840	一只鸡	classifiers	piece (cls for chickens)
841	一条魚	classifiers	piece (cls for fishes)
842	一棵树	classifiers	piece (cls for trees)
843	一瓶酒	classifiers	bottle (cls for alcohol) 
844	一丛草	classifiers	bush (cls for grass)
845	一朵花儿	classifiers	bud (cls for flower)
846	一串葡萄	classifiers	chain (cls for grapes)
847	一頓飯	classifiers	portion (cls for food)
848	一支烟	classifiers	piece (cls for cigarettes)
849	一口水	classifiers	mouth (cls for water)
850	一套衣服	classifiers	piece (cls for clothes)
851	一双鞋	classifiers	pair (cls for shoes)
852	一条被子	classifiers	piece (cls for blankets) 
853	一顶帐子	classifiers	piece (cls for heats)
854	一把刀	classifiers	handle (cls for knives)
855	一根針	classifiers	piece (cls for needles)
856	一座房子	classifiers	piece (cls for houses)
857	一座桥	classifiers	piece (cls for bridges)
858	一扇門	classifiers	fan (cls for doors)
859	一辆車	classifiers	piece (cls for cars)
860	一只船	classifiers	piece (cls for ship)
861	一件事情	classifiers	piece (cls for thing)
862	一笔生意	classifiers	pencil (cls for business deals)
863	逼(看一遍）	classifiers	time (look one time)
864	次（这一次）	classifiers	time (this time)
865	趟(走一趟）	classifiers	walk (walk a walk)
866	頓(打一頓）	classifiers	time (beat one time)
867	下(打一下）	classifiers	a little bit (beat a little)
868	从前	classifiers	formerly
869	刚才	classifiers	just a short while ago
870	现在	classifiers	now
871	一向	classifiers	all along
872	預先	classifiers	in advance
873	巳經	classifiers	already
874	常常	classifiers	often
875	赶快	classifiers	fast // quick
876	馬上	classifiers	immediately
877	很	classifiers	very
878	更	classifiers	more
879	最	classifiers	most
880	太	classifiers	too
881	稍微	classifiers	a little
882	恰巧	classifiers	by chance
883	都	classifiers	all
884	統統	classifiers	completely
885	一起	classifiers	together
886	又	classifiers	again
887	再	classifiers	again
888	仍旧	classifiers	still
889	反正	classifiers	anyhow
890	大約	classifiers	probably
891	一定	classifiers	certainly
892	不	classifiers	not
893	沒〔有〕(未）	classifiers	not
894	別	classifiers	other
895	不用	classifiers	need not
896	把	classifiers	regard as // with
897	被	classifiers	by
898	替	classifiers	instead of
899	在	classifiers	in
900	从	classifiers	from
901	到	classifiers	until
902	向	classifiers	towards
903	和	classifiers	and
904	如果	classifiers	if
