NUMBER	GLOSS	IPA
1	all	tshyn2 pu4			
2	and	hə2, thə̃2			
3	animal	tə̃4 wũ5			
4	ashes	hwəj1			
5	at	tsæ4			
6	back [nn]	pəj4			
7	bad	pu/5 hɔ3, hwæ4			
8	bark [of tree]	sy4 phi2			
9	because	in1 wəj4			
10	belly	tu4 tsə3			
11	big	ta4			
12	bird	njɔ3			
13	bite	jɔ3			
14	black	həj1			
15	blood	syʔ5			
16	blow [vb]	tshwəj1			
17	bone	kuʔ5 thəw2			
18	breast(s)	sjũ1			
19	breathe	siʔ5 tshi4, thəw3 tshi4			
20	burn [intr]	sɔ1			
21	child	sjæ3 hæ2, a2 tsə3			
22	claw	tsɔ3			
23	cloud	yn2			
24	cold	lə̃3			
25	come	læ2			
26	count	sũ4			
27	cut	tshjəʔ5 			
28	day	pəʔ5 thĩ1			
29	die	sə3			
30	dig	kwæ1			
31	dirty	laʔ5 səʔ5			
32	dog	kəw3			
33	drink	tshĩ5			
34	dry	kã1			
35	dull	puʔ5 li4			
36	dust	hwəj1 tshin2			
37	ear	a3 to3			
38	earth	thu3			
39	eat	tshĩ5			
40	egg	tã4			
41	eye	ĩ3 tsin1			
42	fall	tiʔ5 tɔ3			
43	far	ɥĩ3			
44	fat [nn]	phã4, fəj2			
45	father	fu4 tshin1,pa4 pa4			
46	feather	mɔ2			
47	few	sɔ3			
48	fight	təw4 lɔ4			
49	fire	ho3			
50	fish	y2			
51	five	wu3			
52	flesh	jo1			
53	flow	lju2			
54	flower	hwa2			
55	fly [vb]	fəj1			
56	fog	ĩ1			
57	foot	tsjɔʔ5			
58	four	sə4			
59	freeze	pin1tə̃4			
60	fruit	swəj3 ko3			
61	full	mũ3			
62	give	la2 tə			
63	good	hɔ3			
64	grass	tshɔ3			
65	green	luʔ5			
66	guts	tsã4			
67	hair [of head]	thəw2 faʔ5			
68	hand	sju3			
69	he	tha1			
70	head	thəw2			
71	hear	thĩ1			
72	heart	sin1			
73	heavy	tsə̃4			
74	here	tsə4 khwæ4 			
75	hit	ta3			
76	hold	la1			
77	horn	tsjɔʔ5			
78	hot	kun3			
79	human [nn]	in2			
80	hunt [vb]	tswəj1			
81	husband	tsã4 fu1			
82	I	ŋo3			
83	ice	pin1			
84	if	lu2 ko3			
85	in	tsæ4 li3 mĩ4			
86	kill	saʔ5			
87	knee	səʔ5 thəw2 kæ4			
88	knife	tɔ1 tsə3			
89	know	sjɔ3 təʔ5			
90	lake	fu2			
91	laugh	sjɔ4			
92	leaf	sy4 jəʔ5			
93	left [-hand]	tso3			
94	lie	thã4			
95	liver	kã1			
96	long	tshã2			
97	louse	səʔ5			
98	man	lã4 in2			
99	many	to1			
100	moon	yʔ5 ljã4			
101	mother	muʔ5 tshin1, ma1 ma1			
102	mountain	sã1			
103	mouth	tswəj3 pa1			
104	name	min2 tsə3			
105	narrow	sjɔ3, tsəʔ5			
106	near	tsin4			
107	neck	tsin3 po2 tsə3			
108	new	sin1			
109	night	jə4			
110	nose	pi4 tsə3			
111	not	puʔ5			
112	now	sĩ4 tsæ4			
113	old	lɔ3			
114	one	iʔ5			
115	other	pjəʔ5 ko4			
116	path	lu4			
117	play	wã2			
118	pull	la1			
119	push	thwəj1			
120	rain [nn]	y3			
121	red	hə̃2			
122	right [-hand]	ju4			
123	river	tsjã1			
124	root	kə̃1			
125	rotten	lã4			
126	round	ɥĩ2			
127	rub	tshaʔ5			
128	salt	ĩ2			
129	sand	sa1			
130	say	tsjã3			
131	scratch	sɔ1 jã3			
132	sea	ta4 hæ3			
133	see	khã4			
134	seed	tsə̃3 tsə3			
135	sew	fə̃2			
136	sharp	tsĩ1			
137	short	tõ3			
138	sing	tshã4ko1			
139	sit	tso4			
140	skin	phi2 fu1			
141	sky	thĩ1 khə̃1			
142	sleep	swəj4			
143	small	sjɔ3			
144	smell [tr]	wə̃2			
145	smoke	ĩ1			
146	smooth	sun4, ju2			
147	snake	sjə2			
148	snow	sɥəʔ5			
149	some (pl.)	ju3 ti			
150	spit	ŋəw3			
151	split	fə̃1 khæ1			
152	squeeze	nĩ3			
153	stab	thə̃1			
154	stand	tsã4			
155	star	sin1			ə̃
156	stick [nn]	kun4 tsə3			
157	stone	səʔ5 thəw2			
158	straight	tsəʔ5			
159	suck	siʔ5			
160	sun	iʔ5 thəw2			
161	swell	phə̃2 tsã4			
162	swim	wã2 swəj3			
163	tail	wəj3 pa1			
164	that (nt.)	la4 ko4			
165	there	la4 khwæ4			
166	they	tha1 mə̃1			
167	thick	ĩ4, həw4			
168	thin	sju4			
169	think	sjã3			
170	this (nt.)	tsæ4 ko4			
171	three	sã1			
172	throw	thəw2			
173	tie	tsin3			
174	tongue	səʔ5 thjɔ2			
175	tooth	ja2 tshə3			
176	tree	sy4			
177	1	tsin1			
178	two	ljã3, a4			
179	vomit	ŋəw3 thu4			
180	walk	tsəw3			
181	wash	si3			
182	water	swəj3			
183	we	ŋo3 mə̃1			
184	wet	tshɔ2 səʔ5			
185	what	sə̃2 mə			
186	white	pəʔ5			
187	who	la3 iʔ5 ko4			
188	wide	khũ1 ta4			
189	wife	lɔ3 pho2			
190	wind [nn]	fə̃1			
191	wing	tshə4 pã3			
192	wipe	maʔ5			
193	with	thə̃2, ho2			
194	woman	ny3 in2			
195	woods	sy4 lin2			
196	worm	tshə̃2			
197	you (sg.)	ni3			
198	you (pl.)	ni3 mə̃1			
199	year	nĩ2, swəj4			
200	yellow	hwã2			
