OMEGAWIKI	GLOSS_IN_SOURCE	IPA	COGID	HANZI
6026	-	%rtsi	-	-
7026	-	ɣɤŋgi	-	-
6053	stand	ndzur	1	立
7039	-	tɯmɯ	-	-
6055	-	jɣɤt	-	-
6045	-	sɤtsa	-	-
6052	fly	nɯqambɯmbjom	1	飛
6003	see	mto	1	睹
7064	-	ɯ-taʁ	-	-
7013	-	ɣnɤsqi	-	-
6005	lie	rŋgɯ	1	臥
6027	-	nɯntsɯɣ	-	-
6054	walk	ŋke	1	行
6062	-	%pɕiz	-	-
6048	-	%phaʁ	-	-
6031	yellow	qarŋe	1	黃
6047	-	rɤβraʁ	-	-
6059	give	mbi	1	畀
6072	-	ɣɤrɤt	-	-
6044	-	ʁndɯ	-	-
6068	-	sthoʁ	-	-
6021	-	sɯso	-	-
6032	green	arŋi	1	青
6004	know	sɯz	1	知
7031	-	tsɣi	-	-
6028	-	sɯsu	-	-
6042	-	jpɣom	-	-
6051	-	mciphɯt (lɤt)	-	-
6060	-	ndo	-	-
6023	kill	sat	1	殺
8061	-	χtɯ	-	-
6056	come	ɣi	1	來
6075	say	ti	1	曰
6043	-	rɤkrɯ	-	-
6071	-	rɤɕi	-	-
7027	-	aci	-	-
6010	-	anɯɣro	-	-
509787	-	%thoʁ	-	-
6069	-	χtɕi	-	-
400	bird	pɣa	1	鳥
6017	-	tɕɣaʁ	-	-
6030	-	alɯlɤt	-	-
6046	-	ɣɤrʁaʁ	-	-
6022	sit	amdzɯ	1	坐
7004	-	kɯɕnɯz	-	-
6050	swim	ndʑaʁ	1	泳
1009	-	rdɯl	-	-
7084	-	ntshi	-	-
6025	-	mu	-	-
6041	star	ʑŋgri	1	星
2061	-	%mtshu	-	-
6073	-	tʂɯβ	-	-
6024	-	lɣa	-	-
7003	-	kɯtʂɤɣ	-	-
6040	full	mtsʰɤt	1	滿
7005	-	kɯrcat	-	-
6186	-	tɯ-rpaʁ	-	-
513017	-	cɯ	-	-
411	blood	tɤ-se	1	血
2124	leaf	tɤ-jwaʁ	1	葉
6199	-	ɯ-pa	-	-
1149393	that	nɯ	1	彼
6193	-	kɯngɯt	-	-
1173416	all	%tʰamtɕɤt	0	凡
3100	person	tɯrme	1	人
6154	-	%rɟɤmtshu	-	-
4165	woman	tɕheme	1	女
619975	-	ji	-	-
4118	water	tɯ-ci	1	水
4160	-	qale	-	-
3253	-	smar	-	-
3269	root	tɤ-zrɤm	1	根
6280	-	sɯmat	-	-
6253	-	kɯβde	-	-
623	cloud	zdɯm	1	雲
6248	two	ʁnɯz	1	二
1299599	burn	βlɯ	1	焚
6245	die	si	1	死
1287831	-	kɯre	-	-
522875	-	lɤt (tɯdi)	-	-
828575	claw	tɯ-ndzrɯ	1	爪
6244	one	ci	1	一
3258	path	tʂu	1	路
6233	-	βʑɯ	-	-
630453	-	ʁmɤrɲɯɣ	-	-
6396	-	%phu	-	-
436024	-	χcha	-	-
333730	-	tɯrme	-	-	
336072	-	mɯrkɯ	-	-
2300	flesh	tɤ-mthɯm	1	肌
1375415	-	ɣɤmɯt	-	-
3388	-	qapri	-	-
6343	-	tɤ-rtaʁ	-	-
1333710	red	ɣɯrni	1	赤
6397	man	tɤ-tɕɯ	1	男
3361	seed	tɯ-rɣi	1	種
332000	mouth	tɯ-kɯr	1	口
3305	sand	qambɯt	1	沙
1341728	black	ɲaʁ	1	黑
6312	-	sqi	-	-
6393	-	tɕheme	-	-
5437	big	wxti	1	大
5491	what	%tɕʰi	0	何
5494	-	%tɕʰi	-	-
7413	-	tɤ-rɟit	-	-
1425860	-	rŋgɯ	-	-
1460	fish	qaɟy	1	魚
1446	fire	smi	1	火
1406403	-	kɯmaʁ	-	-
6464	-	cho	-	-
3451	smoke	tɤkʰɯ	1	煙
5429	-	tɤ-rʑaβ	-	-
5451	-	rʑi	-	-
5458	this	ki	1	是
5492	-	ŋotɕu	-	-
741520	-	si	-	-
5432	-	tɤ-nmaʁ	-	-
1499731	-	ʁe	-	-
5466	-	qajɯ	-	-
5478	-	tɯ-xpa	-	-
5471	nose	tɯ-ɕna	1	鼻
5464	-	tɤ-wa	-	-
5439	bark	tɤ-rqhu	1	-
5499	-	tsuku	-	-
6454	-	nɯɣmbɤβ	-	-
5482	-	%rgɤz	-	-
5423	many	xcat	1	多
340828	egg	tɤ-ŋgɯm	1	卵
344031	-	khɤxtɤmbro	-	-
5493	-	thɤjɕu	-	-
5459	you	nɤʑo	1	汝
5440	tongue	tɯ-mdʑu	1	舌
5456	-	nɤʑo	-	-
5450	I	aʑo	1	吾
5486	night	ɕɤr	1	夜
5476	liver	tɯ-mtsʰi	1	肝
5481	earth	%tʰɤlwa	0	土
446278	hair	tɤ-rme	1	毛
8448	-	tɯ-jmŋo	-	-
441371	-	aχom	-	-
5484	new	ɕɤɣ	1	新
443659	good	pe	1	好
5490	who	ɕu	1	孰
5495	not	mɤ-	1	無
5455	we	iʑo	1	我
844574	-	βraʁ	-	-
5483	-	ɴqhi	-	-
5454	-	ɯʑo	-	-
5475	heart	tɯ-sni	1	心
1487	-	%mɯntoʁ	-	-
5485	hot	sɤɕke	1	熱
5468	tail	tɤ-jme	1	尾
5438	long	zri	1	長
3455	-	tɤjpa	-	-
5436	feather	tɤ-muj	1	羽
3430	skin	tɯ-ndʐi	1	皮
5465	-	tɯmbri	-	-
5477	-	tɯ-sŋi	-	-
6457	-	ndʑaʁ	-	-
5463	-	tɤ-muj	-	-
5487	-	mnu	-	-
2421	mountain	zgo	0	山
5511	eye	tɯ-mɲaʁ	1	目
6520	-	nɤmnɤm	-	-
1502	-	zdɯm	-	-
1511162	-	sɤtsa	-	-
156096	-	χsɯm	-	-
6526	-	mtɕɯr	-	-
1511061	-	mɤ-mtɕoʁ	-	-
5503	-	jaʁ	-	-
352331	-	ʑara	-	-
5528	-	ɯ-ʁar	-	-
3588	-	ɴɢoɕna	-	-
5517	-	kha	-	-
155571	-	nɤzraʁ	-	-
1510937	-	xtsɯ	-	-
5502	-	rɟum	-	-
5566	-	tɕɤr	-	-
156104	-	kɯmŋu	-	-
154737	-	ndzɤt	-	-
1510493	-	nɤŋka	-	-
5599	-	%tsha	-	-
1533	-	sɯŋgɯ	-	-
950344	-	tɯ-pu	-	-
5509	small	xtɕi	1	小
5516	belly	tɯ-xtu	1	肚
6519	sleep	nɯʑɯβ	1	寢
5527	head	tɯ-ku	1	首
