OMEGAWIKI	GLOSS_IN_SOURCE	IPA	COGID	HANZI
6053	stand	.jar¹	2	立
6052	fly	dʑjwow¹	0	飛
6003	see	ljij²	2	睹
6005	lie	gjwɨr¹	1	臥
6054	walk	dʑji	1	行
6031	yellow	nər²	1	黃
6059	give	khjow¹	2	畀
6032	green	ŋwər¹	1	青
6004	know	nwə¹	2	知
6023	kill	sja¹	1	殺
6056	come	ljịj²	2	來
6075	say	.jɨ¹	2	曰
400	bird	.we¹	0	鳥
6022	sit	dzuu²	1	坐
6050	swim	0	0	泳
6041	star	gjịj¹	1	星
6040	full	sə¹	2	滿
411	blood	sjij¹	1	血
2124	leaf	bạ²	1	葉
1149393	that	thja¹	2	彼
1173416	all	zji¹	1	凡
3100	person	dzjwo²	2	人
4165	woman	mjịj¹	1	女
4118	water	zjɨɨr²	2	水
3269	root	dʑju²	2	根
623	cloud	djɨ̣j²	1	雲
6248	two	njɨɨ²	1	二
1299599	burn	njwɨ̣²	2	焚
6245	die	sji²	1	死
828575	claw	dzjị¹	0	爪
6244	one	lew¹	2	一
3258	path	tɕja¹	2	路
2300	flesh	tɕʰji¹	2	肌
1333710	red	njij¹	1	赤
6397	man	goor¹	2	男
3361	seed	sjwi¹	2	種
332000	mouth	mər	2	口
3305	sand	bẹ¹	1	沙
1341728	black	njaa¹	1	黑
5437	big	thạ²	2	大
5491	what	xwa²	1	何
1460	fish	ʑju²	1	魚
1446	fire	məə¹	1	火
3451	smoke	ɣju¹	1	煙
5458	this	thjɨ²	2	是
5471	nose	njii²	1	鼻
5439	bark	0	0	-
5423	many	zjịj²	2	多
340828	egg	tew¹	2	卵
5459	you	nji²	1	汝
5440	tongue	lhjwa	2	舌
5450	I	ŋa²	1	吾
5486	night	na¹	2	夜
5476	liver	sji¹	1	肝
5481	earth	dzjiw¹	1	土
446278	hair	mej²	1	毛
5484	new	sjiw¹	1	新
443659	good	ŋạ²	2	好
5490	who	sjwɨ²	1	孰
5495	not	mji¹	1	無
5455	we	gjɨ²mji²	2	我
5475	heart	njiij¹	1	心
5485	hot	tsja¹	2	熱
5468	tail	mjiij¹	1	尾
5438	long	zjir²	1	長
5436	feather	mẹ²	2	羽
3430	skin	dʑjɨ¹	1	皮
2421	mountain	ŋər¹	1	山
5511	eye	mej¹	1	目
5509	small	tsəj¹	1	小
5516	belly	.o¹	2	肚
6519	sleep	.jɨ²	1	寢
5527	head	ɣu¹	1	首
5510	ear	nju¹	1	耳
5523	rain	dzjụ²	2	雨
264	ash	lhjwạ¹	2	灰
5616	hand	lạ¹	1	手
5639	cold	dạ²	1	寒
966	dog	khjwɨ¹	1	犬
5624	grease	lhə	2	脂
5672	foot	khjɨ¹	2	足
3633	stone	lụ¹	2	石
5729	moon	lhjịj²	1	月
3854	tree	sji¹	1	木
5850	sun	be²	1	日
5825	white	phiow¹	1	白
5823	neck	ljwịj¹	2	頸
5827	eat	dzji¹	1	食
5946	tooth	kowr²	2	牙
5980	louse	ɕjiw²	1	蝨
5993	bite	gioo¹	2	噬
5989	dry	rowr¹	1	乾
5983	bone	rjɨr¹	1	骨
5981	horn	khiwə¹	1	角
5991	drink	thji²	1	飲
5992	breasts	ner²	2	乳
5995	name	mjiij²	1	名
5918	knee	ŋwer²	2	膝
5984	round	low²	2	圓
5999	hear	mji¹	2	聞
