OMEGAWIKI	GLOSS_IN_SOURCE	IPA	COGID	HANZI
6053	stand	laŋs-	3	立
6052	fly	ɴpʰur-	2	飛
6003	see	lta-	3	睹
6005	lie	ɲal-	3	臥
6054	walk	ɴgro-	3	行
6031	yellow	ser-	4	黃
6059	give	ster-	3	畀
6032	green	sŋo-	1	青
6004	know	ɕes-	1	知
6023	kill	gsot, bsad	1	殺
6056	come	joŋ-	4	來
6075	say	zer-	4	曰
400	bird	bʲa	3	鳥
6022	sit	sdod, bsdad	3	坐
6050	swim	rkʲal-	3	泳
6041	star	skar.ma	3	星
6040	full	gaŋ	4	滿
411	blood	kʰrag	2	血
2124	leaf	lo.ma	2	葉
1149393	that	de	4	彼
1173416	all	tʰams.tɕad	3	凡
3100	person	mʲi	1	人
4165	woman	bu.med	2	女
4118	water	tɕʰu	4	水
3269	root	rtsa.ba	4	根
623	cloud	sprin	2	雲
6248	two	gɲis	1	二
1299599	burn	ɴtsʰig	4	焚
6245	die	ɕi-	1	死
828575	claw	sen.mo	2	爪
6244	one	gtɕig	2	一
3258	path	lam	3	路
2300	flesh	ɕa	2	肌
1333710	red	dmar-	2	赤
6397	man	mʲi	4	男
3361	seed	sa.bon	4	種
332000	mouth	kʰa	4	口
3305	sand	bʲe.ma	3	沙
1341728	black	nag-	1	黑
5437	big	tɕʰe-	1	大
5491	what	tɕʰi	3	何
1460	fish	ɲa	2	魚
1446	fire	me	1	火
3451	smoke	du.ba	2	煙
5458	this	ɴdi	2	是
5471	nose	sna	1	鼻
5439	bark	ɕiŋ.lpags	3	-
5423	many	maŋ-	4	多
340828	egg	sgo.ŋa	4	卵
5459	you	kʰʲod	2	汝
5440	tongue	ldʑe	2	舌
5450	I	ŋa	1	吾
5486	night	mtsʰan.mo	4	夜
5476	liver	mtɕʰin.pa	1	肝
5481	earth	sa	3	土
446278	hair	spu	3	毛
5484	new	gsar-	2	新
443659	good	jag-	4	好
5490	who	su	1	孰
5495	not	ma-	1	無
5455	we	kʰo.na	4	我
5475	heart	sɲiŋ	1	心
5485	hot	tsʰa-	2	熱
5468	tail	rŋa.ma	2	尾
5438	long	riŋ-	1	長
5436	feather	spu	3	羽
3430	skin	lpags	2	皮
2421	mountain	sgaŋ	2	山
5511	eye	dmʲig	1	目
5509	small	tɕʰuŋ-	3	小
5516	belly	pʰo.ba	2	肚
6519	sleep	gɲid ɲal	2	寢
5527	head	mgo	1	首
5510	ear	rna	1	耳
5523	rain	tɕʰar.pa	4	雨
264	ash	rdul	4	灰
5616	hand	lag.pa	1	手
5639	cold	graŋ-	3	寒
966	dog	kʰʲi	1	犬
5624	grease	tsʰil	1	脂
5672	foot	rkaŋ	3	足
3633	stone	rdo	4	石
5729	moon	zla	1	月
3854	tree	ɕiŋ	1	木
5850	sun	ɲi.ma	2	日
5825	white	dkar-	3	白
5823	neck	ske	1	頸
5827	eat	za, zos	1	食
5946	tooth	so	1	牙
5980	louse	ɕig	1	蝨
5993	bite	za, bzas	3	噬
5989	dry	skam-	3	乾
5983	bone	rus	1	骨
5981	horn	gru	2	角
5991	drink	ɴtʰuŋ, btuŋs	3	飲
5992	breasts	nu.ma	1	乳
5995	name	mʲiŋ	1	名
5918	knee	spus.mu	4	膝
5984	round	zlum-	2	圓
5999	hear	tʰos-	4	聞
