OMEGAWIKI	GLOSS_IN_SOURCE	IPA	COGID	HANZI
6053	stand	yɛp-	2	立
6052	fly	pɛ:r-	2	飛
6003	see	nis-	4	睹
6005	lie	nɛss-	4	臥
6054	walk	laŋ-ghek-	4	行
6031	yellow	hi:k	5	黃
6059	give	pi-	1	畀
6032	green	phiŋ	2	青
6004	know	nis-	3	知
6023	kill	sɛt-	1	殺
6056	come	phɛn-	1	來
6075	say	pa:t-	5	曰
400	bird	pu¹	4	鳥
6022	sit	yuŋ-	4	坐
6050	swim	ca:k-	1	泳
6041	star	khɛmsikpa	4	星
6040	full	tims-	5	滿
411	blood	makkhi	3	血
2124	leaf	tɛtla	3	葉
1149393	that	khɔ	5	彼
1173416	all	kak	4	凡
3100	person		0	人
4165	woman	mɛnchuma	3	女
4118	water	cowat	5	水
3269	root	sa:p	1	根
623	cloud	khaʔmit	3	雲
6248	two	ni	1	二
1299599	burn	tik-	5	焚
6245	die	si-	1	死
828575	claw	sendi	2	爪
6244	one	thik	1	一
3258	path	lam	3	路
2300	flesh	sa	2	肌
1333710	red	hɛt	3	赤
6397	man	yɛmbitcha	5	男
3361	seed	se	2	種
332000	mouth	mura	5	口
3305	sand		0	沙
1341728	black	mak	2	黑
5437	big	yɔmba	4	大
5491	what	the	3	何
1460	fish	ŋ a	2	魚
1446	fire	mi	1	火
3451	smoke	mi:kkhu	1	煙
5458	this	ɛn	3	是
5471	nose	nɛbo	1	鼻
5439	bark	horik	4	-
5423	many	sidɔt	5	多
340828	egg	thi:mma	5	卵
5459	you	khɛnɛ	1	汝
5440	tongue	lɛsot	1	舌
5450	I	iŋga	1	吾
5486	night	sɛndik	5	夜
5476	liver	luŋma	2	肝
5481	earth	kham	4	土
446278	hair	murik	1	毛
5484	new	sɔŋ	2	新
443659	good	nu:r-	5	好
5490	who	ha:t	2	孰
5495	not	mɛn-	1	無
5455	we	ani	5	我
5475	heart	luŋma	2	心
5485	hot	sɛ:kt-	3	熱
5468	tail	mi²	1	尾
5438	long	kent-	2	長
5436	feather	murik	2	羽
3430	skin	horik	3	皮
2421	mountain	tɔksɔŋ	3	山
5511	eye	mik	1	目
5509	small	cu:kt-	4	小
5516	belly	sappok	4	肚
6519	sleep	ips-	1	寢
5527	head	thɛgek	3	首
5510	ear	nɛbhak	1	耳
5523	rain	wahit	3	雨
264	ash	khappu	5	灰
5616	hand	huk	2	手
5639	cold	ci:kt-	4	寒
966	dog	kotco	2	犬
5624	grease	sot	4	脂
5672	foot	laŋ	4	足
3633	stone	luŋ	2	石
5729	moon	laba	1	月
3854	tree	siŋbuŋ	1	木
5850	sun	nam	3	日
5825	white	phɔ	4	白
5823	neck	sitla	3	頸
5827	eat	ca-	1	食
5946	tooth	hebu	3	牙
5980	louse	siʔ	1	蝨
5993	bite	haʔr-	4	噬
5989	dry	kaŋ-	4	乾
5983	bone	yɛt	1	骨
5981	horn	taŋ¹	3	角
5991	drink	thuŋ-	3	飲
5992	breasts	nu	1	乳
5995	name	miŋ	1	名
5918	knee	thuŋbo	5	膝
5984	round	kugɔp	4	圓
5999	hear	khɛps-	5	聞
