NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
87	the fire	221	18	122565	fire (n)
#>>>
88	the fish	227	351	122026	fish (n)
89	the flea	232	355		???
90	the flower	239	377	122451	flower (n)
91	the fog	249	16		???
92	the foot	1301	103	121917	foot (n)
93	the forest	420	50	122796	forest (n)
94	the fox	1312	325		???
95	the frog	503	349	121866	frog (n)
96	the front (front side)	2194	712	122032	front (khim a-ŋanla 'in front of the house') (n)
97	the frost	2034	14	122459	frost (n)
#<<<
98	the fruit	1507	378	122510	fruit, Phyllanthus emblica (n df.)
98	the fruit	1507	378	122772	break (e.g. rope, thread), pick (flower or fruit) (vt)
98	the fruit	1507	378	122359	fruit (n df.)
98	the fruit	1507	378	122601	fruit (n df.)
98	the fruit	1507	378	122756	fruit (n)
98	the fruit	1507	378	122463	fruit, Nep. kāphal (n df.)
#>>>
99	the goat	1502	276	122815	goat (n)
100	the grass	606	436		???
#<<<
101	the hail	609	13	122512	call, hail (vt)
101	the hail	609	13	122605	hail (n)
#>>>
#<<<
102	the hair (of the head)	1040	75	122416	undo (e.g. a knot, the hair) (vt)
102	the hair (of the head)	1040	75	122086	hair (of the head) (n)
102	the hair (of the head)	1040	75	122621	wash (the head or hair) (vt)
#>>>
103	the hand	1277	107	121985	hand (n)
#<<<
104	the head	1256	74	122356	head (n)
104	the head	1256	74	122036	head, top, upper (e.g. of a valley, storey) (n)
#>>>
#<<<
105	the heart	1223	144	122250	heart, feelings (n)
105	the heart	1223	144	122251	heart (n)
#>>>
106	the hoof	152	264	121951	hoof (n)
107	the horn (keratinized skin)	1393	263	121997	horn (n)
108	the horse	615	268		???
109	the house	1252	494	121875	house (n)
#<<<
110	the husband	1200	247	122351	with (pp)
110	the husband	1200	247	121759	husband (n)
#>>>
111	the ice	617	17		???
#<<<
112	the knee	1371	101	122395	knee (n)
112	the knee	1371	101	121838	bend (vt)
#>>>
113	the lake	624	31		???
114	the leaf	628	376	122817	leaf (n)
115	the lip (the lips)	478	85		???
116	the liver	1224	145	122256	liver (n)
117	the louse	1392	356	122636	louse (n)
118	the lung	688	143	122825	lung (n)
#<<<
119	the man (male human)	2106	173	122623	man (n)
119	the man (male human)	2106	173	121751	man, male (n)
119	the man (male human)	2106	173	122398	father, male (n)
#>>>
120	the meat	634	443		???
121	the moon	1313	4		???
122	the mosquito	1509	360	122854	biting fly, mosquito (n df.)
#<<<
123	the mother	1216	219	122589	mother (n)
123	the mother	1216	219	122607	female, mother (n)
#>>>
124	the mountain	639	23		???
125	the mouse or rat	2139	320	121740	mouse (n)
126	the mouth	674	84	122822	mouth (n)
127	the mud	640	46		???
#<<<
128	the nail (fingernail or claw)	2128	113	122516	claw, scratch (vt)
128	the nail (fingernail or claw)	2128	113	121952	nail, claw (n)
#>>>
129	the name	1405	687	122308	name (n)
#<<<
130	the neck	1333	89	122710	neck (n)
130	the neck	1333	89	122844	neck (n)
#>>>
131	the needle (for sewing)	1382	578	122749	needle (n)
132	the nit	267	357		???
133	the nose	1221	80	122343	nose (n)
134	the otter	15	317		???
135	the pig	1337	284	122393	pig (n)
136	the rain	658	10	122649	rain (n)
137	the rainbow	1733	11	122053	rainbow (n)
138	the rice plant	2026	439		???
139	the river	666	30	121984	river (n)
140	the road	667	38	122720	road (n)
141	the root	670	375	122776	root (n)
142	the rope	1218	619	121992	rope (n)
143	the salt	1274	61	121737	salt (n)
144	the sand	671	44		???
145	the sea	1474	32		???
#<<<
146	the seed	714	405	121755	seed (n)
146	the seed	714	405	122549	egg (n)
#>>>
147	the sheep	1331	275	121896	sheep (n)
#<<<
148	the shit	676	151	121927	excrement (n)
148	the shit	676	151	121773	defecate (v)
#>>>
#<<<
149	the shoulder	1482	90	122205	shoulder (n)
149	the shoulder	1482	90	122051	back (n)
#>>>
150	the sickle	341	624	121986	sickle (n)
#<<<
151	the skin	763	120	121825	skin, bark (n)
151	the skin	763	120	121940	hide (vt)
151	the skin	763	120	121941	hide (oneself) (vr)
151	the skin	763	120	121712	peel (with the hands), shell, skin (vt)
#>>>
152	the sky	1732	1	122414	thunder, lightning strike (n)
153	the smoke	778	19	121850	smoke (n)
154	the snake	730	347	122508	snake or worm ?? (n)
155	the snow	784	12	122456	snow (n)
156	the son	1620	220	122188	son (n)
157	the sparrow	1854	336		???
158	the spider	843	361	122548	spider (n)
159	the star	1430	5	122836	star (n)
#<<<
160	the stick	1295	586	121823	stick (n)
160	the stick	1295	586	121921	stick, stick together, (v)
160	the stick	1295	586	122755	wood (n)
160	the stick	1295	586	122070	rot (of stone or wood) (v)
160	the stick	1295	586	122560	stick (sth. on sth.), patch (vt)
#>>>
161	the stone (a piece of)	857	379	122741	stone (n)
162	the sun	1343	2		???
163	the tail	1220	267	122579	tail (n)
164	the thigh	800	100		???
165	the thunder	1150	8	122414	thunder, lightning strike (n)
166	the tiger	846	304	122581	tiger (n)
167	the tongue	1205	139	122711	tongue (n)
168	the tooth (front)	1380	137	121938	tooth (n)
