NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
#<<<
29	I [first person singular]	1209	928	120105	my, me (pron po)
29	I [first person singular]	1209	928	120407	I, me, we, us (pron (1)
#>>>
#<<<
1	above	1741	731	121456	up, up there, above (adv)
1	above	1741	731	120115	above (pp)
1	above	1741	731	120114	up, above (adv loc)
#>>>
2	all	98	962	121414	also, even, at all (negative contexts) (part)
3	bad	1292	1053	121119	good, good loooking (adj)
#<<<
4	below, under	1485	732	121591	down, below (adv loc)
4	below, under	1485	732	121592	down, below (adv)
4	below, under	1485	732	120144	below (pp)
4	below, under	1485	732	121287	below, down (adv)
#>>>
#<<<
5	big	1202	964	120161	big, huge (adj)
5	big	1202	964	121645	be big, become big; win (vi, vr)
#>>>
6	black	163	1005	120304	black (adj)
7	cold (of temperature)	1287	1063	120635	cold (temperature) (n)
8	correct (right)	1725	1045		???
#<<<
9	dark	706	1013	121295	night, at night (n, adv)
9	dark	706	1013	120217	dark, darkness (adj)
#>>>
#<<<
10	dirty	1230	1086	120542	dirt / filth (n)
10	dirty	1230	1086	121129	be stained, soiled (vtt (im)
#>>>
#<<<
11	dry	1398	1028	121432	dry (meat) (vtt)
11	dry	1398	1028	121560	dry (of earth) (adj)
11	dry	1398	1028	121178	dry (vt, vtt)
#>>>
12	early	672	1018	120877	soon, early (adv)
13	eight	1705	804		???
14	far	1406	974	121643	far (adv)
15	firewood	10	534		???
16	five	493	801		???
#<<<
17	four	1500	800	121181	four (num)
17	four	1500	800	121183	four (not human) (num+cl)
#>>>
18	full	1429	984	120603	satisfied (be v.)
#<<<
19	good	1035	1052	121119	good, good loooking (adj)
19	good	1035	1052	121120	good-looking, beautiful (of a woman) (adj)
19	good	1035	1052	121051	be able (to do sth.), be well; cure (vr, vtt)
19	good	1035	1052	120904	good (adj)
#>>>
20	green	1425	1009		???
21	hard	1884	1034	120492	hard (be v.)
#<<<
22	he or she [third person singular]	262	934	120267	he, him (pron (3)
22	he or she [third person singular]	262	934	121204	that, he (pron de)
22	he or she [third person singular]	262	934	120117	this, he, etc. (dem)
22	he or she [third person singular]	262	934	120102	his, its, him, it (pron po)
#>>>
23	heavy	1210	1014	121386	heavy (vr)
24	here	136	944	120118	nearby, here (adj)
25	high / tall	1265	968	120646	tall, high (be v.)
26	horizontal	2376	1001	121539	horizontal (adj)
#<<<
27	hot	1286	1062	121550	warm, hot (adj)
27	hot	1286	1062	120639	hot (be v.)
27	hot	1286	1062	121528	heat (esp. in fire), roast (vt)
27	hot	1286	1062	120107	heat, scald (esp. milk) (vt)
#>>>
28	hundred	1634	824		???
#<<<
30	inside	1606	715	121604	in, on, at; while (pp)
30	inside	1606	715	121161	in, on, at (pp)
#>>>
31	knife	1352	549		???
32	late	477	1019	120388	be late, delay (be v.)
33	left	244	710	120429	hand (n)
#<<<
34	light (of weight)	1052	1052	120865	light, burn (of a flame) (vt, vtt)
34	light (of weight)	1052	1052	121495	roast, light (a fire wit (vt)
34	light (of weight)	1052	1052	120171	light (in weight) (adj)
34	light (of weight)	1052	1052	120524	burn, light (by contact with fire) (vtt)
34	light (of weight)	1052	1052	120802	light, daylight (n)
34	light (of weight)	1052	1052	120834	light (a lamp, fire) (vt, vtt)
#>>>
35	long	1203	972	121066	long, lengthen, stretch (vi, vr, vtt)
#<<<
36	many	1198	987	121557	much, a lot (adv)
36	many	1198	987	120349	much (adv)
#>>>
37	middle	1093	708		???
38	morning	1339	749		???
39	narrow	1267	977	120747	close, shut in; stop (vtt)
#<<<
40	near	1942	975	120747	close, shut in; stop (vtt)
40	near	1942	975	120354	near (adv loc)
40	near	1942	975	120360	near (adv)
#>>>
41	new	1231	1050	120916	new (adj)
42	nine	1483	805		???
43	noon	12	750		???
44	old (of person)	2112	1058		???
#<<<
45	one	1493	797	120257	one (person) (num)
45	one	1493	797	120271	one (num)
#>>>
46	outside	762	714	120727	outside (adv)
47	red	156	1007	121265	red (adj)
#<<<
48	right	1019	711	120429	hand (n)
48	right	1019	711	121615	proper, right (of an action) (be v.)
#>>>
#<<<
49	round	1395	990	120231	round, spherical (adj)
49	round	1395	990	120719	round, disk-shaped, rounded of (adj)
49	round	1395	990	121003	circular, round (adj)
#>>>
#<<<
50	salty	1091	1076	121547	salty (be v.)
50	salty	1091	1076	120510	salt (n)
#>>>
51	seven	1704	803		???
52	sharp	1396	1020	121299	sharp (of a blade) (vi)
53	short	1645	973		???
54	shy	487	1365	121653	shy, modest (be v.)
55	six	1703	802		???
56	small	1246	965	120833	small (adj)
57	smooth	1234	1037	120889	soft, smooth (adj)
#<<<
58	soft	1856	1035	120177	soft, tender (adj)
58	soft	1856	1035	120883	soft (n df.)
58	soft	1856	1035	120887	soft (adj)
#>>>
#<<<
59	straight	1404	1003	120713	flat (esp. of land), straight (adj)
59	straight	1404	1003	121436	straight (adv)
59	straight	1404	1003	120543	straight (adj)
#>>>
60	ten	1515	806		???
61	that	78	947	121204	that, he (pron de)
62	the ant	587	365	120499	ant (n)
63	the armpit	1886	92		???
#<<<
64	the bamboo	1927	389	121096	bamboo (n)
64	the bamboo	1927	389	120455	bamboo (n)
#>>>
65	the barley (tibetan or highland)	932	411	121480	barley (n)
#<<<
66	the belly	1251	96	121231	stomach (n)
66	the belly	1251	96	121553	belly (n)
#>>>
#<<<
67	the bird	937	326	120512	bird (general, excluding the largest species) (n)
67	the bird	937	326	121169	bird, a kind of bulbul (n df.)
67	the bird	937	326	120436	bird, a kind of bulbul (n df.)
67	the bird	937	326	120848	bird, a kind of bulbul (n df.)
67	the bird	937	326	120406	a bird (n df.)
67	the bird	937	326	120240	bird, the bulbul (n df.)
67	the bird	937	326	120504	pigeon, bird (n)
67	the bird	937	326	121566	bird (n df.)
#>>>
#<<<
68	the blood	946	129	121257	blood (n)
68	the blood	946	129	120927	blood or mucus in the stool (n)
#>>>
#<<<
69	the body hair (hair or fur)	189	266	121558	hair (n)
69	the body hair (hair or fur)	189	266	120213	body hair (n)
69	the body hair (hair or fur)	189	266	121555	hair, fur (n)
#>>>
70	the bone	1394	133	121340	bone (n)
71	the branch	1531	374	120390	branch, sprout, grow (vi)
72	the breast (female)	1402	94	120590	breast, nipple (n)
73	the child (young human)	1304	169	120546	child (suff v)
74	the cloud	1489	7	120272	cloud (n)
75	the daughter	1357	222	120672	daughter (n)
76	the dew	1977	15		???
77	the dog	2009	289	120159	dog (n)
78	the dream	2374	699		???
#<<<
79	the dust	2	45	120203	dust, dirt (n)
79	the dust	2	45	120978	dust, dirt (n)
#>>>
#<<<
80	the ear	1247	81	121476	noise, sound, shouting (n)
80	the ear	1247	81	120920	ear (n)
#>>>
#<<<
81	the earth (soil)	1228	40	120732	land, alight (vi)
81	the earth (soil)	1228	40	120542	dirt / filth (n)
81	the earth (soil)	1228	40	120247	earth, soil (n)
81	the earth (soil)	1228	40	120203	dust, dirt (n)
81	the earth (soil)	1228	40	120978	dust, dirt (n)
#>>>
82	the earthworm	2350	363		???
#<<<
83	the egg	744	450	120493	egg, eggshell, testicle (n)
83	the egg	744	450	120219	egg (n)
#>>>
#<<<
84	the eye	1248	79	120818	eye, get sthg in one's (vtt (im)
84	the eye	1248	79	121235	eye / face (n)
#>>>
85	the father	1217	218	120149	father (n)
#<<<
86	the feather	1201	299	121558	hair (n)
86	the feather	1201	299	121555	hair, fur (n)
86	the feather	1201	299	121196	feather (n)
#>>>
#<<<
87	the fire	221	18	121232	fire (n)
87	the fire	221	18	121528	heat (esp. in fire), roast (vt)
87	the fire	221	18	120107	heat, scald (esp. milk) (vt)
87	the fire	221	18	120834	light (a lamp, fire) (vt, vtt)
#>>>
88	the fish	227	351	121611	fish (of the Kosi River) (n)
89	the flea	232	355	121332	flea; ghost (n)
#<<<
90	the flower	239	377	120693	pick (leaves, flowers), comb (vt)
90	the flower	239	377	121153	bloom (vi)
90	the flower	239	377	120972	flower (n)
#>>>
91	the fog	249	16		???
92	the foot	1301	103	121412	foot, leg (n)
93	the forest	420	50	121277	burn (e.g. house, forest) (vtt)
94	the fox	1312	325	121460	fox (n)
95	the frog	503	349		???
96	the front (front side)	2194	712	120150	ahead, in front, before (adv)
97	the frost	2034	14		???
#<<<
98	the fruit	1507	378	121482	fruit (suff n)
98	the fruit	1507	378	120696	fruit, Phyllanthus emblica (n df.)
#>>>
99	the goat	1502	276	120545	goat (n)
#<<<
100	the grass	606	436	121242	grass, weed (n)
100	the grass	606	436	120396	a grass (n df.)
#>>>
#<<<
101	the hail	609	13	121522	call out to, hail (vtt)
101	the hail	609	13	121160	hail (n)
101	the hail	609	13	121317	call, summon, hail (vtt)
#>>>
#<<<
102	the hair (of the head)	1040	75	121558	hair (n)
102	the hair (of the head)	1040	75	121555	hair, fur (n)
#>>>
103	the hand	1277	107	120429	hand (n)
104	the head	1256	74	120974	head (n)
105	the heart	1223	144	120762	heart (n)
106	the hoof	152	264		???
107	the horn (keratinized skin)	1393	263	121353	horn (of an animal) (n)
108	the horse	615	268		???
#<<<
109	the house	1252	494	120245	house, home (n)
109	the house	1252	494	121529	roof (a storey or a house) (vtt)
#>>>
#<<<
110	the husband	1200	247	121365	husband (n)
110	the husband	1200	247	120924	with, at (pp)
#>>>
111	the ice	617	17		???
#<<<
112	the knee	1371	101	120363	knee (n)
112	the knee	1371	101	120408	bend (vt, vtt)
112	the knee	1371	101	120220	bend / bow while bending (adv ?)
#>>>
113	the lake	624	31		???
#<<<
114	the leaf	628	376	121423	leaf (n)
114	the leaf	628	376	121381	leaf or fiber of the vine Bauhinia valhii (n)
#>>>
115	the lip (the lips)	478	85	120225	lip (n)
116	the liver	1224	145	120815	liver (n)
117	the louse	1392	356	121536	louse (n)
#<<<
118	the lung	688	143	120648	lung (n)
118	the lung	688	143	120819	lung (n)
#>>>
#<<<
119	the man (male human)	2106	173	121462	person, male (derivational suffix) (suff n)
119	the man (male human)	2106	173	121498	man, person (n)
119	the man (male human)	2106	173	121405	man, male (n)
#>>>
120	the meat	634	443	120238	meat (n)
121	the moon	1313	4	120556	moon (n)
122	the mosquito	1509	360	120192	biting fly, mosquito (n)
123	the mother	1216	219	120152	mother (n)
124	the mountain	639	23	120561	hill, mountain (n)
#<<<
125	the mouse or rat	2139	320	121509	rodent (?shrew) (n df.)
125	the mouse or rat	2139	320	120525	mouse (n)
#>>>
126	the mouth	674	84	121223	mouth, face (n)
127	the mud	640	46		???
#<<<
128	the nail (fingernail or claw)	2128	113	121521	claw, pinch (vt, ?vt)
128	the nail (fingernail or claw)	2128	113	120825	nail, claw (n)
#>>>
129	the name	1405	687	121214	name (n)
#<<<
130	the neck	1333	89	120373	neck (n)
130	the neck	1333	89	120577	neck (n)
#>>>
131	the needle (for sewing)	1382	578	120531	needle (n)
132	the nit	267	357		???
#<<<
133	the nose	1221	80	120882	smell (n df.)
133	the nose	1221	80	120551	nose (n)
